time,Boston,pts.away,score,pts.home,Indiana
5:44.0,,,87-84,,Offensive rebound by Team
5:44.0,Official timeout,,87-84,,
5:44.0,,,87-84,,M. Ellis enters the game for G. Robinson
5:26.0,,,87-84,,M. Ellis misses 3-pt shot from 25 ft
5:26.0,Defensive rebound by Team,,87-84,,
5:13.0,I. Thomas misses 3-pt shot from 24 ft,,87-84,,
5:11.0,Offensive rebound by A. Johnson,,87-84,,
5:07.0,T. Rozier makes 2-pt shot from 3 ft (assist by A. Johnson),2,89-84,,
4:54.0,Shooting block foul by J. Jerebko (drawn by M. Ellis),,89-84,,
4:54.0,,,89-85,1,M. Ellis makes free throw 1 of 2
4:54.0,,,89-85,,M. Ellis misses free throw 2 of 2
4:53.0,,,89-85,,Offensive rebound by Team
4:39.0,,,89-87,2,M. Turner makes 2-pt shot from 4 ft
4:21.0,I. Thomas makes 2-pt shot from 7 ft,2,91-87,,
4:05.0,,,91-89,2,M. Ellis makes 2-pt shot from 4 ft
3:46.0,J. Jerebko misses 2-pt shot from 5 ft (block by M. Turner),,91-89,,
3:45.0,,,91-89,,Defensive rebound by M. Turner
3:36.0,,,91-89,,C. Miles misses 3-pt shot from 26 ft
3:35.0,Defensive rebound by J. Jerebko,,91-89,,
3:16.0,I. Thomas makes 2-pt shot from 17 ft,2,93-89,,
3:11.0,,,93-89,,Indiana full timeout
3:11.0,M. Smart enters the game for T. Rozier,,93-89,,
2:55.0,,,93-91,2,M. Turner makes 2-pt shot from 2 ft (assist by M. Ellis)
2:39.0,A. Bradley makes 2-pt shot from 3 ft (assist by A. Johnson),2,95-91,,
2:23.0,,,95-91,,Turnover by M. Ellis (bad pass)
2:10.0,A. Bradley makes 2-pt shot from 12 ft,2,97-91,,
1:53.0,,,97-91,,Shooting foul by I. Thomas (drawn by J. Teague)
1:53.0,,,97-92,1,J. Teague makes free throw 1 of 2
1:53.0,,,97-93,1,J. Teague makes free throw 2 of 2
1:45.0,,,97-93,,Personal foul by J. Teague (drawn by I. Thomas)
1:39.0,Turnover by A. Bradley (bad pass; steal by M. Ellis),,97-93,,
1:31.0,Shooting block foul by A. Johnson (drawn by M. Ellis),,97-93,,
1:31.0,,,97-93,,M. Ellis misses free throw 1 of 2
1:31.0,,,97-93,,Offensive rebound by Team
1:31.0,,,97-94,1,M. Ellis makes free throw 2 of 2
1:25.0,Boston full timeout,,97-94,,
1:25.0,K. Olynyk enters the game for J. Jerebko,,97-94,,
1:22.0,Shooting foul by J. Teague (drawn by I. Thomas),,97-94,,
1:22.0,I. Thomas makes free throw 1 of 2,1,98-94,,
1:22.0,I. Thomas makes free throw 2 of 2,1,99-94,,
1:04.0,,,99-94,,Turnover by M. Turner (lost ball; steal by A. Bradley)
1:00.0,I. Thomas makes 2-pt shot from 3 ft (assist by M. Smart),2,101-94,,
1:00.0,,,101-94,,Indiana full timeout
0:57.0,,,101-94,,M. Ellis misses 2-pt shot from 5 ft
0:56.0,Defensive rebound by A. Bradley,,101-94,,
0:39.0,I. Thomas misses 2-pt shot from 12 ft,,101-94,,
0:37.0,,,101-94,,Defensive rebound by M. Turner
0:28.0,Personal foul by A. Bradley (drawn by J. Teague),,101-94,,
0:28.0,,,101-95,1,J. Teague makes free throw 1 of 2
0:28.0,,,101-96,1,J. Teague makes free throw 2 of 2
0:28.0,,,101-96,,Personal take foul by C. Miles (drawn by I. Thomas)
0:28.0,I. Thomas makes free throw 1 of 2,1,102-96,,
0:28.0,I. Thomas makes free throw 2 of 2,1,103-96,,
0:28.0,,,103-96,,Indiana full timeout
0:28.0,T. Zeller enters the game for K. Olynyk,,101-95,,
0:28.0,K. Olynyk enters the game for T. Zeller,,102-96,,
0:24.0,,,103-99,3,C. Miles makes 3-pt shot from 26 ft (assist by M. Turner)
0:21.0,,,103-99,,Personal block foul by J. Teague (drawn by I. Thomas)
0:21.0,I. Thomas makes free throw 1 of 2,1,104-99,,
0:21.0,I. Thomas makes free throw 2 of 2,1,105-99,,
0:21.0,,,105-99,,Indiana full timeout
0:21.0,,,103-99,,A. Brooks enters the game for J. Teague
0:21.0,T. Rozier enters the game for A. Johnson,,105-99,,
0:18.0,,,105-99,,C. Miles misses 3-pt shot from 26 ft
0:17.0,Defensive rebound by A. Bradley,,105-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
