time,Boston,pts.away,score,pts.home,Indiana
1:25.0,,,21-27,,L. Allen misses 2-pt shot from 21 ft
1:24.0,,,21-27,,Offensive rebound by G. Robinson
1:19.0,,,21-29,2,L. Allen makes 2-pt shot from 5 ft (assist by M. Ellis)
1:03.0,A. Bradley misses 2-pt shot from 12 ft,,21-29,,
1:02.0,,,21-29,,Defensive rebound by M. Ellis
0:48.0,,,21-31,2,A. Jefferson makes 2-pt shot from 18 ft (assist by G. Robinson)
0:33.0,T. Rozier makes 3-pt shot from 26 ft,3,24-31,,
0:21.0,,,24-31,,L. Allen misses 2-pt shot from 4 ft
0:20.0,Defensive rebound by J. Jerebko,,24-31,,
0:00.0,J. Brown misses 3-pt shot from 25 ft,,24-31,,
0:00.0,Offensive rebound by Team,,24-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,24-31,,A. Jefferson misses 2-pt shot from 16 ft
11:38.0,,,24-31,,Offensive rebound by L. Allen
11:27.0,,,24-33,2,G. Robinson makes 2-pt shot from 20 ft (assist by A. Brooks)
11:06.0,,,24-33,,Shooting block foul by A. Brooks (drawn by T. Zeller)
11:06.0,T. Zeller misses free throw 1 of 2,,24-33,,
11:06.0,Offensive rebound by Team,,24-33,,
11:06.0,T. Zeller makes free throw 2 of 2,1,25-33,,
10:52.0,,,25-35,2,G. Robinson makes 2-pt shot from 11 ft
10:39.0,M. Smart misses 3-pt shot from 26 ft,,25-35,,
10:39.0,,,25-35,,Defensive rebound by G. Robinson
10:31.0,,,25-35,,G. Robinson misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by T. Zeller,,25-35,,
10:23.0,K. Olynyk misses 2-pt shot from 4 ft (block by G. Robinson),,25-35,,
10:21.0,Offensive rebound by K. Olynyk,,25-35,,
10:17.0,M. Smart makes 2-pt shot from 2 ft (assist by K. Olynyk),2,27-35,,
9:52.0,,,27-35,,L. Allen misses 2-pt shot from 19 ft
9:50.0,,,27-35,,Offensive rebound by Team
9:50.0,J. Young enters the game for J. Brown,,27-35,,
9:50.0,,,27-35,,M. Turner enters the game for A. Jefferson
9:50.0,A. Johnson enters the game for T. Zeller,,27-35,,
