time,Houston,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. A. Horford (J. Harden gains possession),,,,Jump ball: C. Capela vs. A. Horford (J. Harden gains possession)
11:47.0,Shooting foul by J. Crowder (drawn by R. Anderson),,0-0,,
11:47.0,R. Anderson makes free throw 1 of 2,1,1-0,,
11:47.0,R. Anderson makes free throw 2 of 2,1,2-0,,
11:35.0,,,2-0,,J. Crowder misses 3-pt shot from 26 ft
11:34.0,Defensive rebound by P. Beverley,,2-0,,
11:25.0,P. Beverley misses 3-pt shot from 22 ft,,2-0,,
11:24.0,,,2-0,,Defensive rebound by J. Crowder
11:11.0,,,2-2,2,A. Horford makes 2-pt shot from 4 ft
11:03.0,C. Capela misses 2-pt shot at rim,,2-2,,
11:02.0,,,2-2,,Defensive rebound by J. Brown
11:00.0,,,2-2,,Offensive foul by J. Brown
11:00.0,,,2-2,,Turnover by J. Brown (offensive foul)
10:50.0,C. Capela misses 2-pt shot from 6 ft (block by J. Jerebko),,2-2,,
10:49.0,Offensive rebound by C. Capela,,2-2,,
10:47.0,Turnover by R. Anderson (lost ball),,2-2,,
10:36.0,,,2-2,,Turnover by A. Horford (bad pass; steal by R. Anderson)
10:29.0,P. Beverley misses 3-pt shot from 23 ft,,2-2,,
10:28.0,,,2-2,,Defensive rebound by J. Jerebko
10:16.0,,,2-4,2,J. Jerebko makes 2-pt shot from 2 ft (assist by A. Horford)
9:56.0,J. Harden misses 3-pt shot from 26 ft,,2-4,,
9:55.0,,,2-4,,Defensive rebound by Team
9:37.0,,,2-4,,J. Brown misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by T. Ariza,,2-4,,
9:30.0,T. Ariza misses 3-pt shot from 26 ft,,2-4,,
9:28.0,Offensive rebound by P. Beverley,,2-4,,
9:15.0,R. Anderson makes 3-pt shot from 23 ft (assist by J. Harden),3,5-4,,
8:54.0,,,5-6,2,I. Thomas makes 2-pt shot from 7 ft
8:41.0,J. Harden makes 2-pt shot from 9 ft (assist by R. Anderson),2,7-6,,
8:26.0,,,7-6,,J. Crowder misses 2-pt shot from 12 ft
8:25.0,Defensive rebound by J. Harden,,7-6,,
8:19.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,9-6,,
8:19.0,,,9-6,,Shooting block foul by J. Jerebko (drawn by C. Capela)
8:19.0,C. Capela misses free throw 1 of 1,,9-6,,
8:19.0,,,9-6,,Defensive rebound by J. Jerebko
7:58.0,,,9-6,,A. Horford misses 2-pt shot from 9 ft
7:57.0,Defensive rebound by J. Harden,,9-6,,
7:51.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,11-6,,
7:33.0,,,11-6,,J. Crowder misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by C. Capela,,11-6,,
7:22.0,C. Capela misses 2-pt shot from 5 ft,,11-6,,
7:21.0,,,11-6,,Defensive rebound by A. Horford
7:21.0,Personal foul by C. Capela (drawn by A. Horford),,11-6,,
7:09.0,,,11-8,2,I. Thomas makes 2-pt shot at rim
6:51.0,J. Harden misses 3-pt shot from 23 ft,,11-8,,
6:50.0,,,11-8,,Defensive rebound by I. Thomas
