time,Boston,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. C. Zeller (M. Williams gains possession),,,,Jump ball: A. Johnson vs. C. Zeller (M. Williams gains possession)
11:35.0,,,0-2,2,K. Walker makes 2-pt shot from 15 ft
11:21.0,J. Crowder makes 3-pt shot from 25 ft (assist by A. Bradley),3,3-2,,
11:07.0,,,3-2,,M. Williams misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by Team,,3-2,,
10:56.0,A. Bradley makes 3-pt shot from 24 ft,3,6-2,,
10:40.0,Personal foul by J. Crowder (drawn by M. Kidd-Gilchrist),,6-2,,
10:29.0,,,6-4,2,M. Williams makes 2-pt shot from 12 ft (assist by N. Batum)
10:15.0,,,6-4,,Personal foul by M. Kidd-Gilchrist (drawn by A. Horford)
10:08.0,A. Johnson misses 2-pt shot from 20 ft,,6-4,,
10:07.0,,,6-4,,Defensive rebound by Team
9:51.0,,,6-4,,K. Walker misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by J. Crowder,,6-4,,
9:41.0,J. Crowder misses 2-pt shot from 21 ft,,6-4,,
9:39.0,,,6-4,,Defensive rebound by C. Zeller
9:29.0,,,6-4,,M. Williams misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by A. Bradley,,6-4,,
9:10.0,I. Thomas makes 3-pt shot from 25 ft (assist by A. Bradley),3,9-4,,
8:45.0,,,9-4,,N. Batum misses 2-pt shot from 10 ft
8:44.0,Defensive rebound by A. Horford,,9-4,,
8:28.0,A. Bradley misses 3-pt shot from 26 ft,,9-4,,
8:26.0,,,9-4,,Defensive rebound by M. Williams
8:20.0,,,9-7,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
8:03.0,A. Bradley makes 3-pt shot from 24 ft (assist by I. Thomas),3,12-7,,
7:48.0,Personal foul by A. Horford (drawn by M. Williams),,12-7,,
7:34.0,,,12-7,,Turnover by Team (shot clock)
7:18.0,Turnover by A. Bradley (lost ball),,12-7,,
7:06.0,,,12-7,,M. Williams misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by A. Bradley,,12-7,,
6:53.0,I. Thomas makes 3-pt shot from 25 ft (assist by A. Horford),3,15-7,,
6:44.0,,,15-7,,Charlotte full timeout
6:38.0,,,15-7,,Shooting foul by A. Johnson (drawn by C. Zeller)
6:38.0,,,15-7,,C. Zeller misses free throw 1 of 2
6:38.0,,,15-7,,Offensive rebound by Team
6:38.0,,,15-7,,C. Zeller misses free throw 2 of 2
6:35.0,Defensive rebound by J. Crowder,,15-7,,
6:22.0,Turnover by A. Horford (bad pass; steal by K. Walker),,15-7,,
6:00.0,,,15-7,,M. Williams misses 3-pt shot from 23 ft
5:59.0,Defensive rebound by A. Johnson,,15-7,,
5:48.0,A. Horford makes 2-pt shot from 7 ft,2,17-7,,
5:31.0,,,17-7,,Shooting foul by A. Johnson (drawn by C. Zeller)
5:31.0,,,17-7,,C. Zeller misses free throw 1 of 2
5:31.0,,,17-7,,Offensive rebound by Team
5:31.0,,,17-8,1,C. Zeller makes free throw 2 of 2
5:31.0,G. Green enters the game for A. Johnson,,17-7,,
5:31.0,,,17-7,,M. Belinelli enters the game for M. Kidd-Gilchrist
5:14.0,G. Green makes 2-pt shot from 1 ft (assist by A. Horford),2,19-8,,
4:51.0,,,19-8,,K. Walker misses 3-pt shot from 24 ft
4:50.0,,,19-8,,Offensive rebound by C. Zeller
4:45.0,,,19-8,,M. Belinelli misses 3-pt shot from 24 ft
4:45.0,,,19-8,,Offensive rebound by Team
4:45.0,,,19-8,,S. Hawes enters the game for C. Zeller
4:37.0,,,19-8,,Turnover by K. Walker (lost ball)
4:25.0,J. Crowder misses 3-pt shot from 24 ft,,19-8,,
4:24.0,,,19-8,,Defensive rebound by K. Walker
4:04.0,,,19-8,,S. Hawes misses 2-pt shot from 15 ft
4:03.0,Defensive rebound by A. Bradley,,19-8,,
3:56.0,A. Horford makes 2-pt shot from 1 ft (assist by I. Thomas),2,21-8,,
3:36.0,,,21-8,,K. Walker misses 3-pt shot from 25 ft (block by A. Horford)
3:35.0,Defensive rebound by J. Crowder,,21-8,,
3:30.0,A. Bradley misses 2-pt shot from 19 ft,,21-8,,
