time,Washington,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Nowitzki (J. Wall gains possession),,,,Jump ball: M. Gortat vs. D. Nowitzki (J. Wall gains possession)
11:43.0,M. Gortat misses 2-pt shot from 7 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by D. Nowitzki
11:26.0,,,0-2,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by H. Barnes)
11:14.0,Shooting foul by D. Nowitzki (drawn by M. Morris),,0-2,,
11:14.0,M. Morris makes free throw 1 of 2,1,1-2,,
11:14.0,M. Morris makes free throw 2 of 2,1,2-2,,
11:14.0,,,2-4,2,H. Barnes makes 2-pt shot from 1 ft
10:58.0,M. Morris misses 2-pt shot from 9 ft,,2-4,,
10:58.0,Offensive rebound by M. Gortat,,2-4,,
10:53.0,M. Gortat misses 2-pt shot from 6 ft,,2-4,,
10:53.0,Offensive rebound by M. Morris,,2-4,,
10:53.0,M. Morris misses 2-pt shot from 1 ft,,2-4,,
10:49.0,Offensive rebound by Team,,2-4,,
10:24.0,B. Beal misses 2-pt shot from 15 ft,,2-4,,
10:23.0,,,2-4,,Defensive rebound by D. Nowitzki
10:06.0,,,2-4,,D. Finney-Smith misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by M. Morris,,2-4,,
9:53.0,M. Gortat misses 2-pt shot from 6 ft,,2-4,,
9:53.0,,,2-4,,Defensive rebound by D. Nowitzki
9:47.0,,,2-4,,D. Nowitzki misses 3-pt shot from 27 ft
9:44.0,Defensive rebound by O. Porter,,2-4,,
9:32.0,M. Gortat misses 2-pt shot from 1 ft,,2-4,,
9:31.0,,,2-4,,Defensive rebound by D. Nowitzki
9:24.0,,,2-4,,H. Barnes misses 2-pt shot from 2 ft (block by O. Porter)
9:23.0,Defensive rebound by M. Gortat,,2-4,,
9:10.0,J. Wall makes 2-pt shot from 15 ft,2,4-4,,
8:55.0,,,4-6,2,H. Barnes makes 2-pt shot from 18 ft (assist by D. Williams)
8:41.0,M. Morris makes 2-pt shot from 1 ft (assist by J. Wall),2,6-6,,
8:27.0,,,6-6,,D. Nowitzki misses 2-pt shot from 20 ft
8:26.0,Defensive rebound by B. Beal,,6-6,,
8:20.0,B. Beal makes 2-pt shot from 2 ft,2,8-6,,
8:09.0,,,8-8,2,W. Matthews makes 2-pt shot from 2 ft
7:39.0,Turnover by Team (shot clock),,8-8,,
7:24.0,,,8-11,3,D. Williams makes 3-pt shot from 24 ft (assist by H. Barnes)
7:00.0,,,8-11,,Personal foul by D. Williams (drawn by J. Wall)
7:00.0,,,8-11,,A. Bogut enters the game for D. Nowitzki
6:51.0,Shooting foul by D. Finney-Smith (drawn by M. Gortat),,8-11,,
6:51.0,M. Gortat makes free throw 1 of 2,1,9-11,,
6:51.0,M. Gortat makes free throw 2 of 2,1,10-11,,
6:27.0,,,10-11,,Turnover by Team (shot clock)
6:15.0,M. Morris makes 3-pt shot from 23 ft (assist by B. Beal),3,13-11,,
6:05.0,,,13-14,3,D. Williams makes 3-pt shot from 24 ft
5:53.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,16-14,,
5:52.0,,,16-14,,Dallas full timeout
5:43.0,,,16-16,2,D. Williams makes 2-pt shot from 1 ft (assist by A. Bogut)
5:29.0,B. Beal makes 3-pt shot from 24 ft (assist by M. Gortat),3,19-16,,
5:15.0,,,19-16,,W. Matthews misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by M. Morris,,19-16,,
4:56.0,B. Beal misses 2-pt shot from 23 ft,,19-16,,
4:55.0,,,19-16,,Defensive rebound by D. Williams
4:48.0,,,19-16,,Shooting foul by B. Beal (drawn by H. Barnes)
4:48.0,,,19-17,1,H. Barnes makes free throw 1 of 2
4:48.0,,,19-18,1,H. Barnes makes free throw 2 of 2
4:48.0,,,19-17,,D. Harris enters the game for D. Williams
4:48.0,,,19-17,,S. Curry enters the game for D. Finney-Smith
4:48.0,K. Oubre enters the game for M. Morris,,19-17,,
4:38.0,B. Beal misses 3-pt shot from 25 ft,,19-18,,
4:37.0,,,19-18,,Defensive rebound by H. Barnes
4:19.0,,,19-18,,Turnover by A. Bogut (bad pass; steal by O. Porter)
4:17.0,B. Beal makes 2-pt shot from 1 ft (assist by O. Porter),2,21-18,,
3:52.0,,,21-18,,A. Bogut misses 2-pt shot from 13 ft
3:51.0,,,21-18,,Offensive rebound by Team
3:51.0,,,21-18,,Turnover by Team (shot clock)
3:43.0,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall),3,24-18,,
3:41.0,,,24-18,,Dallas full timeout
3:41.0,M. Thornton enters the game for B. Beal,,24-18,,
3:22.0,,,24-18,,D. Harris misses 3-pt shot from 22 ft
3:22.0,Defensive rebound by J. Wall,,24-18,,
3:14.0,O. Porter misses 3-pt shot from 25 ft,,24-18,,
3:14.0,,,24-18,,Defensive rebound by W. Matthews
3:04.0,,,24-18,,S. Curry misses 3-pt shot from 23 ft
3:02.0,Defensive rebound by J. Wall,,24-18,,
2:55.0,O. Porter misses 2-pt shot from 1 ft (block by A. Bogut),,24-18,,
2:54.0,,,24-18,,Defensive rebound by S. Curry
2:48.0,,,24-18,,D. Harris misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by J. Wall,,24-18,,
2:32.0,Offensive foul by M. Gortat,,24-18,,
2:32.0,Turnover by M. Gortat (offensive foul),,24-18,,
2:32.0,Washington full timeout,,24-18,,
2:32.0,,,24-18,,D. Powell enters the game for H. Barnes
2:32.0,S. Mac enters the game for O. Porter,,24-18,,
2:14.0,,,24-20,2,W. Matthews makes 2-pt shot from 5 ft
1:57.0,K. Oubre makes 2-pt shot from 1 ft,2,26-20,,
1:33.0,,,26-20,,W. Matthews misses 2-pt shot from 16 ft
1:32.0,Defensive rebound by M. Gortat,,26-20,,
1:25.0,J. Wall misses 2-pt shot from 18 ft,,26-20,,
1:24.0,,,26-20,,Defensive rebound by A. Bogut
1:09.0,,,26-23,3,W. Matthews makes 3-pt shot from 25 ft (assist by A. Bogut)
0:50.0,S. Mac misses 3-pt shot from 23 ft,,26-23,,
0:50.0,,,26-23,,Defensive rebound by D. Harris
0:34.0,,,26-26,3,D. Harris makes 3-pt shot from 24 ft
0:25.0,Turnover by J. Wall (lost ball; steal by D. Powell),,26-26,,
0:08.0,,,26-28,2,D. Harris makes 2-pt shot from 23 ft
0:01.0,Shooting foul by A. Bogut (drawn by J. Wall),,26-28,,
0:01.0,J. Wall makes 2-pt shot from 5 ft,2,28-28,,
0:01.0,J. Wall makes free throw 1 of 1,1,29-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,29-28,,D. Williams misses 2-pt shot from 17 ft
11:47.0,,,29-28,,Offensive rebound by Team
11:35.0,,,29-28,,D. Nowitzki misses 3-pt shot from 25 ft
11:34.0,Defensive rebound by M. Gortat,,29-28,,
11:21.0,M. Gortat makes 2-pt shot from 1 ft (assist by T. Burke),2,31-28,,
11:08.0,,,31-28,,Shooting foul by M. Thornton (drawn by D. Nowitzki)
11:08.0,,,31-29,1,D. Nowitzki makes free throw 1 of 2
11:08.0,,,31-30,1,D. Nowitzki makes free throw 2 of 2
11:08.0,J. Smith enters the game for M. Gortat,,31-29,,
10:59.0,K. Oubre makes 3-pt shot from 24 ft (assist by T. Burke),3,34-30,,
10:42.0,,,34-33,3,S. Curry makes 3-pt shot from 24 ft (assist by D. Williams)
10:20.0,J. Smith makes 2-pt shot from 20 ft (assist by T. Burke),2,36-33,,
10:00.0,,,36-35,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by D. Powell)
9:50.0,T. Burke misses 2-pt shot from 18 ft,,36-35,,
9:49.0,,,36-35,,Defensive rebound by D. Powell
9:37.0,,,36-35,,D. Nowitzki misses 2-pt shot from 3 ft
9:35.0,Defensive rebound by S. Mac,,36-35,,
9:31.0,Turnover by M. Thornton (offensive foul),,36-35,,
9:31.0,Offensive charge foul by M. Thornton,,36-35,,
9:31.0,M. Morris enters the game for S. Mac,,36-35,,
