time,Portland,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. M. Plumlee (C. McCollum gains possession),,,,Jump ball: J. Nurkic vs. M. Plumlee (C. McCollum gains possession)
11:42.0,M. Plumlee makes 2-pt shot from 10 ft (assist by A. Aminu),2,2-0,,
11:24.0,,,2-0,,N. Jokic misses 2-pt shot from 7 ft
11:22.0,,,2-0,,Offensive rebound by J. Nurkic
11:22.0,,,2-0,,J. Nurkic misses 2-pt shot from 1 ft
11:19.0,,,2-0,,Offensive rebound by N. Jokic
11:19.0,,,2-2,2,N. Jokic makes 2-pt shot from 2 ft
11:00.0,D. Lillard makes 2-pt shot from 15 ft,2,4-2,,
10:45.0,,,4-2,,E. Mudiay misses 2-pt shot from 19 ft
10:43.0,Defensive rebound by D. Lillard,,4-2,,
10:36.0,A. Aminu misses 3-pt shot from 25 ft,,4-2,,
10:35.0,Offensive rebound by C. McCollum,,4-2,,
10:31.0,C. McCollum makes 2-pt shot from 13 ft,2,6-2,,
10:19.0,,,6-2,,W. Barton misses 2-pt shot from 19 ft
10:17.0,Defensive rebound by A. Aminu,,6-2,,
10:07.0,D. Lillard misses 2-pt shot from 2 ft,,6-2,,
10:06.0,,,6-2,,Defensive rebound by E. Mudiay
10:00.0,,,6-4,2,E. Mudiay makes 2-pt shot from 2 ft
9:47.0,C. McCollum misses 2-pt shot from 15 ft,,6-4,,
9:46.0,Offensive rebound by C. McCollum,,6-4,,
9:39.0,A. Aminu misses 3-pt shot from 26 ft,,6-4,,
9:38.0,,,6-4,,Defensive rebound by W. Barton
9:32.0,,,6-4,,D. Gallinari misses 3-pt shot from 25 ft
9:31.0,,,6-4,,Offensive rebound by J. Nurkic
9:26.0,,,6-6,2,J. Nurkic makes 2-pt shot from 4 ft
9:10.0,M. Harkless makes 3-pt shot from 23 ft (assist by D. Lillard),3,9-6,,
8:57.0,,,9-6,,E. Mudiay misses 2-pt shot from 12 ft
8:56.0,Defensive rebound by M. Plumlee,,9-6,,
8:48.0,D. Lillard makes 2-pt shot from 3 ft,2,11-6,,
8:48.0,,,11-6,,Denver full timeout
8:29.0,,,11-8,2,J. Nurkic makes 2-pt shot from 1 ft
8:06.0,A. Aminu makes 3-pt shot from 27 ft (assist by D. Lillard),3,14-8,,
7:56.0,,,14-8,,Turnover by E. Mudiay (lost ball; steal by D. Lillard)
7:44.0,C. McCollum misses 2-pt shot from 14 ft,,14-8,,
7:43.0,Offensive rebound by A. Aminu,,14-8,,
7:41.0,,,14-8,,W. Chandler enters the game for N. Jokic
7:37.0,M. Plumlee misses 2-pt shot from 7 ft (block by J. Nurkic),,14-8,,
7:36.0,,,14-8,,Defensive rebound by E. Mudiay
7:30.0,,,14-8,,Turnover by E. Mudiay (lost ball; steal by D. Lillard)
7:28.0,Shooting foul by W. Barton (drawn by A. Aminu),,14-8,,
7:28.0,A. Aminu misses free throw 1 of 2,,14-8,,
7:28.0,Offensive rebound by Team,,14-8,,
7:28.0,A. Aminu makes free throw 2 of 2,1,15-8,,
7:11.0,,,15-10,2,D. Gallinari makes 2-pt shot from 16 ft
6:49.0,D. Lillard misses 2-pt shot from 15 ft,,15-10,,
6:48.0,Offensive rebound by D. Lillard,,15-10,,
6:44.0,C. McCollum misses 3-pt shot from 27 ft,,15-10,,
6:43.0,,,15-10,,Defensive rebound by D. Gallinari
6:40.0,Personal foul by A. Aminu (drawn by D. Gallinari),,15-10,,
6:25.0,,,15-12,2,J. Nurkic makes 2-pt shot from 18 ft (assist by W. Barton)
6:00.0,C. McCollum misses 2-pt shot from 17 ft,,15-12,,
5:59.0,,,15-12,,Defensive rebound by W. Chandler
5:47.0,,,15-14,2,W. Chandler makes 2-pt shot from 4 ft (assist by J. Nurkic)
5:31.0,M. Harkless makes 3-pt shot from 25 ft (assist by D. Lillard),3,18-14,,
5:16.0,,,18-14,,D. Gallinari misses 2-pt shot at rim
5:16.0,Defensive rebound by M. Plumlee,,18-14,,
5:08.0,M. Harkless misses 2-pt shot at rim (block by W. Barton),,18-14,,
5:07.0,,,18-14,,Defensive rebound by E. Mudiay
5:06.0,Personal foul by C. McCollum (drawn by E. Mudiay),,18-14,,
5:06.0,Portland full timeout,,18-14,,
5:06.0,E. Turner enters the game for A. Aminu,,18-14,,
5:06.0,A. Crabbe enters the game for C. McCollum,,18-14,,
4:57.0,,,18-14,,Shooting foul by M. Plumlee (drawn by J. Nurkic)
4:57.0,,,18-15,1,J. Nurkic makes free throw 1 of 2
4:57.0,,,18-16,1,J. Nurkic makes free throw 2 of 2
4:40.0,M. Plumlee makes 2-pt shot from 17 ft (assist by A. Crabbe),2,20-16,,
4:21.0,,,20-18,2,D. Gallinari makes 2-pt shot from 20 ft
4:09.0,,,20-18,,Violation by J. Nurkic (kicked ball)
3:52.0,E. Turner makes 2-pt shot from 16 ft,2,22-18,,
3:41.0,,,22-18,,D. Gallinari misses 2-pt shot from 16 ft
3:40.0,Defensive rebound by A. Crabbe,,22-18,,
3:32.0,D. Lillard makes 2-pt shot from 2 ft,2,24-18,,
3:19.0,,,24-18,,Turnover by E. Mudiay (bad pass)
3:19.0,,,24-18,,J. Nelson enters the game for E. Mudiay
3:19.0,,,24-18,,K. Faried enters the game for J. Nurkic
3:19.0,E. Davis enters the game for M. Plumlee,,24-18,,
3:01.0,E. Turner misses 2-pt shot from 11 ft,,24-18,,
3:01.0,,,24-18,,Defensive rebound by Team
3:01.0,Loose ball foul by E. Davis (drawn by D. Gallinari),,24-18,,
2:45.0,,,24-18,,W. Barton misses 2-pt shot at rim
2:42.0,Defensive rebound by A. Crabbe,,24-18,,
2:35.0,A. Crabbe misses 3-pt shot from 26 ft,,24-18,,
2:34.0,,,24-18,,Defensive rebound by K. Faried
2:29.0,Personal foul by M. Harkless (drawn by D. Gallinari),,24-18,,
2:29.0,,,24-19,1,D. Gallinari makes free throw 1 of 2
2:29.0,,,24-20,1,D. Gallinari makes free throw 2 of 2
2:29.0,A. Aminu enters the game for M. Harkless,,24-19,,
2:29.0,C. McCollum enters the game for D. Lillard,,24-19,,
2:12.0,Turnover by E. Davis (3 sec),,24-20,,
1:52.0,,,24-20,,Turnover by W. Chandler (lost ball; steal by E. Davis)
1:47.0,A. Crabbe makes 2-pt shot from 1 ft (assist by C. McCollum),2,26-20,,
1:36.0,,,26-20,,Shooting foul by E. Davis (drawn by W. Barton)
1:36.0,,,26-21,1,W. Barton makes free throw 1 of 2
1:36.0,,,26-22,1,W. Barton makes free throw 2 of 2
1:36.0,,,26-21,,N. Jokic enters the game for D. Gallinari
1:20.0,E. Davis makes 2-pt shot at rim (assist by C. McCollum),2,28-22,,
1:05.0,,,28-22,,W. Chandler misses 2-pt shot from 6 ft
1:05.0,,,28-22,,Offensive rebound by K. Faried
1:05.0,,,28-22,,Shooting foul by A. Aminu (drawn by K. Faried)
1:05.0,,,28-23,1,K. Faried makes free throw 1 of 2
1:05.0,,,28-24,1,K. Faried makes free throw 2 of 2
1:05.0,,,28-23,,J. Murray enters the game for W. Barton
0:54.0,A. Crabbe makes 3-pt shot from 26 ft (assist by E. Davis),3,31-24,,
0:45.0,Personal foul by A. Aminu (drawn by K. Faried),,31-24,,
0:45.0,,,31-25,1,K. Faried makes free throw 1 of 2
0:45.0,,,31-25,,K. Faried misses free throw 2 of 2
0:45.0,N. Vonleh enters the game for A. Aminu,,31-25,,
0:44.0,Defensive rebound by N. Vonleh,,31-25,,
0:31.0,C. McCollum misses 2-pt shot from 15 ft,,31-25,,
0:30.0,,,31-25,,Defensive rebound by N. Jokic
0:21.0,,,31-28,3,J. Nelson makes 3-pt shot from 26 ft (assist by J. Murray)
0:07.0,,,31-28,,Personal take foul by J. Murray (drawn by C. McCollum)
0:07.0,D. Lillard enters the game for N. Vonleh,,31-28,,
0:07.0,,,31-28,,W. Barton enters the game for N. Jokic
0:02.0,Shooting foul by K. Faried (drawn by D. Lillard),,31-28,,
0:02.0,D. Lillard makes free throw 1 of 2,1,32-28,,
0:02.0,D. Lillard makes free throw 2 of 2,1,33-28,,
0:01.0,,,33-28,,Turnover by W. Chandler (bad pass; steal by C. McCollum)
0:00.0,C. McCollum misses 3-pt shot from 49 ft,,33-28,,
0:00.0,Offensive rebound by Team,,33-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,33-30,2,W. Chandler makes 2-pt shot from 2 ft
11:17.0,Jump ball: E. Davis vs. K. Faried (A. Crabbe gains possession),,,,Jump ball: E. Davis vs. K. Faried (A. Crabbe gains possession)
11:09.0,A. Crabbe misses 3-pt shot from 24 ft,,33-30,,
11:07.0,,,33-30,,Defensive rebound by W. Chandler
10:58.0,,,33-30,,W. Chandler misses 2-pt shot from 17 ft
10:57.0,Defensive rebound by E. Turner,,33-30,,
10:47.0,E. Turner makes 2-pt shot from 15 ft,2,35-30,,
10:27.0,,,35-30,,N. Jokic misses 3-pt shot from 23 ft
10:25.0,Defensive rebound by E. Davis,,35-30,,
10:15.0,C. McCollum misses 2-pt shot from 19 ft,,35-30,,
10:13.0,,,35-30,,Defensive rebound by N. Jokic
10:10.0,,,35-30,,Shooting foul by E. Davis (drawn by N. Jokic)
10:10.0,,,35-31,1,N. Jokic makes free throw 1 of 2
10:10.0,,,35-31,,N. Jokic misses free throw 2 of 2
10:10.0,M. Leonard enters the game for E. Davis,,35-31,,
10:07.0,Defensive rebound by N. Vonleh,,35-31,,
9:55.0,C. McCollum misses 2-pt shot from 2 ft,,35-31,,
9:54.0,,,35-31,,Defensive rebound by J. Murray
9:46.0,,,35-31,,J. Murray misses 2-pt shot from 2 ft
9:46.0,Defensive rebound by N. Vonleh,,35-31,,
9:42.0,,,35-31,,Personal foul by W. Chandler (drawn by E. Turner)
9:35.0,Shooting foul by J. Nelson (drawn by A. Crabbe),,35-31,,
9:35.0,A. Crabbe makes free throw 1 of 2,1,36-31,,
9:35.0,A. Crabbe makes free throw 2 of 2,1,37-31,,
9:28.0,Personal foul by A. Crabbe (drawn by J. Murray),,37-31,,
9:24.0,Personal foul by C. McCollum (drawn by J. Nelson),,37-31,,
9:17.0,Away from play foul by M. Leonard (drawn by N. Jokic),,37-31,,
9:17.0,,,37-34,3,W. Chandler makes 3-pt shot from 27 ft (assist by J. Nelson)
9:17.0,,,37-35,1,N. Jokic makes free throw 1 of 1
9:00.0,E. Turner makes 2-pt shot from 13 ft,2,39-35,,
8:47.0,,,39-35,,N. Jokic misses 2-pt shot from 6 ft
8:45.0,,,39-35,,Offensive rebound by N. Jokic
8:45.0,,,39-37,2,N. Jokic makes 2-pt shot from 3 ft
8:30.0,C. McCollum makes 2-pt shot from 17 ft,2,41-37,,
8:18.0,,,41-37,,J. Murray misses 2-pt shot from 3 ft
8:17.0,Defensive rebound by M. Leonard,,41-37,,
8:12.0,C. McCollum makes 3-pt shot from 24 ft (assist by A. Crabbe),3,44-37,,
8:10.0,,,44-37,,Denver full timeout
7:52.0,,,44-39,2,W. Chandler makes 2-pt shot from 12 ft (assist by K. Faried)
7:39.0,M. Leonard misses 3-pt shot from 24 ft,,44-39,,
7:39.0,,,44-39,,Defensive rebound by N. Jokic
7:34.0,,,44-39,,J. Nelson misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by Team,,44-39,,
7:33.0,D. Lillard enters the game for C. McCollum,,44-39,,
7:33.0,,,44-39,,D. Gallinari enters the game for W. Chandler
7:22.0,A. Crabbe misses 2-pt shot from 17 ft,,44-39,,
7:21.0,Offensive rebound by Team,,44-39,,
7:21.0,,,44-39,,Loose ball foul by N. Jokic (drawn by N. Vonleh)
7:21.0,,,44-39,,J. Nurkic enters the game for K. Faried
7:21.0,,,44-39,,W. Barton enters the game for J. Murray
7:11.0,D. Lillard makes 2-pt shot from 2 ft,2,46-39,,
7:03.0,,,46-39,,J. Nurkic misses 2-pt shot from 3 ft (block by M. Leonard)
7:02.0,,,46-39,,Offensive rebound by Team
6:54.0,,,46-39,,Shooting foul by E. Turner (drawn by D. Gallinari)
6:54.0,,,46-40,1,D. Gallinari makes free throw 1 of 3
6:54.0,,,46-40,,D. Gallinari misses free throw 2 of 3
6:54.0,,,46-40,,Offensive rebound by Team
6:54.0,,,46-41,1,D. Gallinari makes free throw 3 of 3
6:39.0,D. Lillard makes 2-pt shot from 16 ft,2,48-41,,
6:26.0,,,48-41,,D. Gallinari misses 2-pt shot from 18 ft
6:25.0,Defensive rebound by N. Vonleh,,48-41,,
