time,Cleveland,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. T. Thompson (M. Chriss gains possession),,,,Jump ball: T. Chandler vs. T. Thompson (M. Chriss gains possession)
11:51.0,Shooting block foul by D. Liggins (drawn by D. Booker),,0-0,,
11:51.0,,,0-1,1,D. Booker makes free throw 1 of 3
11:51.0,,,0-1,,D. Booker misses free throw 2 of 3
11:51.0,,,0-1,,Offensive rebound by Team
11:51.0,,,0-2,1,D. Booker makes free throw 3 of 3
11:40.0,L. James makes 2-pt shot from 2 ft,2,2-2,,
11:26.0,,,2-4,2,M. Chriss makes 2-pt shot at rim (assist by T. Warren)
11:01.0,K. Love misses 3-pt shot from 24 ft,,2-4,,
10:59.0,,,2-4,,Defensive rebound by T. Chandler
10:53.0,,,2-6,2,D. Booker makes 2-pt shot from 2 ft
10:53.0,,,2-6,,Shooting foul by T. Thompson (drawn by D. Booker)
10:53.0,,,2-6,,D. Booker misses free throw 1 of 1
10:52.0,,,2-6,,Offensive rebound by D. Booker
10:50.0,,,2-6,,D. Booker misses 2-pt shot from 2 ft
10:48.0,Defensive rebound by D. Liggins,,2-6,,
10:44.0,D. Liggins makes 2-pt shot from 2 ft,2,4-6,,
10:21.0,,,4-9,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by M. Chriss)
10:07.0,K. Irving makes 2-pt shot from 1 ft,2,6-9,,
10:07.0,Shooting foul by T. Chandler (drawn by K. Irving),,6-9,,
10:07.0,K. Irving makes free throw 1 of 1,1,7-9,,
9:58.0,,,7-9,,Turnover by T. Chandler (bad pass; steal by D. Liggins)
9:54.0,L. James makes 2-pt shot from 8 ft (assist by D. Liggins),2,9-9,,
9:54.0,Shooting foul by M. Chriss (drawn by L. James),,9-9,,
9:54.0,L. James makes free throw 1 of 1,1,10-9,,
9:40.0,,,10-11,2,M. Chriss makes 2-pt shot from 1 ft
9:25.0,Turnover by K. Irving (bad pass; steal by E. Bledsoe),,10-11,,
9:20.0,,,10-11,,D. Booker misses 2-pt shot from 1 ft
9:19.0,,,10-11,,Offensive rebound by M. Chriss
9:17.0,,,10-11,,M. Chriss misses 2-pt shot from 2 ft
9:15.0,,,10-11,,Offensive rebound by T. Warren
9:05.0,,,10-11,,D. Booker misses 3-pt shot from 25 ft
9:03.0,Defensive rebound by L. James,,10-11,,
8:58.0,Turnover by D. Liggins (bad pass; steal by M. Chriss),,10-11,,
8:37.0,,,10-11,,E. Bledsoe misses 3-pt shot from 23 ft
8:33.0,Defensive rebound by L. James,,10-11,,
8:25.0,K. Irving misses 2-pt shot from 14 ft,,10-11,,
8:23.0,,,10-11,,Defensive rebound by T. Chandler
7:59.0,,,10-11,,D. Booker misses 2-pt shot from 16 ft
7:57.0,Defensive rebound by T. Thompson,,10-11,,
7:47.0,K. Love makes 2-pt shot from 8 ft,2,12-11,,
7:34.0,,,12-13,2,E. Bledsoe makes 2-pt shot from 2 ft
