time,Toronto,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:37.0,S. Ibaka misses 3-pt shot from 25 ft,,0-0,,
12:00.0,Jump ball: W. Hernangomez vs. J. Valanciunas (C. Joseph gains possession),,,,Jump ball: W. Hernangomez vs. J. Valanciunas (C. Joseph gains possession)
11:36.0,,,0-0,,Defensive rebound by C. Anthony
11:20.0,,,0-3,3,L. Thomas makes 3-pt shot from 25 ft (assist by W. Hernangomez)
11:04.0,,,0-3,,Personal foul by L. Thomas (drawn by J. Valanciunas)
10:54.0,D. DeRozan makes 2-pt shot from 17 ft,2,2-3,,
10:51.0,,,2-3,,Turnover by C. Anthony (bad pass; steal by C. Joseph)
10:49.0,C. Joseph makes 2-pt shot from 2 ft,2,4-3,,
10:29.0,,,4-3,,C. Lee misses 2-pt shot from 20 ft
10:28.0,Defensive rebound by J. Valanciunas,,4-3,,
10:20.0,Turnover by J. Valanciunas (bad pass; steal by C. Lee),,4-3,,
10:12.0,,,4-5,2,C. Lee makes 2-pt shot from 17 ft
9:56.0,D. DeRozan misses 2-pt shot from 1 ft,,4-5,,
9:55.0,,,4-5,,Defensive rebound by L. Thomas
9:37.0,,,4-5,,C. Anthony misses 2-pt shot from 13 ft
9:36.0,Defensive rebound by D. DeRozan,,4-5,,
9:28.0,Shooting foul by C. Anthony (drawn by D. DeRozan),,4-5,,
9:28.0,D. DeRozan makes free throw 1 of 2,1,5-5,,
9:28.0,D. DeRozan misses free throw 2 of 2,,5-5,,
9:27.0,,,5-5,,Defensive rebound by L. Thomas
9:14.0,,,5-5,,Turnover by W. Hernangomez (lost ball; steal by C. Joseph)
9:02.0,D. Carroll makes 2-pt shot from 19 ft,2,7-5,,
8:47.0,,,7-5,,D. Rose misses 2-pt shot from 2 ft
8:46.0,Defensive rebound by J. Valanciunas,,7-5,,
8:40.0,D. Carroll makes 2-pt shot from 1 ft,2,9-5,,
8:30.0,,,9-5,,C. Anthony misses 2-pt shot from 16 ft
8:28.0,,,9-5,,Offensive rebound by W. Hernangomez
8:28.0,,,9-7,2,W. Hernangomez makes 2-pt shot from 2 ft
8:00.0,Turnover by J. Valanciunas (lost ball; steal by D. Rose),,9-7,,
7:50.0,,,9-9,2,D. Rose makes 2-pt shot from 20 ft (assist by C. Lee)
7:28.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan),2,11-9,,
7:08.0,,,11-9,,Turnover by C. Lee (lost ball; steal by J. Valanciunas)
6:56.0,C. Joseph misses 3-pt shot from 25 ft,,11-9,,
6:55.0,,,11-9,,Defensive rebound by W. Hernangomez
6:47.0,,,11-12,3,C. Lee makes 3-pt shot from 24 ft (assist by D. Rose)
6:29.0,,,11-12,,Personal foul by D. Rose (drawn by D. DeRozan)
6:16.0,C. Joseph misses 3-pt shot from 26 ft,,11-12,,
6:15.0,,,11-12,,Defensive rebound by W. Hernangomez
6:09.0,,,11-14,2,D. Rose makes 2-pt shot at rim
5:58.0,Toronto full timeout,,11-14,,
5:51.0,D. DeRozan misses 2-pt shot from 14 ft,,11-14,,
5:50.0,,,11-14,,Defensive rebound by D. Rose
5:42.0,,,11-14,,C. Anthony misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by C. Joseph,,11-14,,
5:33.0,Turnover by D. Carroll (bad pass; steal by C. Lee),,11-14,,
5:24.0,,,11-16,2,D. Rose makes 2-pt shot from 5 ft
5:10.0,,,11-16,,Personal foul by L. Thomas (drawn by J. Valanciunas)
5:10.0,,,11-16,,J. Holiday enters the game for C. Lee
5:10.0,,,11-16,,M. Kuzminskas enters the game for L. Thomas
5:10.0,P. Patterson enters the game for J. Valanciunas,,11-16,,
5:02.0,Shooting foul by W. Hernangomez (drawn by D. DeRozan),,11-16,,
5:02.0,D. DeRozan makes free throw 1 of 2,1,12-16,,
5:02.0,D. DeRozan makes free throw 2 of 2,1,13-16,,
4:43.0,,,13-16,,Turnover by C. Anthony (bad pass; steal by D. DeRozan)
4:32.0,D. DeRozan makes 2-pt shot from 14 ft,2,15-16,,
4:17.0,Personal foul by D. Carroll (drawn by C. Anthony),,15-16,,
4:17.0,P. Tucker enters the game for D. Carroll,,15-16,,
4:13.0,Personal foul by P. Tucker (drawn by C. Anthony),,15-16,,
4:04.0,,,15-16,,M. Kuzminskas misses 2-pt shot from 8 ft
4:03.0,Defensive rebound by D. DeRozan,,15-16,,
3:54.0,D. DeRozan makes 2-pt shot from 2 ft,2,17-16,,
3:40.0,,,17-16,,C. Anthony misses 2-pt shot from 12 ft
3:39.0,Defensive rebound by C. Joseph,,17-16,,
3:28.0,Shooting foul by M. Kuzminskas (drawn by D. DeRozan),,17-16,,
3:28.0,D. DeRozan misses free throw 1 of 2,,17-16,,
3:28.0,Offensive rebound by Team,,17-16,,
3:28.0,D. DeRozan makes free throw 2 of 2,1,18-16,,
3:28.0,,,17-16,,K. O'Quinn enters the game for W. Hernangomez
3:28.0,,,17-16,,C. Lee enters the game for M. Kuzminskas
3:10.0,,,18-16,,D. Rose misses 2-pt shot from 18 ft
3:09.0,Defensive rebound by P. Tucker,,18-16,,
2:50.0,P. Tucker misses 2-pt shot from 20 ft,,18-16,,
2:49.0,,,18-16,,Defensive rebound by K. O'Quinn
2:38.0,,,18-18,2,C. Anthony makes 2-pt shot from 16 ft (assist by K. O'Quinn)
2:17.0,S. Ibaka misses 2-pt shot from 19 ft,,18-18,,
2:16.0,,,18-18,,Defensive rebound by C. Lee
2:05.0,,,18-18,,C. Anthony misses 2-pt shot from 12 ft
2:04.0,Defensive rebound by S. Ibaka,,18-18,,
1:47.0,S. Ibaka misses 2-pt shot from 1 ft,,18-18,,
1:46.0,,,18-18,,Defensive rebound by C. Lee
1:41.0,,,18-20,2,J. Holiday makes 2-pt shot from 2 ft
1:41.0,,,18-20,,Shooting foul by S. Ibaka (drawn by J. Holiday)
1:41.0,,,18-20,,New York full timeout
1:41.0,,,18-21,1,J. Holiday makes free throw 1 of 1
1:41.0,J. Valanciunas enters the game for S. Ibaka,,18-20,,
1:41.0,D. Wright enters the game for C. Joseph,,18-20,,
1:21.0,D. DeRozan makes 2-pt shot from 20 ft,2,20-21,,
1:05.0,,,20-21,,Shooting foul by D. Wright (drawn by D. Rose)
1:05.0,,,20-22,1,D. Rose makes free throw 1 of 2
1:05.0,,,20-23,1,D. Rose makes free throw 2 of 2
0:45.0,D. DeRozan misses 3-pt shot from 24 ft,,20-23,,
0:44.0,,,20-23,,Defensive rebound by Team
0:28.0,,,20-25,2,C. Anthony makes 2-pt shot from 20 ft
0:15.0,Shooting foul by K. O'Quinn (drawn by D. DeRozan),,20-25,,
0:15.0,D. DeRozan misses free throw 1 of 2,,20-25,,
0:15.0,Offensive rebound by Team,,20-25,,
0:15.0,D. DeRozan makes free throw 2 of 2,1,21-25,,
0:00.0,,,21-25,,C. Lee misses 3-pt shot from 25 ft
0:00.0,,,21-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,21-25,,Violation by Team (delay of game)
11:39.0,,,21-27,2,C. Lee makes 2-pt shot from 17 ft (assist by K. O'Quinn)
11:13.0,N. Powell misses 2-pt shot from 20 ft,,21-27,,
11:12.0,,,21-27,,Defensive rebound by R. Baker
10:55.0,,,21-27,,Turnover by R. Baker (bad pass; steal by N. Powell)
10:49.0,N. Powell misses 2-pt shot from 2 ft (block by K. O'Quinn),,21-27,,
10:47.0,,,21-27,,Defensive rebound by R. Baker
