time,Utah,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. K. Koufos (T. Lawson gains possession),,,,Jump ball: R. Gobert vs. K. Koufos (T. Lawson gains possession)
11:44.0,,,0-2,2,A. Afflalo makes 2-pt shot from 12 ft
11:28.0,R. Hood makes 2-pt shot from 18 ft (assist by R. Gobert),2,2-2,,
11:10.0,,,2-2,,T. Lawson misses 2-pt shot from 16 ft
11:10.0,,,2-2,,Offensive rebound by K. Koufos
11:08.0,,,2-2,,K. Koufos misses 2-pt shot from 3 ft
11:07.0,Defensive rebound by G. Hayward,,2-2,,
10:54.0,G. Hayward makes 2-pt shot from 10 ft,2,4-2,,
10:36.0,,,4-2,,W. Cauley-Stein misses 2-pt shot from 4 ft
10:34.0,Defensive rebound by D. Favors,,4-2,,
10:12.0,D. Favors misses 2-pt shot from 23 ft,,4-2,,
10:12.0,,,4-2,,Defensive rebound by K. Koufos
10:04.0,,,4-4,2,D. Collison makes 2-pt shot from 21 ft
9:44.0,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hill),2,6-4,,
9:26.0,,,6-6,2,A. Afflalo makes 2-pt shot from 21 ft (assist by W. Cauley-Stein)
9:03.0,D. Favors makes 2-pt shot from 10 ft (assist by G. Hayward),2,8-6,,
8:50.0,,,8-6,,K. Koufos misses 2-pt shot from 9 ft
8:50.0,,,8-6,,Offensive rebound by K. Koufos
8:48.0,,,8-8,2,K. Koufos makes 2-pt shot from 12 ft
8:33.0,R. Hood misses 3-pt shot from 25 ft,,8-8,,
8:33.0,,,8-8,,Defensive rebound by Team
8:19.0,,,8-8,,A. Afflalo misses 2-pt shot from 18 ft
8:18.0,Defensive rebound by R. Gobert,,8-8,,
8:11.0,,,8-8,,Personal foul by T. Lawson (drawn by G. Hill)
8:02.0,G. Hill makes 3-pt shot from 24 ft,3,11-8,,
7:41.0,,,11-11,3,T. Lawson makes 3-pt shot from 25 ft
7:18.0,R. Hood misses 3-pt shot from 22 ft,,11-11,,
7:18.0,Offensive rebound by R. Hood,,11-11,,
7:10.0,Turnover by G. Hayward (bad pass; steal by W. Cauley-Stein),,11-11,,
7:03.0,,,11-11,,Shooting foul by G. Hill (drawn by D. Collison)
7:03.0,,,11-12,1,D. Collison makes free throw 1 of 2
7:03.0,,,11-12,,D. Collison misses free throw 2 of 2
7:03.0,D. Exum enters the game for G. Hill,,11-12,,
7:02.0,Defensive rebound by R. Gobert,,11-12,,
6:37.0,R. Hood makes 2-pt shot from 14 ft (assist by D. Exum),2,13-12,,
6:23.0,,,13-14,2,K. Koufos makes 2-pt shot from 11 ft (assist by T. Lawson)
6:14.0,Turnover by G. Hayward (bad pass),,13-14,,
6:14.0,J. Ingles enters the game for R. Hood,,13-14,,
6:14.0,B. Diaw enters the game for D. Favors,,13-14,,
6:01.0,,,13-16,2,D. Collison makes 2-pt shot from 17 ft
6:01.0,Utah full timeout,,13-16,,
5:49.0,G. Hayward misses 3-pt shot from 25 ft,,13-16,,
5:49.0,,,13-16,,Defensive rebound by W. Cauley-Stein
5:36.0,,,13-16,,K. Koufos misses 2-pt shot from 6 ft (block by R. Gobert)
5:35.0,Defensive rebound by B. Diaw,,13-16,,
5:29.0,D. Exum misses 2-pt shot from 5 ft,,13-16,,
5:29.0,,,13-16,,Defensive rebound by W. Cauley-Stein
5:19.0,,,13-16,,W. Cauley-Stein misses 2-pt shot from 8 ft
5:18.0,Defensive rebound by R. Gobert,,13-16,,
5:01.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,15-16,,
4:38.0,,,15-19,3,D. Collison makes 3-pt shot from 24 ft (assist by A. Afflalo)
4:12.0,R. Gobert makes 2-pt shot from 3 ft (assist by B. Diaw),2,17-19,,
3:50.0,,,17-21,2,W. Cauley-Stein makes 2-pt shot from 16 ft (assist by D. Collison)
3:28.0,B. Diaw misses 3-pt shot from 23 ft,,17-21,,
3:28.0,,,17-21,,Defensive rebound by A. Afflalo
3:20.0,,,17-21,,W. Cauley-Stein misses 2-pt shot from 6 ft
3:18.0,Defensive rebound by R. Gobert,,17-21,,
3:09.0,J. Ingles misses 3-pt shot from 29 ft,,17-21,,
3:09.0,,,17-21,,Defensive rebound by K. Koufos
3:09.0,,,17-21,,Sacramento full timeout
3:09.0,A. Burks enters the game for G. Hayward,,17-21,,
3:09.0,G. Hill enters the game for R. Gobert,,17-21,,
3:09.0,D. Favors enters the game for D. Exum,,17-21,,
3:09.0,,,17-21,,A. Tolliver enters the game for K. Koufos
3:09.0,,,17-21,,G. Temple enters the game for T. Lawson
2:56.0,,,17-23,2,A. Afflalo makes 2-pt shot from 11 ft (assist by A. Tolliver)
2:37.0,A. Burks misses 3-pt shot from 24 ft,,17-23,,
2:37.0,Offensive rebound by A. Burks,,17-23,,
2:35.0,Turnover by A. Burks (lost ball; steal by G. Temple),,17-23,,
2:23.0,,,17-25,2,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by D. Collison)
1:56.0,A. Burks makes 2-pt shot from 7 ft,2,19-25,,
1:42.0,,,19-25,,G. Temple misses 3-pt shot from 24 ft
1:41.0,Defensive rebound by G. Hill,,19-25,,
1:36.0,A. Burks makes 2-pt shot from 3 ft (assist by G. Hill),2,21-25,,
1:14.0,,,21-27,2,A. Afflalo makes 2-pt shot from 12 ft
0:55.0,D. Favors makes 2-pt shot from 6 ft (assist by B. Diaw),2,23-27,,
0:43.0,Def 3 sec tech foul by A. Burks,,23-27,,
0:43.0,,,23-28,1,G. Temple makes technical free throw
0:43.0,,,23-27,,B. Hield enters the game for A. Afflalo
0:32.0,,,23-31,3,B. Hield makes 3-pt shot from 24 ft (assist by W. Cauley-Stein)
0:12.0,D. Favors makes 2-pt shot from 19 ft (assist by G. Hill),2,25-31,,
0:02.0,,,25-31,,D. Collison misses 2-pt shot from 19 ft
0:01.0,Defensive rebound by A. Burks,,25-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,A. Burks misses 3-pt shot from 26 ft,,25-31,,
11:41.0,,,25-31,,Defensive rebound by W. Cauley-Stein
11:24.0,,,25-31,,Sacramento full timeout
11:17.0,,,25-31,,G. Temple misses 2-pt shot from 4 ft
11:16.0,Defensive rebound by G. Hill,,25-31,,
10:57.0,B. Diaw makes 2-pt shot from 21 ft (assist by G. Hill),2,27-31,,
10:44.0,,,27-31,,W. Cauley-Stein misses 2-pt shot from 4 ft
10:42.0,Defensive rebound by A. Burks,,27-31,,
10:34.0,Turnover by R. Hood (traveling),,27-31,,
10:19.0,,,27-33,2,G. Temple makes 2-pt shot from 4 ft (assist by W. Cauley-Stein)
10:09.0,Turnover by D. Favors (bad pass; steal by G. Temple),,27-33,,
9:55.0,,,27-36,3,B. Hield makes 3-pt shot from 24 ft (assist by D. Collison)
9:42.0,G. Hill misses 2-pt shot from 3 ft,,27-36,,
9:41.0,,,27-36,,Defensive rebound by W. Cauley-Stein
9:26.0,,,27-38,2,W. Cauley-Stein makes 2-pt shot at rim (assist by G. Temple)
9:26.0,Utah full timeout,,27-38,,
9:26.0,J. Ingles enters the game for D. Favors,,27-38,,
9:26.0,D. Exum enters the game for G. Hill,,27-38,,
9:26.0,R. Gobert enters the game for A. Burks,,27-38,,
9:26.0,,,27-38,,K. Koufos enters the game for W. Cauley-Stein
9:26.0,,,27-38,,T. Lawson enters the game for D. Collison
9:02.0,R. Hood makes 2-pt shot from 22 ft,2,29-38,,
8:38.0,,,29-38,,Turnover by T. Lawson (lost ball)
8:28.0,Shooting foul by T. Lawson (drawn by R. Gobert),,29-38,,
8:28.0,R. Gobert misses free throw 1 of 2,,29-38,,
8:28.0,Offensive rebound by Team,,29-38,,
8:28.0,R. Gobert misses free throw 2 of 2,,29-38,,
8:28.0,G. Hayward enters the game for R. Hood,,29-38,,
8:28.0,T. Lyles enters the game for B. Diaw,,29-38,,
8:27.0,,,29-38,,Defensive rebound by B. Hield
8:09.0,,,29-38,,G. Temple misses 2-pt shot from 13 ft
8:07.0,Defensive rebound by T. Lyles,,29-38,,
7:47.0,D. Exum makes 2-pt shot from 11 ft,2,31-38,,
7:33.0,,,31-41,3,A. Tolliver makes 3-pt shot from 22 ft (assist by G. Temple)
7:16.0,R. Gobert misses 2-pt shot from 7 ft,,31-41,,
7:16.0,Offensive rebound by D. Exum,,31-41,,
7:10.0,Turnover by G. Hayward (bad pass; steal by B. Hield),,31-41,,
6:53.0,,,31-41,,T. Lawson misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by R. Gobert,,31-41,,
6:44.0,G. Hayward misses 3-pt shot from 26 ft,,31-41,,
6:43.0,,,31-41,,Defensive rebound by A. Tolliver
6:30.0,,,31-43,2,A. Tolliver makes 2-pt shot from 9 ft (assist by T. Lawson)
6:12.0,D. Exum misses 2-pt shot from 5 ft (block by K. Koufos),,31-43,,
6:11.0,,,31-43,,Defensive rebound by K. Koufos
6:04.0,,,31-45,2,T. Lawson makes 2-pt shot from 20 ft
6:04.0,Utah full timeout,,31-45,,
6:04.0,A. Burks enters the game for D. Exum,,31-45,,
6:04.0,G. Hill enters the game for J. Ingles,,31-45,,
6:04.0,D. Favors enters the game for T. Lyles,,31-45,,
6:04.0,,,31-45,,S. Labissiere enters the game for G. Temple
