time,Brooklyn,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. B. Lopez (B. Bogdanovic gains possession),,,,Jump ball: M. Gortat vs. B. Lopez (B. Bogdanovic gains possession)
11:48.0,S. Kilpatrick makes 2-pt shot from 7 ft,2,2-0,,
11:48.0,Shooting foul by S. Mac (drawn by S. Kilpatrick),,2-0,,
11:48.0,S. Kilpatrick makes free throw 1 of 1,1,3-0,,
11:33.0,,,3-0,,M. Gortat misses 2-pt shot from 2 ft
11:32.0,Defensive rebound by T. Booker,,3-0,,
11:15.0,I. Whitehead makes 2-pt shot from 1 ft (assist by T. Booker),2,5-0,,
10:56.0,,,5-2,2,M. Morris makes 2-pt shot at rim (assist by M. Gortat)
10:42.0,Turnover by S. Kilpatrick (bad pass; steal by M. Morris),,5-2,,
10:34.0,,,5-5,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
10:20.0,I. Whitehead misses 3-pt shot from 24 ft,,5-5,,
10:19.0,,,5-5,,Defensive rebound by J. Wall
10:10.0,,,5-5,,O. Porter misses 2-pt shot from 15 ft
10:10.0,,,5-5,,Offensive rebound by Team
10:10.0,Loose ball foul by B. Lopez (drawn by M. Gortat),,5-5,,
10:06.0,,,5-7,2,O. Porter makes 2-pt shot from 20 ft (assist by S. Mac)
9:49.0,S. Kilpatrick makes 2-pt shot from 16 ft (assist by B. Lopez),2,7-7,,
9:40.0,Personal foul by B. Bogdanovic (drawn by O. Porter),,7-7,,
9:40.0,C. LeVert enters the game for B. Bogdanovic,,7-7,,
9:38.0,,,7-7,,S. Mac misses 2-pt shot from 14 ft
9:37.0,,,7-7,,Offensive rebound by M. Morris
9:34.0,,,7-7,,J. Wall misses 3-pt shot from 28 ft
9:33.0,Defensive rebound by T. Booker,,7-7,,
9:24.0,B. Lopez misses 3-pt shot from 27 ft,,7-7,,
9:23.0,,,7-7,,Defensive rebound by M. Morris
9:15.0,,,7-7,,O. Porter misses 2-pt shot from 10 ft
9:14.0,,,7-7,,Offensive rebound by M. Gortat
9:12.0,,,7-9,2,M. Gortat makes 2-pt shot from 8 ft
9:10.0,Brooklyn full timeout,,7-9,,
9:10.0,B. Bogdanovic enters the game for C. LeVert,,7-9,,
8:53.0,Shooting foul by J. Wall (drawn by T. Booker),,7-9,,
8:53.0,T. Booker makes free throw 1 of 2,1,8-9,,
8:53.0,T. Booker misses free throw 2 of 2,,8-9,,
8:50.0,,,8-9,,Defensive rebound by M. Morris
8:36.0,,,8-9,,M. Gortat misses 2-pt shot from 17 ft
8:35.0,Defensive rebound by T. Booker,,8-9,,
8:27.0,S. Kilpatrick misses 2-pt shot from 6 ft,,8-9,,
8:26.0,,,8-9,,Defensive rebound by M. Morris
8:21.0,,,8-9,,O. Porter misses 3-pt shot from 28 ft
8:19.0,Defensive rebound by B. Lopez,,8-9,,
8:10.0,T. Booker misses 2-pt shot from 1 ft,,8-9,,
8:09.0,,,8-9,,Defensive rebound by O. Porter
8:01.0,,,8-11,2,M. Morris makes 2-pt shot from 1 ft (assist by J. Wall)
7:42.0,B. Lopez misses 2-pt shot from 4 ft,,8-11,,
7:41.0,,,8-11,,Defensive rebound by O. Porter
7:31.0,,,8-11,,M. Gortat misses 2-pt shot from 6 ft
7:31.0,Defensive rebound by T. Booker,,8-11,,
7:10.0,I. Whitehead makes 3-pt shot from 27 ft (assist by T. Booker),3,11-11,,
6:56.0,,,11-11,,M. Morris misses 3-pt shot from 29 ft
6:55.0,Defensive rebound by B. Bogdanovic,,11-11,,
6:41.0,Turnover by T. Booker (bad pass; steal by J. Wall),,11-11,,
6:36.0,,,11-11,,S. Mac misses 2-pt shot at rim
6:35.0,Defensive rebound by S. Kilpatrick,,11-11,,
6:25.0,B. Bogdanovic misses 3-pt shot from 27 ft,,11-11,,
6:24.0,,,11-11,,Defensive rebound by S. Mac
6:15.0,,,11-13,2,J. Wall makes 2-pt shot from 19 ft
5:56.0,T. Booker misses 3-pt shot from 23 ft,,11-13,,
5:55.0,,,11-13,,Defensive rebound by M. Gortat
5:49.0,,,11-16,3,J. Wall makes 3-pt shot from 27 ft
5:29.0,Turnover by T. Booker (bad pass; steal by J. Wall),,11-16,,
5:24.0,,,11-18,2,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall)
5:10.0,Turnover by B. Lopez (lost ball; steal by M. Gortat),,11-18,,
4:50.0,,,11-18,,Turnover by J. Wall (lost ball; steal by S. Kilpatrick)
4:45.0,,,11-18,,J. Smith enters the game for M. Morris
4:45.0,R. Foye enters the game for B. Bogdanovic,,11-18,,
4:45.0,C. LeVert enters the game for T. Booker,,11-18,,
4:45.0,R. Hollis-Jefferson enters the game for B. Lopez,,11-18,,
4:45.0,J. Hamilton enters the game for S. Kilpatrick,,11-18,,
4:45.0,,,11-18,,M. Thornton enters the game for S. Mac
4:34.0,Turnover by I. Whitehead (bad pass; steal by M. Thornton),,11-18,,
