time,Boston,pts.away,score,pts.home,New York
0:45.0,,,33-19,,Turnover by K. O'Quinn (bad pass; steal by M. Smart)
0:40.0,,,33-19,,Personal foul by J. Holiday (drawn by T. Zeller)
0:40.0,T. Zeller misses free throw 1 of 2,,33-19,,
0:40.0,Offensive rebound by Team,,33-19,,
0:40.0,T. Zeller makes free throw 2 of 2,1,34-19,,
0:31.0,,,34-19,,Shooting foul by T. Rozier (drawn by C. Randle)
0:31.0,,,34-19,,C. Randle misses free throw 1 of 2
0:31.0,,,34-19,,Offensive rebound by Team
0:31.0,,,34-20,1,C. Randle makes free throw 2 of 2
0:12.0,Turnover by J. Brown (traveling),,34-20,,
0:00.0,,,34-23,3,C. Lee makes 3-pt shot from 25 ft (assist by C. Randle)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,34-23,,J. Holiday misses 2-pt shot from 7 ft
11:46.0,Defensive rebound by T. Zeller,,34-23,,
11:26.0,Turnover by K. Olynyk (traveling),,34-23,,
11:11.0,,,34-23,,K. O'Quinn misses 2-pt shot from 17 ft
11:09.0,Defensive rebound by J. Crowder,,34-23,,
11:02.0,J. Brown makes 3-pt shot from 24 ft (assist by T. Rozier),3,37-23,,
10:45.0,,,37-23,,C. Randle misses 2-pt shot from 5 ft
10:44.0,,,37-23,,Offensive rebound by K. O'Quinn
10:43.0,,,37-25,2,K. O'Quinn makes 2-pt shot from 2 ft
10:43.0,,,37-25,,Shooting foul by K. Olynyk (drawn by K. O'Quinn)
10:43.0,,,37-26,1,K. O'Quinn makes free throw 1 of 1
10:43.0,,,37-25,,S. Vujacic enters the game for C. Lee
10:31.0,J. Brown misses 3-pt shot from 26 ft,,37-26,,
10:28.0,,,37-26,,Defensive rebound by M. Kuzminskas
10:09.0,,,37-28,2,M. Kuzminskas makes 2-pt shot from 5 ft (assist by J. Holiday)
9:57.0,Turnover by J. Crowder (lost ball; steal by S. Vujacic),,37-28,,
9:53.0,,,37-28,,Offensive foul by C. Randle
9:53.0,,,37-28,,Turnover by C. Randle (offensive foul)
9:53.0,J. Jerebko enters the game for T. Zeller,,37-28,,
9:45.0,,,37-28,,Personal foul by C. Randle (drawn by T. Rozier)
9:39.0,K. Olynyk makes 2-pt shot from 17 ft (assist by T. Rozier),2,39-28,,
