time,Minnesota,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. Towns (J. Harden gains possession),,,,Jump ball: C. Capela vs. K. Towns (J. Harden gains possession)
11:46.0,,,0-3,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
11:27.0,K. Towns makes 3-pt shot from 24 ft (assist by A. Wiggins),3,3-3,,
11:17.0,,,3-3,,Turnover by J. Harden (bad pass; steal by K. Dunn)
11:11.0,K. Dunn misses 2-pt shot from 1 ft,,3-3,,
11:10.0,,,3-3,,Defensive rebound by P. Beverley
11:03.0,,,3-6,3,R. Anderson makes 3-pt shot from 28 ft (assist by P. Beverley)
10:51.0,Turnover by K. Dunn (lost ball; steal by P. Beverley),,3-6,,
10:46.0,,,3-8,2,J. Harden makes 2-pt shot from 2 ft (assist by P. Beverley)
10:40.0,,,3-8,,Personal foul by P. Beverley (drawn by K. Dunn)
10:33.0,A. Wiggins misses 2-pt shot from 2 ft,,3-8,,
10:32.0,,,3-8,,Defensive rebound by C. Capela
10:29.0,,,3-8,,Shooting foul by K. Dunn (drawn by T. Ariza)
10:29.0,,,3-9,1,T. Ariza makes free throw 1 of 2
10:29.0,,,3-9,,T. Ariza misses free throw 2 of 2
10:28.0,Defensive rebound by G. Dieng,,3-9,,
10:17.0,A. Wiggins makes 2-pt shot from 7 ft,2,5-9,,
10:07.0,,,5-9,,R. Anderson misses 3-pt shot from 27 ft
10:07.0,,,5-9,,Offensive rebound by P. Beverley
10:02.0,,,5-9,,J. Harden misses 3-pt shot from 24 ft
10:02.0,,,5-9,,Offensive rebound by P. Beverley
9:51.0,,,5-12,3,J. Harden makes 3-pt shot from 25 ft
9:38.0,K. Dunn misses 2-pt shot from 3 ft (block by C. Capela),,5-12,,
9:37.0,,,5-12,,Defensive rebound by J. Harden
9:34.0,,,5-12,,Shooting foul by G. Dieng (drawn by C. Capela)
9:34.0,,,5-12,,C. Capela misses free throw 1 of 2
9:34.0,,,5-12,,Offensive rebound by Team
9:34.0,,,5-12,,C. Capela misses free throw 2 of 2
9:34.0,Defensive rebound by K. Towns,,5-12,,
9:11.0,G. Dieng misses 2-pt shot from 21 ft,,5-12,,
9:09.0,,,5-12,,Defensive rebound by P. Beverley
9:02.0,,,5-14,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
8:54.0,,,5-14,,Personal foul by P. Beverley (drawn by K. Dunn)
8:54.0,,,5-14,,Technical foul by P. Beverley (drawn by K. Dunn)
8:54.0,Technical foul by K. Dunn,,5-14,,
8:40.0,B. Rush makes 2-pt shot from 11 ft (assist by K. Dunn),2,7-14,,
8:26.0,,,7-17,3,T. Ariza makes 3-pt shot from 24 ft (assist by R. Anderson)
8:01.0,Turnover by A. Wiggins (bad pass; steal by J. Harden),,7-17,,
7:54.0,,,7-20,3,P. Beverley makes 3-pt shot from 23 ft (assist by T. Ariza)
7:47.0,Minnesota full timeout,,7-20,,
7:36.0,G. Dieng misses 2-pt shot from 2 ft,,7-20,,
7:36.0,Offensive rebound by G. Dieng,,7-20,,
7:32.0,B. Rush makes 3-pt shot from 23 ft (assist by G. Dieng),3,10-20,,
7:18.0,,,10-20,,J. Harden misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by B. Rush,,10-20,,
7:14.0,Turnover by B. Rush (bad pass; steal by J. Harden),,10-20,,
7:04.0,,,10-22,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
6:49.0,K. Towns misses 3-pt shot from 25 ft,,10-22,,
6:47.0,,,10-22,,Defensive rebound by J. Harden
6:31.0,,,10-22,,J. Harden misses 3-pt shot from 24 ft
6:28.0,,,10-22,,Offensive rebound by C. Capela
6:28.0,,,10-22,,C. Capela misses 2-pt shot from 1 ft
6:27.0,Defensive rebound by K. Towns,,10-22,,
6:18.0,B. Rush makes 3-pt shot from 24 ft (assist by K. Dunn),3,13-22,,
6:02.0,,,13-22,,R. Anderson misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by G. Dieng,,13-22,,
5:49.0,K. Dunn makes 2-pt shot from 10 ft,2,15-22,,
5:36.0,,,15-22,,T. Ariza misses 3-pt shot from 22 ft
5:36.0,Defensive rebound by K. Towns,,15-22,,
5:21.0,K. Towns makes 3-pt shot from 25 ft (assist by K. Dunn),3,18-22,,
5:04.0,,,18-25,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
4:45.0,A. Wiggins makes 2-pt shot at rim (assist by K. Dunn),2,20-25,,
4:45.0,,,20-25,,Houston full timeout
4:45.0,,,20-25,,E. Gordon enters the game for T. Ariza
4:45.0,,,20-25,,N. Hilario enters the game for C. Capela
4:45.0,,,20-25,,L. Williams enters the game for P. Beverley
4:31.0,,,20-25,,R. Anderson misses 3-pt shot from 28 ft
4:30.0,,,20-25,,Offensive rebound by J. Harden
4:23.0,,,20-25,,L. Williams misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by K. Towns,,20-25,,
4:06.0,K. Towns makes 2-pt shot from 1 ft (assist by K. Dunn),2,22-25,,
3:57.0,,,22-25,,R. Anderson misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by K. Towns,,22-25,,
3:41.0,A. Wiggins makes 3-pt shot from 24 ft (assist by G. Dieng),3,25-25,,
3:28.0,,,25-27,2,J. Harden makes 2-pt shot from 1 ft
3:12.0,K. Towns misses 2-pt shot from 20 ft,,25-27,,
3:11.0,Offensive rebound by B. Rush,,25-27,,
3:06.0,A. Wiggins makes 2-pt shot at rim,2,27-27,,
3:06.0,Shooting foul by N. Hilario (drawn by A. Wiggins),,27-27,,
3:06.0,A. Wiggins misses free throw 1 of 1,,27-27,,
3:06.0,,,27-27,,Defensive rebound by J. Harden
2:54.0,,,27-27,,N. Hilario misses 2-pt shot from 2 ft (block by K. Dunn)
2:51.0,Defensive rebound by K. Dunn,,27-27,,
2:43.0,K. Dunn makes 2-pt shot from 8 ft,2,29-27,,
2:30.0,,,29-27,,N. Hilario misses 2-pt shot from 16 ft
2:29.0,,,29-27,,Offensive rebound by R. Anderson
2:29.0,,,29-29,2,R. Anderson makes 2-pt shot at rim
2:12.0,A. Wiggins misses 2-pt shot from 18 ft,,29-29,,
2:11.0,,,29-29,,Defensive rebound by J. Harden
2:00.0,,,29-29,,L. Williams misses 3-pt shot from 24 ft
2:00.0,Defensive rebound by G. Dieng,,29-29,,
1:43.0,A. Wiggins makes 3-pt shot from 23 ft (assist by K. Dunn),3,32-29,,
1:32.0,,,32-29,,Shooting foul by A. Wiggins (drawn by J. Harden)
1:32.0,,,32-29,,J. Harden misses free throw 1 of 2
1:32.0,,,32-29,,Offensive rebound by Team
1:32.0,,,32-30,1,J. Harden makes free throw 2 of 2
1:32.0,O. Casspi enters the game for K. Towns,,32-29,,
1:09.0,O. Casspi misses 2-pt shot from 6 ft (block by N. Hilario),,32-30,,
1:08.0,Offensive rebound by G. Dieng,,32-30,,
1:05.0,G. Dieng misses 2-pt shot from 19 ft,,32-30,,
1:04.0,,,32-30,,Defensive rebound by R. Anderson
0:56.0,,,32-30,,E. Gordon misses 2-pt shot from 2 ft
0:56.0,,,32-30,,Offensive rebound by N. Hilario
0:56.0,,,32-30,,Shooting foul by O. Casspi (drawn by N. Hilario)
0:56.0,,,32-30,,N. Hilario misses free throw 1 of 2
0:56.0,,,32-30,,Offensive rebound by Team
0:56.0,,,32-31,1,N. Hilario makes free throw 2 of 2
0:56.0,S. Muhammad enters the game for B. Rush,,32-30,,
0:44.0,Turnover by K. Dunn (lost ball),,32-31,,
0:36.0,,,32-31,,N. Hilario misses 2-pt shot at rim
0:34.0,Defensive rebound by G. Dieng,,32-31,,
0:31.0,Turnover by S. Muhammad (lost ball),,32-31,,
0:19.0,,,32-33,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
0:04.0,,,32-33,,Personal take foul by E. Gordon (drawn by A. Wiggins)
0:00.0,A. Wiggins misses 3-pt shot from 25 ft,,32-33,,
0:00.0,Offensive rebound by Team,,32-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,S. Muhammad misses 2-pt shot from 8 ft,,32-33,,
11:45.0,,,32-33,,Defensive rebound by T. Ariza
11:39.0,,,32-33,,L. Williams misses 2-pt shot from 11 ft
11:38.0,Defensive rebound by C. Aldrich,,32-33,,
11:31.0,S. Muhammad makes 2-pt shot from 6 ft (assist by T. Jones),2,34-33,,
11:12.0,,,34-33,,P. Beverley misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by K. Towns,,34-33,,
10:59.0,K. Towns makes 2-pt shot at rim (assist by T. Jones),2,36-33,,
10:50.0,,,36-33,,Turnover by N. Hilario (lost ball)
10:34.0,S. Muhammad makes 2-pt shot from 1 ft (assist by T. Jones),2,38-33,,
10:26.0,Violation by C. Aldrich (kicked ball),,38-33,,
10:20.0,,,38-33,,Shooting foul by O. Casspi (drawn by L. Williams)
10:20.0,,,38-34,1,L. Williams makes free throw 1 of 2
10:20.0,,,38-35,1,L. Williams makes free throw 2 of 2
10:08.0,S. Muhammad misses 3-pt shot from 24 ft,,38-35,,
10:08.0,,,38-35,,Defensive rebound by L. Williams
9:56.0,,,38-37,2,N. Hilario makes 2-pt shot at rim
9:42.0,S. Muhammad makes 3-pt shot from 25 ft (assist by K. Towns),3,41-37,,
9:32.0,,,41-37,,E. Gordon misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by K. Towns,,41-37,,
9:27.0,,,41-37,,Shooting block foul by E. Gordon (drawn by S. Muhammad)
9:27.0,S. Muhammad makes free throw 1 of 2,1,42-37,,
9:27.0,S. Muhammad misses free throw 2 of 2,,42-37,,
9:27.0,,,42-37,,Defensive rebound by C. Capela
9:27.0,,,42-37,,C. Capela enters the game for N. Hilario
9:15.0,,,42-40,3,E. Gordon makes 3-pt shot from 23 ft (assist by T. Ariza)
8:54.0,S. Muhammad misses 3-pt shot from 24 ft,,42-40,,
8:54.0,,,42-40,,Defensive rebound by P. Beverley
8:44.0,,,42-40,,E. Gordon misses 3-pt shot from 23 ft
8:43.0,Defensive rebound by K. Towns,,42-40,,
8:24.0,T. Jones makes 2-pt shot from 9 ft (assist by S. Muhammad),2,44-40,,
8:03.0,,,44-40,,P. Beverley misses 2-pt shot from 15 ft
8:02.0,Defensive rebound by O. Casspi,,44-40,,
7:56.0,T. Jones makes 2-pt shot from 2 ft (assist by O. Casspi),2,46-40,,
7:46.0,,,46-40,,E. Gordon misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by K. Towns,,46-40,,
7:34.0,S. Muhammad misses 2-pt shot from 3 ft (block by E. Gordon),,46-40,,
7:33.0,,,46-40,,Defensive rebound by E. Gordon
7:30.0,,,46-40,,Turnover by C. Capela (bad pass)
7:30.0,Minnesota full timeout,,46-40,,
7:20.0,K. Towns makes 2-pt shot from 1 ft (assist by T. Jones),2,48-40,,
7:20.0,Shooting foul by C. Capela (drawn by K. Towns),,48-40,,
7:20.0,K. Towns makes free throw 1 of 1,1,49-40,,
7:03.0,,,49-42,2,C. Capela makes 2-pt shot from 1 ft (assist by P. Beverley)
6:44.0,S. Muhammad misses 3-pt shot from 24 ft,,49-42,,
6:43.0,,,49-42,,Defensive rebound by L. Williams
6:39.0,,,49-44,2,C. Capela makes 2-pt shot at rim (assist by L. Williams)
6:21.0,K. Towns misses 2-pt shot from 16 ft,,49-44,,
6:20.0,Offensive rebound by C. Aldrich,,49-44,,
6:19.0,C. Aldrich makes 2-pt shot at rim,2,51-44,,
6:06.0,,,51-44,,P. Beverley misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by K. Towns,,51-44,,
5:57.0,T. Jones misses 2-pt shot from 10 ft,,51-44,,
5:56.0,Offensive rebound by K. Towns,,51-44,,
5:56.0,K. Towns makes 2-pt shot at rim,2,53-44,,
5:44.0,,,53-44,,T. Ariza misses 3-pt shot from 24 ft
5:44.0,Defensive rebound by S. Muhammad,,53-44,,
5:30.0,S. Muhammad misses 2-pt shot at rim,,53-44,,
5:29.0,Offensive rebound by T. Jones,,53-44,,
5:13.0,S. Muhammad misses 3-pt shot from 22 ft,,53-44,,
5:12.0,,,53-44,,Defensive rebound by T. Ariza
5:04.0,,,53-46,2,E. Gordon makes 2-pt shot from 7 ft (assist by T. Ariza)
4:53.0,Minnesota full timeout,,53-46,,
4:53.0,,,53-46,,R. Anderson enters the game for P. Beverley
4:53.0,,,53-46,,J. Harden enters the game for L. Williams
4:53.0,G. Dieng enters the game for K. Towns,,53-46,,
4:53.0,A. Wiggins enters the game for S. Muhammad,,53-46,,
4:53.0,K. Dunn enters the game for C. Aldrich,,53-46,,
4:44.0,K. Dunn misses 3-pt shot from 24 ft,,53-46,,
4:43.0,,,53-46,,Defensive rebound by C. Capela
4:31.0,,,53-48,2,T. Ariza makes 2-pt shot at rim (assist by E. Gordon)
4:11.0,A. Wiggins misses 2-pt shot from 3 ft (block by C. Capela),,53-48,,
4:10.0,Offensive rebound by Team,,53-48,,
4:04.0,T. Jones makes 2-pt shot from 9 ft (assist by A. Wiggins),2,55-48,,
3:52.0,,,55-48,,Turnover by C. Capela (bad pass)
3:30.0,K. Dunn misses 2-pt shot from 20 ft,,55-48,,
3:29.0,,,55-48,,Defensive rebound by C. Capela
3:23.0,,,55-48,,E. Gordon misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by A. Wiggins,,55-48,,
3:12.0,Shooting foul by R. Anderson (drawn by A. Wiggins),,55-48,,
3:12.0,A. Wiggins makes free throw 1 of 2,1,56-48,,
3:12.0,A. Wiggins misses free throw 2 of 2,,56-48,,
3:12.0,,,56-48,,Defensive rebound by J. Harden
3:04.0,,,56-48,,Shooting foul by K. Dunn (drawn by J. Harden)
3:04.0,,,56-49,1,J. Harden makes free throw 1 of 3
3:04.0,,,56-50,1,J. Harden makes free throw 2 of 3
3:04.0,,,56-51,1,J. Harden makes free throw 3 of 3
3:04.0,B. Rush enters the game for O. Casspi,,56-50,,
3:04.0,K. Towns enters the game for T. Jones,,56-50,,
3:04.0,,,56-50,,P. Beverley enters the game for E. Gordon
2:39.0,G. Dieng misses 2-pt shot from 22 ft,,56-51,,
2:38.0,,,56-51,,Defensive rebound by T. Ariza
2:38.0,Personal foul by K. Towns (drawn by T. Ariza),,56-51,,
2:38.0,,,56-51,,Houston full timeout
2:27.0,,,56-51,,T. Ariza misses 2-pt shot from 1 ft
2:26.0,Defensive rebound by K. Towns,,56-51,,
2:11.0,Turnover by A. Wiggins (bad pass; steal by C. Capela),,56-51,,
2:07.0,,,56-53,2,T. Ariza makes 2-pt shot at rim (assist by C. Capela)
1:45.0,G. Dieng makes 2-pt shot from 18 ft (assist by B. Rush),2,58-53,,
1:34.0,,,58-56,3,R. Anderson makes 3-pt shot from 26 ft (assist by P. Beverley)
1:12.0,A. Wiggins makes 2-pt shot from 21 ft (assist by B. Rush),2,60-56,,
0:59.0,,,60-56,,R. Anderson misses 3-pt shot from 25 ft
0:57.0,,,60-56,,Offensive rebound by C. Capela
0:54.0,,,60-58,2,C. Capela makes 2-pt shot from 1 ft
0:37.0,A. Wiggins misses 3-pt shot from 25 ft,,60-58,,
0:36.0,,,60-58,,Defensive rebound by P. Beverley
0:23.0,,,60-60,2,J. Harden makes 2-pt shot from 3 ft
0:23.0,,,60-60,,Shooting foul by A. Wiggins (drawn by J. Harden)
0:23.0,,,60-60,,J. Harden misses free throw 1 of 1
0:23.0,Defensive rebound by G. Dieng,,60-60,,
0:04.0,Turnover by B. Rush (lost ball; steal by P. Beverley),,60-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by G. Dieng (bad pass; steal by P. Beverley),,60-60,,
11:30.0,,,60-60,,J. Harden misses 3-pt shot from 25 ft
11:29.0,,,60-60,,Offensive rebound by P. Beverley
11:24.0,,,60-63,3,J. Harden makes 3-pt shot from 24 ft (assist by R. Anderson)
11:07.0,K. Towns makes 2-pt shot from 10 ft (assist by K. Dunn),2,62-63,,
10:59.0,,,62-66,3,R. Anderson makes 3-pt shot from 28 ft (assist by J. Harden)
10:38.0,K. Towns makes 3-pt shot from 23 ft (assist by K. Dunn),3,65-66,,
10:22.0,,,65-69,3,R. Anderson makes 3-pt shot from 27 ft (assist by P. Beverley)
10:04.0,G. Dieng makes 2-pt shot from 1 ft (assist by K. Dunn),2,67-69,,
9:53.0,,,67-69,,T. Ariza misses 3-pt shot from 25 ft
9:51.0,,,67-69,,Offensive rebound by P. Beverley
9:44.0,,,67-72,3,R. Anderson makes 3-pt shot from 25 ft (assist by P. Beverley)
9:24.0,Turnover by G. Dieng (bad pass; steal by T. Ariza),,67-72,,
9:15.0,,,67-74,2,C. Capela makes 2-pt shot at rim (assist by T. Ariza)
9:14.0,Minnesota full timeout,,67-74,,
9:14.0,C. Aldrich enters the game for G. Dieng,,67-74,,
9:00.0,Turnover by K. Dunn (bad pass; steal by J. Harden),,67-74,,
8:56.0,,,67-74,,Shooting foul by K. Dunn (drawn by C. Capela)
8:56.0,,,67-76,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
8:56.0,,,67-76,,C. Capela misses free throw 1 of 1
8:56.0,,,67-76,,Offensive rebound by T. Ariza
8:45.0,,,67-76,,P. Beverley misses 3-pt shot from 22 ft
8:44.0,Defensive rebound by K. Towns,,67-76,,
8:37.0,Offensive foul by C. Aldrich,,67-76,,
8:37.0,Turnover by C. Aldrich (offensive foul),,67-76,,
8:25.0,,,67-76,,R. Anderson misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by C. Aldrich,,67-76,,
8:10.0,K. Towns makes 2-pt shot from 8 ft,2,69-76,,
7:56.0,,,69-76,,T. Ariza misses 3-pt shot from 23 ft
7:55.0,,,69-76,,Offensive rebound by C. Capela
7:47.0,,,69-78,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
7:20.0,K. Dunn makes 2-pt shot from 1 ft (assist by A. Wiggins),2,71-78,,
7:11.0,,,71-78,,Shooting foul by K. Dunn (drawn by J. Harden)
7:11.0,,,71-79,1,J. Harden makes free throw 1 of 2
7:11.0,,,71-80,1,J. Harden makes free throw 2 of 2
7:11.0,T. Jones enters the game for K. Dunn,,71-79,,
6:57.0,A. Wiggins misses 2-pt shot from 12 ft,,71-80,,
6:56.0,,,71-80,,Defensive rebound by C. Capela
6:42.0,,,71-80,,Turnover by J. Harden (lost ball; steal by A. Wiggins)
6:37.0,K. Towns makes 2-pt shot at rim (assist by T. Jones),2,73-80,,
6:16.0,,,73-83,3,P. Beverley makes 3-pt shot from 24 ft (assist by R. Anderson)
6:16.0,Minnesota full timeout,,73-83,,
6:16.0,,,73-83,,N. Hilario enters the game for C. Capela
6:16.0,,,73-83,,E. Gordon enters the game for P. Beverley
6:16.0,G. Dieng enters the game for C. Aldrich,,73-83,,
6:00.0,Shooting foul by T. Ariza (drawn by A. Wiggins),,73-83,,
6:00.0,A. Wiggins makes free throw 1 of 2,1,74-83,,
6:00.0,A. Wiggins makes free throw 2 of 2,1,75-83,,
5:41.0,,,75-85,2,T. Ariza makes 2-pt shot from 3 ft (assist by J. Harden)
5:36.0,Turnover by A. Wiggins (lost ball),,75-85,,
5:25.0,,,75-85,,R. Anderson misses 3-pt shot from 24 ft
5:24.0,Defensive rebound by K. Towns,,75-85,,
5:08.0,A. Wiggins misses 2-pt shot from 9 ft,,75-85,,
5:07.0,,,75-85,,Defensive rebound by Team
4:54.0,,,75-85,,T. Ariza misses 3-pt shot from 23 ft
4:54.0,Defensive rebound by T. Jones,,75-85,,
4:41.0,K. Towns misses 2-pt shot from 1 ft,,75-85,,
4:41.0,,,75-85,,Defensive rebound by J. Harden
4:34.0,,,75-85,,Turnover by J. Harden (bad pass; steal by T. Jones)
4:34.0,,,75-85,,Personal foul by J. Harden (drawn by T. Jones)
4:34.0,,,75-85,,L. Williams enters the game for T. Ariza
4:17.0,Shooting foul by J. Harden (drawn by A. Wiggins),,75-85,,
4:17.0,A. Wiggins makes free throw 1 of 2,1,76-85,,
4:17.0,A. Wiggins makes free throw 2 of 2,1,77-85,,
4:00.0,,,77-85,,R. Anderson misses 2-pt shot from 20 ft
3:59.0,Defensive rebound by K. Towns,,77-85,,
3:47.0,G. Dieng misses 2-pt shot from 8 ft,,77-85,,
3:46.0,,,77-85,,Defensive rebound by L. Williams
3:40.0,,,77-87,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
3:20.0,A. Wiggins makes 2-pt shot from 1 ft (assist by T. Jones),2,79-87,,
3:07.0,,,79-87,,R. Anderson misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by K. Towns,,79-87,,
2:48.0,Turnover by G. Dieng (bad pass; steal by N. Hilario),,79-87,,
2:30.0,,,79-87,,L. Williams misses 2-pt shot from 3 ft
2:29.0,Defensive rebound by K. Towns,,79-87,,
2:15.0,G. Dieng makes 2-pt shot from 2 ft (assist by K. Towns),2,81-87,,
2:04.0,,,81-90,3,L. Williams makes 3-pt shot from 24 ft (assist by J. Harden)
1:49.0,,,81-90,,Personal foul by J. Harden (drawn by A. Wiggins)
1:49.0,,,81-90,,Houston full timeout
1:49.0,O. Casspi enters the game for K. Towns,,81-90,,
1:49.0,S. Muhammad enters the game for B. Rush,,81-90,,
1:35.0,A. Wiggins misses 3-pt shot from 26 ft,,81-90,,
1:34.0,,,81-90,,Defensive rebound by Team
1:24.0,,,81-90,,L. Williams misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by A. Wiggins,,81-90,,
1:01.0,A. Wiggins misses 2-pt shot from 19 ft,,81-90,,
1:00.0,,,81-90,,Defensive rebound by L. Williams
0:55.0,,,81-92,2,N. Hilario makes 2-pt shot from 2 ft (assist by L. Williams)
0:32.0,Turnover by A. Wiggins (bad pass; steal by L. Williams),,81-92,,
0:30.0,Personal foul by G. Dieng (drawn by L. Williams),,81-92,,
0:18.0,,,81-95,3,J. Harden makes 3-pt shot from 22 ft (assist by R. Anderson)
0:02.0,S. Muhammad misses 3-pt shot from 23 ft,,81-95,,
0:01.0,Offensive rebound by G. Dieng,,81-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,81-98,3,E. Gordon makes 3-pt shot from 24 ft (assist by T. Ariza)
11:27.0,K. Towns makes 2-pt shot from 7 ft (assist by T. Jones),2,83-98,,
11:15.0,,,83-98,,T. Ariza misses 2-pt shot from 1 ft
11:14.0,Defensive rebound by K. Towns,,83-98,,
11:03.0,T. Jones makes 3-pt shot from 22 ft (assist by K. Dunn),3,86-98,,
10:45.0,,,86-98,,L. Williams misses 2-pt shot from 14 ft
10:44.0,Defensive rebound by K. Towns,,86-98,,
10:38.0,K. Dunn misses 3-pt shot from 26 ft,,86-98,,
10:36.0,,,86-98,,Defensive rebound by L. Williams
10:29.0,,,86-98,,Shooting foul by K. Towns (drawn by L. Williams)
10:29.0,,,86-99,1,L. Williams makes free throw 1 of 2
10:29.0,,,86-100,1,L. Williams makes free throw 2 of 2
10:13.0,K. Towns makes 2-pt shot at rim (assist by K. Dunn),2,88-100,,
9:57.0,,,88-100,,P. Beverley misses 2-pt shot from 4 ft (block by T. Jones)
9:57.0,,,88-100,,Offensive rebound by Team
9:47.0,,,88-102,2,T. Ariza makes 2-pt shot from 1 ft (assist by P. Beverley)
9:35.0,Shooting foul by E. Gordon (drawn by S. Muhammad),,88-102,,
9:35.0,,,88-102,,Violation by P. Beverley (lane)
9:35.0,S. Muhammad makes free throw 1 of 2,1,89-102,,
9:35.0,S. Muhammad misses free throw 2 of 2,,89-102,,
9:35.0,,,89-102,,Defensive rebound by N. Hilario
9:25.0,,,89-102,,Turnover by P. Beverley (bad pass; steal by K. Towns)
9:21.0,S. Muhammad makes 2-pt shot at rim (assist by K. Towns),2,91-102,,
9:07.0,,,91-102,,L. Williams misses 2-pt shot from 2 ft (block by K. Dunn)
9:06.0,Defensive rebound by K. Towns,,91-102,,
8:59.0,K. Dunn makes 2-pt shot from 2 ft (assist by O. Casspi),2,93-102,,
8:46.0,,,93-104,2,P. Beverley makes 2-pt shot from 1 ft
8:46.0,,,93-104,,Shooting foul by S. Muhammad (drawn by P. Beverley)
8:46.0,,,93-104,,Houston full timeout
8:46.0,,,93-105,1,P. Beverley makes free throw 1 of 1
8:46.0,,,93-104,,J. Harden enters the game for N. Hilario
8:46.0,,,93-104,,C. Capela enters the game for L. Williams
8:24.0,K. Towns misses 2-pt shot from 3 ft (block by J. Harden),,93-105,,
8:23.0,Offensive rebound by O. Casspi,,93-105,,
8:21.0,O. Casspi misses 2-pt shot from 8 ft,,93-105,,
8:20.0,Offensive rebound by O. Casspi,,93-105,,
8:08.0,O. Casspi makes 2-pt shot from 2 ft (assist by K. Dunn),2,95-105,,
7:46.0,,,95-105,,E. Gordon misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by K. Towns,,95-105,,
7:33.0,O. Casspi makes 2-pt shot from 4 ft (assist by K. Dunn),2,97-105,,
7:22.0,,,97-105,,T. Ariza misses 3-pt shot from 24 ft
7:20.0,,,97-105,,Offensive rebound by C. Capela
7:19.0,,,97-107,2,C. Capela makes 2-pt shot at rim
6:57.0,K. Dunn misses 2-pt shot from 19 ft,,97-107,,
6:56.0,Offensive rebound by S. Muhammad,,97-107,,
