time,Atlanta,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,D. Schroder misses 2-pt shot from 19 ft,,0-0,,
12:00.0,Jump ball: C. Capela vs. D. Howard (D. Schroder gains possession),,,,Jump ball: C. Capela vs. D. Howard (D. Schroder gains possession)
11:44.0,Offensive rebound by Team,,0-0,,
11:29.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,2-0,,
11:14.0,,,2-0,,T. Ariza misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by D. Schroder,,2-0,,
10:56.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,4-0,,
10:44.0,,,4-0,,R. Anderson misses 3-pt shot from 27 ft
10:43.0,Defensive rebound by D. Howard,,4-0,,
10:29.0,Turnover by P. Millsap (bad pass; steal by J. Harden),,4-0,,
10:25.0,,,4-0,,Turnover by J. Harden (lost ball; steal by K. Bazemore)
10:19.0,P. Millsap makes 2-pt shot at rim (assist by T. Hardaway),2,6-0,,
9:56.0,,,6-3,3,J. Harden makes 3-pt shot from 27 ft
9:43.0,Offensive foul by D. Howard,,6-3,,
9:43.0,Turnover by D. Howard (offensive foul),,6-3,,
9:29.0,,,6-5,2,C. Capela makes 2-pt shot from 6 ft (assist by R. Anderson)
9:16.0,D. Schroder misses 3-pt shot from 25 ft,,6-5,,
9:15.0,,,6-5,,Defensive rebound by T. Ariza
9:08.0,,,6-5,,J. Harden misses 2-pt shot from 2 ft
9:07.0,Defensive rebound by P. Millsap,,6-5,,
8:50.0,P. Millsap misses 2-pt shot from 16 ft,,6-5,,
8:49.0,,,6-5,,Defensive rebound by J. Harden
8:41.0,,,6-5,,R. Anderson misses 3-pt shot from 23 ft
8:40.0,Defensive rebound by D. Howard,,6-5,,
8:33.0,T. Hardaway makes 3-pt shot from 25 ft,3,9-5,,
8:17.0,,,9-7,2,J. Harden makes 2-pt shot from 7 ft
8:01.0,D. Howard makes 2-pt shot at rim (assist by P. Millsap),2,11-7,,
7:57.0,,,11-7,,T. Ariza misses 2-pt shot from 9 ft (block by T. Hardaway)
7:57.0,Defensive rebound by T. Hardaway,,11-7,,
7:41.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,13-7,,
7:15.0,,,13-10,3,R. Anderson makes 3-pt shot from 28 ft (assist by J. Harden)
7:03.0,Turnover by D. Howard (bad pass),,13-10,,
6:46.0,,,13-12,2,C. Capela makes 2-pt shot at rim
6:32.0,D. Schroder makes 2-pt shot from 18 ft,2,15-12,,
6:16.0,,,15-12,,Shooting foul by P. Millsap (drawn by J. Harden)
6:16.0,,,15-13,1,J. Harden makes free throw 1 of 3
6:16.0,,,15-14,1,J. Harden makes free throw 2 of 3
6:16.0,,,15-15,1,J. Harden makes free throw 3 of 3
6:01.0,K. Bazemore misses 2-pt shot from 20 ft,,15-15,,
6:00.0,,,15-15,,Defensive rebound by P. Beverley
5:51.0,,,15-17,2,C. Capela makes 2-pt shot from 7 ft (assist by T. Ariza)
5:39.0,Turnover by T. Hardaway (bad pass; steal by C. Capela),,15-17,,
5:31.0,,,15-17,,R. Anderson misses 3-pt shot from 27 ft
5:30.0,Defensive rebound by K. Bazemore,,15-17,,
5:21.0,T. Hardaway misses 3-pt shot from 26 ft,,15-17,,
5:20.0,,,15-17,,Defensive rebound by P. Beverley
5:09.0,,,15-17,,J. Harden misses 3-pt shot from 27 ft
5:08.0,Defensive rebound by T. Hardaway,,15-17,,
5:02.0,,,15-17,,Personal foul by P. Beverley (drawn by D. Schroder)
5:02.0,,,15-17,,Houston full timeout
5:02.0,,,15-17,,E. Gordon enters the game for P. Beverley
5:02.0,M. Dunleavy enters the game for T. Hardaway,,15-17,,
5:02.0,D. Bembry enters the game for K. Bazemore,,15-17,,
5:02.0,Violation by Team (jump ball),,15-17,,
4:48.0,D. Schroder misses 2-pt shot from 3 ft,,15-17,,
4:46.0,,,15-17,,Defensive rebound by Team
4:29.0,,,15-17,,J. Harden misses 2-pt shot from 8 ft
4:28.0,Defensive rebound by P. Millsap,,15-17,,
4:21.0,D. Schroder misses 2-pt shot from 2 ft,,15-17,,
4:20.0,,,15-17,,Defensive rebound by C. Capela
4:12.0,,,15-17,,C. Capela misses 2-pt shot from 1 ft
4:11.0,Defensive rebound by D. Howard,,15-17,,
4:03.0,Turnover by D. Schroder (bad pass),,15-17,,
4:03.0,,,15-17,,S. Dekker enters the game for R. Anderson
4:03.0,,,15-17,,N. Hilario enters the game for C. Capela
4:03.0,M. Muscala enters the game for D. Howard,,15-17,,
3:47.0,,,15-17,,Shooting foul by P. Millsap (drawn by J. Harden)
3:47.0,,,15-18,1,J. Harden makes free throw 1 of 2
3:47.0,,,15-19,1,J. Harden makes free throw 2 of 2
3:47.0,M. Delaney enters the game for D. Schroder,,15-18,,
