time,Cleveland,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. T. Thompson (K. Love gains possession),,,,Jump ball: M. Plumlee vs. T. Thompson (K. Love gains possession)
11:44.0,K. Irving misses 2-pt shot from 19 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by M. Plumlee
11:27.0,,,0-2,2,G. Harris makes 2-pt shot from 20 ft (assist by M. Plumlee)
11:06.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,3-2,,
10:55.0,,,3-2,,Turnover by N. Jokic (bad pass; steal by K. Love)
10:46.0,K. Love makes 3-pt shot from 26 ft (assist by K. Irving),3,6-2,,
10:31.0,,,6-2,,G. Harris misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by L. James,,6-2,,
10:25.0,J. Smith misses 3-pt shot from 27 ft,,6-2,,
10:23.0,,,6-2,,Defensive rebound by N. Jokic
10:06.0,,,6-4,2,W. Chandler makes 2-pt shot from 18 ft (assist by J. Nelson)
9:45.0,J. Smith misses 3-pt shot from 25 ft,,6-4,,
9:45.0,,,6-4,,Defensive rebound by N. Jokic
9:37.0,,,6-6,2,M. Plumlee makes 2-pt shot at rim (assist by G. Harris)
9:21.0,K. Love misses 3-pt shot from 25 ft,,6-6,,
9:20.0,Offensive rebound by T. Thompson,,6-6,,
9:08.0,K. Irving makes 3-pt shot from 27 ft (assist by J. Smith),3,9-6,,
8:54.0,,,9-6,,J. Nelson misses 2-pt shot from 2 ft
8:50.0,,,9-6,,Offensive rebound by N. Jokic
8:46.0,,,9-8,2,M. Plumlee makes 2-pt shot at rim (assist by N. Jokic)
8:34.0,K. Love misses 3-pt shot from 24 ft,,9-8,,
8:32.0,,,9-8,,Defensive rebound by G. Harris
8:27.0,,,9-10,2,W. Chandler makes 2-pt shot from 2 ft (assist by G. Harris)
8:09.0,J. Smith misses 2-pt shot from 17 ft,,9-10,,
8:08.0,,,9-10,,Defensive rebound by W. Chandler
7:57.0,,,9-10,,W. Chandler misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by J. Smith,,9-10,,
7:43.0,K. Irving misses 2-pt shot from 1 ft,,9-10,,
7:43.0,,,9-10,,Defensive rebound by N. Jokic
7:40.0,,,9-10,,Offensive charge foul by M. Plumlee
7:40.0,,,9-10,,Turnover by M. Plumlee (offensive foul)
7:25.0,L. James makes 2-pt shot from 14 ft,2,11-10,,
7:11.0,,,11-10,,G. Harris misses 2-pt shot from 4 ft (block by K. Love)
7:09.0,Defensive rebound by K. Love,,11-10,,
7:04.0,J. Smith misses 3-pt shot from 24 ft,,11-10,,
7:03.0,Offensive rebound by K. Love,,11-10,,
7:02.0,Shooting foul by M. Plumlee (drawn by L. James),,11-10,,
7:02.0,L. James misses free throw 1 of 2,,11-10,,
7:02.0,Offensive rebound by Team,,11-10,,
7:02.0,L. James makes free throw 2 of 2,1,12-10,,
7:02.0,,,11-10,,K. Faried enters the game for M. Plumlee
6:47.0,,,12-10,,W. Chandler misses 3-pt shot from 26 ft
6:46.0,Defensive rebound by T. Thompson,,12-10,,
6:42.0,Turnover by L. James (bad pass; steal by K. Faried),,12-10,,
6:29.0,,,12-13,3,J. Nelson makes 3-pt shot from 25 ft (assist by N. Jokic)
6:11.0,K. Irving misses 2-pt shot from 21 ft,,12-13,,
6:10.0,,,12-13,,Defensive rebound by G. Harris
5:53.0,,,12-15,2,W. Chandler makes 2-pt shot at rim (assist by N. Jokic)
5:36.0,L. James misses 2-pt shot from 16 ft,,12-15,,
5:35.0,,,12-15,,Defensive rebound by K. Faried
5:25.0,,,12-15,,K. Faried misses 2-pt shot from 2 ft
