time,Toronto,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. J. Valanciunas (R. Covington gains possession),,,,Jump ball: J. Embiid vs. J. Valanciunas (R. Covington gains possession)
11:46.0,,,0-2,2,T. McConnell makes 2-pt shot from 4 ft
11:23.0,D. Carroll misses 2-pt shot from 21 ft (block by N. Stauskas),,0-2,,
11:21.0,,,0-2,,Defensive rebound by E. Ilyasova
11:12.0,,,0-2,,J. Embiid misses 2-pt shot from 13 ft
11:11.0,Defensive rebound by J. Valanciunas,,0-2,,
11:02.0,Turnover by P. Siakam (traveling),,0-2,,
10:53.0,,,0-4,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. McConnell)
10:31.0,Turnover by K. Lowry (step out of bounds),,0-4,,
10:18.0,,,0-7,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Embiid)
10:00.0,D. Carroll misses 3-pt shot from 25 ft,,0-7,,
9:58.0,,,0-7,,Defensive rebound by T. McConnell
9:45.0,,,0-7,,E. Ilyasova misses 2-pt shot from 21 ft
9:43.0,Defensive rebound by J. Valanciunas,,0-7,,
9:37.0,K. Lowry makes 3-pt shot from 26 ft,3,3-7,,
9:15.0,,,3-9,2,J. Embiid makes 2-pt shot from 9 ft (assist by E. Ilyasova)
8:58.0,Shooting foul by N. Stauskas (drawn by D. DeRozan),,3-9,,
8:58.0,D. DeRozan makes free throw 1 of 2,1,4-9,,
8:58.0,D. DeRozan makes free throw 2 of 2,1,5-9,,
8:46.0,,,5-9,,J. Embiid misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by D. Carroll,,5-9,,
8:33.0,,,5-9,,Personal foul by R. Covington (drawn by J. Valanciunas)
8:19.0,Turnover by Team (shot clock),,5-9,,
8:10.0,,,5-9,,E. Ilyasova misses 2-pt shot from 5 ft (block by P. Siakam)
8:10.0,,,5-9,,Offensive rebound by Team
8:06.0,,,5-12,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by N. Stauskas)
7:49.0,K. Lowry misses 3-pt shot from 25 ft,,5-12,,
7:48.0,Offensive rebound by J. Valanciunas,,5-12,,
7:36.0,J. Valanciunas makes 2-pt shot from 19 ft (assist by D. DeRozan),2,7-12,,
7:19.0,,,7-14,2,R. Covington makes 2-pt shot from 2 ft (assist by J. Embiid)
7:04.0,D. DeRozan misses 2-pt shot from 18 ft,,7-14,,
7:03.0,Offensive rebound by J. Valanciunas,,7-14,,
7:00.0,D. DeRozan misses 2-pt shot from 8 ft,,7-14,,
6:57.0,Offensive rebound by J. Valanciunas,,7-14,,
6:57.0,J. Valanciunas misses 2-pt shot from 1 ft,,7-14,,
6:53.0,,,7-14,,Defensive rebound by R. Covington
6:51.0,,,7-16,2,E. Ilyasova makes 2-pt shot at rim (assist by R. Covington)
6:43.0,Toronto full timeout,,7-16,,
6:43.0,Violation by Team (jump ball),,7-16,,
6:43.0,T. Ross enters the game for P. Siakam,,7-16,,
6:43.0,,,7-16,,G. Henderson enters the game for N. Stauskas
6:43.0,,,7-16,,N. Noel enters the game for J. Embiid
6:35.0,Shooting foul by T. McConnell (drawn by K. Lowry),,7-16,,
6:35.0,K. Lowry makes free throw 1 of 2,1,8-16,,
6:35.0,K. Lowry misses free throw 2 of 2,,8-16,,
6:34.0,,,8-16,,Defensive rebound by E. Ilyasova
6:23.0,,,8-18,2,T. McConnell makes 2-pt shot from 7 ft
6:11.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry),2,10-18,,
5:59.0,,,10-18,,Turnover by R. Covington (traveling)
5:59.0,,,10-18,,D. Saric enters the game for E. Ilyasova
5:42.0,J. Valanciunas misses 2-pt shot from 3 ft,,10-18,,
5:40.0,,,10-18,,Defensive rebound by D. Saric
5:35.0,,,10-18,,N. Noel misses 2-pt shot from 2 ft
5:33.0,Defensive rebound by D. Carroll,,10-18,,
5:22.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,12-18,,
5:16.0,Shooting block foul by J. Valanciunas (drawn by R. Covington),,12-18,,
5:16.0,,,12-18,,R. Covington misses free throw 1 of 2
5:16.0,,,12-18,,Offensive rebound by Team
5:16.0,,,12-19,1,R. Covington makes free throw 2 of 2
5:16.0,J. Sullinger enters the game for J. Valanciunas,,12-18,,
5:06.0,D. DeRozan misses 2-pt shot from 5 ft,,12-19,,
5:03.0,,,12-19,,Defensive rebound by T. McConnell
4:47.0,,,12-21,2,G. Henderson makes 2-pt shot from 2 ft (assist by D. Saric)
4:47.0,,,12-21,,Shooting foul by K. Lowry (drawn by G. Henderson)
4:47.0,,,12-21,,G. Henderson misses free throw 1 of 1
4:47.0,,,12-21,,S. Rodriguez enters the game for T. McConnell
4:45.0,Defensive rebound by T. Ross,,12-21,,
4:22.0,J. Sullinger makes 2-pt shot from 2 ft (assist by D. Carroll),2,14-21,,
4:11.0,,,14-21,,D. Saric misses 2-pt shot from 2 ft
4:09.0,Defensive rebound by J. Sullinger,,14-21,,
4:01.0,D. Carroll misses 3-pt shot from 23 ft,,14-21,,
3:59.0,Offensive rebound by J. Sullinger,,14-21,,
3:57.0,J. Sullinger makes 2-pt shot from 2 ft,2,16-21,,
3:38.0,,,16-21,,D. Saric misses 2-pt shot from 6 ft
3:36.0,Defensive rebound by J. Sullinger,,16-21,,
3:33.0,Turnover by K. Lowry (traveling),,16-21,,
3:33.0,,,16-21,,Philadelphia full timeout
3:33.0,N. Powell enters the game for K. Lowry,,16-21,,
3:33.0,C. Joseph enters the game for D. Carroll,,16-21,,
3:33.0,,,16-21,,T. Luwawu-Cabarrot enters the game for R. Covington
3:21.0,,,16-21,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
3:21.0,,,16-21,,Offensive rebound by Team
3:21.0,Loose ball foul by N. Powell (drawn by D. Saric),,16-21,,
3:11.0,,,16-21,,Turnover by G. Henderson (lost ball)
3:02.0,,,16-21,,Personal foul by G. Henderson (drawn by D. DeRozan)
2:54.0,J. Sullinger misses 2-pt shot from 19 ft,,16-21,,
2:52.0,,,16-21,,Defensive rebound by D. Saric
2:32.0,,,16-21,,T. Luwawu-Cabarrot misses 2-pt shot from 9 ft
2:30.0,Defensive rebound by T. Ross,,16-21,,
2:21.0,T. Ross makes 3-pt shot from 26 ft (assist by C. Joseph),3,19-21,,
2:10.0,,,19-21,,N. Noel misses 2-pt shot from 17 ft
2:10.0,,,19-21,,Offensive rebound by Team
2:10.0,Loose ball foul by N. Powell (drawn by D. Saric),,19-21,,
2:10.0,,,19-21,,J. Embiid enters the game for N. Noel
1:53.0,,,19-21,,T. Luwawu-Cabarrot misses 2-pt shot from 4 ft (block by N. Powell)
1:51.0,,,19-21,,Offensive rebound by S. Rodriguez
1:50.0,,,19-21,,S. Rodriguez misses 3-pt shot from 27 ft
1:48.0,Defensive rebound by N. Powell,,19-21,,
1:40.0,Shooting foul by J. Embiid (drawn by J. Sullinger),,19-21,,
1:40.0,J. Sullinger makes 2-pt shot from 3 ft (assist by D. DeRozan),2,21-21,,
1:40.0,J. Sullinger misses free throw 1 of 1,,21-21,,
1:38.0,,,21-21,,Defensive rebound by S. Rodriguez
1:26.0,,,21-23,2,J. Embiid makes 2-pt shot from 17 ft
1:10.0,D. DeRozan misses 2-pt shot from 14 ft,,21-23,,
1:08.0,,,21-23,,Defensive rebound by J. Embiid
0:53.0,,,21-23,,Turnover by J. Embiid (lost ball; steal by C. Joseph)
0:43.0,T. Ross misses 2-pt shot from 2 ft,,21-23,,
0:41.0,,,21-23,,Defensive rebound by J. Embiid
0:37.0,,,21-23,,Turnover by S. Rodriguez (traveling)
0:30.0,D. DeRozan misses 2-pt shot from 14 ft,,21-23,,
0:29.0,Offensive rebound by Team,,21-23,,
0:08.0,D. DeRozan misses 2-pt shot from 14 ft,,21-23,,
0:06.0,,,21-23,,Defensive rebound by S. Rodriguez
0:00.0,,,21-23,,Shooting foul by T. Ross (drawn by G. Henderson)
0:00.0,,,21-24,1,G. Henderson makes free throw 1 of 2
0:00.0,,,21-25,1,G. Henderson makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,J. Valanciunas misses 2-pt shot from 8 ft (block by J. Embiid),,21-25,,
11:36.0,,,21-25,,Defensive rebound by T. Luwawu-Cabarrot
11:30.0,,,21-25,,E. Ilyasova misses 3-pt shot from 25 ft
11:28.0,Defensive rebound by J. Valanciunas,,21-25,,
11:17.0,,,21-25,,Personal foul by E. Ilyasova (drawn by K. Lowry)
11:17.0,K. Lowry misses free throw 1 of 2,,21-25,,
11:17.0,Offensive rebound by Team,,21-25,,
11:17.0,K. Lowry makes free throw 2 of 2,1,22-25,,
10:59.0,,,22-25,,Turnover by T. Luwawu-Cabarrot (lost ball; steal by K. Lowry)
10:50.0,N. Powell misses 2-pt shot from 2 ft,,22-25,,
10:48.0,,,22-25,,Defensive rebound by J. Embiid
10:39.0,,,22-25,,J. Embiid misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by J. Valanciunas,,22-25,,
10:30.0,N. Powell misses 3-pt shot from 23 ft,,22-25,,
10:27.0,,,22-25,,Defensive rebound by E. Ilyasova
10:24.0,Shooting block foul by K. Lowry (drawn by E. Ilyasova),,22-25,,
10:24.0,,,22-26,1,E. Ilyasova makes free throw 1 of 2
10:24.0,,,22-26,,E. Ilyasova misses free throw 2 of 2
10:24.0,,,22-26,,T. McConnell enters the game for S. Rodriguez
10:22.0,Defensive rebound by T. Ross,,22-26,,
10:08.0,K. Lowry misses 2-pt shot from 18 ft,,22-26,,
10:07.0,,,22-26,,Defensive rebound by J. Embiid
10:01.0,,,22-29,3,J. Embiid makes 3-pt shot from 25 ft (assist by T. McConnell)
9:38.0,C. Joseph makes 2-pt shot from 12 ft,2,24-29,,
9:26.0,,,24-29,,E. Ilyasova misses 2-pt shot from 4 ft
9:24.0,Defensive rebound by J. Valanciunas,,24-29,,
9:20.0,Shooting foul by T. McConnell (drawn by C. Joseph),,24-29,,
9:20.0,C. Joseph misses free throw 1 of 2,,24-29,,
9:20.0,Offensive rebound by Team,,24-29,,
9:20.0,C. Joseph makes free throw 2 of 2,1,25-29,,
9:04.0,,,25-29,,Turnover by J. Embiid (bad pass; steal by K. Lowry)
9:02.0,Shooting foul by N. Stauskas (drawn by K. Lowry),,25-29,,
9:02.0,K. Lowry makes free throw 1 of 2,1,26-29,,
9:02.0,K. Lowry misses free throw 2 of 2,,26-29,,
9:01.0,,,26-29,,Defensive rebound by N. Stauskas
8:51.0,Official timeout,,26-29,,
8:51.0,D. Carroll enters the game for N. Powell,,26-29,,
8:37.0,,,26-29,,J. Embiid misses 2-pt shot from 17 ft
8:35.0,,,26-29,,Offensive rebound by E. Ilyasova
8:35.0,,,26-29,,E. Ilyasova misses 2-pt shot from 3 ft
8:35.0,,,26-29,,Offensive rebound by T. Luwawu-Cabarrot
8:35.0,,,26-29,,Shooting foul by J. Valanciunas (drawn by T. Luwawu-Cabarrot)
8:35.0,,,26-30,1,T. Luwawu-Cabarrot makes free throw 1 of 2
8:35.0,,,26-31,1,T. Luwawu-Cabarrot makes free throw 2 of 2
8:35.0,,,26-30,,N. Noel enters the game for J. Embiid
8:19.0,,,26-31,,Personal foul by N. Stauskas (drawn by C. Joseph)
8:19.0,,,26-31,,R. Covington enters the game for N. Stauskas
8:12.0,Turnover by T. Ross (bad pass; steal by T. Luwawu-Cabarrot),,26-31,,
7:57.0,,,26-31,,E. Ilyasova misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by J. Valanciunas,,26-31,,
7:49.0,K. Lowry makes 3-pt shot from 25 ft,3,29-31,,
7:25.0,,,29-31,,T. Luwawu-Cabarrot misses 2-pt shot from 5 ft
7:24.0,Defensive rebound by C. Joseph,,29-31,,
7:18.0,C. Joseph makes 2-pt shot from 2 ft,2,31-31,,
7:00.0,,,31-33,2,T. McConnell makes 2-pt shot from 16 ft (assist by E. Ilyasova)
6:50.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by C. Joseph),2,33-33,,
6:35.0,,,33-35,2,N. Noel makes 2-pt shot from 2 ft (assist by T. McConnell)
6:14.0,D. Carroll misses 3-pt shot from 25 ft,,33-35,,
6:12.0,Offensive rebound by K. Lowry,,33-35,,
6:07.0,Shooting foul by N. Noel (drawn by K. Lowry),,33-35,,
6:07.0,K. Lowry makes free throw 1 of 2,1,34-35,,
6:07.0,K. Lowry makes free throw 2 of 2,1,35-35,,
6:07.0,D. DeRozan enters the game for C. Joseph,,34-35,,
6:07.0,,,34-35,,D. Saric enters the game for E. Ilyasova
6:07.0,F. VanVleet enters the game for T. Ross,,34-35,,
6:07.0,,,34-35,,G. Henderson enters the game for T. Luwawu-Cabarrot
5:47.0,,,35-35,,Shooting foul by D. Carroll (drawn by D. Saric)
5:47.0,,,35-35,,Philadelphia full timeout
5:47.0,,,35-36,1,D. Saric makes free throw 1 of 2
5:47.0,,,35-36,,D. Saric misses free throw 2 of 2
5:47.0,Defensive rebound by F. VanVleet,,35-36,,
5:27.0,K. Lowry misses 3-pt shot from 26 ft,,35-36,,
5:25.0,Offensive rebound by D. DeRozan,,35-36,,
5:18.0,F. VanVleet makes 2-pt shot from 1 ft (assist by D. DeRozan),2,37-36,,
4:57.0,,,37-36,,R. Covington misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by J. Valanciunas,,37-36,,
4:45.0,J. Valanciunas misses 2-pt shot from 2 ft,,37-36,,
4:44.0,Offensive rebound by J. Valanciunas,,37-36,,
4:44.0,J. Valanciunas misses 2-pt shot from 1 ft,,37-36,,
4:43.0,,,37-36,,Defensive rebound by D. Saric
4:34.0,,,37-36,,G. Henderson misses 2-pt shot from 15 ft
4:33.0,Defensive rebound by F. VanVleet,,37-36,,
4:26.0,D. Carroll misses 3-pt shot from 27 ft,,37-36,,
4:25.0,,,37-36,,Defensive rebound by G. Henderson
4:17.0,,,37-36,,Offensive foul by D. Saric
4:17.0,,,37-36,,Turnover by D. Saric (offensive foul)
4:17.0,J. Sullinger enters the game for J. Valanciunas,,37-36,,
4:06.0,Turnover by D. DeRozan (lost ball; steal by R. Covington),,37-36,,
3:58.0,,,37-36,,Offensive charge foul by N. Noel
3:58.0,,,37-36,,Turnover by N. Noel (offensive foul)
3:39.0,J. Sullinger makes 2-pt shot from 4 ft (assist by D. DeRozan),2,39-36,,
3:25.0,Personal foul by F. VanVleet (drawn by T. McConnell),,39-36,,
3:25.0,,,39-36,,J. Embiid enters the game for N. Noel
3:25.0,,,39-36,,S. Rodriguez enters the game for T. McConnell
3:19.0,,,39-36,,Turnover by R. Covington (step out of bounds)
3:11.0,Toronto full timeout,,39-36,,
3:05.0,,,39-36,,Personal foul by J. Embiid (drawn by K. Lowry)
3:05.0,K. Lowry makes free throw 1 of 2,1,40-36,,
3:05.0,K. Lowry misses free throw 2 of 2,,40-36,,
3:04.0,,,40-36,,Defensive rebound by D. Saric
2:50.0,,,40-36,,Shooting foul by D. Carroll (drawn by J. Embiid)
2:50.0,,,40-37,1,J. Embiid makes free throw 1 of 2
2:50.0,,,40-38,1,J. Embiid makes free throw 2 of 2
2:34.0,K. Lowry misses 3-pt shot from 27 ft,,40-38,,
2:32.0,,,40-38,,Defensive rebound by D. Saric
