time,Dallas,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Nowitzki (J. Holiday gains possession),,,,Jump ball: A. Davis vs. D. Nowitzki (J. Holiday gains possession)
11:39.0,,,0-2,2,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday)
11:24.0,Turnover by W. Matthews (bad pass),,0-2,,
11:05.0,,,0-5,3,S. Hill makes 3-pt shot from 24 ft (assist by A. Davis)
10:49.0,D. Williams makes 2-pt shot from 1 ft (assist by D. Finney-Smith),2,2-5,,
10:40.0,,,2-7,2,B. Hield makes 2-pt shot from 2 ft (assist by J. Holiday)
10:18.0,D. Nowitzki misses 2-pt shot from 18 ft,,2-7,,
10:17.0,,,2-7,,Defensive rebound by S. Hill
9:58.0,Personal foul by D. Finney-Smith (drawn by J. Holiday),,2-7,,
9:52.0,,,2-9,2,J. Holiday makes 2-pt shot from 5 ft
9:30.0,D. Nowitzki misses 2-pt shot from 4 ft (block by A. Davis),,2-9,,
9:30.0,Offensive rebound by Team,,2-9,,
9:25.0,W. Matthews makes 2-pt shot from 1 ft (assist by D. Williams),2,4-9,,
9:17.0,,,4-9,,J. Holiday misses 2-pt shot from 3 ft
9:13.0,,,4-9,,Offensive rebound by A. Davis
9:13.0,,,4-9,,Turnover by A. Davis (offensive goaltending)
8:54.0,H. Barnes makes 2-pt shot from 11 ft (assist by D. Williams),2,6-9,,
8:45.0,,,6-11,2,B. Hield makes 2-pt shot from 2 ft
8:19.0,D. Williams misses 2-pt shot from 23 ft,,6-11,,
8:18.0,,,6-11,,Defensive rebound by A. Davis
8:12.0,,,6-11,,Shooting foul by D. Finney-Smith (drawn by A. Davis)
8:12.0,,,6-12,1,A. Davis makes free throw 1 of 2
8:12.0,,,6-12,,A. Davis misses free throw 2 of 2
8:12.0,D. Harris enters the game for D. Finney-Smith,,6-12,,
8:11.0,Defensive rebound by D. Nowitzki,,6-12,,
7:48.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by D. Harris),2,8-12,,
7:35.0,,,8-12,,D. Cunningham misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by H. Barnes,,8-12,,
7:21.0,D. Nowitzki misses 2-pt shot from 20 ft,,8-12,,
7:21.0,,,8-12,,Defensive rebound by S. Hill
7:13.0,,,8-12,,A. Davis misses 2-pt shot from 15 ft
7:11.0,Defensive rebound by H. Barnes,,8-12,,
7:01.0,,,8-12,,Personal foul by S. Hill (drawn by D. Nowitzki)
6:48.0,H. Barnes misses 2-pt shot from 21 ft,,8-12,,
6:48.0,,,8-12,,Defensive rebound by S. Hill
6:40.0,Personal foul by H. Barnes (drawn by A. Davis),,8-12,,
6:35.0,,,8-12,,J. Holiday misses 3-pt shot from 26 ft
6:34.0,Defensive rebound by H. Barnes,,8-12,,
6:14.0,,,8-12,,Violation by A. Davis (def goaltending)
6:14.0,D. Harris makes 2-pt shot from 2 ft,2,10-12,,
6:04.0,,,10-15,3,B. Hield makes 3-pt shot from 25 ft
5:56.0,D. Williams misses 3-pt shot from 26 ft,,10-15,,
5:55.0,,,10-15,,Defensive rebound by S. Hill
5:43.0,,,10-15,,S. Hill misses 3-pt shot from 23 ft
5:43.0,Defensive rebound by D. Williams,,10-15,,
5:39.0,Dallas full timeout,,10-15,,
5:39.0,D. Powell enters the game for D. Nowitzki,,10-15,,
5:39.0,S. Curry enters the game for D. Williams,,10-15,,
5:39.0,,,10-15,,E. Moore enters the game for S. Hill
5:29.0,W. Matthews misses 3-pt shot from 26 ft,,10-15,,
5:29.0,,,10-15,,Defensive rebound by A. Davis
5:17.0,,,10-15,,B. Hield misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by D. Harris,,10-15,,
4:52.0,D. Harris misses 3-pt shot from 25 ft,,10-15,,
4:51.0,,,10-15,,Defensive rebound by A. Davis
4:40.0,,,10-17,2,E. Moore makes 2-pt shot from 19 ft (assist by A. Davis)
4:14.0,D. Powell makes 2-pt shot from 2 ft (assist by S. Curry),2,12-17,,
3:50.0,,,12-19,2,A. Davis makes 2-pt shot from 10 ft (assist by J. Holiday)
3:29.0,H. Barnes misses 2-pt shot from 8 ft,,12-19,,
3:29.0,,,12-19,,Defensive rebound by D. Cunningham
3:20.0,,,12-21,2,E. Moore makes 2-pt shot from 22 ft
3:12.0,Dallas full timeout,,12-21,,
3:12.0,,,12-21,,T. Evans enters the game for J. Holiday
3:12.0,,,12-21,,L. Galloway enters the game for B. Hield
2:53.0,Turnover by Team (shot clock),,12-21,,
2:53.0,,,12-21,,New Orleans full timeout
2:53.0,J. Anderson enters the game for H. Barnes,,12-21,,
2:53.0,D. Nowitzki enters the game for W. Matthews,,12-21,,
2:35.0,,,12-23,2,E. Moore makes 2-pt shot from 2 ft (assist by A. Davis)
2:22.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by S. Curry),3,15-23,,
2:09.0,Personal foul by D. Powell (drawn by A. Davis),,15-23,,
2:09.0,,,15-23,,T. Jones enters the game for D. Cunningham
1:59.0,,,15-23,,Offensive charge foul by A. Davis
1:59.0,,,15-23,,Turnover by A. Davis (offensive foul)
1:44.0,J. Anderson makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,17-23,,
1:27.0,,,17-23,,T. Jones misses 2-pt shot from 4 ft
1:26.0,,,17-23,,Offensive rebound by A. Davis
1:26.0,,,17-25,2,A. Davis makes 2-pt shot from 2 ft
1:07.0,Shooting foul by T. Evans (drawn by D. Powell),,17-25,,
1:07.0,D. Powell makes free throw 1 of 2,1,18-25,,
1:07.0,D. Powell misses free throw 2 of 2,,18-25,,
1:07.0,D. Williams enters the game for D. Harris,,18-25,,
1:07.0,,,18-25,,S. Hill enters the game for A. Davis
1:06.0,,,18-25,,Defensive rebound by E. Moore
0:57.0,,,18-25,,T. Evans misses 2-pt shot from 1 ft
0:56.0,Defensive rebound by D. Nowitzki,,18-25,,
0:39.0,D. Nowitzki makes 2-pt shot from 13 ft (assist by S. Curry),2,20-25,,
0:27.0,,,20-25,,E. Moore misses 2-pt shot from 16 ft
0:27.0,Defensive rebound by D. Powell,,20-25,,
0:07.0,D. Williams misses 2-pt shot from 17 ft,,20-25,,
0:06.0,,,20-25,,Defensive rebound by T. Jones
0:00.0,,,20-25,,T. Jones misses 3-pt shot from 26 ft
0:00.0,,,20-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,D. Williams makes 2-pt shot from 1 ft,2,22-25,,
11:23.0,,,22-27,2,L. Galloway makes 2-pt shot from 19 ft (assist by S. Hill)
11:09.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Nowitzki),3,25-27,,
10:51.0,,,25-29,2,T. Jones makes 2-pt shot from 7 ft (assist by L. Galloway)
10:36.0,S. Curry makes 2-pt shot from 15 ft (assist by D. Nowitzki),2,27-29,,
10:16.0,,,27-29,,Shooting foul by D. Nowitzki (drawn by T. Jones)
10:16.0,,,27-29,,T. Jones misses free throw 1 of 2
10:16.0,,,27-29,,Offensive rebound by Team
