time,Sacramento,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. B. Lopez (R. Gay gains possession),,,,Jump ball: K. Koufos vs. B. Lopez (R. Gay gains possession)
11:46.0,Turnover by D. Collison (lost ball),,0-0,,
11:32.0,,,0-2,2,T. Booker makes 2-pt shot from 4 ft (assist by B. Lopez)
11:17.0,A. Afflalo makes 2-pt shot from 1 ft (assist by D. Cousins),2,2-2,,
11:02.0,,,2-2,,Turnover by B. Lopez (lost ball; steal by D. Collison)
10:56.0,A. Afflalo makes 2-pt shot from 19 ft (assist by R. Gay),2,4-2,,
10:42.0,,,4-2,,S. Kilpatrick misses 2-pt shot from 19 ft
10:41.0,Defensive rebound by D. Cousins,,4-2,,
10:30.0,K. Koufos makes 2-pt shot from 8 ft (assist by R. Gay),2,6-2,,
10:15.0,,,6-2,,B. Lopez misses 3-pt shot from 26 ft
10:14.0,Defensive rebound by A. Afflalo,,6-2,,
10:07.0,A. Afflalo misses 2-pt shot from 20 ft,,6-2,,
10:06.0,,,6-2,,Defensive rebound by B. Lopez
10:00.0,,,6-4,2,I. Whitehead makes 2-pt shot from 5 ft
9:44.0,D. Cousins misses 2-pt shot from 18 ft,,6-4,,
9:41.0,,,6-4,,Defensive rebound by T. Booker
9:36.0,,,6-6,2,S. Kilpatrick makes 2-pt shot from 1 ft (assist by B. Lopez)
9:12.0,D. Cousins misses 2-pt shot from 19 ft,,6-6,,
9:11.0,,,6-6,,Defensive rebound by B. Bogdanovic
9:01.0,Personal foul by D. Cousins (drawn by B. Lopez),,6-6,,
8:48.0,,,6-6,,B. Bogdanovic misses 3-pt shot from 29 ft
8:47.0,,,6-6,,Offensive rebound by S. Kilpatrick
8:45.0,,,6-9,3,S. Kilpatrick makes 3-pt shot from 25 ft
8:25.0,R. Gay makes 2-pt shot from 4 ft,2,8-9,,
8:15.0,,,8-11,2,B. Bogdanovic makes 2-pt shot at rim
8:08.0,Sacramento full timeout,,8-11,,
8:05.0,,,8-11,,Personal foul by B. Lopez (drawn by D. Cousins)
7:58.0,,,8-11,,Def 3 sec tech foul by B. Bogdanovic
7:58.0,D. Collison makes technical free throw,1,9-11,,
7:58.0,,,9-11,,J. Hamilton enters the game for T. Booker
7:43.0,Turnover by Team (shot clock),,9-11,,
7:28.0,,,9-11,,Turnover by B. Bogdanovic (lost ball)
7:14.0,D. Cousins misses 2-pt shot from 19 ft,,9-11,,
7:13.0,,,9-11,,Defensive rebound by S. Kilpatrick
6:59.0,,,9-13,2,S. Kilpatrick makes 2-pt shot from 7 ft
6:42.0,R. Gay misses 3-pt shot from 24 ft,,9-13,,
6:41.0,,,9-13,,Defensive rebound by S. Kilpatrick
6:33.0,Def 3 sec tech foul by D. Cousins,,9-13,,
6:33.0,,,9-13,,B. Bogdanovic misses technical free throw
6:33.0,,,9-13,,Offensive rebound by Team
6:21.0,,,9-15,2,B. Lopez makes 2-pt shot from 14 ft
6:10.0,K. Koufos misses 2-pt shot from 12 ft,,9-15,,
6:09.0,,,9-15,,Defensive rebound by I. Whitehead
6:03.0,,,9-17,2,S. Kilpatrick makes 2-pt shot from 17 ft (assist by I. Whitehead)
5:44.0,D. Cousins makes 2-pt shot from 4 ft,2,11-17,,
5:27.0,,,11-17,,J. Hamilton misses 2-pt shot from 2 ft
5:26.0,Defensive rebound by D. Cousins,,11-17,,
5:17.0,Turnover by D. Collison (lost ball; steal by J. Hamilton),,11-17,,
5:13.0,,,11-17,,I. Whitehead misses 2-pt shot from 7 ft
5:12.0,Defensive rebound by D. Cousins,,11-17,,
5:06.0,D. Collison makes 2-pt shot from 14 ft (assist by R. Gay),2,13-17,,
4:55.0,M. Barnes enters the game for K. Koufos,,13-17,,
4:55.0,T. Lawson enters the game for D. Collison,,13-17,,
4:55.0,,,13-17,,J. Harris enters the game for S. Kilpatrick
4:40.0,,,13-20,3,B. Bogdanovic makes 3-pt shot from 28 ft (assist by J. Hamilton)
4:15.0,R. Gay misses 2-pt shot from 8 ft,,13-20,,
4:14.0,,,13-20,,Defensive rebound by B. Lopez
4:07.0,,,13-20,,Shooting foul by M. Barnes (drawn by B. Bogdanovic)
4:07.0,,,13-21,1,B. Bogdanovic makes free throw 1 of 2
4:07.0,,,13-22,1,B. Bogdanovic makes free throw 2 of 2
4:07.0,,,13-21,,T. Booker enters the game for B. Lopez
4:07.0,,,13-21,,Y. Ferrell enters the game for I. Whitehead
4:07.0,G. Temple enters the game for A. Afflalo,,13-21,,
3:54.0,,,13-22,,R. Foye enters the game for B. Bogdanovic
3:45.0,D. Cousins makes 3-pt shot from 24 ft (assist by R. Gay),3,16-22,,
3:26.0,,,16-22,,L. Scola enters the game for J. Hamilton
3:26.0,,,16-22,,Brooklyn full timeout
3:18.0,,,16-22,,Y. Ferrell misses 3-pt shot from 29 ft
3:17.0,Defensive rebound by R. Gay,,16-22,,
3:09.0,T. Lawson misses 3-pt shot from 24 ft,,16-22,,
3:08.0,,,16-22,,Defensive rebound by T. Booker
3:00.0,,,16-22,,J. Harris misses 3-pt shot from 24 ft
2:59.0,Defensive rebound by G. Temple,,16-22,,
2:45.0,Shooting foul by T. Booker (drawn by R. Gay),,16-22,,
2:45.0,R. Gay misses free throw 1 of 2,,16-22,,
2:45.0,Offensive rebound by Team,,16-22,,
2:45.0,R. Gay makes free throw 2 of 2,1,17-22,,
2:31.0,,,17-25,3,R. Foye makes 3-pt shot from 25 ft (assist by T. Booker)
2:12.0,M. Barnes makes 2-pt shot from 2 ft (assist by T. Lawson),2,19-25,,
2:01.0,,,19-25,,L. Scola misses 3-pt shot from 24 ft
2:00.0,Defensive rebound by R. Gay,,19-25,,
1:55.0,D. Cousins makes 2-pt shot from 2 ft,2,21-25,,
1:55.0,Shooting foul by Y. Ferrell (drawn by D. Cousins),,21-25,,
1:55.0,D. Cousins makes free throw 1 of 1,1,22-25,,
1:38.0,,,22-25,,Shooting foul by T. Lawson (drawn by L. Scola)
1:38.0,,,22-26,1,L. Scola makes free throw 1 of 2
1:38.0,,,22-27,1,L. Scola makes free throw 2 of 2
1:38.0,O. Casspi enters the game for R. Gay,,22-26,,
1:26.0,D. Cousins makes 2-pt shot from 3 ft (assist by M. Barnes),2,24-27,,
1:13.0,,,24-29,2,Y. Ferrell makes 2-pt shot from 19 ft
0:54.0,D. Cousins makes 2-pt shot from 5 ft (assist by M. Barnes),2,26-29,,
0:54.0,Shooting foul by L. Scola (drawn by D. Cousins),,26-29,,
0:54.0,D. Cousins misses free throw 1 of 1,,26-29,,
0:53.0,,,26-29,,Defensive rebound by T. Booker
0:40.0,,,26-32,3,R. Foye makes 3-pt shot from 25 ft (assist by T. Booker)
0:34.0,O. Casspi makes 3-pt shot from 23 ft (assist by T. Lawson),3,29-32,,
0:28.0,,,29-35,3,Y. Ferrell makes 3-pt shot from 25 ft
0:05.0,G. Temple misses 2-pt shot from 19 ft,,29-35,,
0:04.0,Offensive rebound by M. Barnes,,29-35,,
0:02.0,M. Barnes makes 2-pt shot from 21 ft,2,31-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,31-37,2,L. Scola makes 2-pt shot at rim (assist by B. Bogdanovic)
11:29.0,Turnover by M. Barnes (lost ball; steal by L. Scola),,31-37,,
11:23.0,,,31-37,,R. Foye misses 3-pt shot from 26 ft
11:21.0,,,31-37,,Offensive rebound by Y. Ferrell
11:17.0,,,31-37,,Y. Ferrell misses 3-pt shot from 24 ft
11:15.0,Defensive rebound by G. Temple,,31-37,,
11:06.0,T. Lawson makes 2-pt shot from 7 ft,2,33-37,,
10:43.0,,,33-37,,L. Scola misses 2-pt shot from 7 ft
10:42.0,Defensive rebound by M. Barnes,,33-37,,
10:41.0,,,33-37,,Personal foul by R. Foye (drawn by G. Temple)
10:27.0,K. Koufos makes 2-pt shot at rim (assist by G. Temple),2,35-37,,
10:08.0,,,35-39,2,L. Scola makes 2-pt shot from 5 ft
10:03.0,T. Lawson misses 2-pt shot from 6 ft (block by Y. Ferrell),,35-39,,
10:02.0,Jump ball: Y. Ferrell vs. T. Lawson (M. Barnes gains possession),,,,Jump ball: Y. Ferrell vs. T. Lawson (M. Barnes gains possession)
10:01.0,Offensive rebound by T. Lawson,,35-39,,
9:51.0,Turnover by T. Lawson (bad pass; steal by L. Scola),,35-39,,
9:40.0,,,35-39,,Turnover by Y. Ferrell (lost ball; steal by G. Temple)
9:29.0,T. Lawson makes 2-pt shot from 17 ft,2,37-39,,
9:16.0,,,37-39,,J. Hamilton misses 3-pt shot from 23 ft
9:15.0,,,37-39,,Offensive rebound by L. Scola
9:14.0,,,37-39,,L. Scola misses 2-pt shot from 2 ft
9:12.0,,,37-39,,Offensive rebound by J. Hamilton
8:57.0,,,37-39,,Y. Ferrell misses 2-pt shot from 21 ft
8:55.0,Defensive rebound by K. Koufos,,37-39,,
8:52.0,G. Temple makes 2-pt shot from 2 ft (assist by T. Lawson),2,39-39,,
8:52.0,,,39-39,,Brooklyn full timeout
8:34.0,,,39-39,,L. Scola misses 2-pt shot from 9 ft
8:33.0,Defensive rebound by M. Barnes,,39-39,,
8:16.0,O. Casspi makes 2-pt shot from 2 ft (assist by T. Lawson),2,41-39,,
7:51.0,,,41-39,,B. Bogdanovic misses 3-pt shot from 26 ft
7:50.0,Defensive rebound by M. Barnes,,41-39,,
7:41.0,O. Casspi makes 3-pt shot from 25 ft (assist by M. Barnes),3,44-39,,
7:19.0,,,44-41,2,B. Bogdanovic makes 2-pt shot from 21 ft
7:12.0,,,44-41,,Shooting block foul by B. Bogdanovic (drawn by T. Lawson)
7:12.0,T. Lawson makes free throw 1 of 2,1,45-41,,
