time,Charlotte,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Harrell vs. R. Hibbert (K. Walker gains possession),,,,Jump ball: M. Harrell vs. R. Hibbert (K. Walker gains possession)
11:41.0,M. Williams misses 2-pt shot from 8 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by T. Ariza
11:20.0,,,0-3,3,T. Ariza makes 3-pt shot from 27 ft (assist by J. Harden)
11:12.0,K. Walker misses 3-pt shot from 26 ft,,0-3,,
11:11.0,,,0-3,,Defensive rebound by T. Ariza
11:04.0,,,0-6,3,J. Harden makes 3-pt shot from 25 ft
10:47.0,M. Kidd-Gilchrist misses 2-pt shot from 10 ft,,0-6,,
10:45.0,,,0-6,,Defensive rebound by J. Harden
10:39.0,Personal foul by J. Lamb (drawn by M. Harrell),,0-6,,
10:39.0,Personal foul by J. Lamb (drawn by M. Harrell),,0-6,,
10:34.0,,,0-8,2,M. Harrell makes 2-pt shot from 3 ft (assist by J. Harden)
10:34.0,,,0-8,,Shooting foul by R. Hibbert (drawn by M. Harrell)
10:34.0,,,0-8,,M. Harrell misses free throw 1 of 1
10:33.0,Defensive rebound by M. Williams,,0-8,,
10:23.0,Turnover by K. Walker (bad pass; steal by T. Ariza),,0-8,,
10:11.0,,,0-10,2,M. Harrell makes 2-pt shot from 2 ft (assist by P. Beverley)
10:05.0,Charlotte full timeout,,0-10,,
9:53.0,J. Lamb misses 2-pt shot from 14 ft,,0-10,,
9:51.0,,,0-10,,Defensive rebound by P. Beverley
9:45.0,,,0-10,,J. Harden misses 3-pt shot from 26 ft
9:43.0,Defensive rebound by J. Lamb,,0-10,,
9:31.0,J. Lamb misses 2-pt shot from 2 ft,,0-10,,
9:30.0,Offensive rebound by R. Hibbert,,0-10,,
9:27.0,R. Hibbert makes 2-pt shot from 2 ft,2,2-10,,
9:07.0,,,2-12,2,R. Anderson makes 2-pt shot from 9 ft
8:47.0,M. Kidd-Gilchrist misses 2-pt shot from 4 ft,,2-12,,
8:46.0,,,2-12,,Defensive rebound by M. Harrell
8:41.0,,,2-14,2,J. Harden makes 2-pt shot from 1 ft
8:40.0,,,2-14,,Violation by Team (jump ball)
8:24.0,J. Lamb makes 2-pt shot from 20 ft,2,4-14,,
8:19.0,,,4-14,,Turnover by J. Harden (bad pass; steal by J. Lamb)
8:14.0,Shooting foul by R. Anderson (drawn by J. Lamb),,4-14,,
8:14.0,J. Lamb makes free throw 1 of 2,1,5-14,,
8:14.0,J. Lamb makes free throw 2 of 2,1,6-14,,
7:55.0,,,6-14,,P. Beverley misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by K. Walker,,6-14,,
7:36.0,M. Williams makes 3-pt shot from 23 ft (assist by J. Lamb),3,9-14,,
7:10.0,,,9-16,2,T. Ariza makes 2-pt shot from 3 ft
6:46.0,J. Lamb makes 3-pt shot from 26 ft,3,12-16,,
6:39.0,,,12-16,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Harden)
6:39.0,,,12-16,,J. Harden misses free throw 1 of 3
6:39.0,,,12-16,,Offensive rebound by Team
6:39.0,,,12-17,1,J. Harden makes free throw 2 of 3
6:39.0,,,12-18,1,J. Harden makes free throw 3 of 3
6:39.0,,,12-17,,N. Hilario enters the game for M. Harrell
6:27.0,K. Walker misses 3-pt shot from 25 ft,,12-18,,
6:26.0,,,12-18,,Defensive rebound by P. Beverley
6:10.0,,,12-18,,R. Anderson misses 2-pt shot from 2 ft
6:08.0,Defensive rebound by M. Kidd-Gilchrist,,12-18,,
6:03.0,Shooting foul by N. Hilario (drawn by K. Walker),,12-18,,
6:03.0,K. Walker makes free throw 1 of 2,1,13-18,,
6:03.0,K. Walker makes free throw 2 of 2,1,14-18,,
6:03.0,M. Belinelli enters the game for J. Lamb,,13-18,,
6:03.0,,,13-18,,S. Dekker enters the game for P. Beverley
5:45.0,,,14-18,,S. Dekker misses 2-pt shot from 3 ft (block by R. Hibbert)
5:43.0,Defensive rebound by K. Walker,,14-18,,
5:24.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,14-18,,
5:23.0,,,14-18,,Defensive rebound by N. Hilario
5:12.0,,,14-18,,J. Harden misses 2-pt shot from 12 ft
5:11.0,Defensive rebound by M. Williams,,14-18,,
4:56.0,M. Williams makes 3-pt shot from 28 ft (assist by M. Kidd-Gilchrist),3,17-18,,
4:50.0,,,17-20,2,S. Dekker makes 2-pt shot at rim (assist by J. Harden)
4:36.0,K. Walker makes 2-pt shot from 2 ft,2,19-20,,
4:26.0,,,19-20,,Shooting foul by R. Hibbert (drawn by T. Ariza)
4:26.0,,,19-20,,T. Ariza misses free throw 1 of 2
4:26.0,,,19-20,,Offensive rebound by Team
4:26.0,,,19-21,1,T. Ariza makes free throw 2 of 2
4:26.0,S. Hawes enters the game for R. Hibbert,,19-20,,
4:26.0,F. Kaminsky enters the game for M. Williams,,19-20,,
4:19.0,Turnover by M. Belinelli (lost ball; steal by N. Hilario),,19-21,,
4:14.0,,,19-23,2,N. Hilario makes 2-pt shot at rim
4:03.0,K. Walker misses 2-pt shot from 1 ft,,19-23,,
4:01.0,,,19-23,,Defensive rebound by T. Ariza
3:54.0,,,19-23,,Turnover by N. Hilario (bad pass)
3:54.0,,,19-23,,C. Brewer enters the game for T. Ariza
