time,Toronto,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. J. Valanciunas (W. Matthews gains possession),,,,Jump ball: N. Noel vs. J. Valanciunas (W. Matthews gains possession)
11:47.0,,,0-0,,Turnover by W. Matthews (lost ball)
11:39.0,,,0-0,,Violation by S. Curry (kicked ball)
11:29.0,D. DeRozan misses 2-pt shot from 12 ft,,0-0,,
11:28.0,Offensive rebound by J. Valanciunas,,0-0,,
11:27.0,J. Valanciunas makes 2-pt shot from 3 ft,2,2-0,,
11:07.0,,,2-0,,S. Curry misses 2-pt shot from 5 ft
11:06.0,Defensive rebound by J. Valanciunas,,2-0,,
10:59.0,P. Tucker misses 3-pt shot from 23 ft,,2-0,,
10:58.0,Offensive rebound by J. Valanciunas,,2-0,,
10:55.0,J. Valanciunas makes 2-pt shot from 6 ft,2,4-0,,
10:55.0,,,4-0,,Dallas full timeout
10:36.0,,,4-0,,H. Barnes misses 2-pt shot from 6 ft
10:35.0,,,4-0,,Offensive rebound by N. Noel
10:28.0,,,4-0,,D. Nowitzki misses 2-pt shot from 18 ft
10:27.0,,,4-0,,Offensive rebound by N. Noel
10:23.0,,,4-0,,Turnover by N. Noel (lost ball; steal by P. Tucker)
10:14.0,S. Ibaka makes 3-pt shot from 24 ft (assist by D. DeRozan),3,7-0,,
9:57.0,,,7-2,2,S. Curry makes 2-pt shot from 15 ft
9:39.0,D. DeRozan makes 3-pt shot from 24 ft (assist by C. Joseph),3,10-2,,
9:21.0,,,10-2,,W. Matthews misses 2-pt shot from 18 ft
9:20.0,Defensive rebound by S. Ibaka,,10-2,,
9:13.0,S. Ibaka makes 3-pt shot from 25 ft (assist by C. Joseph),3,13-2,,
9:11.0,,,13-2,,Dallas full timeout
8:56.0,Personal foul by J. Valanciunas (drawn by W. Matthews),,13-2,,
8:49.0,,,13-4,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by S. Curry)
8:35.0,J. Valanciunas makes 2-pt shot from 18 ft (assist by C. Joseph),2,15-4,,
8:17.0,,,15-4,,N. Noel misses 2-pt shot from 15 ft
8:16.0,Defensive rebound by P. Tucker,,15-4,,
8:01.0,S. Ibaka makes 2-pt shot from 6 ft (assist by D. DeRozan),2,17-4,,
7:45.0,,,17-6,2,W. Matthews makes 2-pt shot from 9 ft (assist by S. Curry)
7:28.0,J. Valanciunas misses 2-pt shot from 14 ft,,17-6,,
7:27.0,Offensive rebound by S. Ibaka,,17-6,,
7:27.0,S. Ibaka misses 2-pt shot from 2 ft,,17-6,,
7:26.0,Offensive rebound by C. Joseph,,17-6,,
7:17.0,S. Ibaka makes 2-pt shot from 15 ft (assist by D. DeRozan),2,19-6,,
6:59.0,,,19-6,,N. Noel misses 2-pt shot from 5 ft
6:58.0,,,19-6,,Offensive rebound by D. Nowitzki
6:58.0,,,19-8,2,D. Nowitzki makes 2-pt shot from 1 ft
6:42.0,S. Ibaka misses 2-pt shot from 7 ft,,19-8,,
6:40.0,,,19-8,,Defensive rebound by N. Noel
6:38.0,Personal take foul by C. Joseph (drawn by N. Noel),,19-8,,
6:38.0,,,19-8,,J. Barea enters the game for D. Nowitzki
6:33.0,Personal foul by S. Ibaka,,19-8,,
6:23.0,,,19-8,,H. Barnes misses 3-pt shot from 26 ft
6:22.0,Defensive rebound by J. Valanciunas,,19-8,,
6:08.0,D. DeRozan makes 2-pt shot from 9 ft,2,21-8,,
5:49.0,,,21-10,2,H. Barnes makes 2-pt shot from 5 ft
5:33.0,P. Tucker makes 2-pt shot from 5 ft,2,23-10,,
5:14.0,,,23-12,2,N. Noel makes 2-pt shot from 6 ft (assist by W. Matthews)
5:14.0,,,23-12,,Shooting foul by J. Valanciunas (drawn by N. Noel)
5:14.0,,,23-13,1,N. Noel makes free throw 1 of 1
5:14.0,J. Poeltl enters the game for J. Valanciunas,,23-12,,
5:14.0,D. Wright enters the game for P. Tucker,,23-12,,
5:02.0,Turnover by C. Joseph (bad pass),,23-13,,
4:44.0,,,23-15,2,H. Barnes makes 2-pt shot from 2 ft
4:36.0,Toronto full timeout,,23-15,,
4:36.0,,,23-15,,S. Mejri enters the game for N. Noel
4:18.0,C. Joseph misses 2-pt shot from 20 ft,,23-15,,
4:16.0,Offensive rebound by S. Ibaka,,23-15,,
4:03.0,D. DeRozan misses 2-pt shot from 7 ft,,23-15,,
4:02.0,Offensive rebound by D. Wright,,23-15,,
3:54.0,D. DeRozan makes 2-pt shot from 1 ft,2,25-15,,
3:41.0,,,25-15,,W. Matthews misses 3-pt shot from 24 ft
3:40.0,,,25-15,,Offensive rebound by H. Barnes
3:29.0,,,25-15,,H. Barnes misses 2-pt shot from 20 ft
3:29.0,Defensive rebound by J. Poeltl,,25-15,,
3:14.0,S. Ibaka misses 2-pt shot from 13 ft,,25-15,,
3:13.0,,,25-15,,Defensive rebound by S. Mejri
2:51.0,,,25-15,,H. Barnes misses 3-pt shot from 23 ft
2:49.0,,,25-15,,Offensive rebound by Team
2:49.0,,,25-15,,D. Harris enters the game for S. Curry
2:49.0,P. Patterson enters the game for S. Ibaka,,25-15,,
2:49.0,N. Powell enters the game for C. Joseph,,25-15,,
2:36.0,,,25-17,2,J. Barea makes 2-pt shot from 11 ft (assist by S. Mejri)
2:25.0,Turnover by D. DeRozan (bad pass; steal by H. Barnes),,25-17,,
2:23.0,,,25-17,,H. Barnes misses 2-pt shot from 1 ft (block by D. DeRozan)
2:21.0,Defensive rebound by Team,,25-17,,
2:21.0,,,25-17,,D. Nowitzki enters the game for H. Barnes
2:08.0,,,25-17,,Personal foul by J. Barea
1:58.0,N. Powell misses 3-pt shot from 23 ft,,25-17,,
1:56.0,,,25-17,,Defensive rebound by S. Mejri
1:51.0,Shooting block foul by D. Wright,,25-17,,
1:51.0,,,25-17,,J. Barea misses free throw 1 of 2
1:51.0,,,25-17,,Offensive rebound by Team
1:51.0,,,25-18,1,J. Barea makes free throw 2 of 2
1:51.0,,,25-17,,D. Finney-Smith enters the game for W. Matthews
1:40.0,P. Patterson makes 3-pt shot from 23 ft (assist by D. DeRozan),3,28-18,,
1:19.0,,,28-18,,D. Nowitzki misses 2-pt shot from 20 ft
1:18.0,Defensive rebound by J. Poeltl,,28-18,,
1:00.0,J. Poeltl makes 2-pt shot from 2 ft (assist by P. Patterson),2,30-18,,
0:44.0,,,30-18,,J. Barea misses 2-pt shot from 9 ft
0:42.0,,,30-18,,Offensive rebound by D. Finney-Smith
0:42.0,,,30-20,2,D. Finney-Smith makes 2-pt shot from 1 ft
