time,LA Clippers,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: M. Gasol vs. D. Jordan (B. Griffin gains possession)
11:43.0,J. Redick makes 2-pt shot from 21 ft (assist by B. Griffin),2,2-0,,
11:20.0,,,2-0,,B. Wright misses 2-pt shot from 2 ft (block by D. Jordan)
11:16.0,Defensive rebound by D. Jordan,,2-0,,
11:09.0,B. Griffin misses 2-pt shot from 18 ft,,2-0,,
11:08.0,,,2-0,,Defensive rebound by B. Wright
10:50.0,,,2-0,,Shooting foul by J. Redick (drawn by B. Wright)
10:50.0,,,2-2,2,B. Wright makes 2-pt shot from 1 ft (assist by M. Gasol)
10:50.0,,,2-2,,B. Wright misses free throw 1 of 1
10:48.0,Defensive rebound by D. Jordan,,2-2,,
10:31.0,C. Paul misses 2-pt shot from 20 ft,,2-2,,
10:31.0,,,2-2,,Defensive rebound by B. Wright
10:22.0,,,2-4,2,M. Gasol makes 2-pt shot from 13 ft (assist by A. Harrison)
10:11.0,,,2-4,,Personal foul by A. Harrison (drawn by J. Redick)
10:03.0,J. Redick misses 2-pt shot from 22 ft,,2-4,,
10:02.0,Offensive rebound by Team,,2-4,,
9:51.0,B. Griffin misses 3-pt shot from 26 ft,,2-4,,
9:51.0,,,2-4,,Defensive rebound by J. Ennis
9:38.0,,,2-6,2,B. Wright makes 2-pt shot from 8 ft (assist by M. Gasol)
9:27.0,C. Paul misses 2-pt shot from 14 ft,,2-6,,
9:26.0,Offensive rebound by C. Paul,,2-6,,
9:16.0,B. Griffin misses 2-pt shot from 3 ft,,2-6,,
9:15.0,Offensive rebound by B. Griffin,,2-6,,
9:14.0,B. Griffin misses 2-pt shot from 1 ft (block by M. Gasol),,2-6,,
9:11.0,Offensive rebound by B. Griffin,,2-6,,
9:08.0,C. Paul makes 3-pt shot from 26 ft (assist by B. Griffin),3,5-6,,
8:54.0,Personal foul by B. Griffin (drawn by M. Conley),,5-6,,
8:45.0,,,5-8,2,J. Ennis makes 2-pt shot at rim (assist by A. Harrison)
8:45.0,,,5-8,,Shooting foul by J. Redick (drawn by J. Ennis)
8:45.0,,,5-9,1,J. Ennis makes free throw 1 of 1
8:32.0,J. Crawford enters the game for J. Redick,,5-9,,
8:23.0,J. Crawford makes 3-pt shot from 25 ft (assist by C. Paul),3,8-9,,
8:03.0,,,8-9,,A. Harrison misses 3-pt shot from 24 ft
8:03.0,Defensive rebound by D. Jordan,,8-9,,
7:52.0,B. Griffin misses 2-pt shot from 20 ft,,8-9,,
7:51.0,,,8-9,,Defensive rebound by M. Conley
7:44.0,,,8-9,,M. Gasol misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by J. Crawford,,8-9,,
7:34.0,C. Paul misses 2-pt shot from 10 ft,,8-9,,
7:33.0,,,8-9,,Defensive rebound by M. Gasol
7:27.0,,,8-9,,Turnover by M. Conley (lost ball; steal by L. Mbah a Moute)
