time,Orlando,pts.away,score,pts.home,Chicago
1:34.0,,,24-30,,Offensive rebound by D. Wade
1:31.0,,,24-30,,D. Wade misses 2-pt shot from 17 ft
1:30.0,Defensive rebound by M. Hezonja,,24-30,,
1:25.0,B. Biyombo misses 2-pt shot from 3 ft,,24-30,,
1:24.0,,,24-30,,Defensive rebound by T. Gibson
1:21.0,,,24-32,2,D. Wade makes 2-pt shot from 2 ft (assist by T. Gibson)
0:59.0,Turnover by B. Biyombo (3 sec),,24-32,,
0:59.0,,,24-32,,B. Portis enters the game for T. Gibson
0:42.0,,,24-34,2,D. Wade makes 2-pt shot from 21 ft (assist by D. McDermott)
0:21.0,J. Green misses 3-pt shot from 23 ft,,24-34,,
0:20.0,,,24-34,,Defensive rebound by D. McDermott
0:00.0,,,24-37,3,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Butler)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,24-37,,R. Rondo misses 2-pt shot from 10 ft
11:45.0,Defensive rebound by B. Biyombo,,24-37,,
11:33.0,Turnover by M. Hezonja (bad pass),,24-37,,
11:13.0,,,24-39,2,D. Wade makes 2-pt shot from 22 ft
10:54.0,M. Hezonja makes 2-pt shot from 3 ft (assist by J. Green),2,26-39,,
10:42.0,,,26-41,2,D. McDermott makes 2-pt shot from 15 ft (assist by R. Rondo)
10:23.0,B. Biyombo misses 2-pt shot from 4 ft,,26-41,,
10:22.0,Offensive rebound by B. Biyombo,,26-41,,
10:21.0,B. Biyombo misses 2-pt shot from 2 ft (block by R. Rondo),,26-41,,
10:19.0,,,26-41,,Defensive rebound by R. Rondo
10:17.0,,,26-43,2,D. Wade makes 2-pt shot from 2 ft (assist by R. Rondo)
10:04.0,,,26-43,,Personal foul by D. Wade (drawn by M. Hezonja)
9:59.0,M. Hezonja makes 2-pt shot from 2 ft (assist by B. Biyombo),2,28-43,,
9:41.0,,,28-43,,D. McDermott misses 2-pt shot from 3 ft
9:40.0,,,28-43,,Offensive rebound by B. Portis
9:40.0,,,28-45,2,B. Portis makes 2-pt shot from 3 ft
9:28.0,,,28-45,,Personal foul by R. Rondo (drawn by D. Augustin)
9:28.0,,,28-45,,I. Canaan enters the game for D. Wade
9:12.0,J. Green misses 2-pt shot from 7 ft,,28-45,,
9:11.0,,,28-45,,Defensive rebound by B. Portis
9:03.0,,,28-45,,I. Canaan misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by M. Hezonja,,28-45,,
8:47.0,J. Green makes 3-pt shot from 25 ft (assist by D. Augustin),3,31-45,,
8:33.0,,,31-45,,N. Mirotic misses 3-pt shot from 25 ft
8:32.0,,,31-45,,Offensive rebound by B. Portis
8:29.0,,,31-45,,Shooting foul by B. Biyombo (drawn by B. Portis)
8:29.0,,,31-45,,Chicago full timeout
8:29.0,,,31-46,1,B. Portis makes free throw 1 of 2
8:29.0,,,31-46,,B. Portis misses free throw 2 of 2
8:28.0,Defensive rebound by B. Biyombo,,31-46,,
8:05.0,D. Augustin misses 3-pt shot from 27 ft,,31-46,,
8:05.0,Offensive rebound by Team,,31-46,,
8:05.0,Turnover by Team (shot clock),,31-46,,
7:48.0,,,31-46,,Shooting foul by D. Augustin (drawn by I. Canaan)
7:48.0,,,31-46,,I. Canaan misses free throw 1 of 2
7:48.0,,,31-46,,Offensive rebound by Team
7:48.0,,,31-47,1,I. Canaan makes free throw 2 of 2
7:48.0,,,31-46,,R. Lopez enters the game for B. Portis
7:48.0,S. Ibaka enters the game for J. Green,,31-46,,
7:48.0,N. Vucevic enters the game for D. Augustin,,31-46,,
7:48.0,E. Payton enters the game for B. Biyombo,,31-46,,
7:33.0,M. Hezonja makes 2-pt shot from 20 ft (assist by S. Ibaka),2,33-47,,
7:10.0,,,33-49,2,D. McDermott makes 2-pt shot from 6 ft
6:52.0,A. Gordon makes 2-pt shot from 18 ft (assist by M. Hezonja),2,35-49,,
6:39.0,Personal foul by M. Hezonja (drawn by I. Canaan),,35-49,,
6:39.0,,,35-49,,J. Butler enters the game for I. Canaan
6:33.0,,,35-49,,D. McDermott misses 3-pt shot from 24 ft
6:32.0,Defensive rebound by N. Vucevic,,35-49,,
6:19.0,M. Hezonja makes 3-pt shot from 25 ft (assist by N. Vucevic),3,38-49,,
5:55.0,,,38-49,,N. Mirotic misses 3-pt shot from 25 ft
5:54.0,,,38-49,,Offensive rebound by J. Butler
5:48.0,,,38-49,,Shooting foul by E. Payton (drawn by R. Rondo)
5:48.0,,,38-49,,Chicago full timeout
5:48.0,,,38-50,1,R. Rondo makes free throw 1 of 2
5:48.0,,,38-50,,R. Rondo misses free throw 2 of 2
5:48.0,,,38-49,,T. Gibson enters the game for N. Mirotic
5:48.0,E. Fournier enters the game for A. Gordon,,38-49,,
5:47.0,Defensive rebound by M. Hezonja,,38-50,,
5:30.0,S. Ibaka makes 2-pt shot from 10 ft (assist by M. Hezonja),2,40-50,,
5:09.0,,,40-52,2,J. Butler makes 2-pt shot from 7 ft
4:50.0,,,40-52,,Personal foul by T. Gibson (drawn by E. Payton)
4:50.0,A. Gordon enters the game for M. Hezonja,,40-52,,
4:43.0,Turnover by E. Payton (bad pass; steal by R. Rondo),,40-52,,
4:43.0,Personal foul by E. Payton (drawn by R. Rondo),,40-52,,
4:43.0,,,40-53,1,R. Rondo makes free throw 1 of 2
4:43.0,,,40-53,,R. Rondo misses free throw 2 of 2
4:43.0,D. Augustin enters the game for E. Payton,,40-53,,
4:41.0,Defensive rebound by S. Ibaka,,40-53,,
4:27.0,S. Ibaka misses 2-pt shot from 20 ft,,40-53,,
4:25.0,,,40-53,,Defensive rebound by R. Lopez
4:13.0,,,40-53,,R. Rondo misses 2-pt shot from 20 ft
4:12.0,,,40-53,,Offensive rebound by T. Gibson
4:08.0,,,40-55,2,T. Gibson makes 2-pt shot from 5 ft
3:44.0,D. Augustin makes 3-pt shot from 25 ft (assist by N. Vucevic),3,43-55,,
3:36.0,,,43-55,,Turnover by R. Rondo (bad pass)
3:23.0,D. Augustin makes 3-pt shot from 25 ft (assist by N. Vucevic),3,46-55,,
3:02.0,,,46-57,2,T. Gibson makes 2-pt shot from 16 ft
2:54.0,Orlando full timeout,,46-57,,
2:54.0,,,46-57,,I. Canaan enters the game for R. Rondo
2:54.0,,,46-57,,D. Wade enters the game for D. McDermott
2:41.0,D. Augustin misses 3-pt shot from 23 ft,,46-57,,
2:41.0,,,46-57,,Defensive rebound by Team
2:25.0,,,46-57,,Turnover by D. Wade (bad pass; steal by N. Vucevic)
2:20.0,E. Fournier makes 2-pt shot from 1 ft (assist by S. Ibaka),2,48-57,,
1:57.0,,,48-59,2,T. Gibson makes 2-pt shot from 3 ft (assist by D. Wade)
1:40.0,A. Gordon misses 2-pt shot from 20 ft,,48-59,,
1:39.0,,,48-59,,Defensive rebound by I. Canaan
1:32.0,,,48-59,,D. Wade misses 2-pt shot from 2 ft
1:31.0,Defensive rebound by N. Vucevic,,48-59,,
1:23.0,A. Gordon misses 2-pt shot from 18 ft,,48-59,,
1:22.0,,,48-59,,Defensive rebound by J. Butler
1:19.0,,,48-61,2,D. Wade makes 2-pt shot from 2 ft (assist by J. Butler)
1:18.0,Orlando full timeout,,48-61,,
1:18.0,,,48-61,,N. Mirotic enters the game for T. Gibson
1:18.0,E. Payton enters the game for D. Augustin,,48-61,,
1:05.0,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic),2,50-61,,
0:42.0,,,50-61,,D. Wade misses 3-pt shot from 25 ft
0:41.0,,,50-61,,Offensive rebound by N. Mirotic
0:28.0,,,50-61,,J. Butler misses 2-pt shot from 20 ft (block by A. Gordon)
0:27.0,Defensive rebound by N. Vucevic,,50-61,,
0:23.0,E. Payton makes 2-pt shot from 2 ft,2,52-61,,
0:23.0,,,52-61,,Chicago full timeout
0:23.0,B. Biyombo enters the game for N. Vucevic,,52-61,,
0:23.0,D. Augustin enters the game for E. Payton,,52-61,,
0:00.0,,,52-61,,J. Butler misses 2-pt shot from 21 ft
0:00.0,,,52-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,52-61,,R. Lopez misses 2-pt shot from 7 ft
11:32.0,Defensive rebound by A. Gordon,,52-61,,
11:27.0,Shooting foul by R. Lopez (drawn by N. Vucevic),,52-61,,
11:27.0,N. Vucevic misses free throw 1 of 2,,52-61,,
11:27.0,Offensive rebound by Team,,52-61,,
11:27.0,N. Vucevic makes free throw 2 of 2,1,53-61,,
11:09.0,,,53-63,2,T. Gibson makes 2-pt shot from 17 ft (assist by R. Rondo)
10:42.0,A. Gordon makes 2-pt shot at rim (assist by S. Ibaka),2,55-63,,
10:30.0,Personal foul by S. Ibaka (drawn by T. Gibson),,55-63,,
10:20.0,,,55-63,,Turnover by J. Butler (bad pass; steal by E. Payton)
10:13.0,E. Fournier makes 3-pt shot from 23 ft (assist by E. Payton),3,58-63,,
10:01.0,,,58-63,,Shooting foul by E. Payton (drawn by R. Rondo)
10:01.0,,,58-64,1,R. Rondo makes free throw 1 of 2
10:01.0,,,58-64,,R. Rondo misses free throw 2 of 2
9:59.0,,,58-64,,Offensive rebound by R. Lopez
9:59.0,,,58-64,,R. Lopez misses 2-pt shot from 2 ft
9:57.0,Defensive rebound by A. Gordon,,58-64,,
9:44.0,Turnover by E. Fournier (lost ball; steal by D. Wade),,58-64,,
9:40.0,,,58-66,2,J. Butler makes 2-pt shot from 2 ft (assist by T. Gibson)
9:33.0,Turnover by S. Ibaka (bad pass; steal by J. Butler),,58-66,,
9:24.0,,,58-68,2,R. Rondo makes 2-pt shot from 4 ft
9:14.0,,,58-68,,Personal foul by R. Lopez (drawn by N. Vucevic)
9:09.0,N. Vucevic misses 2-pt shot from 22 ft,,58-68,,
9:08.0,,,58-68,,Defensive rebound by T. Gibson
8:52.0,,,58-68,,D. Wade misses 2-pt shot from 15 ft
8:52.0,,,58-68,,Offensive rebound by Team
8:34.0,,,58-68,,T. Gibson misses 2-pt shot from 2 ft
8:32.0,Defensive rebound by N. Vucevic,,58-68,,
8:29.0,Turnover by E. Payton (bad pass),,58-68,,
8:10.0,,,58-68,,Shooting foul by N. Vucevic (drawn by J. Butler)
8:10.0,,,58-69,1,J. Butler makes free throw 1 of 2
8:10.0,,,58-70,1,J. Butler makes free throw 2 of 2
7:59.0,N. Vucevic misses 2-pt shot from 10 ft,,58-70,,
7:58.0,Offensive rebound by E. Fournier,,58-70,,
7:52.0,Turnover by S. Ibaka (lost ball; steal by J. Butler),,58-70,,
7:51.0,Personal foul by E. Fournier (drawn by R. Rondo),,58-70,,
7:31.0,,,58-70,,T. Gibson misses 2-pt shot from 2 ft
7:30.0,,,58-70,,Offensive rebound by R. Lopez
7:30.0,,,58-70,,R. Lopez misses 2-pt shot from 2 ft
7:29.0,Defensive rebound by A. Gordon,,58-70,,
7:18.0,E. Fournier misses 3-pt shot from 23 ft,,58-70,,
7:17.0,,,58-70,,Defensive rebound by R. Lopez
7:06.0,,,58-72,2,T. Gibson makes 2-pt shot from 2 ft
6:52.0,E. Payton misses 2-pt shot from 20 ft,,58-72,,
6:51.0,,,58-72,,Defensive rebound by T. Gibson
6:38.0,,,58-74,2,R. Rondo makes 2-pt shot from 3 ft (assist by J. Butler)
6:38.0,Orlando full timeout,,58-74,,
6:18.0,A. Gordon misses 2-pt shot from 17 ft,,58-74,,
6:17.0,,,58-74,,Defensive rebound by D. Wade
6:06.0,,,58-74,,T. Gibson misses 2-pt shot from 18 ft
6:05.0,,,58-74,,Offensive rebound by R. Lopez
6:05.0,,,58-76,2,R. Lopez makes 2-pt shot from 2 ft
5:47.0,Turnover by A. Gordon (lost ball),,58-76,,
5:26.0,,,58-76,,J. Butler misses 2-pt shot from 1 ft (block by S. Ibaka)
5:25.0,Defensive rebound by S. Ibaka,,58-76,,
5:22.0,E. Fournier misses 2-pt shot from 3 ft (block by D. Wade),,58-76,,
5:22.0,Offensive rebound by Team,,58-76,,
5:22.0,M. Hezonja enters the game for A. Gordon,,58-76,,
5:22.0,B. Biyombo enters the game for N. Vucevic,,58-76,,
5:22.0,D. Augustin enters the game for E. Payton,,58-76,,
5:22.0,,,58-76,,D. McDermott enters the game for D. Wade
5:14.0,S. Ibaka makes 3-pt shot from 26 ft (assist by D. Augustin),3,61-76,,
4:46.0,,,61-76,,D. McDermott misses 3-pt shot from 26 ft
4:46.0,,,61-76,,Offensive rebound by J. Butler
4:42.0,,,61-76,,Shooting foul by B. Biyombo (drawn by J. Butler)
4:42.0,,,61-77,1,J. Butler makes free throw 1 of 2
4:42.0,,,61-78,1,J. Butler makes free throw 2 of 2
4:42.0,,,61-77,,I. Canaan enters the game for R. Rondo
4:27.0,D. Augustin misses 2-pt shot from 6 ft (block by R. Lopez),,61-78,,
4:25.0,,,61-78,,Defensive rebound by R. Lopez
4:18.0,,,61-78,,Shooting foul by S. Ibaka (drawn by T. Gibson)
4:18.0,,,61-79,1,T. Gibson makes free throw 1 of 2
4:18.0,,,61-80,1,T. Gibson makes free throw 2 of 2
4:18.0,,,61-79,,N. Mirotic enters the game for R. Lopez
4:01.0,M. Hezonja misses 2-pt shot from 3 ft,,61-80,,
4:00.0,,,61-80,,Defensive rebound by T. Gibson
3:55.0,,,61-80,,J. Butler misses 2-pt shot from 1 ft
3:54.0,Defensive rebound by S. Ibaka,,61-80,,
3:46.0,M. Hezonja misses 3-pt shot from 24 ft,,61-80,,
3:45.0,,,61-80,,Defensive rebound by N. Mirotic
3:31.0,,,61-80,,I. Canaan misses 3-pt shot from 25 ft
3:31.0,Defensive rebound by S. Ibaka,,61-80,,
3:20.0,S. Ibaka misses 3-pt shot from 25 ft,,61-80,,
3:19.0,,,61-80,,Defensive rebound by I. Canaan
3:09.0,,,61-82,2,D. McDermott makes 2-pt shot from 2 ft (assist by J. Butler)
3:09.0,,,61-82,,Shooting foul by S. Ibaka (drawn by D. McDermott)
3:09.0,,,61-83,1,D. McDermott makes free throw 1 of 1
3:09.0,J. Green enters the game for S. Ibaka,,61-82,,
2:47.0,E. Fournier misses 3-pt shot from 25 ft,,61-83,,
2:45.0,,,61-83,,Defensive rebound by T. Gibson
2:41.0,,,61-85,2,J. Butler makes 2-pt shot from 2 ft
2:41.0,,,61-85,,Shooting foul by J. Green (drawn by J. Butler)
2:41.0,,,61-85,,Chicago full timeout
2:41.0,,,61-86,1,J. Butler makes free throw 1 of 1
2:25.0,E. Fournier makes 2-pt shot from 2 ft,2,63-86,,
2:01.0,,,63-86,,Turnover by J. Butler (bad pass; steal by E. Fournier)
1:56.0,D. Augustin misses 2-pt shot from 2 ft,,63-86,,
1:55.0,,,63-86,,Defensive rebound by D. McDermott
1:50.0,,,63-88,2,I. Canaan makes 2-pt shot from 6 ft
1:34.0,Turnover by E. Fournier (bad pass; steal by J. Butler),,63-88,,
1:27.0,,,63-88,,N. Mirotic misses 2-pt shot from 3 ft
1:26.0,,,63-88,,Offensive rebound by T. Gibson
1:26.0,,,63-88,,T. Gibson misses 2-pt shot from 1 ft
1:25.0,Defensive rebound by J. Green,,63-88,,
1:21.0,M. Hezonja misses 2-pt shot from 23 ft,,63-88,,
1:19.0,Offensive rebound by J. Green,,63-88,,
1:04.0,J. Green misses 3-pt shot from 25 ft,,63-88,,
1:03.0,,,63-88,,Defensive rebound by D. McDermott
0:47.0,,,63-88,,N. Mirotic misses 3-pt shot from 26 ft
0:46.0,Defensive rebound by B. Biyombo,,63-88,,
0:38.0,D. Augustin misses 2-pt shot from 9 ft,,63-88,,
0:37.0,,,63-88,,Defensive rebound by T. Gibson
0:33.0,,,63-88,,J. Butler misses 2-pt shot from 1 ft (block by M. Hezonja)
0:32.0,Defensive rebound by E. Fournier,,63-88,,
0:13.0,D. Augustin misses 3-pt shot from 23 ft,,63-88,,
0:11.0,Offensive rebound by J. Green,,63-88,,
0:02.0,E. Fournier misses 3-pt shot from 23 ft,,63-88,,
0:01.0,,,63-88,,Defensive rebound by J. Butler
0:01.0,,,63-88,,J. Butler misses 3-pt shot from 71 ft
0:00.0,,,63-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,J. Green misses 2-pt shot from 16 ft,,63-88,,
11:36.0,,,63-88,,Defensive rebound by I. Canaan
11:27.0,,,63-90,2,D. Wade makes 2-pt shot from 12 ft
