time,Orlando,pts.away,score,pts.home,Chicago
3:35.0,Personal foul by A. Onuaku (drawn by P. Zipser),,72-105,,
3:29.0,,,72-108,3,D. Valentine makes 3-pt shot from 26 ft (assist by J. Grant)
3:17.0,M. Hezonja misses 2-pt shot from 5 ft,,72-108,,
3:16.0,,,72-108,,Defensive rebound by B. Portis
3:06.0,,,72-108,,J. Grant misses 2-pt shot from 17 ft
3:05.0,,,72-108,,Offensive rebound by C. Felicio
2:51.0,,,72-108,,J. Grant misses 2-pt shot from 20 ft
2:49.0,Defensive rebound by Team,,72-108,,
2:49.0,,,72-108,,Chicago full timeout
2:49.0,D. Augustin enters the game for M. Hezonja,,72-108,,
2:22.0,C. Watson misses 2-pt shot from 22 ft,,72-108,,
2:21.0,,,72-108,,Defensive rebound by P. Zipser
2:10.0,Personal foul by D. Rudez (drawn by B. Portis),,72-108,,
2:10.0,,,72-109,1,B. Portis makes free throw 1 of 2
2:10.0,,,72-110,1,B. Portis makes free throw 2 of 2
1:55.0,Shooting foul by P. Zipser,,72-110,,
1:55.0,C. Wilcox makes free throw 1 of 2,1,73-110,,
1:55.0,C. Wilcox makes free throw 2 of 2,1,74-110,,
1:38.0,,,74-110,,D. Valentine misses 2-pt shot from 20 ft
1:37.0,Defensive rebound by A. Onuaku,,74-110,,
1:27.0,C. Watson makes 3-pt shot from 25 ft (assist by C. Wilcox),3,77-110,,
1:15.0,,,77-112,2,J. Grant makes 2-pt shot from 15 ft
1:02.0,D. Rudez misses 2-pt shot from 15 ft,,77-112,,
1:01.0,,,77-112,,Defensive rebound by C. Felicio
0:52.0,,,77-112,,Turnover by P. Zipser (bad pass; steal by D. Rudez)
0:46.0,C. Wilcox misses 3-pt shot from 25 ft,,77-112,,
0:45.0,,,77-112,,Defensive rebound by C. Felicio
0:33.0,,,77-112,,J. Grant misses 3-pt shot from 26 ft
0:32.0,Defensive rebound by C. Watson,,77-112,,
0:25.0,C. Wilcox makes 3-pt shot from 24 ft (assist by D. Rudez),3,80-112,,
0:01.0,,,80-112,,Turnover by B. Portis (lost ball)
0:00.0,End of 4th quarter,,,,End of 4th quarter
