time,Washington,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gortat (M. Morris gains possession),,,,Jump ball: A. Davis vs. M. Gortat (M. Morris gains possession)
11:40.0,M. Gortat makes 2-pt shot from 9 ft,2,2-0,,
11:22.0,,,2-0,,Turnover by B. Hield (bad pass; steal by J. Wall)
11:19.0,J. Wall makes 2-pt shot from 2 ft,2,4-0,,
11:14.0,,,4-0,,B. Hield misses 3-pt shot from 25 ft
11:12.0,Defensive rebound by B. Beal,,4-0,,
10:51.0,M. Gortat misses 2-pt shot from 2 ft (block by A. Davis),,4-0,,
10:50.0,,,4-0,,Defensive rebound by J. Holiday
10:34.0,,,4-0,,A. Davis misses 2-pt shot from 20 ft
10:33.0,Defensive rebound by M. Gortat,,4-0,,
10:22.0,B. Beal makes 2-pt shot from 22 ft (assist by J. Wall),2,6-0,,
10:10.0,,,6-0,,S. Hill misses 3-pt shot from 27 ft
10:08.0,Defensive rebound by M. Gortat,,6-0,,
9:59.0,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall),3,9-0,,
9:37.0,,,9-0,,J. Holiday misses 2-pt shot from 15 ft
9:35.0,,,9-0,,Offensive rebound by D. Cunningham
9:34.0,,,9-2,2,D. Cunningham makes 2-pt shot from 6 ft
9:24.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,11-2,,
9:20.0,,,11-2,,New Orleans full timeout
9:11.0,,,11-4,2,A. Davis makes 2-pt shot from 2 ft (assist by S. Hill)
8:54.0,M. Gortat misses 2-pt shot from 3 ft,,11-4,,
8:52.0,,,11-4,,Defensive rebound by A. Davis
8:44.0,,,11-7,3,S. Hill makes 3-pt shot from 26 ft (assist by J. Holiday)
8:24.0,M. Morris misses 2-pt shot from 6 ft,,11-7,,
8:23.0,Offensive rebound by M. Gortat,,11-7,,
8:20.0,J. Wall misses 3-pt shot from 24 ft,,11-7,,
8:18.0,Offensive rebound by M. Morris,,11-7,,
8:18.0,M. Morris misses 2-pt shot from 2 ft,,11-7,,
8:17.0,Offensive rebound by M. Morris,,11-7,,
8:16.0,M. Morris makes 2-pt shot from 2 ft,2,13-7,,
7:59.0,,,13-9,2,J. Holiday makes 2-pt shot from 2 ft (assist by A. Davis)
7:44.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,15-9,,
7:31.0,,,15-9,,A. Davis misses 2-pt shot from 21 ft
7:29.0,Defensive rebound by M. Gortat,,15-9,,
7:21.0,B. Beal misses 2-pt shot from 2 ft,,15-9,,
7:19.0,,,15-9,,Defensive rebound by A. Davis
7:04.0,,,15-9,,J. Holiday misses 3-pt shot from 25 ft
