time,Chicago,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. R. Lopez (B. Portis gains possession),,,,Jump ball: B. Biyombo vs. R. Lopez (B. Portis gains possession)
11:38.0,J. Butler misses 2-pt shot from 12 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by E. Payton
11:26.0,,,0-0,,B. Biyombo misses 2-pt shot from 5 ft
11:25.0,Defensive rebound by R. Lopez,,0-0,,
11:11.0,J. Grant misses 2-pt shot from 20 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by A. Gordon
10:59.0,,,0-3,3,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton)
10:39.0,P. Zipser misses 2-pt shot from 9 ft,,0-3,,
10:37.0,,,0-3,,Defensive rebound by E. Payton
10:35.0,,,0-3,,Turnover by E. Payton (bad pass)
10:09.0,J. Butler makes 2-pt shot from 15 ft,2,2-3,,
9:47.0,,,2-3,,B. Biyombo misses 2-pt shot from 6 ft
9:45.0,Defensive rebound by P. Zipser,,2-3,,
9:43.0,Turnover by P. Zipser (bad pass; steal by E. Payton),,2-3,,
9:39.0,,,2-5,2,E. Payton makes 2-pt shot from 1 ft
9:22.0,R. Lopez makes 2-pt shot from 21 ft (assist by J. Grant),2,4-5,,
9:01.0,,,4-5,,B. Biyombo misses 2-pt shot from 5 ft
9:00.0,Defensive rebound by B. Portis,,4-5,,
8:51.0,Turnover by J. Butler (bad pass),,4-5,,
8:38.0,,,4-7,2,A. Gordon makes 2-pt shot from 1 ft
8:17.0,B. Portis misses 3-pt shot from 23 ft,,4-7,,
8:16.0,,,4-7,,Defensive rebound by T. Ross
8:08.0,,,4-7,,E. Fournier misses 2-pt shot from 2 ft
8:06.0,Defensive rebound by B. Portis,,4-7,,
7:58.0,B. Portis makes 2-pt shot from 2 ft (assist by J. Grant),2,6-7,,
7:40.0,,,6-7,,E. Payton misses 2-pt shot from 19 ft
7:38.0,Defensive rebound by J. Butler,,6-7,,
7:25.0,J. Grant makes 3-pt shot from 25 ft (assist by J. Butler),3,9-7,,
7:09.0,,,9-7,,E. Fournier misses 2-pt shot from 19 ft
7:09.0,Defensive rebound by P. Zipser,,9-7,,
7:02.0,P. Zipser misses 2-pt shot from 1 ft (block by B. Biyombo),,9-7,,
7:00.0,,,9-7,,Defensive rebound by E. Fournier
6:58.0,,,9-7,,Shooting foul by J. Grant (drawn by A. Gordon)
6:58.0,,,9-7,,A. Gordon misses free throw 1 of 2
6:58.0,,,9-7,,Offensive rebound by Team
6:58.0,,,9-8,1,A. Gordon makes free throw 2 of 2
6:43.0,Turnover by J. Butler (lost ball; steal by E. Payton),,9-8,,
6:39.0,,,9-8,,Turnover by E. Payton (bad pass; steal by J. Grant)
6:18.0,P. Zipser misses 2-pt shot from 21 ft,,9-8,,
6:17.0,,,9-8,,Defensive rebound by B. Biyombo
6:07.0,,,9-8,,B. Biyombo misses 2-pt shot from 8 ft
6:07.0,,,9-8,,Offensive rebound by E. Payton
6:07.0,,,9-8,,Shooting foul by P. Zipser (drawn by E. Payton)
6:07.0,,,9-9,1,E. Payton makes free throw 1 of 2
6:07.0,,,9-10,1,E. Payton makes free throw 2 of 2
6:07.0,D. Valentine enters the game for P. Zipser,,9-9,,
5:52.0,J. Butler makes 2-pt shot from 2 ft (assist by R. Lopez),2,11-10,,
5:43.0,,,11-10,,Orlando full timeout
5:36.0,,,11-10,,Shooting foul by D. Valentine (drawn by E. Payton)
5:36.0,,,11-11,1,E. Payton makes free throw 1 of 2
5:36.0,,,11-11,,E. Payton misses free throw 2 of 2
5:35.0,Defensive rebound by B. Portis,,11-11,,
5:25.0,Turnover by B. Portis (bad pass; steal by E. Fournier),,11-11,,
5:19.0,,,11-11,,E. Fournier misses 2-pt shot from 2 ft
5:17.0,Defensive rebound by D. Valentine,,11-11,,
5:10.0,D. Valentine makes 3-pt shot from 25 ft,3,14-11,,
5:00.0,Personal foul by D. Valentine (drawn by T. Ross),,14-11,,
5:00.0,R. Rondo enters the game for B. Portis,,14-11,,
5:00.0,J. Lauvergne enters the game for J. Grant,,14-11,,
4:50.0,,,14-13,2,T. Ross makes 2-pt shot from 18 ft (assist by E. Payton)
4:25.0,J. Lauvergne misses 2-pt shot from 1 ft,,14-13,,
4:24.0,,,14-13,,Defensive rebound by E. Fournier
4:18.0,,,14-15,2,E. Payton makes 2-pt shot from 5 ft
3:50.0,R. Lopez misses 2-pt shot from 9 ft,,14-15,,
3:49.0,,,14-15,,Defensive rebound by E. Payton
3:43.0,,,14-17,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
3:43.0,Chicago full timeout,,14-17,,
3:43.0,,,14-17,,M. Hezonja enters the game for T. Ross
3:30.0,R. Rondo misses 2-pt shot from 9 ft,,14-17,,
3:28.0,Offensive rebound by R. Rondo,,14-17,,
3:27.0,R. Rondo misses 2-pt shot from 1 ft (block by E. Payton),,14-17,,
3:24.0,,,14-17,,Defensive rebound by E. Fournier
3:21.0,,,14-17,,A. Gordon misses 2-pt shot from 1 ft
3:19.0,Defensive rebound by R. Lopez,,14-17,,
3:13.0,D. Valentine misses 3-pt shot from 24 ft,,14-17,,
3:12.0,,,14-17,,Defensive rebound by M. Hezonja
2:52.0,,,14-17,,B. Biyombo misses 2-pt shot from 3 ft
2:49.0,Defensive rebound by R. Lopez,,14-17,,
2:41.0,Shooting foul by M. Hezonja (drawn by J. Butler),,14-17,,
2:41.0,J. Butler makes free throw 1 of 2,1,15-17,,
2:41.0,J. Butler misses free throw 2 of 2,,15-17,,
2:41.0,,,15-17,,D. Augustin enters the game for A. Gordon
2:41.0,,,15-17,,J. Green enters the game for E. Payton
2:39.0,,,15-17,,Defensive rebound by J. Green
2:25.0,,,15-19,2,M. Hezonja makes 2-pt shot from 20 ft
2:08.0,J. Lauvergne makes 3-pt shot from 25 ft (assist by J. Butler),3,18-19,,
1:44.0,,,18-19,,M. Hezonja misses 3-pt shot from 23 ft
1:43.0,Defensive rebound by R. Rondo,,18-19,,
1:24.0,J. Lauvergne makes 2-pt shot from 1 ft (assist by R. Rondo),2,20-19,,
1:05.0,,,20-19,,E. Fournier misses 2-pt shot from 6 ft
1:04.0,Defensive rebound by J. Lauvergne,,20-19,,
1:01.0,,,20-19,,Shooting block foul by D. Augustin (drawn by J. Butler)
1:01.0,J. Butler makes free throw 1 of 2,1,21-19,,
1:01.0,J. Butler makes free throw 2 of 2,1,22-19,,
1:01.0,,,21-19,,C. Watson enters the game for E. Fournier
0:48.0,,,22-19,,Turnover by M. Hezonja (lost ball)
0:33.0,J. Butler misses 3-pt shot from 26 ft,,22-19,,
0:32.0,,,22-19,,Defensive rebound by C. Watson
0:21.0,,,22-19,,J. Green misses 2-pt shot from 3 ft
0:18.0,Defensive rebound by D. Valentine,,22-19,,
0:01.0,D. Valentine misses 3-pt shot from 26 ft,,22-19,,
0:00.0,,,22-19,,Defensive rebound by M. Hezonja
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,22-22,3,D. Augustin makes 3-pt shot from 25 ft (assist by M. Hezonja)
11:27.0,C. Felicio misses 2-pt shot from 3 ft,,22-22,,
11:26.0,Offensive rebound by Team,,22-22,,
11:20.0,R. Rondo makes 3-pt shot from 24 ft,3,25-22,,
11:02.0,,,25-22,,D. Augustin misses 3-pt shot from 26 ft
11:00.0,,,25-22,,Offensive rebound by J. Green
10:39.0,,,25-22,,J. Green misses 3-pt shot from 26 ft
10:38.0,Defensive rebound by D. Valentine,,25-22,,
10:29.0,Shooting foul by J. Green (drawn by J. Lauvergne),,25-22,,
10:29.0,J. Lauvergne misses free throw 1 of 2,,25-22,,
10:29.0,Offensive rebound by Team,,25-22,,
