time,LA Lakers,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Mozgov (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. T. Mozgov (T. Gibson gains possession)
11:38.0,Personal foul by J. Randle (drawn by T. Gibson),,0-0,,
11:27.0,,,0-0,,T. Gibson misses 2-pt shot from 8 ft
11:26.0,,,0-0,,Offensive rebound by R. Lopez
11:26.0,,,0-0,,R. Lopez misses 2-pt shot from 2 ft
11:25.0,,,0-0,,Offensive rebound by R. Lopez
11:25.0,,,0-0,,R. Lopez misses 2-pt shot from 1 ft
11:24.0,Defensive rebound by J. Randle,,0-0,,
11:14.0,J. Randle makes 2-pt shot from 15 ft,2,2-0,,
10:59.0,,,2-0,,R. Rondo misses 2-pt shot from 20 ft
10:58.0,Defensive rebound by J. Randle,,2-0,,
10:42.0,L. Deng misses 2-pt shot from 5 ft,,2-0,,
10:41.0,,,2-0,,Defensive rebound by D. Wade
10:39.0,,,2-0,,Turnover by D. Wade (bad pass; steal by L. Deng)
10:39.0,L. Deng makes 2-pt shot from 2 ft,2,4-0,,
10:39.0,Shooting foul by D. Wade (drawn by L. Deng),,4-0,,
10:39.0,L. Deng misses free throw 1 of 1,,4-0,,
10:38.0,,,4-0,,Defensive rebound by T. Gibson
10:26.0,,,4-2,2,R. Lopez makes 2-pt shot from 19 ft (assist by T. Gibson)
10:03.0,Turnover by T. Mozgov (traveling),,4-2,,
9:50.0,,,4-2,,R. Lopez misses 2-pt shot from 18 ft
9:49.0,Defensive rebound by J. Randle,,4-2,,
9:37.0,B. Ingram misses 3-pt shot from 25 ft,,4-2,,
9:36.0,,,4-2,,Defensive rebound by R. Rondo
9:22.0,,,4-4,2,J. Butler makes 2-pt shot from 3 ft (assist by R. Lopez)
9:00.0,L. Deng misses 2-pt shot from 1 ft (block by R. Lopez),,4-4,,
8:58.0,Offensive rebound by T. Mozgov,,4-4,,
8:56.0,Turnover by Team (shot clock),,4-4,,
8:44.0,,,4-6,2,T. Gibson makes 2-pt shot from 20 ft (assist by R. Rondo)
8:31.0,T. Mozgov misses 2-pt shot from 2 ft (block by R. Lopez),,4-6,,
8:29.0,,,4-6,,Defensive rebound by T. Gibson
8:18.0,,,4-6,,J. Butler misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by J. Randle,,4-6,,
7:53.0,L. Deng makes 3-pt shot from 24 ft (assist by J. Calderon),3,7-6,,
7:37.0,,,7-6,,D. Wade misses 2-pt shot from 6 ft
7:36.0,Defensive rebound by L. Deng,,7-6,,
7:30.0,Turnover by J. Randle (bad pass; steal by D. Wade),,7-6,,
7:27.0,,,7-8,2,D. Wade makes 2-pt shot at rim (assist by T. Gibson)
7:13.0,Turnover by J. Calderon (bad pass; steal by J. Butler),,7-8,,
7:09.0,,,7-10,2,T. Gibson makes 2-pt shot at rim (assist by R. Rondo)
6:58.0,J. Randle misses 2-pt shot from 10 ft,,7-10,,
6:57.0,,,7-10,,Defensive rebound by R. Lopez
6:51.0,,,7-10,,Shooting foul by T. Mozgov (drawn by J. Butler)
6:51.0,,,7-10,,J. Butler misses free throw 1 of 2
6:51.0,,,7-10,,Offensive rebound by Team
6:51.0,LA Lakers full timeout,,7-10,,
6:51.0,,,7-11,1,J. Butler makes free throw 2 of 2
6:37.0,L. Deng misses 2-pt shot from 18 ft,,7-11,,
6:36.0,,,7-11,,Defensive rebound by T. Gibson
6:29.0,,,7-11,,Shooting foul by B. Ingram (drawn by D. Wade)
6:29.0,,,7-11,,D. Wade misses free throw 1 of 2
6:29.0,,,7-11,,Offensive rebound by Team
6:29.0,,,7-12,1,D. Wade makes free throw 2 of 2
6:29.0,J. Clarkson enters the game for B. Ingram,,7-11,,
6:16.0,J. Calderon makes 2-pt shot from 19 ft,2,9-12,,
5:56.0,,,9-12,,T. Gibson misses 2-pt shot from 19 ft
5:56.0,,,9-12,,Offensive rebound by Team
5:56.0,Loose ball foul by T. Mozgov (drawn by R. Lopez),,9-12,,
5:56.0,T. Black enters the game for T. Mozgov,,9-12,,
5:48.0,,,9-14,2,D. Wade makes 2-pt shot from 13 ft (assist by T. Gibson)
5:43.0,Turnover by J. Calderon (back court),,9-14,,
5:25.0,,,9-16,2,T. Gibson makes 2-pt shot from 6 ft (assist by D. Wade)
5:11.0,Shooting foul by T. Gibson (drawn by J. Randle),,9-16,,
5:11.0,J. Randle misses free throw 1 of 2,,9-16,,
5:11.0,Offensive rebound by Team,,9-16,,
5:11.0,J. Randle makes free throw 2 of 2,1,10-16,,
5:11.0,,,9-16,,N. Mirotic enters the game for T. Gibson
5:11.0,,,9-16,,I. Canaan enters the game for D. Wade
5:00.0,,,10-18,2,N. Mirotic makes 2-pt shot from 3 ft (assist by R. Rondo)
4:47.0,J. Clarkson misses 2-pt shot from 5 ft,,10-18,,
4:45.0,Offensive rebound by J. Randle,,10-18,,
4:45.0,J. Randle misses 2-pt shot from 2 ft,,10-18,,
4:45.0,Offensive rebound by J. Randle,,10-18,,
4:43.0,J. Randle makes 2-pt shot from 2 ft,2,12-18,,
4:17.0,,,12-18,,R. Lopez misses 2-pt shot from 19 ft
4:15.0,,,12-18,,Offensive rebound by R. Rondo
4:12.0,,,12-20,2,J. Butler makes 2-pt shot from 2 ft (assist by R. Rondo)
3:58.0,J. Clarkson misses 2-pt shot from 3 ft (block by R. Lopez),,12-20,,
3:56.0,,,12-20,,Defensive rebound by N. Mirotic
3:49.0,,,12-20,,I. Canaan misses 3-pt shot from 25 ft
3:47.0,Defensive rebound by L. Deng,,12-20,,
3:38.0,Turnover by L. Deng (bad pass; steal by J. Butler),,12-20,,
3:38.0,Personal foul by T. Black (drawn by J. Butler),,12-20,,
3:38.0,,,12-21,1,J. Butler makes free throw 1 of 2
3:38.0,,,12-22,1,J. Butler makes free throw 2 of 2
3:38.0,,,12-21,,D. Valentine enters the game for R. Rondo
3:38.0,L. Williams enters the game for J. Calderon,,12-21,,
3:38.0,L. Nance enters the game for J. Randle,,12-21,,
3:22.0,Turnover by L. Nance (bad pass; steal by D. Valentine),,12-22,,
3:04.0,,,12-22,,N. Mirotic misses 2-pt shot from 20 ft
3:04.0,,,12-22,,Offensive rebound by N. Mirotic
3:04.0,,,12-22,,N. Mirotic misses 2-pt shot from 20 ft (block by T. Black)
3:04.0,,,12-22,,Offensive rebound by Team
3:04.0,,,12-22,,Chicago full timeout
3:04.0,B. Ingram enters the game for L. Deng,,12-22,,
3:00.0,,,12-22,,R. Lopez misses 2-pt shot from 18 ft
2:59.0,Defensive rebound by B. Ingram,,12-22,,
2:40.0,J. Clarkson misses 2-pt shot from 14 ft,,12-22,,
2:39.0,,,12-22,,Defensive rebound by R. Lopez
2:27.0,,,12-22,,N. Mirotic misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by L. Williams,,12-22,,
2:19.0,L. Williams makes 2-pt shot from 11 ft (assist by J. Clarkson),2,14-22,,
1:58.0,,,14-22,,D. Valentine misses 2-pt shot from 17 ft
1:57.0,,,14-22,,Offensive rebound by R. Lopez
1:54.0,,,14-22,,Shooting foul by T. Black (drawn by J. Butler)
1:54.0,,,14-23,1,J. Butler makes free throw 1 of 2
1:54.0,,,14-24,1,J. Butler makes free throw 2 of 2
1:32.0,B. Ingram misses 2-pt shot from 19 ft,,14-24,,
1:31.0,Offensive rebound by T. Black,,14-24,,
1:27.0,Turnover by T. Black (bad pass; steal by D. Valentine),,14-24,,
1:24.0,,,14-26,2,R. Lopez makes 2-pt shot at rim (assist by D. Valentine)
1:09.0,J. Clarkson misses 2-pt shot from 16 ft,,14-26,,
1:07.0,,,14-26,,Defensive rebound by N. Mirotic
0:51.0,,,14-26,,D. Valentine misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by J. Clarkson,,14-26,,
0:43.0,Turnover by J. Clarkson (bad pass; steal by J. Butler),,14-26,,
0:40.0,,,14-28,2,I. Canaan makes 2-pt shot at rim
0:30.0,Shooting foul by R. Lopez (drawn by T. Black),,14-28,,
0:30.0,T. Black misses free throw 1 of 2,,14-28,,
0:30.0,Offensive rebound by Team,,14-28,,
0:30.0,T. Black makes free throw 2 of 2,1,15-28,,
0:30.0,,,14-28,,B. Portis enters the game for R. Lopez
0:21.0,,,15-28,,Turnover by J. Butler (bad pass; steal by L. Williams)
0:18.0,J. Clarkson makes 2-pt shot from 2 ft (assist by L. Williams),2,17-28,,
0:01.0,,,17-28,,J. Butler misses 2-pt shot from 15 ft
0:00.0,Defensive rebound by L. Nance,,17-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Shooting foul by B. Portis (drawn by T. Black),,17-28,,
11:43.0,T. Black misses free throw 1 of 2,,17-28,,
11:43.0,Offensive rebound by Team,,17-28,,
11:43.0,T. Black makes free throw 2 of 2,1,18-28,,
11:30.0,,,18-30,2,B. Portis makes 2-pt shot at rim (assist by D. Wade)
11:21.0,Shooting foul by B. Portis (drawn by B. Ingram),,18-30,,
11:21.0,B. Ingram makes free throw 1 of 2,1,19-30,,
11:21.0,B. Ingram makes free throw 2 of 2,1,20-30,,
11:11.0,,,20-30,,Turnover by I. Canaan (bad pass; steal by B. Ingram)
11:04.0,J. Clarkson makes 2-pt shot from 1 ft (assist by B. Ingram),2,22-30,,
10:47.0,,,22-30,,D. Wade misses 2-pt shot from 18 ft
10:46.0,,,22-30,,Offensive rebound by B. Portis
10:32.0,,,22-30,,D. Wade misses 3-pt shot from 25 ft
10:31.0,,,22-30,,Offensive rebound by B. Portis
10:30.0,,,22-30,,Shooting foul by T. Black (drawn by B. Portis)
10:30.0,,,22-31,1,B. Portis makes free throw 1 of 2
10:30.0,,,22-31,,B. Portis misses free throw 2 of 2
10:30.0,T. Robinson enters the game for T. Black,,22-31,,
10:27.0,Defensive rebound by L. Nance,,22-31,,
10:17.0,L. Williams misses 3-pt shot from 25 ft,,22-31,,
10:13.0,Offensive rebound by T. Robinson,,22-31,,
10:07.0,L. Williams misses 2-pt shot from 3 ft,,22-31,,
10:06.0,Offensive rebound by L. Nance,,22-31,,
10:06.0,Shooting foul by D. Valentine (drawn by L. Nance),,22-31,,
10:06.0,L. Nance makes 2-pt shot from 2 ft,2,24-31,,
10:06.0,L. Nance misses free throw 1 of 1,,24-31,,
10:06.0,,,24-31,,T. Gibson enters the game for N. Mirotic
10:03.0,Offensive rebound by T. Robinson,,24-31,,
9:55.0,Shooting foul by D. Valentine,,24-31,,
9:55.0,L. Williams makes free throw 1 of 2,1,25-31,,
9:55.0,L. Williams makes free throw 2 of 2,1,26-31,,
9:55.0,,,25-31,,R. Rondo enters the game for D. Valentine
9:39.0,,,26-33,2,D. Wade makes 2-pt shot from 2 ft
9:16.0,L. Nance makes 2-pt shot from 22 ft (assist by T. Robinson),2,28-33,,
8:59.0,,,28-33,,D. Wade misses 2-pt shot from 15 ft
8:57.0,Defensive rebound by L. Williams,,28-33,,
8:46.0,Turnover by B. Ingram (back court),,28-33,,
8:46.0,,,28-33,,Chicago full timeout
8:25.0,,,28-33,,D. Wade misses 2-pt shot from 18 ft
8:23.0,Defensive rebound by T. Robinson,,28-33,,
8:12.0,,,28-33,,Personal foul by D. Wade (drawn by B. Ingram)
8:12.0,B. Ingram makes free throw 1 of 2,1,29-33,,
8:12.0,B. Ingram makes free throw 2 of 2,1,30-33,,
7:56.0,,,30-33,,Turnover by D. Wade (bad pass; steal by T. Robinson)
7:52.0,Turnover by J. Clarkson (lost ball; steal by D. Wade),,30-33,,
7:50.0,Personal foul by L. Nance (drawn by T. Gibson),,30-33,,
7:43.0,,,30-35,2,D. Wade makes 2-pt shot from 3 ft
7:36.0,J. Clarkson makes 2-pt shot from 3 ft (assist by L. Williams),2,32-35,,
7:24.0,,,32-35,,I. Canaan misses 2-pt shot from 20 ft
7:22.0,,,32-35,,Offensive rebound by B. Portis
7:19.0,Violation by L. Williams (kicked ball),,32-35,,
7:19.0,,,32-35,,J. Butler enters the game for I. Canaan
7:14.0,,,32-35,,Shooting foul by L. Nance (drawn by T. Gibson)
7:14.0,,,32-35,,T. Gibson misses free throw 1 of 2
7:14.0,,,32-35,,Offensive rebound by Team
7:14.0,,,32-35,,T. Gibson misses free throw 2 of 2
7:14.0,J. Randle enters the game for T. Robinson,,32-35,,
7:12.0,Defensive rebound by L. Nance,,32-35,,
6:57.0,L. Williams makes 2-pt shot from 20 ft (assist by B. Ingram),2,34-35,,
6:43.0,,,34-35,,D. Wade misses 2-pt shot from 20 ft
6:40.0,,,34-35,,Offensive rebound by B. Portis
6:40.0,,,34-35,,B. Portis misses 2-pt shot from 2 ft
6:37.0,Defensive rebound by J. Clarkson,,34-35,,
6:25.0,L. Williams misses 3-pt shot from 23 ft,,34-35,,
6:24.0,,,34-35,,Defensive rebound by D. Wade
6:22.0,,,34-37,2,J. Butler makes 2-pt shot from 5 ft (assist by D. Wade)
6:22.0,,,34-37,,Shooting foul by J. Clarkson (drawn by J. Butler)
6:22.0,LA Lakers full timeout,,34-37,,
6:22.0,,,34-38,1,J. Butler makes free throw 1 of 1
6:22.0,L. Deng enters the game for J. Clarkson,,34-37,,
6:01.0,Turnover by L. Deng (traveling),,34-38,,
5:46.0,,,34-40,2,D. Wade makes 2-pt shot from 2 ft
5:32.0,B. Ingram misses 2-pt shot from 21 ft,,34-40,,
5:30.0,Offensive rebound by L. Nance,,34-40,,
5:30.0,L. Nance makes 2-pt shot from 2 ft,2,36-40,,
5:12.0,,,36-40,,Turnover by R. Rondo (bad pass)
5:12.0,,,36-40,,R. Lopez enters the game for B. Portis
5:12.0,T. Mozgov enters the game for L. Nance,,36-40,,
4:58.0,B. Ingram misses 2-pt shot from 4 ft (block by R. Lopez),,36-40,,
4:57.0,,,36-40,,Defensive rebound by R. Rondo
4:52.0,,,36-40,,J. Butler misses 2-pt shot from 2 ft (block by L. Williams)
4:49.0,Defensive rebound by L. Williams,,36-40,,
4:46.0,J. Randle misses 2-pt shot from 3 ft,,36-40,,
4:45.0,,,36-40,,Defensive rebound by T. Gibson
4:38.0,,,36-40,,J. Butler misses 3-pt shot from 24 ft
4:37.0,Defensive rebound by T. Mozgov,,36-40,,
4:27.0,L. Williams misses 2-pt shot from 7 ft,,36-40,,
4:25.0,Offensive rebound by J. Randle,,36-40,,
4:24.0,J. Randle misses 2-pt shot from 2 ft (block by T. Gibson),,36-40,,
4:22.0,Offensive rebound by J. Randle,,36-40,,
4:19.0,L. Williams misses 2-pt shot from 8 ft,,36-40,,
4:17.0,,,36-40,,Defensive rebound by R. Lopez
4:16.0,,,36-40,,I. Canaan enters the game for D. Wade
4:06.0,,,36-42,2,R. Rondo makes 2-pt shot from 19 ft (assist by J. Butler)
3:46.0,L. Deng makes 2-pt shot from 2 ft,2,38-42,,
