time,Detroit,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. B. Lopez (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. B. Lopez (R. Jackson gains possession)
11:43.0,A. Drummond makes 2-pt shot from 11 ft,2,2-0,,
11:20.0,,,2-0,,R. Hollis-Jefferson misses 2-pt shot from 15 ft
11:19.0,Defensive rebound by A. Drummond,,2-0,,
11:12.0,Turnover by M. Morris (lost ball; steal by C. LeVert),,2-0,,
11:09.0,,,2-2,2,C. LeVert makes 2-pt shot from 2 ft
10:41.0,A. Drummond misses 2-pt shot from 15 ft,,2-2,,
10:40.0,,,2-2,,Defensive rebound by S. Dinwiddie
10:28.0,,,2-2,,R. Foye misses 2-pt shot from 18 ft
10:27.0,Defensive rebound by A. Drummond,,2-2,,
10:16.0,T. Harris makes 2-pt shot from 1 ft,2,4-2,,
10:00.0,,,4-2,,C. LeVert misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by A. Drummond,,4-2,,
9:52.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson),3,7-2,,
9:33.0,,,7-2,,R. Foye misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by M. Morris,,7-2,,
9:19.0,M. Morris misses 2-pt shot from 18 ft,,7-2,,
9:18.0,,,7-2,,Defensive rebound by R. Hollis-Jefferson
9:12.0,Personal foul by M. Morris (drawn by R. Hollis-Jefferson),,7-2,,
9:09.0,,,7-4,2,B. Lopez makes 2-pt shot at rim (assist by R. Foye)
8:55.0,Turnover by R. Jackson (bad pass),,7-4,,
8:42.0,Personal block foul by A. Drummond (drawn by B. Lopez),,7-4,,
8:30.0,,,7-7,3,B. Lopez makes 3-pt shot from 26 ft (assist by R. Foye)
8:09.0,R. Jackson misses 3-pt shot from 24 ft,,7-7,,
8:08.0,,,7-7,,Defensive rebound by R. Foye
7:57.0,,,7-7,,B. Lopez misses 3-pt shot from 26 ft
7:56.0,Defensive rebound by K. Caldwell-Pope,,7-7,,
7:46.0,Shooting foul by S. Dinwiddie (drawn by T. Harris),,7-7,,
7:46.0,T. Harris misses free throw 1 of 2,,7-7,,
7:46.0,Offensive rebound by Team,,7-7,,
7:46.0,T. Harris makes free throw 2 of 2,1,8-7,,
