time,Brooklyn,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:47.0,B. Bogdanovic misses 2-pt shot from 2 ft,,0-0,,
12:00.0,Jump ball: S. Adams vs. B. Lopez (R. Foye gains possession),,,,Jump ball: S. Adams vs. B. Lopez (R. Foye gains possession)
11:46.0,,,0-0,,Defensive rebound by S. Adams
11:21.0,,,0-0,,A. Roberson misses 3-pt shot from 26 ft
11:20.0,,,0-0,,Offensive rebound by V. Oladipo
11:18.0,,,0-2,2,V. Oladipo makes 2-pt shot at rim
11:06.0,,,0-2,,Personal foul by D. Sabonis (drawn by B. Bogdanovic)
10:56.0,B. Lopez makes 3-pt shot from 25 ft (assist by R. Foye),3,3-2,,
10:44.0,,,3-2,,D. Sabonis misses 2-pt shot from 3 ft
10:44.0,Defensive rebound by R. Hollis-Jefferson,,3-2,,
10:32.0,T. Booker misses 2-pt shot from 4 ft,,3-2,,
10:31.0,,,3-2,,Defensive rebound by A. Roberson
10:28.0,,,3-2,,Offensive foul by S. Adams
10:28.0,,,3-2,,Turnover by S. Adams (offensive foul)
10:10.0,R. Hollis-Jefferson misses 2-pt shot at rim (block by D. Sabonis),,3-2,,
10:09.0,,,3-2,,Defensive rebound by R. Westbrook
10:08.0,Personal foul by B. Bogdanovic (drawn by R. Westbrook),,3-2,,
9:55.0,,,3-4,2,A. Roberson makes 2-pt shot at rim
9:45.0,Turnover by T. Booker (lost ball; steal by A. Roberson),,3-4,,
9:36.0,,,3-4,,A. Roberson misses 3-pt shot from 23 ft
9:36.0,Defensive rebound by R. Foye,,3-4,,
9:14.0,B. Lopez misses 2-pt shot from 10 ft,,3-4,,
9:13.0,,,3-4,,Defensive rebound by S. Adams
9:05.0,,,3-6,2,R. Westbrook makes 2-pt shot from 2 ft
8:49.0,R. Foye makes 2-pt shot from 13 ft,2,5-6,,
8:29.0,,,5-8,2,S. Adams makes 2-pt shot at rim (assist by V. Oladipo)
8:10.0,Turnover by R. Hollis-Jefferson (bad pass; steal by D. Sabonis),,5-8,,
8:02.0,,,5-10,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:43.0,R. Hollis-Jefferson makes 3-pt shot from 26 ft (assist by B. Lopez),3,8-10,,
7:29.0,,,8-10,,D. Sabonis misses 3-pt shot from 24 ft
7:28.0,,,8-10,,Offensive rebound by A. Roberson
7:26.0,,,8-10,,A. Roberson misses 2-pt shot from 3 ft (block by B. Lopez)
7:26.0,,,8-10,,Offensive rebound by Team
7:26.0,J. Hamilton enters the game for T. Booker,,8-10,,
7:16.0,,,8-12,2,R. Westbrook makes 2-pt shot from 13 ft
6:59.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,10-12,,
6:46.0,,,10-14,2,D. Sabonis makes 2-pt shot from 18 ft (assist by R. Westbrook)
6:32.0,B. Lopez makes 3-pt shot from 23 ft (assist by R. Foye),3,13-14,,
6:13.0,Def 3 sec tech foul by R. Hollis-Jefferson,,13-14,,
6:13.0,,,13-14,,R. Westbrook misses technical free throw
6:13.0,,,13-14,,Offensive rebound by Team
6:13.0,,,13-14,,Oklahoma City full timeout
6:13.0,,,13-14,,E. Kanter enters the game for S. Adams
6:13.0,,,13-14,,A. Abrines enters the game for V. Oladipo
6:13.0,I. Whitehead enters the game for B. Bogdanovic,,13-14,,
6:13.0,J. Harris enters the game for R. Foye,,13-14,,
6:08.0,,,13-16,2,R. Westbrook makes 2-pt shot from 1 ft
5:53.0,Shooting foul by E. Kanter (drawn by B. Lopez),,13-16,,
5:53.0,B. Lopez makes free throw 1 of 2,1,14-16,,
5:53.0,B. Lopez makes free throw 2 of 2,1,15-16,,
5:42.0,,,15-16,,Turnover by E. Kanter (lost ball; steal by R. Hollis-Jefferson)
5:42.0,,,15-16,,Clear path foul by D. Sabonis
5:42.0,R. Hollis-Jefferson makes clear path free throw 1 of 2,1,16-16,,
5:42.0,R. Hollis-Jefferson makes clear path free throw 2 of 2,1,17-16,,
5:42.0,,,15-16,,S. Adams enters the game for D. Sabonis
5:35.0,B. Lopez makes 3-pt shot from 24 ft (assist by I. Whitehead),3,20-16,,
5:23.0,,,20-16,,E. Kanter misses 2-pt shot from 20 ft
5:22.0,,,20-16,,Offensive rebound by R. Westbrook
5:21.0,,,20-18,2,R. Westbrook makes 2-pt shot from 1 ft
5:06.0,Shooting foul by A. Abrines (drawn by R. Hollis-Jefferson),,20-18,,
5:06.0,R. Hollis-Jefferson makes free throw 1 of 2,1,21-18,,
5:06.0,R. Hollis-Jefferson makes free throw 2 of 2,1,22-18,,
4:50.0,,,22-21,3,A. Abrines makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:40.0,B. Lopez misses 2-pt shot from 1 ft,,22-21,,
4:39.0,,,22-21,,Defensive rebound by E. Kanter
4:34.0,,,22-21,,Shooting foul by J. Hamilton (drawn by E. Kanter)
4:34.0,,,22-22,1,E. Kanter makes free throw 1 of 2
4:34.0,,,22-23,1,E. Kanter makes free throw 2 of 2
4:26.0,J. Harris makes 3-pt shot from 24 ft (assist by I. Whitehead),3,25-23,,
4:03.0,,,25-25,2,A. Abrines makes 2-pt shot from 21 ft (assist by A. Roberson)
3:52.0,B. Lopez misses 3-pt shot from 26 ft,,25-25,,
3:52.0,,,25-25,,Defensive rebound by A. Roberson
3:46.0,,,25-28,3,A. Abrines makes 3-pt shot from 23 ft (assist by R. Westbrook)
3:26.0,I. Whitehead misses 3-pt shot from 24 ft,,25-28,,
3:25.0,Offensive rebound by B. Lopez,,25-28,,
3:21.0,R. Hollis-Jefferson misses 2-pt shot at rim,,25-28,,
3:21.0,,,25-28,,Defensive rebound by E. Kanter
3:12.0,,,25-28,,A. Abrines misses 3-pt shot from 23 ft
3:12.0,Defensive rebound by J. Hamilton,,25-28,,
3:03.0,B. Lopez makes 3-pt shot from 25 ft (assist by I. Whitehead),3,28-28,,
2:44.0,,,28-28,,Turnover by E. Kanter (lost ball)
2:44.0,Brooklyn full timeout,,28-28,,
2:44.0,,,28-28,,V. Oladipo enters the game for A. Roberson
2:44.0,,,28-28,,S. Christon enters the game for R. Westbrook
2:44.0,S. Kilpatrick enters the game for R. Hollis-Jefferson,,28-28,,
2:44.0,T. Booker enters the game for B. Lopez,,28-28,,
2:29.0,J. Hamilton makes 2-pt shot from 1 ft (assist by J. Harris),2,30-28,,
2:16.0,,,30-28,,Shooting foul by I. Whitehead (drawn by E. Kanter)
2:16.0,,,30-29,1,E. Kanter makes free throw 1 of 2
2:16.0,,,30-30,1,E. Kanter makes free throw 2 of 2
2:02.0,J. Hamilton makes 3-pt shot from 24 ft (assist by S. Kilpatrick),3,33-30,,
1:45.0,,,33-30,,Turnover by V. Oladipo (bad pass; steal by I. Whitehead)
1:40.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by I. Whitehead),2,35-30,,
1:18.0,,,35-30,,Shooting foul by J. Hamilton (drawn by S. Adams)
1:18.0,,,35-31,1,S. Adams makes free throw 1 of 2
1:18.0,,,35-32,1,S. Adams makes free throw 2 of 2
1:18.0,,,35-31,,J. Grant enters the game for E. Kanter
1:18.0,A. Bennett enters the game for J. Hamilton,,35-31,,
1:06.0,T. Booker makes 2-pt shot from 9 ft,2,37-32,,
0:46.0,,,37-32,,S. Christon misses 2-pt shot from 17 ft
0:46.0,Defensive rebound by S. Kilpatrick,,37-32,,
0:36.0,S. Kilpatrick misses 2-pt shot from 5 ft,,37-32,,
0:36.0,,,37-32,,Defensive rebound by S. Christon
0:31.0,,,37-34,2,V. Oladipo makes 2-pt shot from 15 ft
0:21.0,A. Bennett makes 3-pt shot from 24 ft (assist by S. Kilpatrick),3,40-34,,
0:01.0,,,40-34,,V. Oladipo misses 3-pt shot from 24 ft
