time,Toronto,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Hernangomez vs. J. Valanciunas (S. Ibaka gains possession),,,,Jump ball: W. Hernangomez vs. J. Valanciunas (S. Ibaka gains possession)
11:38.0,J. Valanciunas misses 2-pt shot from 5 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by W. Hernangomez
11:22.0,,,0-0,,Turnover by C. Lee (bad pass; steal by J. Valanciunas)
11:02.0,J. Valanciunas misses 2-pt shot from 5 ft,,0-0,,
11:01.0,,,0-0,,Defensive rebound by M. Ndour
10:46.0,,,0-2,2,J. Holiday makes 2-pt shot from 19 ft (assist by W. Hernangomez)
10:32.0,S. Ibaka makes 2-pt shot from 13 ft,2,2-2,,
10:20.0,,,2-2,,C. Lee misses 2-pt shot from 16 ft
10:19.0,Defensive rebound by J. Valanciunas,,2-2,,
10:11.0,S. Ibaka misses 2-pt shot from 5 ft,,2-2,,
10:09.0,,,2-2,,Defensive rebound by W. Hernangomez
10:00.0,,,2-4,2,W. Hernangomez makes 2-pt shot from 4 ft (assist by R. Baker)
9:44.0,D. DeRozan misses 2-pt shot from 16 ft,,2-4,,
9:43.0,,,2-4,,Defensive rebound by R. Baker
9:33.0,,,2-4,,W. Hernangomez misses 2-pt shot from 6 ft
9:31.0,Defensive rebound by K. Lowry,,2-4,,
9:26.0,Turnover by K. Lowry (lost ball; steal by J. Holiday),,2-4,,
9:18.0,,,2-4,,J. Holiday misses 3-pt shot from 24 ft
9:17.0,Defensive rebound by S. Ibaka,,2-4,,
9:03.0,S. Ibaka makes 2-pt shot from 20 ft (assist by K. Lowry),2,4-4,,
8:37.0,,,4-6,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by C. Lee)
8:24.0,D. Carroll misses 3-pt shot from 22 ft,,4-6,,
8:22.0,Offensive rebound by Team,,4-6,,
8:10.0,Turnover by J. Valanciunas (lost ball; steal by W. Hernangomez),,4-6,,
8:03.0,,,4-8,2,W. Hernangomez makes 2-pt shot from 4 ft (assist by C. Lee)
7:35.0,Shooting foul by M. Ndour (drawn by D. DeRozan),,4-8,,
7:35.0,D. DeRozan makes free throw 1 of 2,1,5-8,,
7:35.0,D. DeRozan makes free throw 2 of 2,1,6-8,,
7:16.0,,,6-10,2,C. Lee makes 2-pt shot from 17 ft (assist by R. Baker)
7:03.0,D. DeRozan makes 2-pt shot from 5 ft,2,8-10,,
6:43.0,,,8-13,3,W. Hernangomez makes 3-pt shot from 24 ft (assist by R. Baker)
6:29.0,Shooting foul by M. Ndour (drawn by D. DeRozan),,8-13,,
6:29.0,D. DeRozan makes free throw 1 of 2,1,9-13,,
6:29.0,D. DeRozan makes free throw 2 of 2,1,10-13,,
6:29.0,P. Patterson enters the game for J. Valanciunas,,9-13,,
6:29.0,,,9-13,,M. Kuzminskas enters the game for M. Ndour
6:12.0,,,10-13,,C. Lee misses 2-pt shot from 15 ft
6:11.0,Defensive rebound by P. Patterson,,10-13,,
6:02.0,D. DeRozan makes 2-pt shot from 3 ft,2,12-13,,
5:55.0,,,12-13,,New York full timeout
5:48.0,,,12-13,,Shooting foul by D. DeRozan (drawn by W. Hernangomez)
5:48.0,,,12-14,1,W. Hernangomez makes free throw 1 of 2
5:48.0,,,12-15,1,W. Hernangomez makes free throw 2 of 2
5:42.0,D. DeRozan makes 2-pt shot from 5 ft,2,14-15,,
5:26.0,,,14-15,,M. Kuzminskas misses 3-pt shot from 25 ft
5:24.0,,,14-15,,Offensive rebound by W. Hernangomez
5:22.0,,,14-15,,C. Lee misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by D. DeRozan,,14-15,,
5:07.0,D. DeRozan makes 2-pt shot from 14 ft,2,16-15,,
4:43.0,,,16-17,2,R. Baker makes 2-pt shot from 1 ft
4:18.0,S. Ibaka misses 2-pt shot from 6 ft,,16-17,,
4:16.0,,,16-17,,Defensive rebound by R. Baker
4:07.0,,,16-20,3,R. Baker makes 3-pt shot from 24 ft
3:45.0,K. Lowry makes 2-pt shot from 2 ft (assist by D. Carroll),2,18-20,,
3:24.0,,,18-22,2,J. Holiday makes 2-pt shot at rim (assist by W. Hernangomez)
3:11.0,D. DeRozan makes 2-pt shot from 4 ft,2,20-22,,
3:11.0,Shooting foul by M. Kuzminskas (drawn by D. DeRozan),,20-22,,
3:11.0,D. DeRozan makes free throw 1 of 1,1,21-22,,
3:11.0,,,20-22,,K. O'Quinn enters the game for W. Hernangomez
3:11.0,,,20-22,,C. Randle enters the game for J. Holiday
3:11.0,C. Joseph enters the game for D. Carroll,,20-22,,
3:11.0,P. Tucker enters the game for K. Lowry,,20-22,,
2:52.0,,,21-22,,K. O'Quinn misses 2-pt shot from 18 ft
2:50.0,Defensive rebound by P. Patterson,,21-22,,
2:41.0,P. Patterson misses 3-pt shot from 24 ft,,21-22,,
2:39.0,,,21-22,,Defensive rebound by C. Randle
2:30.0,,,21-22,,M. Kuzminskas misses 3-pt shot from 25 ft
2:28.0,,,21-22,,Offensive rebound by C. Lee
2:25.0,,,21-22,,Shooting foul by D. DeRozan (drawn by C. Randle)
2:25.0,Toronto full timeout,,21-22,,
2:25.0,,,21-23,1,C. Randle makes free throw 1 of 2
2:25.0,,,21-24,1,C. Randle makes free throw 2 of 2
2:25.0,D. Wright enters the game for S. Ibaka,,21-22,,
2:25.0,J. Valanciunas enters the game for D. DeRozan,,21-22,,
2:25.0,,,21-22,,S. Vujacic enters the game for C. Lee
2:04.0,C. Joseph misses 3-pt shot from 25 ft,,21-24,,
2:02.0,,,21-24,,Defensive rebound by R. Baker
1:43.0,,,21-27,3,C. Randle makes 3-pt shot from 24 ft (assist by R. Baker)
1:29.0,J. Valanciunas misses 2-pt shot from 20 ft,,21-27,,
1:27.0,,,21-27,,Defensive rebound by S. Vujacic
1:17.0,,,21-29,2,M. Kuzminskas makes 2-pt shot from 4 ft
1:00.0,P. Patterson misses 3-pt shot from 23 ft,,21-29,,
0:59.0,,,21-29,,Defensive rebound by R. Baker
0:42.0,,,21-29,,R. Baker misses 3-pt shot from 23 ft
0:40.0,Defensive rebound by P. Tucker,,21-29,,
0:31.0,C. Joseph makes 2-pt shot from 16 ft,2,23-29,,
0:25.0,,,23-29,,S. Vujacic misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by J. Valanciunas,,23-29,,
0:06.0,,,23-29,,Personal foul by C. Randle (drawn by C. Joseph)
0:02.0,Turnover by C. Joseph (traveling),,23-29,,
0:01.0,,,23-29,,M. Kuzminskas misses 3-pt shot from 32 ft
0:00.0,,,23-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,23-29,,K. O'Quinn misses 2-pt shot from 7 ft
11:38.0,,,23-29,,Offensive rebound by J. Holiday
11:18.0,,,23-32,3,M. Kuzminskas makes 3-pt shot from 25 ft (assist by C. Randle)
10:54.0,P. Tucker misses 3-pt shot from 25 ft,,23-32,,
10:52.0,,,23-32,,Defensive rebound by C. Randle
