time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:36.0,,,0-0,,J. Crowder misses 3-pt shot from 29 ft
12:00.0,Jump ball: A. Horford vs. T. Thompson (I. Thomas gains possession),,,,Jump ball: A. Horford vs. T. Thompson (I. Thomas gains possession)
11:35.0,Defensive rebound by T. Thompson,,0-0,,
11:23.0,K. Love misses 2-pt shot from 14 ft (block by A. Horford),,0-0,,
11:22.0,Offensive rebound by K. Love,,0-0,,
11:15.0,,,0-0,,Personal foul by A. Bradley (drawn by K. Love)
11:03.0,K. Irving makes 2-pt shot from 8 ft,2,2-0,,
10:45.0,,,2-0,,I. Thomas misses 2-pt shot from 22 ft
10:44.0,Defensive rebound by K. Love,,2-0,,
10:35.0,K. Irving misses 3-pt shot from 24 ft,,2-0,,
10:33.0,,,2-0,,Defensive rebound by A. Horford
10:22.0,,,2-0,,A. Bradley misses 2-pt shot from 2 ft (block by L. James)
10:21.0,Defensive rebound by L. James,,2-0,,
10:09.0,Turnover by T. Thompson (bad pass),,2-0,,
9:54.0,,,2-0,,J. Crowder misses 2-pt shot from 2 ft
9:53.0,,,2-0,,Offensive rebound by A. Horford
9:46.0,,,2-0,,A. Horford misses 2-pt shot from 5 ft
9:46.0,Defensive rebound by K. Love,,2-0,,
9:40.0,Shooting foul by G. Green (drawn by L. James),,2-0,,
9:40.0,L. James makes free throw 1 of 2,1,3-0,,
9:40.0,L. James misses free throw 2 of 2,,3-0,,
9:40.0,,,3-0,,Defensive rebound by J. Crowder
9:25.0,Violation by L. James (kicked ball),,3-0,,
9:11.0,,,3-0,,A. Horford misses 2-pt shot from 4 ft
9:10.0,Defensive rebound by J. Smith,,3-0,,
9:04.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,6-0,,
8:51.0,,,6-2,2,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas)
8:28.0,L. James misses 3-pt shot from 25 ft,,6-2,,
8:27.0,,,6-2,,Defensive rebound by I. Thomas
8:14.0,,,6-2,,A. Bradley misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by J. Smith,,6-2,,
8:05.0,J. Smith makes 3-pt shot from 23 ft (assist by K. Irving),3,9-2,,
7:45.0,,,9-5,3,G. Green makes 3-pt shot from 23 ft (assist by J. Crowder)
7:30.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,11-5,,
7:19.0,,,11-8,3,G. Green makes 3-pt shot from 23 ft (assist by I. Thomas)
7:05.0,K. Love misses 3-pt shot from 25 ft,,11-8,,
7:03.0,,,11-8,,Defensive rebound by Team
6:55.0,,,11-8,,I. Thomas misses 2-pt shot from 23 ft
6:54.0,Defensive rebound by J. Smith,,11-8,,
6:47.0,Turnover by K. Love (traveling),,11-8,,
6:35.0,,,11-8,,Shooting foul by T. Thompson (drawn by I. Thomas)
6:35.0,,,11-9,1,I. Thomas makes free throw 1 of 2
6:35.0,,,11-10,1,I. Thomas makes free throw 2 of 2
6:35.0,Cleveland full timeout,,11-10,,
6:24.0,,,11-10,,Def 3 sec tech foul by A. Horford
6:24.0,K. Irving makes technical free throw,1,12-10,,
6:13.0,T. Thompson misses 2-pt shot from 5 ft,,12-10,,
6:12.0,Offensive rebound by K. Love,,12-10,,
5:52.0,K. Irving makes 2-pt shot from 2 ft,2,14-10,,
5:34.0,,,14-10,,A. Horford misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by K. Love,,14-10,,
5:16.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,17-10,,
5:01.0,,,17-10,,Turnover by I. Thomas (bad pass; steal by L. James)
4:56.0,J. Smith makes 2-pt shot from 2 ft (assist by L. James),2,19-10,,
