time,Dallas,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Turner (T. Young gains possession),,,,Jump ball: A. Bogut vs. M. Turner (T. Young gains possession)
11:46.0,,,0-2,2,M. Turner makes 2-pt shot from 3 ft (assist by J. Teague)
11:29.0,D. Nowitzki misses 2-pt shot from 16 ft,,0-2,,
11:29.0,,,0-2,,Defensive rebound by M. Ellis
11:22.0,,,0-4,2,T. Young makes 2-pt shot at rim (assist by M. Ellis)
11:10.0,Turnover by D. Nowitzki (lost ball; steal by J. Teague),,0-4,,
11:04.0,,,0-6,2,T. Young makes 2-pt shot from 2 ft (assist by J. Teague)
11:04.0,Dallas full timeout,,0-6,,
10:55.0,H. Barnes makes 3-pt shot from 23 ft (assist by D. Williams),3,3-6,,
10:38.0,,,3-8,2,M. Ellis makes 2-pt shot from 3 ft
10:32.0,Turnover by D. Williams (lost ball; steal by J. Teague),,3-8,,
10:32.0,Personal take foul by A. Bogut (drawn by J. Teague),,3-8,,
10:21.0,,,3-10,2,P. George makes 2-pt shot from 4 ft
10:05.0,D. Williams misses 2-pt shot from 5 ft,,3-10,,
10:04.0,,,3-10,,Defensive rebound by J. Teague
9:51.0,,,3-10,,J. Teague misses 3-pt shot from 28 ft
9:50.0,Defensive rebound by A. Bogut,,3-10,,
9:34.0,A. Bogut misses 2-pt shot from 9 ft,,3-10,,
9:34.0,,,3-10,,Defensive rebound by P. George
9:22.0,,,3-10,,Offensive foul by M. Turner
9:22.0,,,3-10,,Turnover by M. Turner (offensive foul)
9:10.0,A. Bogut makes 2-pt shot from 6 ft,2,5-10,,
9:01.0,,,5-10,,T. Young misses 2-pt shot from 16 ft
9:00.0,Defensive rebound by W. Matthews,,5-10,,
8:58.0,Turnover by W. Matthews (bad pass; steal by M. Ellis),,5-10,,
8:51.0,,,5-10,,Turnover by M. Ellis (lost ball; steal by D. Nowitzki)
8:46.0,Turnover by D. Nowitzki (bad pass),,5-10,,
8:26.0,,,5-10,,Turnover by M. Ellis (lost ball; steal by W. Matthews)
8:26.0,,,5-10,,Loose ball foul by M. Ellis (drawn by W. Matthews)
8:14.0,A. Bogut makes 2-pt shot from 4 ft (assist by D. Williams),2,7-10,,
8:01.0,,,7-12,2,M. Ellis makes 2-pt shot from 18 ft (assist by J. Teague)
7:44.0,W. Matthews misses 2-pt shot from 18 ft,,7-12,,
7:42.0,Offensive rebound by A. Bogut,,7-12,,
7:42.0,A. Bogut misses 2-pt shot from 1 ft,,7-12,,
7:41.0,,,7-12,,Defensive rebound by T. Young
7:34.0,,,7-15,3,M. Ellis makes 3-pt shot from 25 ft (assist by T. Young)
7:27.0,H. Barnes misses 3-pt shot from 26 ft,,7-15,,
7:27.0,,,7-15,,Defensive rebound by M. Ellis
7:16.0,,,7-15,,P. George misses 2-pt shot from 18 ft
7:15.0,Defensive rebound by A. Bogut,,7-15,,
7:01.0,,,7-15,,Personal foul by J. Teague (drawn by D. Williams)
7:01.0,J. Barea enters the game for D. Nowitzki,,7-15,,
6:57.0,,,7-15,,Personal foul by P. George (drawn by W. Matthews)
6:50.0,D. Williams makes 3-pt shot from 27 ft (assist by J. Barea),3,10-15,,
6:33.0,,,10-15,,Shooting foul by W. Matthews (drawn by J. Teague)
6:33.0,,,10-16,1,J. Teague makes free throw 1 of 2
6:33.0,,,10-17,1,J. Teague makes free throw 2 of 2
6:16.0,H. Barnes misses 2-pt shot from 11 ft,,10-17,,
6:16.0,,,10-17,,Defensive rebound by P. George
6:03.0,,,10-17,,T. Young misses 2-pt shot from 6 ft
6:02.0,Defensive rebound by J. Barea,,10-17,,
5:55.0,W. Matthews misses 3-pt shot from 27 ft,,10-17,,
5:54.0,,,10-17,,Defensive rebound by P. George
5:47.0,,,10-17,,M. Turner misses 2-pt shot from 1 ft (block by A. Bogut)
5:45.0,,,10-17,,Offensive rebound by M. Turner
5:41.0,,,10-17,,P. George misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by A. Bogut,,10-17,,
5:28.0,Turnover by H. Barnes (lost ball; steal by M. Ellis),,10-17,,
5:24.0,,,10-19,2,J. Teague makes 2-pt shot from 4 ft (assist by M. Ellis)
