time,Milwaukee,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. T. Maker (K. Lowry gains possession),,,,Jump ball: S. Ibaka vs. T. Maker (K. Lowry gains possession)
11:42.0,,,0-3,3,S. Ibaka makes 3-pt shot from 25 ft (assist by D. DeRozan)
11:13.0,K. Middleton makes 2-pt shot from 17 ft (assist by T. Snell),2,2-3,,
11:03.0,,,2-3,,Shooting foul by T. Maker (drawn by D. DeRozan)
11:03.0,,,2-4,1,D. DeRozan makes free throw 1 of 2
11:03.0,,,2-5,1,D. DeRozan makes free throw 2 of 2
10:51.0,M. Brogdon misses 3-pt shot from 24 ft,,2-5,,
10:50.0,,,2-5,,Defensive rebound by S. Ibaka
10:37.0,,,2-7,2,S. Ibaka makes 2-pt shot at rim (assist by N. Powell)
10:21.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,2-7,,
10:20.0,,,2-7,,Defensive rebound by S. Ibaka
10:17.0,,,2-7,,Turnover by S. Ibaka (bad pass; steal by M. Brogdon)
10:12.0,M. Brogdon makes 3-pt shot from 22 ft (assist by T. Maker),3,5-7,,
9:54.0,,,5-7,,K. Lowry misses 2-pt shot from 20 ft
9:53.0,Defensive rebound by T. Maker,,5-7,,
9:42.0,,,5-7,,Personal foul by K. Lowry (drawn by M. Brogdon)
9:28.0,M. Brogdon makes 3-pt shot from 23 ft (assist by K. Middleton),3,8-7,,
9:17.0,,,8-7,,N. Powell misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
9:17.0,,,8-7,,Offensive rebound by Team
9:09.0,,,8-9,2,S. Ibaka makes 2-pt shot from 20 ft (assist by K. Lowry)
9:00.0,G. Antetokounmpo makes 2-pt shot at rim,2,10-9,,
8:45.0,,,10-9,,D. DeRozan misses 3-pt shot from 23 ft
8:45.0,Defensive rebound by G. Antetokounmpo,,10-9,,
8:35.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,10-9,,
8:34.0,Offensive rebound by G. Antetokounmpo,,10-9,,
8:32.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,10-9,,
8:31.0,,,10-9,,Defensive rebound by D. Carroll
8:29.0,Personal foul by T. Snell (drawn by K. Lowry),,10-9,,
8:18.0,,,10-9,,Turnover by S. Ibaka (lost ball; steal by K. Middleton)
8:16.0,,,10-9,,Personal foul by D. DeRozan (drawn by K. Middleton)
8:01.0,Shooting foul by D. Carroll (drawn by G. Antetokounmpo),,10-9,,
8:01.0,G. Antetokounmpo makes free throw 1 of 2,1,11-9,,
8:01.0,G. Antetokounmpo misses free throw 2 of 2,,11-9,,
8:00.0,,,11-9,,Defensive rebound by N. Powell
7:39.0,,,11-9,,N. Powell misses 2-pt shot from 5 ft (block by T. Maker)
7:39.0,,,11-9,,Offensive rebound by Team
7:35.0,,,11-9,,D. DeRozan misses 2-pt shot from 13 ft
7:34.0,,,11-9,,Offensive rebound by D. Carroll
7:32.0,,,11-11,2,D. Carroll makes 2-pt shot from 1 ft
7:24.0,Turnover by G. Antetokounmpo (bad pass; steal by N. Powell),,11-11,,
7:22.0,,,11-13,2,N. Powell makes 2-pt shot from 2 ft
7:22.0,,,11-13,,Shooting foul by M. Brogdon (drawn by N. Powell)
7:22.0,,,11-14,1,N. Powell makes free throw 1 of 1
7:11.0,Turnover by M. Brogdon (bad pass; steal by D. Carroll),,11-14,,
7:04.0,,,11-14,,S. Ibaka misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by G. Antetokounmpo,,11-14,,
