time,San Antonio,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Dedmon (D. Cousins gains possession),,,,Jump ball: A. Davis vs. D. Dedmon (D. Cousins gains possession)
11:43.0,,,0-2,2,H. Thompson makes 2-pt shot from 3 ft (assist by D. Cousins)
11:22.0,D. Dedmon makes 2-pt shot at rim (assist by D. Green),2,2-2,,
11:05.0,,,2-4,2,D. Cousins makes 2-pt shot from 20 ft (assist by J. Holiday)
10:51.0,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker),2,4-4,,
10:38.0,,,4-4,,Shooting foul by D. Dedmon (drawn by A. Davis)
10:38.0,,,4-5,1,A. Davis makes free throw 1 of 2
10:38.0,,,4-6,1,A. Davis makes free throw 2 of 2
10:24.0,K. Leonard makes 3-pt shot from 26 ft,3,7-6,,
10:14.0,,,7-6,,H. Thompson misses 2-pt shot from 3 ft (block by D. Dedmon)
10:10.0,Defensive rebound by D. Dedmon,,7-6,,
10:04.0,T. Parker makes 2-pt shot from 4 ft,2,9-6,,
9:48.0,,,9-6,,D. Cousins misses 2-pt shot from 4 ft
9:47.0,Defensive rebound by D. Dedmon,,9-6,,
9:43.0,Turnover by T. Parker (traveling),,9-6,,
9:33.0,,,9-6,,A. Davis misses 3-pt shot from 27 ft
9:31.0,Defensive rebound by D. Green,,9-6,,
9:24.0,L. Aldridge misses 2-pt shot from 17 ft,,9-6,,
9:23.0,,,9-6,,Defensive rebound by H. Thompson
9:14.0,,,9-6,,J. Holiday misses 2-pt shot from 19 ft
9:13.0,Defensive rebound by L. Aldridge,,9-6,,
9:03.0,,,9-6,,Violation by H. Thompson (kicked ball)
8:48.0,D. Dedmon misses 2-pt shot from 4 ft,,9-6,,
8:46.0,Offensive rebound by L. Aldridge,,9-6,,
8:36.0,L. Aldridge misses 2-pt shot from 3 ft,,9-6,,
8:35.0,,,9-6,,Defensive rebound by D. Cousins
8:29.0,,,9-9,3,S. Hill makes 3-pt shot from 25 ft (assist by D. Cousins)
8:15.0,T. Parker misses 2-pt shot from 10 ft,,9-9,,
8:11.0,,,9-9,,Defensive rebound by D. Cousins
8:04.0,,,9-9,,D. Cousins misses 2-pt shot from 17 ft
8:02.0,Defensive rebound by D. Dedmon,,9-9,,
7:47.0,K. Leonard misses 3-pt shot from 27 ft,,9-9,,
7:45.0,,,9-9,,Defensive rebound by D. Cousins
7:39.0,,,9-9,,Turnover by J. Holiday (bad pass; steal by K. Leonard)
7:32.0,D. Green makes 2-pt shot from 17 ft (assist by T. Parker),2,11-9,,
7:17.0,,,11-11,2,D. Cousins makes 2-pt shot from 3 ft
7:17.0,,,11-11,,Shooting foul by D. Dedmon (drawn by D. Cousins)
7:17.0,,,11-11,,D. Cousins misses free throw 1 of 1
7:17.0,P. Gasol enters the game for D. Dedmon,,11-11,,
7:07.0,Defensive rebound by K. Leonard,,11-11,,
7:00.0,Turnover by P. Gasol (lost ball; steal by A. Davis),,11-11,,
6:54.0,,,11-13,2,A. Davis makes 2-pt shot at rim (assist by S. Hill)
6:38.0,Shooting foul by S. Hill (drawn by K. Leonard),,11-13,,
6:38.0,K. Leonard misses free throw 1 of 2,,11-13,,
6:38.0,Offensive rebound by Team,,11-13,,
6:38.0,K. Leonard makes free throw 2 of 2,1,12-13,,
6:22.0,,,12-15,2,A. Davis makes 2-pt shot from 13 ft (assist by D. Cousins)
6:21.0,San Antonio full timeout,,12-15,,
6:09.0,D. Green misses 2-pt shot from 14 ft,,12-15,,
6:07.0,,,12-15,,Defensive rebound by D. Cousins
5:53.0,,,12-18,3,H. Thompson makes 3-pt shot from 24 ft (assist by A. Davis)
5:37.0,Shooting foul by A. Davis (drawn by K. Leonard),,12-18,,
5:37.0,K. Leonard makes free throw 1 of 2,1,13-18,,
5:37.0,K. Leonard makes free throw 2 of 2,1,14-18,,
5:37.0,M. Ginobili enters the game for D. Green,,13-18,,
5:37.0,P. Mills enters the game for T. Parker,,13-18,,
5:21.0,,,14-20,2,J. Holiday makes 2-pt shot from 13 ft
5:09.0,Offensive charge foul by L. Aldridge,,14-20,,
5:09.0,Turnover by L. Aldridge (offensive foul),,14-20,,
5:09.0,,,14-20,,D. Cunningham enters the game for D. Cousins
4:52.0,,,14-20,,S. Hill misses 2-pt shot from 8 ft
4:50.0,Defensive rebound by P. Gasol,,14-20,,
4:33.0,K. Leonard makes 2-pt shot from 14 ft (assist by M. Ginobili),2,16-20,,
4:25.0,,,16-20,,Turnover by J. Holiday (step out of bounds)
4:04.0,K. Leonard makes 2-pt shot from 11 ft (assist by M. Ginobili),2,18-20,,
3:40.0,,,18-20,,H. Thompson misses 2-pt shot from 7 ft
3:38.0,Defensive rebound by L. Aldridge,,18-20,,
3:34.0,P. Mills makes 3-pt shot from 26 ft,3,21-20,,
3:34.0,,,21-20,,New Orleans full timeout
3:34.0,D. Lee enters the game for L. Aldridge,,21-20,,
3:34.0,,,21-20,,E. Moore enters the game for H. Thompson
3:25.0,,,21-20,,E. Moore misses 2-pt shot from 9 ft
3:23.0,Defensive rebound by D. Lee,,21-20,,
3:10.0,M. Ginobili misses 3-pt shot from 27 ft,,21-20,,
3:09.0,,,21-20,,Defensive rebound by E. Moore
3:00.0,,,21-22,2,A. Davis makes 2-pt shot from 17 ft (assist by E. Moore)
2:43.0,Turnover by P. Gasol (traveling),,21-22,,
2:29.0,,,21-24,2,J. Holiday makes 2-pt shot from 2 ft (assist by A. Davis)
2:16.0,P. Gasol misses 3-pt shot from 26 ft,,21-24,,
2:14.0,,,21-24,,Defensive rebound by J. Holiday
2:04.0,,,21-26,2,J. Holiday makes 2-pt shot from 18 ft
1:39.0,K. Leonard makes 2-pt shot from 8 ft,2,23-26,,
1:29.0,,,23-26,,J. Holiday misses 2-pt shot from 3 ft
1:20.0,Defensive rebound by D. Lee,,23-26,,
1:11.0,P. Gasol makes 2-pt shot from 2 ft,2,25-26,,
1:02.0,,,25-28,2,E. Moore makes 2-pt shot from 11 ft (assist by J. Holiday)
0:50.0,P. Mills misses 3-pt shot from 27 ft,,25-28,,
0:49.0,,,25-28,,Defensive rebound by D. Cunningham
0:35.0,,,25-30,2,A. Davis makes 2-pt shot from 8 ft (assist by J. Holiday)
0:16.0,K. Leonard makes 2-pt shot from 3 ft,2,27-30,,
0:08.0,Personal foul by P. Mills,,27-30,,
0:08.0,J. Simmons enters the game for K. Leonard,,27-30,,
0:02.0,,,27-30,,E. Moore misses 2-pt shot from 14 ft
0:00.0,,,27-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,M. Ginobili makes 2-pt shot from 12 ft,2,29-30,,
11:49.0,Shooting foul by T. Frazier (drawn by M. Ginobili),,29-30,,
11:49.0,M. Ginobili makes free throw 1 of 1,1,30-30,,
11:38.0,Def 3 sec tech foul by D. Lee,,30-30,,
11:38.0,,,30-31,1,E. Moore makes technical free throw
11:28.0,,,30-31,,D. Cunningham misses 2-pt shot from 19 ft
11:27.0,,,30-31,,Offensive rebound by T. Frazier
11:12.0,Personal foul by D. Lee (drawn by T. Frazier),,30-31,,
11:04.0,,,30-33,2,T. Frazier makes 2-pt shot from 7 ft
10:50.0,Turnover by P. Mills (lost ball),,30-33,,
10:38.0,,,30-35,2,D. Cunningham makes 2-pt shot at rim (assist by T. Frazier)
10:38.0,San Antonio full timeout,,30-35,,
10:38.0,T. Parker enters the game for P. Gasol,,30-35,,
10:38.0,D. Dedmon enters the game for M. Ginobili,,30-35,,
10:38.0,D. Green enters the game for P. Mills,,30-35,,
10:17.0,T. Parker misses 2-pt shot from 2 ft,,30-35,,
10:15.0,,,30-35,,Defensive rebound by D. Cousins
10:08.0,,,30-35,,D. Cousins misses 3-pt shot from 27 ft
10:06.0,Defensive rebound by D. Lee,,30-35,,
9:50.0,J. Simmons misses 3-pt shot from 27 ft,,30-35,,
9:49.0,,,30-35,,Defensive rebound by D. Cousins
9:43.0,,,30-35,,Turnover by D. Cousins (bad pass; steal by J. Simmons)
9:33.0,J. Simmons misses 2-pt shot from 1 ft,,30-35,,
9:31.0,,,30-35,,Defensive rebound by D. Cousins
9:25.0,,,30-38,3,E. Moore makes 3-pt shot from 24 ft (assist by T. Frazier)
9:08.0,J. Simmons makes 2-pt shot from 18 ft (assist by T. Parker),2,32-38,,
8:54.0,,,32-38,,Turnover by T. Frazier (traveling)
8:32.0,T. Parker misses 2-pt shot from 8 ft,,32-38,,
8:27.0,,,32-38,,Defensive rebound by H. Thompson
8:22.0,Personal foul by D. Green (drawn by T. Frazier),,32-38,,
8:22.0,D. Bertans enters the game for D. Lee,,32-38,,
8:18.0,,,32-38,,Turnover by T. Frazier (bad pass)
8:10.0,Turnover by T. Parker (bad pass),,32-38,,
7:57.0,,,32-38,,D. Cunningham misses 2-pt shot from 14 ft
7:55.0,Defensive rebound by D. Green,,32-38,,
7:46.0,D. Bertans misses 3-pt shot from 24 ft,,32-38,,
7:44.0,Offensive rebound by D. Dedmon,,32-38,,
7:17.0,J. Simmons misses 2-pt shot at rim (block by E. Moore),,32-38,,
7:16.0,,,32-38,,Defensive rebound by Team
7:02.0,,,32-38,,D. Cunningham misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by D. Dedmon,,32-38,,
6:49.0,D. Green misses 2-pt shot from 15 ft,,32-38,,
6:48.0,,,32-38,,Defensive rebound by D. Cousins
6:34.0,,,32-40,2,D. Cunningham makes 2-pt shot at rim (assist by D. Cousins)
6:21.0,T. Parker makes 2-pt shot from 2 ft,2,34-40,,
6:11.0,,,34-40,,Turnover by D. Cousins (discontinued dribble)
6:11.0,L. Aldridge enters the game for D. Bertans,,34-40,,
6:11.0,K. Leonard enters the game for D. Dedmon,,34-40,,
6:11.0,,,34-40,,J. Holiday enters the game for T. Frazier
6:03.0,T. Parker misses 2-pt shot from 1 ft,,34-40,,
6:01.0,,,34-40,,Defensive rebound by D. Cousins
5:55.0,,,34-40,,J. Holiday misses 3-pt shot from 27 ft
5:51.0,Defensive rebound by L. Aldridge,,34-40,,
5:42.0,K. Leonard misses 3-pt shot from 24 ft,,34-40,,
5:41.0,,,34-40,,Defensive rebound by D. Cousins
5:29.0,,,34-40,,D. Cousins misses 3-pt shot from 26 ft
5:28.0,Defensive rebound by D. Green,,34-40,,
5:18.0,K. Leonard makes 2-pt shot from 6 ft,2,36-40,,
5:12.0,,,36-40,,H. Thompson misses 3-pt shot from 26 ft
5:10.0,Defensive rebound by D. Green,,36-40,,
5:00.0,,,36-40,,Personal foul by D. Cunningham (drawn by J. Simmons)
5:00.0,Official timeout,,36-40,,
5:00.0,P. Mills enters the game for T. Parker,,36-40,,
5:00.0,P. Gasol enters the game for J. Simmons,,36-40,,
5:00.0,,,36-40,,S. Hill enters the game for H. Thompson
5:00.0,,,36-40,,A. Davis enters the game for D. Cunningham
4:51.0,L. Aldridge makes 2-pt shot from 3 ft (assist by K. Leonard),2,38-40,,
