time,Cleveland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. J. Valanciunas (C. Joseph gains possession),,,,Jump ball: T. Thompson vs. J. Valanciunas (C. Joseph gains possession)
11:42.0,Personal foul by T. Thompson (drawn by J. Valanciunas),,0-0,,
11:33.0,,,0-0,,J. Valanciunas misses 2-pt shot from 4 ft
11:33.0,Defensive rebound by K. Love,,0-0,,
11:22.0,T. Thompson misses 2-pt shot from 10 ft (block by J. Valanciunas),,0-0,,
11:21.0,Offensive rebound by T. Thompson,,0-0,,
11:13.0,J. Smith misses 3-pt shot from 28 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by P. Tucker
11:07.0,,,0-0,,P. Tucker misses 2-pt shot from 2 ft
11:06.0,Defensive rebound by T. Thompson,,0-0,,
10:59.0,Turnover by L. James (bad pass; steal by J. Valanciunas),,0-0,,
10:54.0,,,0-0,,S. Ibaka misses 2-pt shot from 3 ft (block by J. Smith)
10:54.0,,,0-0,,Offensive rebound by Team
10:44.0,,,0-0,,J. Valanciunas misses 2-pt shot from 5 ft
10:44.0,Defensive rebound by K. Love,,0-0,,
10:32.0,K. Love misses 2-pt shot from 4 ft (block by J. Valanciunas),,0-0,,
10:31.0,,,0-0,,Defensive rebound by C. Joseph
10:19.0,,,0-0,,P. Tucker misses 3-pt shot from 23 ft
10:19.0,Defensive rebound by K. Love,,0-0,,
9:55.0,L. James misses 2-pt shot from 17 ft,,0-0,,
9:55.0,,,0-0,,Defensive rebound by C. Joseph
9:47.0,,,0-0,,Turnover by C. Joseph (lost ball; steal by K. Irving)
9:43.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,2-0,,
9:30.0,,,2-2,2,S. Ibaka makes 2-pt shot from 20 ft (assist by C. Joseph)
9:12.0,K. Love misses 2-pt shot from 13 ft,,2-2,,
9:11.0,,,2-2,,Defensive rebound by J. Valanciunas
9:01.0,,,2-4,2,P. Tucker makes 2-pt shot from 3 ft (assist by D. DeRozan)
8:43.0,K. Irving makes 2-pt shot from 3 ft,2,4-4,,
8:27.0,,,4-4,,Shooting foul by J. Smith (drawn by D. DeRozan)
8:27.0,,,4-4,,D. DeRozan misses free throw 1 of 2
8:27.0,,,4-4,,Offensive rebound by Team
8:27.0,,,4-5,1,D. DeRozan makes free throw 2 of 2
8:12.0,T. Thompson makes 2-pt shot from 5 ft (assist by K. Irving),2,6-5,,
8:02.0,,,6-7,2,C. Joseph makes 2-pt shot from 2 ft
7:48.0,K. Irving misses 2-pt shot from 17 ft,,6-7,,
7:47.0,,,6-7,,Defensive rebound by S. Ibaka
7:39.0,,,6-9,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
7:22.0,,,6-9,,Personal foul by S. Ibaka (drawn by K. Love)
7:08.0,J. Smith misses 3-pt shot from 25 ft,,6-9,,
7:07.0,,,6-9,,Defensive rebound by Team
7:00.0,,,6-11,2,D. DeRozan makes 2-pt shot from 16 ft (assist by C. Joseph)
6:36.0,L. James misses 3-pt shot from 25 ft,,6-11,,
6:36.0,,,6-11,,Defensive rebound by Team
6:14.0,,,6-14,3,P. Tucker makes 3-pt shot from 24 ft (assist by D. DeRozan)
6:14.0,Cleveland full timeout,,6-14,,
6:14.0,C. Frye enters the game for T. Thompson,,6-14,,
6:00.0,K. Irving misses 3-pt shot from 26 ft,,6-14,,
6:00.0,,,6-14,,Defensive rebound by P. Tucker
5:43.0,,,6-14,,S. Ibaka misses 3-pt shot from 23 ft
5:43.0,Defensive rebound by L. James,,6-14,,
5:34.0,C. Frye makes 2-pt shot from 21 ft (assist by K. Love),2,8-14,,
5:12.0,,,8-16,2,C. Joseph makes 2-pt shot from 13 ft
4:52.0,K. Irving misses 2-pt shot from 6 ft,,8-16,,
4:51.0,,,8-16,,Defensive rebound by P. Tucker
4:39.0,,,8-18,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by P. Tucker)
4:22.0,K. Love makes 2-pt shot from 14 ft (assist by L. James),2,10-18,,
