time,Golden State,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. McGee (D. Green gains possession),,,,Jump ball: M. Gasol vs. J. McGee (D. Green gains possession)
11:40.0,K. Thompson misses 3-pt shot from 23 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by J. Green
11:30.0,,,0-0,,Turnover by M. Gasol (lost ball; steal by J. McGee)
11:20.0,K. Durant misses 2-pt shot from 7 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by J. Green
10:58.0,,,0-0,,M. Gasol misses 2-pt shot from 11 ft
10:58.0,Defensive rebound by K. Durant,,0-0,,
10:42.0,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green),3,3-0,,
10:27.0,,,3-0,,T. Allen misses 2-pt shot from 3 ft (block by D. Green)
10:26.0,Defensive rebound by D. Green,,3-0,,
10:20.0,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant),3,6-0,,
10:04.0,,,6-0,,Turnover by M. Conley (bad pass; steal by D. Green)
9:55.0,K. Thompson misses 3-pt shot from 25 ft,,6-0,,
9:54.0,,,6-0,,Defensive rebound by J. Green
9:45.0,,,6-0,,M. Conley misses 2-pt shot from 6 ft
9:41.0,Defensive rebound by D. Green,,6-0,,
9:37.0,K. Durant misses 2-pt shot from 10 ft,,6-0,,
9:34.0,,,6-0,,Defensive rebound by M. Gasol
9:29.0,,,6-2,2,J. Ennis makes 2-pt shot from 1 ft (assist by M. Gasol)
9:12.0,S. Curry misses 2-pt shot from 21 ft,,6-2,,
9:12.0,,,6-2,,Defensive rebound by T. Allen
9:03.0,,,6-2,,M. Gasol misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by D. Green,,6-2,,
8:56.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,9-2,,
8:22.0,,,9-5,3,J. Ennis makes 3-pt shot from 23 ft (assist by M. Gasol)
8:06.0,K. Durant misses 3-pt shot from 25 ft,,9-5,,
8:05.0,,,9-5,,Defensive rebound by T. Allen
7:57.0,,,9-5,,M. Gasol misses 2-pt shot from 15 ft
7:56.0,Defensive rebound by S. Curry,,9-5,,
7:51.0,Turnover by S. Curry (bad pass),,9-5,,
7:40.0,,,9-5,,Turnover by T. Allen (lost ball)
7:29.0,K. Thompson misses 2-pt shot from 2 ft (block by M. Gasol),,9-5,,
7:29.0,Offensive rebound by Team,,9-5,,
7:26.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,11-5,,
7:18.0,,,11-5,,Memphis full timeout
7:00.0,,,11-8,3,M. Conley makes 3-pt shot from 24 ft
6:40.0,K. Durant makes 3-pt shot from 24 ft (assist by S. Curry),3,14-8,,
6:24.0,,,14-8,,M. Gasol misses 2-pt shot from 9 ft
6:22.0,,,14-8,,Offensive rebound by J. Green
6:20.0,,,14-8,,Turnover by J. Green (bad pass; steal by D. Green)
6:16.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,17-8,,
5:50.0,,,17-8,,T. Allen misses 2-pt shot from 22 ft
5:49.0,Defensive rebound by D. Green,,17-8,,
5:40.0,Turnover by K. Durant (bad pass; steal by M. Conley),,17-8,,
5:32.0,,,17-10,2,J. Green makes 2-pt shot from 1 ft (assist by M. Conley)
5:18.0,Shooting foul by M. Gasol (drawn by K. Durant),,17-10,,
5:18.0,K. Durant makes free throw 1 of 2,1,18-10,,
5:18.0,K. Durant makes free throw 2 of 2,1,19-10,,
5:18.0,,,18-10,,Z. Randolph enters the game for J. Green
5:18.0,,,18-10,,V. Carter enters the game for T. Allen
5:18.0,A. Iguodala enters the game for D. Green,,18-10,,
5:01.0,,,19-10,,Shooting foul by K. Thompson (drawn by M. Gasol)
5:01.0,,,19-11,1,M. Gasol makes free throw 1 of 2
5:01.0,,,19-12,1,M. Gasol makes free throw 2 of 2
4:47.0,S. Curry misses 2-pt shot from 21 ft,,19-12,,
4:47.0,,,19-12,,Defensive rebound by Z. Randolph
4:33.0,,,19-14,2,M. Gasol makes 2-pt shot from 5 ft (assist by M. Conley)
4:28.0,Golden State full timeout,,19-14,,
4:21.0,S. Curry misses 3-pt shot from 26 ft,,19-14,,
4:21.0,,,19-14,,Defensive rebound by J. Ennis
4:06.0,,,19-14,,Shooting foul by K. Durant (drawn by M. Gasol)
4:06.0,,,19-14,,M. Gasol misses free throw 1 of 2
4:06.0,,,19-14,,Offensive rebound by Team
4:06.0,,,19-15,1,M. Gasol makes free throw 2 of 2
4:06.0,,,19-14,,T. Douglas enters the game for M. Conley
3:56.0,,,19-15,,Personal foul by Z. Randolph (drawn by A. Iguodala)
3:56.0,K. Looney enters the game for J. McGee,,19-15,,
3:50.0,S. Curry makes 2-pt shot from 11 ft,2,21-15,,
3:22.0,,,21-15,,Z. Randolph misses 2-pt shot from 20 ft
3:22.0,,,21-15,,Offensive rebound by Team
3:22.0,,,21-15,,Turnover by Team (shot clock)
3:22.0,P. McCaw enters the game for K. Thompson,,21-15,,
3:08.0,Shooting foul by J. Ennis (drawn by K. Durant),,21-15,,
3:08.0,K. Durant misses free throw 1 of 2,,21-15,,
3:08.0,Offensive rebound by Team,,21-15,,
