time,Cleveland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. M. Turner (T. Young gains possession),,,,Jump ball: T. Thompson vs. M. Turner (T. Young gains possession)
11:45.0,,,0-0,,C. Miles misses 3-pt shot from 23 ft
11:44.0,Defensive rebound by K. Love,,0-0,,
11:29.0,Turnover by K. Love (bad pass; steal by P. George),,0-0,,
11:20.0,,,0-0,,T. Young misses 2-pt shot from 11 ft
11:18.0,,,0-0,,Offensive rebound by P. George
11:18.0,,,0-0,,P. George misses 2-pt shot from 1 ft
11:18.0,Defensive rebound by K. Love,,0-0,,
10:59.0,K. Irving misses 3-pt shot from 24 ft,,0-0,,
10:59.0,,,0-0,,Defensive rebound by M. Turner
10:48.0,,,0-2,2,J. Teague makes 2-pt shot from 2 ft
10:32.0,Offensive foul by J. Smith,,0-2,,
10:32.0,Turnover by J. Smith (offensive foul),,0-2,,
10:17.0,,,0-2,,Turnover by P. George (bad pass; steal by J. Smith)
9:58.0,K. Love misses 2-pt shot from 2 ft,,0-2,,
9:58.0,,,0-2,,Defensive rebound by M. Turner
9:40.0,,,0-5,3,C. Miles makes 3-pt shot from 26 ft (assist by P. George)
9:19.0,L. James misses 2-pt shot from 2 ft,,0-5,,
9:17.0,Offensive rebound by T. Thompson,,0-5,,
9:17.0,T. Thompson misses 2-pt shot from 1 ft,,0-5,,
9:17.0,,,0-5,,Defensive rebound by Team
9:04.0,,,0-5,,P. George misses 2-pt shot from 20 ft
9:04.0,Defensive rebound by K. Love,,0-5,,
8:52.0,K. Irving makes 2-pt shot from 11 ft,2,2-5,,
8:43.0,,,2-5,,Turnover by J. Teague (lost ball)
8:33.0,Shooting foul by M. Turner (drawn by L. James),,2-5,,
8:33.0,L. James misses free throw 1 of 2,,2-5,,
8:33.0,Offensive rebound by Team,,2-5,,
8:33.0,L. James makes free throw 2 of 2,1,3-5,,
8:21.0,,,3-5,,T. Young misses 2-pt shot from 19 ft
8:19.0,Defensive rebound by L. James,,3-5,,
8:01.0,Turnover by L. James (bad pass; steal by P. George),,3-5,,
7:54.0,,,3-5,,Shooting foul by K. Irving (drawn by T. Young)
7:54.0,,,3-6,1,T. Young makes free throw 1 of 2
7:54.0,,,3-6,,T. Young misses free throw 2 of 2
7:54.0,Defensive rebound by K. Love,,3-6,,
7:43.0,K. Irving makes 2-pt shot from 16 ft,2,5-6,,
7:39.0,,,5-6,,Turnover by M. Turner (bad pass; steal by T. Thompson)
7:32.0,K. Love misses 3-pt shot from 26 ft,,5-6,,
7:31.0,,,5-6,,Defensive rebound by T. Young
