time,Miami,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. H. Whiteside (R. Anderson gains possession),,,,Jump ball: C. Capela vs. H. Whiteside (R. Anderson gains possession)
11:47.0,,,0-0,,Turnover by J. Harden (bad pass)
11:30.0,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Waiters),3,3-0,,
11:18.0,,,3-0,,C. Capela misses 2-pt shot from 3 ft (block by H. Whiteside)
11:17.0,Defensive rebound by D. Waiters,,3-0,,
11:10.0,D. Waiters misses 2-pt shot from 4 ft (block by J. Harden),,3-0,,
11:10.0,,,3-0,,Defensive rebound by Team
11:05.0,,,3-0,,T. Ariza misses 2-pt shot from 1 ft (block by H. Whiteside)
11:01.0,Defensive rebound by D. Waiters,,3-0,,
10:46.0,R. McGruder misses 2-pt shot from 13 ft,,3-0,,
10:45.0,,,3-0,,Defensive rebound by J. Harden
10:41.0,,,3-0,,Turnover by J. Harden (bad pass; steal by R. McGruder)
10:40.0,,,3-0,,Personal foul by J. Harden (drawn by L. Babbitt)
10:21.0,H. Whiteside makes 2-pt shot from 11 ft,2,5-0,,
10:01.0,,,5-2,2,P. Beverley makes 2-pt shot from 10 ft
9:46.0,G. Dragic makes 2-pt shot from 13 ft,2,7-2,,
9:37.0,,,7-5,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden)
9:15.0,H. Whiteside makes 2-pt shot from 6 ft (assist by G. Dragic),2,9-5,,
9:07.0,,,9-5,,Shooting foul by R. McGruder (drawn by J. Harden)
9:07.0,,,9-5,,J. Harden misses free throw 1 of 3
9:07.0,,,9-5,,Offensive rebound by Team
9:07.0,,,9-6,1,J. Harden makes free throw 2 of 3
9:07.0,,,9-7,1,J. Harden makes free throw 3 of 3
8:52.0,Turnover by L. Babbitt (bad pass; steal by T. Ariza),,9-7,,
8:44.0,,,9-9,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
8:20.0,R. McGruder makes 2-pt shot from 1 ft (assist by H. Whiteside),2,11-9,,
8:07.0,,,11-11,2,J. Harden makes 2-pt shot from 14 ft
7:55.0,,,11-11,,Personal foul by C. Capela (drawn by D. Waiters)
7:48.0,G. Dragic makes 2-pt shot from 15 ft (assist by D. Waiters),2,13-11,,
7:34.0,Shooting block foul by G. Dragic (drawn by P. Beverley),,13-11,,
7:34.0,,,13-12,1,P. Beverley makes free throw 1 of 2
7:34.0,,,13-13,1,P. Beverley makes free throw 2 of 2
7:20.0,G. Dragic makes 2-pt shot from 2 ft,2,15-13,,
7:04.0,,,15-13,,P. Beverley misses 2-pt shot from 1 ft (block by L. Babbitt)
7:02.0,,,15-13,,Offensive rebound by R. Anderson
7:01.0,,,15-13,,R. Anderson misses 2-pt shot from 1 ft
7:01.0,Defensive rebound by D. Waiters,,15-13,,
6:52.0,,,15-13,,Personal foul by R. Anderson (drawn by R. McGruder)
6:52.0,,,15-13,,N. Hilario enters the game for C. Capela
6:44.0,Shooting foul by P. Beverley (drawn by G. Dragic),,15-13,,
6:44.0,G. Dragic misses free throw 1 of 2,,15-13,,
6:44.0,Offensive rebound by Team,,15-13,,
6:44.0,G. Dragic makes free throw 2 of 2,1,16-13,,
6:36.0,,,16-15,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
6:36.0,,,16-15,,Shooting foul by H. Whiteside (drawn by N. Hilario)
6:36.0,,,16-16,1,N. Hilario makes free throw 1 of 1
6:11.0,H. Whiteside makes 2-pt shot from 5 ft,2,18-16,,
6:04.0,,,18-16,,Shooting foul by D. Waiters (drawn by J. Harden)
6:04.0,,,18-16,,J. Harden misses free throw 1 of 2
6:04.0,,,18-16,,Offensive rebound by Team
6:04.0,,,18-17,1,J. Harden makes free throw 2 of 2
6:04.0,T. Johnson enters the game for G. Dragic,,18-16,,
5:50.0,D. Waiters makes 2-pt shot from 1 ft (assist by T. Johnson),2,20-17,,
5:36.0,,,20-17,,J. Harden misses 3-pt shot from 24 ft
5:35.0,,,20-17,,Offensive rebound by R. Anderson
5:24.0,Shooting block foul by H. Whiteside (drawn by N. Hilario),,20-17,,
5:24.0,,,20-17,,Houston full timeout
5:24.0,,,20-17,,N. Hilario misses free throw 1 of 2
5:24.0,,,20-17,,Offensive rebound by Team
5:24.0,,,20-18,1,N. Hilario makes free throw 2 of 2
5:24.0,,,20-17,,E. Gordon enters the game for P. Beverley
5:24.0,W. Reed enters the game for L. Babbitt,,20-17,,
5:24.0,J. Johnson enters the game for H. Whiteside,,20-17,,
5:11.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Johnson),3,23-18,,
4:58.0,,,23-18,,R. Anderson misses 3-pt shot from 26 ft
4:56.0,Defensive rebound by T. Johnson,,23-18,,
4:43.0,,,23-18,,Personal foul by E. Gordon (drawn by T. Johnson)
4:43.0,T. Johnson misses free throw 1 of 2,,23-18,,
4:43.0,Offensive rebound by Team,,23-18,,
4:43.0,T. Johnson makes free throw 2 of 2,1,24-18,,
4:29.0,,,24-18,,Turnover by J. Harden (bad pass; steal by J. Johnson)
4:25.0,Turnover by J. Johnson (bad pass; steal by N. Hilario),,24-18,,
4:19.0,,,24-18,,J. Harden misses 2-pt shot from 1 ft
4:19.0,Defensive rebound by J. Johnson,,24-18,,
