time,Minnesota,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. K. Towns (G. Dieng gains possession),,,,Jump ball: M. Gasol vs. K. Towns (G. Dieng gains possession)
11:45.0,Shooting foul by J. Ennis (drawn by A. Wiggins),,0-0,,
11:45.0,A. Wiggins makes free throw 1 of 2,1,1-0,,
11:45.0,A. Wiggins makes free throw 2 of 2,1,2-0,,
11:28.0,,,2-0,,Turnover by M. Gasol (lost ball; steal by Z. LaVine)
11:15.0,K. Towns makes 2-pt shot from 13 ft (assist by Z. LaVine),2,4-0,,
10:54.0,,,4-0,,J. Green misses 2-pt shot from 21 ft
10:52.0,Defensive rebound by K. Towns,,4-0,,
10:44.0,K. Towns makes 3-pt shot from 28 ft (assist by Z. LaVine),3,7-0,,
10:31.0,,,7-0,,J. Green misses 2-pt shot from 4 ft
10:31.0,Defensive rebound by G. Dieng,,7-0,,
10:23.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,9-0,,
10:19.0,,,9-0,,Memphis full timeout
10:10.0,,,9-0,,Shooting foul by K. Towns (drawn by M. Conley)
10:10.0,,,9-1,1,M. Conley makes free throw 1 of 2
10:10.0,,,9-1,,M. Conley misses free throw 2 of 2
10:09.0,,,9-1,,Offensive rebound by Team
9:58.0,,,9-1,,M. Gasol misses 2-pt shot from 5 ft
9:56.0,Defensive rebound by A. Wiggins,,9-1,,
9:52.0,A. Wiggins misses 2-pt shot from 11 ft,,9-1,,
9:49.0,,,9-1,,Defensive rebound by A. Harrison
9:42.0,,,9-1,,Turnover by A. Harrison (bad pass; steal by G. Dieng)
9:37.0,Z. LaVine misses 3-pt shot from 23 ft,,9-1,,
9:33.0,Offensive rebound by A. Wiggins,,9-1,,
9:24.0,Z. LaVine makes 3-pt shot from 26 ft (assist by G. Dieng),3,12-1,,
9:12.0,,,12-1,,M. Conley misses 2-pt shot from 2 ft (block by A. Wiggins)
