time,Phoenix,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. C. Zeller (M. Williams gains possession),,,,Jump ball: A. Len vs. C. Zeller (M. Williams gains possession)
11:51.0,,,0-3,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
11:38.0,Turnover by D. Booker (bad pass; steal by N. Batum),,0-3,,
11:33.0,,,0-5,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
11:03.0,T. Ulis misses 2-pt shot from 10 ft,,0-5,,
11:02.0,,,0-5,,Defensive rebound by M. Williams
10:45.0,,,0-8,3,M. Williams makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist)
10:41.0,Phoenix full timeout,,0-8,,
10:41.0,D. Booker misses 2-pt shot from 22 ft,,0-8,,
10:40.0,,,0-8,,Defensive rebound by K. Walker
10:37.0,,,0-8,,Turnover by K. Walker (bad pass; steal by T. Ulis)
10:31.0,Shooting foul by K. Walker (drawn by T. Ulis),,0-8,,
10:31.0,T. Ulis makes free throw 1 of 2,1,1-8,,
10:31.0,T. Ulis misses free throw 2 of 2,,1-8,,
10:31.0,,,1-8,,Defensive rebound by M. Williams
10:10.0,Personal foul by A. Len (drawn by N. Batum),,1-8,,
10:10.0,,,1-9,1,N. Batum makes free throw 1 of 2
10:10.0,,,1-10,1,N. Batum makes free throw 2 of 2
9:52.0,Turnover by D. Booker (lost ball),,1-10,,
9:34.0,,,1-12,2,N. Batum makes 2-pt shot from 18 ft (assist by M. Kidd-Gilchrist)
9:18.0,Turnover by T. Ulis (bad pass; steal by M. Williams),,1-12,,
9:14.0,,,1-12,,C. Zeller misses 2-pt shot from 1 ft (block by D. Booker)
9:06.0,,,1-12,,Offensive rebound by Team
8:59.0,Personal foul by T. Ulis (drawn by K. Walker),,1-12,,
8:59.0,,,1-13,1,K. Walker makes free throw 1 of 3
8:59.0,,,1-14,1,K. Walker makes free throw 2 of 3
8:59.0,,,1-15,1,K. Walker makes free throw 3 of 3
8:42.0,T. Warren misses 2-pt shot from 1 ft,,1-15,,
8:41.0,,,1-15,,Defensive rebound by M. Williams
8:34.0,,,1-17,2,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by N. Batum)
8:22.0,D. Booker misses 2-pt shot from 3 ft,,1-17,,
8:22.0,,,1-17,,Defensive rebound by N. Batum
8:13.0,,,1-17,,K. Walker misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by T. Warren,,1-17,,
8:06.0,T. Ulis makes 2-pt shot from 10 ft,2,3-17,,
7:37.0,,,3-20,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
7:20.0,M. Chriss misses 3-pt shot from 24 ft,,3-20,,
7:20.0,Offensive rebound by D. Booker,,3-20,,
7:13.0,Turnover by D. Booker (bad pass),,3-20,,
7:03.0,,,3-22,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
7:00.0,Phoenix full timeout,,3-22,,
6:45.0,A. Len makes 2-pt shot from 5 ft,2,5-22,,
6:32.0,,,5-24,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
6:19.0,A. Len makes 2-pt shot from 17 ft (assist by T. Warren),2,7-24,,
5:58.0,,,7-24,,N. Batum misses 2-pt shot from 16 ft
5:55.0,Defensive rebound by Team,,7-24,,
5:55.0,,,7-24,,F. Kaminsky enters the game for M. Williams
5:43.0,Turnover by M. Chriss (bad pass; steal by C. Zeller),,7-24,,
5:34.0,,,7-26,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
5:34.0,,,7-26,,Shooting foul by D. Booker (drawn by C. Zeller)
5:34.0,,,7-27,1,C. Zeller makes free throw 1 of 1
5:34.0,J. Dudley enters the game for M. Chriss,,7-26,,
5:34.0,,,7-26,,M. Belinelli enters the game for N. Batum
5:15.0,Turnover by J. Dudley (bad pass; steal by C. Zeller),,7-27,,
5:05.0,,,7-30,3,K. Walker makes 3-pt shot from 24 ft (assist by C. Zeller)
4:56.0,T. Ulis misses 2-pt shot from 20 ft,,7-30,,
4:55.0,,,7-30,,Defensive rebound by F. Kaminsky
4:39.0,,,7-30,,F. Kaminsky misses 2-pt shot from 11 ft
4:38.0,Defensive rebound by A. Len,,7-30,,
4:23.0,J. Dudley misses 2-pt shot from 16 ft,,7-30,,
4:21.0,,,7-30,,Defensive rebound by M. Kidd-Gilchrist
4:17.0,Personal foul by D. Booker (drawn by M. Kidd-Gilchrist),,7-30,,
4:17.0,D. Jones enters the game for T. Ulis,,7-30,,
4:05.0,,,7-30,,M. Belinelli misses 2-pt shot from 21 ft
4:04.0,Defensive rebound by T. Warren,,7-30,,
3:54.0,A. Len makes 2-pt shot from 1 ft (assist by T. Warren),2,9-30,,
3:34.0,,,9-32,2,M. Belinelli makes 2-pt shot from 12 ft
3:15.0,D. Jones misses 2-pt shot from 2 ft (block by K. Walker),,9-32,,
3:14.0,Offensive rebound by D. Jones,,9-32,,
3:11.0,D. Booker misses 3-pt shot from 24 ft,,9-32,,
3:10.0,,,9-32,,Defensive rebound by K. Walker
2:51.0,,,9-32,,F. Kaminsky misses 2-pt shot from 11 ft
2:50.0,Defensive rebound by T. Warren,,9-32,,
2:40.0,A. Len misses 2-pt shot from 18 ft,,9-32,,
2:39.0,,,9-32,,Defensive rebound by F. Kaminsky
2:26.0,,,9-32,,K. Walker misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by T. Warren,,9-32,,
2:18.0,Shooting foul by C. Zeller,,9-32,,
2:18.0,,,9-32,,Charlotte full timeout
2:18.0,T. Warren makes free throw 1 of 2,1,10-32,,
2:18.0,T. Warren makes free throw 2 of 2,1,11-32,,
2:18.0,A. Williams enters the game for A. Len,,9-32,,
2:18.0,,,9-32,,B. Weber enters the game for C. Zeller
2:18.0,,,9-32,,M. Williams enters the game for K. Walker
1:58.0,,,11-34,2,M. Belinelli makes 2-pt shot from 23 ft (assist by M. Williams)
1:42.0,D. Booker makes 3-pt shot from 25 ft (assist by J. Dudley),3,14-34,,
1:24.0,,,14-34,,M. Williams misses 3-pt shot from 23 ft
1:23.0,Defensive rebound by D. Jones,,14-34,,
1:14.0,D. Jones makes 2-pt shot from 2 ft (assist by J. Dudley),2,16-34,,
0:58.0,,,16-34,,Shooting foul by A. Williams (drawn by F. Kaminsky)
0:58.0,,,16-35,1,F. Kaminsky makes free throw 1 of 2
0:58.0,,,16-36,1,F. Kaminsky makes free throw 2 of 2
0:43.0,D. Booker misses 2-pt shot from 2 ft,,16-36,,
0:41.0,,,16-36,,Defensive rebound by M. Belinelli
0:34.0,,,16-36,,B. Weber misses 2-pt shot from 16 ft
0:33.0,,,16-36,,Offensive rebound by M. Kidd-Gilchrist
0:33.0,,,16-38,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
0:25.0,Turnover by D. Jones (lost ball; steal by B. Weber),,16-38,,
0:07.0,,,16-38,,Turnover by F. Kaminsky (bad pass; steal by T. Warren)
0:04.0,T. Warren makes 2-pt shot from 2 ft,2,18-38,,
0:00.0,,,18-38,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
0:00.0,,,18-38,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,A. Williams makes 2-pt shot from 6 ft (assist by J. Dudley),2,20-38,,
11:23.0,,,20-38,,M. Belinelli misses 2-pt shot from 22 ft
11:22.0,Defensive rebound by A. Williams,,20-38,,
11:13.0,T. Ulis makes 2-pt shot from 11 ft,2,22-38,,
10:47.0,,,22-38,,F. Kaminsky misses 2-pt shot from 1 ft
10:45.0,,,22-38,,Offensive rebound by B. Weber
10:41.0,,,22-41,3,M. Williams makes 3-pt shot from 25 ft (assist by B. Weber)
10:21.0,J. Dudley makes 2-pt shot from 1 ft,2,24-41,,
9:56.0,,,24-41,,J. Lamb misses 2-pt shot from 18 ft
9:54.0,,,24-41,,Offensive rebound by F. Kaminsky
9:50.0,,,24-41,,J. Lamb misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by A. Williams,,24-41,,
9:37.0,Shooting foul by B. Weber (drawn by J. Dudley),,24-41,,
9:37.0,J. Dudley makes free throw 1 of 2,1,25-41,,
9:37.0,J. Dudley makes free throw 2 of 2,1,26-41,,
9:37.0,M. Chriss enters the game for J. Eddie,,25-41,,
9:15.0,,,26-44,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Williams)
9:05.0,A. Williams makes 2-pt shot from 1 ft (assist by T. Ulis),2,28-44,,
9:05.0,,,28-44,,Charlotte full timeout
8:42.0,,,28-44,,F. Kaminsky misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by A. Williams,,28-44,,
8:28.0,M. Chriss makes 2-pt shot at rim (assist by A. Williams),2,30-44,,
8:13.0,,,30-44,,B. Weber misses 2-pt shot from 1 ft (block by A. Williams)
8:12.0,Defensive rebound by T. Ulis,,30-44,,
7:59.0,Shooting foul by M. Williams (drawn by M. Chriss),,30-44,,
7:59.0,M. Chriss makes free throw 1 of 2,1,31-44,,
7:59.0,M. Chriss makes free throw 2 of 2,1,32-44,,
7:59.0,,,31-44,,N. Batum enters the game for M. Belinelli
7:59.0,,,31-44,,K. Walker enters the game for B. Weber
7:37.0,,,32-44,,N. Batum misses 2-pt shot from 19 ft
7:36.0,,,32-44,,Offensive rebound by M. Williams
7:31.0,,,32-44,,N. Batum misses 3-pt shot from 23 ft
7:30.0,Defensive rebound by T. Ulis,,32-44,,
7:19.0,A. Williams makes 2-pt shot from 1 ft (assist by J. Dudley),2,34-44,,
7:07.0,,,34-44,,C. Zeller enters the game for M. Williams
6:59.0,,,34-44,,J. Lamb misses 3-pt shot from 25 ft
6:57.0,,,34-44,,Offensive rebound by C. Zeller
6:53.0,,,34-44,,F. Kaminsky misses 2-pt shot from 1 ft
6:52.0,,,34-44,,Offensive rebound by F. Kaminsky
6:43.0,,,34-46,2,K. Walker makes 2-pt shot from 19 ft
6:29.0,A. Williams misses 2-pt shot from 7 ft,,34-46,,
6:26.0,,,34-46,,Defensive rebound by J. Lamb
6:17.0,,,34-48,2,J. Lamb makes 2-pt shot at rim
6:15.0,Phoenix full timeout,,34-48,,
6:15.0,,,34-48,,M. Kidd-Gilchrist enters the game for J. Lamb
6:15.0,D. Booker enters the game for D. Jones,,34-48,,
6:05.0,Turnover by J. Dudley (bad pass),,34-48,,
5:50.0,,,34-48,,Turnover by N. Batum (bad pass; steal by A. Williams)
5:43.0,T. Ulis misses 3-pt shot from 24 ft,,34-48,,
5:41.0,,,34-48,,Defensive rebound by N. Batum
5:34.0,,,34-48,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
5:31.0,Defensive rebound by A. Williams,,34-48,,
5:24.0,D. Booker makes 3-pt shot from 25 ft (assist by A. Williams),3,37-48,,
5:10.0,,,37-51,3,K. Walker makes 3-pt shot from 25 ft
4:54.0,M. Chriss makes 2-pt shot from 6 ft (assist by D. Booker),2,39-51,,
4:33.0,,,39-54,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by N. Batum)
4:04.0,T. Ulis misses 2-pt shot from 15 ft,,39-54,,
4:03.0,,,39-54,,Defensive rebound by M. Kidd-Gilchrist
3:58.0,Personal foul by A. Williams (drawn by C. Zeller),,39-54,,
3:58.0,,,39-54,,M. Williams enters the game for F. Kaminsky
3:43.0,,,39-54,,N. Batum misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by A. Williams,,39-54,,
3:36.0,Turnover by J. Dudley (bad pass; steal by C. Zeller),,39-54,,
3:17.0,,,39-54,,M. Kidd-Gilchrist misses 2-pt shot at rim
3:16.0,Defensive rebound by J. Dudley,,39-54,,
3:09.0,J. Dudley misses 3-pt shot from 24 ft,,39-54,,
3:08.0,,,39-54,,Defensive rebound by K. Walker
3:02.0,,,39-57,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
2:52.0,,,39-57,,Personal foul by N. Batum (drawn by J. Dudley)
2:52.0,T. Warren enters the game for T. Ulis,,39-57,,
2:52.0,A. Len enters the game for J. Dudley,,39-57,,
2:52.0,D. Jones enters the game for A. Williams,,39-57,,
2:42.0,M. Chriss misses 3-pt shot from 25 ft,,39-57,,
2:41.0,,,39-57,,Defensive rebound by M. Williams
2:29.0,,,39-57,,Shooting foul by D. Jones (drawn by M. Williams)
2:29.0,,,39-58,1,M. Williams makes free throw 1 of 2
2:29.0,,,39-59,1,M. Williams makes free throw 2 of 2
2:16.0,D. Booker makes 2-pt shot from 15 ft (assist by D. Jones),2,41-59,,
1:52.0,,,41-59,,Turnover by N. Batum (bad pass; steal by T. Warren)
1:49.0,Turnover by D. Booker (lost ball; steal by C. Zeller),,41-59,,
1:43.0,,,41-61,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
1:33.0,Shooting foul by M. Williams (drawn by D. Booker),,41-61,,
1:33.0,D. Booker makes free throw 1 of 2,1,42-61,,
1:33.0,D. Booker makes free throw 2 of 2,1,43-61,,
1:33.0,,,42-61,,F. Kaminsky enters the game for M. Williams
1:29.0,Jump ball: D. Jones vs. K. Walker (F. Kaminsky gains possession),,,,Jump ball: D. Jones vs. K. Walker (F. Kaminsky gains possession)
1:20.0,,,43-64,3,N. Batum makes 3-pt shot from 24 ft (assist by F. Kaminsky)
1:11.0,Shooting foul by C. Zeller (drawn by A. Len),,43-64,,
1:11.0,A. Len makes free throw 1 of 2,1,44-64,,
