time,New York,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Noah (K. Porzingis gains possession),,,,Jump ball: A. Johnson vs. J. Noah (K. Porzingis gains possession)
11:47.0,C. Anthony misses 2-pt shot from 6 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by A. Bradley
11:27.0,,,0-2,2,I. Thomas makes 2-pt shot from 17 ft (assist by A. Bradley)
11:05.0,D. Rose makes 2-pt shot from 7 ft,2,2-2,,
10:48.0,,,2-5,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Johnson)
10:26.0,D. Rose misses 3-pt shot from 25 ft,,2-5,,
10:25.0,,,2-5,,Defensive rebound by M. Smart
10:19.0,,,2-8,3,M. Smart makes 3-pt shot from 25 ft (assist by I. Thomas)
10:04.0,C. Anthony makes 2-pt shot from 18 ft (assist by D. Rose),2,4-8,,
9:47.0,,,4-8,,Turnover by M. Smart (bad pass)
9:31.0,,,4-8,,Violation by A. Johnson (def goaltending)
9:31.0,C. Anthony makes 2-pt shot from 3 ft,2,6-8,,
9:15.0,,,6-11,3,M. Smart makes 3-pt shot from 23 ft (assist by I. Thomas)
8:53.0,C. Lee misses 2-pt shot from 19 ft,,6-11,,
8:52.0,,,6-11,,Defensive rebound by K. Olynyk
8:48.0,,,6-11,,A. Bradley misses 2-pt shot at rim
8:47.0,Defensive rebound by K. Porzingis,,6-11,,
8:41.0,Turnover by K. Porzingis (lost ball),,6-11,,
8:29.0,,,6-11,,Shooting foul by K. Porzingis (drawn by K. Olynyk)
8:29.0,,,6-12,1,K. Olynyk makes free throw 1 of 2
8:29.0,,,6-13,1,K. Olynyk makes free throw 2 of 2
8:20.0,K. Porzingis misses 2-pt shot from 2 ft,,6-13,,
8:19.0,Offensive rebound by J. Noah,,6-13,,
8:19.0,J. Noah misses 2-pt shot from 1 ft,,6-13,,
8:18.0,,,6-13,,Defensive rebound by A. Bradley
8:09.0,,,6-13,,Shooting foul by C. Lee (drawn by A. Bradley)
8:09.0,,,6-14,1,A. Bradley makes free throw 1 of 2
8:09.0,,,6-15,1,A. Bradley makes free throw 2 of 2
7:59.0,Turnover by J. Noah (lost ball; steal by A. Johnson),,6-15,,
7:50.0,,,6-17,2,M. Smart makes 2-pt shot from 4 ft
7:36.0,Turnover by C. Anthony (lost ball; steal by A. Bradley),,6-17,,
7:31.0,,,6-17,,A. Bradley misses 2-pt shot from 1 ft
7:30.0,,,6-17,,Offensive rebound by I. Thomas
7:25.0,,,6-17,,M. Smart misses 3-pt shot from 25 ft
7:21.0,,,6-17,,Offensive rebound by A. Bradley
7:21.0,,,6-17,,A. Bradley misses 2-pt shot from 1 ft
7:20.0,Defensive rebound by C. Anthony,,6-17,,
