time,Oklahoma City,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Embiid (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. J. Embiid (V. Oladipo gains possession)
11:50.0,,,0-0,,Personal foul by D. Saric (drawn by S. Adams)
11:43.0,R. Westbrook misses 2-pt shot from 18 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Embiid
11:33.0,,,0-0,,J. Embiid misses 3-pt shot from 24 ft
11:32.0,Defensive rebound by A. Roberson,,0-0,,
11:28.0,,,0-0,,Personal foul by J. Embiid (drawn by S. Adams)
11:21.0,V. Oladipo misses 2-pt shot from 3 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by J. Embiid
11:14.0,,,0-2,2,G. Henderson makes 2-pt shot at rim (assist by S. Rodriguez)
10:59.0,V. Oladipo misses 3-pt shot from 25 ft,,0-2,,
10:58.0,,,0-2,,Defensive rebound by J. Embiid
10:46.0,,,0-5,3,G. Henderson makes 3-pt shot from 23 ft (assist by D. Saric)
10:27.0,Turnover by R. Westbrook (bad pass; steal by R. Covington),,0-5,,
10:21.0,,,0-5,,Turnover by D. Saric (bad pass)
10:09.0,R. Westbrook makes 2-pt shot from 15 ft,2,2-5,,
9:59.0,,,2-5,,D. Saric misses 3-pt shot from 26 ft
9:57.0,Defensive rebound by V. Oladipo,,2-5,,
9:48.0,S. Adams misses 2-pt shot from 3 ft,,2-5,,
9:46.0,,,2-5,,Defensive rebound by S. Rodriguez
9:39.0,,,2-5,,Turnover by J. Embiid (lost ball; steal by S. Adams)
9:33.0,A. Roberson misses 2-pt shot from 2 ft,,2-5,,
9:31.0,,,2-5,,Defensive rebound by D. Saric
9:13.0,,,2-5,,S. Rodriguez misses 3-pt shot from 25 ft
9:11.0,,,2-5,,Offensive rebound by D. Saric
9:10.0,,,2-5,,Shooting foul by D. Sabonis (drawn by D. Saric)
9:10.0,,,2-6,1,D. Saric makes free throw 1 of 2
9:10.0,,,2-6,,D. Saric misses free throw 2 of 2
9:08.0,Defensive rebound by D. Sabonis,,2-6,,
8:58.0,V. Oladipo misses 2-pt shot from 2 ft,,2-6,,
8:56.0,,,2-6,,Defensive rebound by R. Covington
8:51.0,,,2-8,2,D. Saric makes 2-pt shot from 21 ft (assist by S. Rodriguez)
8:28.0,D. Sabonis misses 2-pt shot from 5 ft (block by R. Covington),,2-8,,
8:26.0,,,2-8,,Defensive rebound by G. Henderson
8:17.0,,,2-10,2,J. Embiid makes 2-pt shot from 16 ft
8:01.0,R. Westbrook misses 2-pt shot from 7 ft (block by J. Embiid),,2-10,,
7:59.0,,,2-10,,Defensive rebound by S. Rodriguez
7:52.0,,,2-10,,D. Saric misses 2-pt shot from 12 ft
7:50.0,Defensive rebound by R. Westbrook,,2-10,,
7:47.0,Shooting foul by G. Henderson (drawn by R. Westbrook),,2-10,,
7:47.0,Oklahoma City full timeout,,2-10,,
7:47.0,R. Westbrook makes free throw 1 of 2,1,3-10,,
7:47.0,R. Westbrook misses free throw 2 of 2,,3-10,,
7:47.0,,,2-10,,J. Okafor enters the game for J. Embiid
7:46.0,Offensive rebound by S. Adams,,3-10,,
7:40.0,V. Oladipo makes 2-pt shot from 2 ft (assist by A. Roberson),2,5-10,,
7:40.0,Shooting foul by J. Okafor (drawn by V. Oladipo),,5-10,,
7:40.0,V. Oladipo misses free throw 1 of 1,,5-10,,
7:39.0,,,5-10,,Defensive rebound by J. Okafor
7:23.0,,,5-12,2,S. Rodriguez makes 2-pt shot from 1 ft
7:06.0,R. Westbrook misses 2-pt shot from 20 ft,,5-12,,
7:04.0,,,5-12,,Defensive rebound by G. Henderson
6:53.0,Violation by D. Sabonis (def goaltending),,5-12,,
