time,Portland,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. T. Thompson (K. Irving gains possession),,,,Jump ball: M. Plumlee vs. T. Thompson (K. Irving gains possession)
11:45.0,,,0-2,2,K. Love makes 2-pt shot from 15 ft (assist by L. James)
11:25.0,M. Plumlee makes 2-pt shot from 7 ft (assist by D. Lillard),2,2-2,,
11:11.0,,,2-5,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
10:50.0,E. Davis misses 2-pt shot from 3 ft,,2-5,,
10:49.0,Offensive rebound by E. Davis,,2-5,,
10:49.0,Shooting foul by T. Thompson (drawn by E. Davis),,2-5,,
10:49.0,E. Davis makes free throw 1 of 2,1,3-5,,
10:49.0,E. Davis makes free throw 2 of 2,1,4-5,,
10:32.0,,,4-8,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving)
10:14.0,M. Harkless misses 3-pt shot from 25 ft,,4-8,,
10:14.0,,,4-8,,Defensive rebound by T. Thompson
10:05.0,,,4-11,3,K. Love makes 3-pt shot from 26 ft (assist by L. James)
9:49.0,,,4-11,,Violation by T. Thompson (kicked ball)
9:39.0,M. Plumlee makes 2-pt shot from 1 ft (assist by E. Davis),2,6-11,,
9:28.0,,,6-14,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
9:12.0,D. Lillard makes 3-pt shot from 29 ft (assist by M. Harkless),3,9-14,,
8:57.0,,,9-17,3,K. Irving makes 3-pt shot from 23 ft
8:40.0,C. McCollum misses 3-pt shot from 25 ft,,9-17,,
8:40.0,,,9-17,,Defensive rebound by L. James
8:31.0,,,9-20,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
8:31.0,Portland full timeout,,9-20,,
8:16.0,E. Davis misses 2-pt shot from 1 ft,,9-20,,
8:16.0,,,9-20,,Defensive rebound by Team
8:16.0,Loose ball foul by M. Plumlee (drawn by T. Thompson),,9-20,,
8:07.0,,,9-23,3,K. Love makes 3-pt shot from 27 ft (assist by L. James)
7:50.0,E. Davis makes 2-pt shot from 1 ft (assist by D. Lillard),2,11-23,,
7:36.0,,,11-26,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
7:22.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,13-26,,
7:10.0,Personal foul by M. Plumlee (drawn by K. Love),,13-26,,
7:10.0,E. Turner enters the game for M. Plumlee,,13-26,,
7:06.0,,,13-26,,K. Love misses 3-pt shot from 31 ft
7:05.0,,,13-26,,Offensive rebound by J. Smith
6:55.0,,,13-26,,Turnover by K. Irving (bad pass; steal by E. Turner)
6:54.0,Turnover by E. Turner (bad pass; steal by L. James),,13-26,,
6:52.0,,,13-26,,Turnover by L. James (bad pass)
6:38.0,Turnover by E. Davis (bad pass; steal by L. James),,13-26,,
6:34.0,,,13-26,,Turnover by L. James (bad pass; steal by C. McCollum)
6:33.0,,,13-26,,Personal foul by K. Love (drawn by C. McCollum)
6:23.0,C. McCollum misses 3-pt shot from 25 ft,,13-26,,
