time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. Z. Pachulia (E. Gordon gains possession),,,,Jump ball: C. Capela vs. Z. Pachulia (E. Gordon gains possession)
11:45.0,,,0-0,,Turnover by P. Beverley (bad pass; steal by D. Green)
11:40.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,2-0,,
11:30.0,,,2-0,,C. Capela misses 2-pt shot at rim
11:29.0,Defensive rebound by S. Curry,,2-0,,
11:18.0,K. Thompson makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,4-0,,
10:56.0,,,4-2,2,T. Ariza makes 2-pt shot at rim
10:39.0,S. Curry makes 3-pt shot from 25 ft (assist by P. McCaw),3,7-2,,
10:21.0,,,7-2,,Turnover by C. Capela (lost ball)
10:13.0,Offensive foul by Z. Pachulia,,7-2,,
10:13.0,Turnover by Z. Pachulia (offensive foul),,7-2,,
10:04.0,,,7-4,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
9:44.0,D. Green makes 2-pt shot from 1 ft,2,9-4,,
9:37.0,,,9-4,,E. Gordon misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by Z. Pachulia,,9-4,,
9:25.0,K. Thompson misses 2-pt shot from 1 ft,,9-4,,
9:25.0,,,9-4,,Defensive rebound by J. Harden
9:18.0,,,9-4,,Turnover by J. Harden (lost ball; steal by D. Green)
9:15.0,Turnover by S. Curry (bad pass),,9-4,,
9:11.0,,,9-4,,Turnover by E. Gordon (lost ball; steal by P. McCaw)
9:06.0,D. Green makes 2-pt shot at rim (assist by P. McCaw),2,11-4,,
8:50.0,,,11-6,2,J. Harden makes 2-pt shot at rim
8:37.0,Z. Pachulia makes 2-pt shot at rim (assist by S. Curry),2,13-6,,
8:22.0,,,13-8,2,T. Ariza makes 2-pt shot from 19 ft
8:06.0,K. Thompson makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,16-8,,
7:44.0,,,16-8,,E. Gordon misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by K. Thompson,,16-8,,
7:28.0,S. Curry misses 2-pt shot from 8 ft,,16-8,,
7:28.0,,,16-8,,Defensive rebound by J. Harden
7:19.0,,,16-8,,P. Beverley misses 3-pt shot from 24 ft
7:18.0,,,16-8,,Offensive rebound by J. Harden
7:14.0,,,16-11,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
7:02.0,P. McCaw misses 3-pt shot from 24 ft,,16-11,,
7:01.0,Offensive rebound by S. Curry,,16-11,,
7:00.0,,,16-11,,Personal foul by T. Ariza (drawn by S. Curry)
7:00.0,Golden State full timeout,,16-11,,
6:44.0,K. Thompson makes 2-pt shot at rim (assist by D. Green),2,18-11,,
6:28.0,,,18-11,,T. Ariza misses 3-pt shot from 23 ft
6:26.0,Defensive rebound by Z. Pachulia,,18-11,,
6:09.0,D. Green makes 3-pt shot from 25 ft (assist by P. McCaw),3,21-11,,
5:57.0,,,21-14,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden)
5:34.0,K. Thompson misses 3-pt shot from 25 ft,,21-14,,
5:33.0,,,21-14,,Defensive rebound by J. Harden
5:25.0,,,21-14,,J. Harden misses 3-pt shot from 24 ft
5:23.0,,,21-14,,Offensive rebound by J. Harden
5:20.0,,,21-14,,J. Harden misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by D. Green,,21-14,,
5:07.0,P. McCaw makes 3-pt shot from 23 ft (assist by S. Curry),3,24-14,,
4:57.0,,,24-14,,Shooting foul by Z. Pachulia (drawn by E. Gordon)
4:57.0,,,24-15,1,E. Gordon makes free throw 1 of 2
4:57.0,,,24-16,1,E. Gordon makes free throw 2 of 2
4:57.0,,,24-15,,L. Williams enters the game for P. Beverley
4:57.0,J. McAdoo enters the game for P. McCaw,,24-15,,
4:57.0,A. Iguodala enters the game for Z. Pachulia,,24-15,,
4:44.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,27-16,,
4:33.0,,,27-16,,Turnover by J. Harden (bad pass)
4:13.0,Turnover by K. Thompson (bad pass; steal by J. Harden),,27-16,,
4:11.0,Personal foul by J. McAdoo (drawn by J. Harden),,27-16,,
4:11.0,,,27-16,,S. Dekker enters the game for E. Gordon
4:11.0,S. Livingston enters the game for K. Thompson,,27-16,,
4:03.0,,,27-16,,S. Dekker misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by S. Curry,,27-16,,
3:58.0,S. Curry misses 3-pt shot from 25 ft,,27-16,,
3:56.0,,,27-16,,Defensive rebound by T. Ariza
3:34.0,,,27-16,,J. Harden misses 2-pt shot from 1 ft (block by J. McAdoo)
3:32.0,Defensive rebound by A. Iguodala,,27-16,,
3:29.0,S. Curry makes 2-pt shot from 1 ft (assist by J. McAdoo),2,29-16,,
3:20.0,,,29-16,,L. Williams misses 2-pt shot from 1 ft
3:19.0,Defensive rebound by S. Livingston,,29-16,,
3:15.0,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston),2,31-16,,
3:15.0,,,31-16,,Houston full timeout
3:15.0,,,31-16,,N. Hilario enters the game for C. Capela
2:51.0,,,31-16,,J. Harden misses 3-pt shot from 25 ft
2:50.0,Defensive rebound by S. Curry,,31-16,,
2:44.0,S. Curry makes 2-pt shot from 1 ft,2,33-16,,
2:28.0,,,33-16,,T. Ariza misses 3-pt shot from 23 ft
2:28.0,Defensive rebound by S. Curry,,33-16,,
2:23.0,Turnover by S. Curry (bad pass; steal by T. Ariza),,33-16,,
2:15.0,,,33-18,2,S. Dekker makes 2-pt shot at rim (assist by J. Harden)
1:52.0,S. Curry misses 3-pt shot from 24 ft,,33-18,,
1:51.0,,,33-18,,Defensive rebound by J. Harden
1:46.0,,,33-18,,L. Williams misses 3-pt shot from 25 ft
1:44.0,Defensive rebound by D. Green,,33-18,,
1:36.0,D. Green misses 3-pt shot from 25 ft,,33-18,,
1:35.0,,,33-18,,Defensive rebound by S. Dekker
1:15.0,,,33-18,,J. Harden misses 2-pt shot at rim
1:14.0,Defensive rebound by D. Green,,33-18,,
1:07.0,Turnover by S. Curry (bad pass; steal by T. Ariza),,33-18,,
1:00.0,,,33-18,,J. Harden misses 3-pt shot from 25 ft (block by S. Livingston)
1:00.0,Defensive rebound by S. Curry,,33-18,,
0:58.0,M. Barnes enters the game for D. Green,,33-18,,
0:58.0,D. West enters the game for J. McAdoo,,33-18,,
0:46.0,A. Iguodala makes 2-pt shot from 12 ft,2,35-18,,
0:29.0,,,35-18,,N. Hilario misses 2-pt shot from 7 ft
0:28.0,Defensive rebound by M. Barnes,,35-18,,
0:10.0,S. Livingston makes 2-pt shot at rim (assist by D. West),2,37-18,,
0:04.0,Personal foul by A. Iguodala (drawn by J. Harden),,37-18,,
0:04.0,D. Green enters the game for S. Curry,,37-18,,
0:04.0,I. Clark enters the game for D. West,,37-18,,
0:01.0,,,37-20,2,J. Harden makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,K. Thompson misses 3-pt shot from 24 ft,,37-20,,
11:43.0,,,37-20,,Defensive rebound by S. Dekker
11:25.0,,,37-22,2,L. Williams makes 2-pt shot from 1 ft (assist by N. Hilario)
11:03.0,D. West makes 2-pt shot from 12 ft,2,39-22,,
10:51.0,,,39-22,,N. Hilario misses 2-pt shot from 1 ft (block by D. West)
10:49.0,Defensive rebound by A. Iguodala,,39-22,,
10:43.0,Turnover by K. Thompson (traveling),,39-22,,
10:25.0,,,39-22,,E. Gordon misses 2-pt shot from 2 ft (block by D. West)
10:24.0,,,39-22,,Offensive rebound by Team
10:17.0,,,39-22,,L. Williams misses 3-pt shot from 26 ft
10:15.0,,,39-22,,Offensive rebound by Team
10:07.0,,,39-22,,L. Williams misses 3-pt shot from 24 ft
10:06.0,,,39-22,,Offensive rebound by N. Hilario
10:05.0,,,39-22,,Shooting foul by D. West (drawn by N. Hilario)
10:05.0,,,39-22,,N. Hilario misses free throw 1 of 2
10:05.0,,,39-22,,Offensive rebound by Team
10:05.0,,,39-23,1,N. Hilario makes free throw 2 of 2
9:54.0,,,39-23,,Personal foul by S. Dekker (drawn by A. Iguodala)
9:42.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. West),2,41-23,,
9:28.0,,,41-25,2,E. Gordon makes 2-pt shot from 1 ft
9:09.0,A. Iguodala misses 3-pt shot from 24 ft,,41-25,,
9:08.0,,,41-25,,Defensive rebound by L. Williams
8:54.0,,,41-25,,S. Dekker misses 2-pt shot at rim
8:53.0,Defensive rebound by K. Thompson,,41-25,,
8:39.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. West),3,44-25,,
8:30.0,Official timeout,,44-25,,
8:16.0,,,44-27,2,L. Williams makes 2-pt shot from 1 ft (assist by N. Hilario)
7:57.0,K. Thompson makes 3-pt shot from 24 ft (assist by A. Iguodala),3,47-27,,
7:42.0,,,47-27,,E. Gordon misses 2-pt shot at rim
7:41.0,Defensive rebound by A. Iguodala,,47-27,,
7:32.0,Turnover by I. Clark (step out of bounds),,47-27,,
7:25.0,,,47-27,,S. Dekker misses 2-pt shot at rim
7:23.0,Defensive rebound by D. West,,47-27,,
7:18.0,I. Clark makes 2-pt shot from 1 ft (assist by A. Iguodala),2,49-27,,
7:06.0,,,49-29,2,P. Beverley makes 2-pt shot at rim
6:44.0,D. West misses 2-pt shot from 1 ft,,49-29,,
6:43.0,,,49-29,,Defensive rebound by S. Dekker
6:36.0,,,49-29,,Shooting foul by M. Barnes (drawn by L. Williams)
6:36.0,,,49-30,1,L. Williams makes free throw 1 of 3
6:36.0,,,49-31,1,L. Williams makes free throw 2 of 3
6:36.0,,,49-32,1,L. Williams makes free throw 3 of 3
6:36.0,,,49-31,,T. Ariza enters the game for P. Beverley
6:36.0,,,49-31,,J. Harden enters the game for S. Dekker
6:36.0,,,49-31,,C. Capela enters the game for N. Hilario
6:36.0,D. Green enters the game for D. West,,49-31,,
6:36.0,Z. Pachulia enters the game for A. Iguodala,,49-31,,
6:21.0,Turnover by I. Clark (bad pass; steal by T. Ariza),,49-32,,
6:13.0,Shooting block foul by K. Thompson (drawn by C. Capela),,49-32,,
6:13.0,,,49-33,1,C. Capela makes free throw 1 of 2
6:13.0,,,49-34,1,C. Capela makes free throw 2 of 2
6:13.0,S. Curry enters the game for K. Thompson,,49-33,,
6:13.0,S. Livingston enters the game for M. Barnes,,49-33,,
5:59.0,D. Green misses 3-pt shot from 25 ft,,49-34,,
5:58.0,,,49-34,,Defensive rebound by Team
5:50.0,,,49-36,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
5:50.0,Golden State full timeout,,49-36,,
5:35.0,I. Clark misses 3-pt shot from 25 ft,,49-36,,
5:34.0,,,49-36,,Defensive rebound by J. Harden
5:27.0,,,49-36,,Turnover by J. Harden (lost ball; steal by D. Green)
5:23.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,51-36,,
5:09.0,Personal foul by S. Curry (drawn by E. Gordon),,51-36,,
5:05.0,,,51-36,,L. Williams misses 3-pt shot from 24 ft
5:04.0,Defensive rebound by S. Livingston,,51-36,,
4:48.0,I. Clark misses 3-pt shot from 23 ft,,51-36,,
4:48.0,Offensive rebound by Team,,51-36,,
4:48.0,,,51-36,,Loose ball foul by C. Capela (drawn by Z. Pachulia)
4:42.0,,,51-36,,Personal foul by T. Ariza (drawn by S. Curry)
4:34.0,S. Curry makes 2-pt shot from 22 ft (assist by S. Livingston),2,53-36,,
4:30.0,Personal foul by S. Livingston (drawn by J. Harden),,53-36,,
4:30.0,,,53-37,1,J. Harden makes free throw 1 of 2
4:30.0,,,53-38,1,J. Harden makes free throw 2 of 2
4:14.0,Turnover by D. Green (bad pass; steal by T. Ariza),,53-38,,
4:09.0,,,53-40,2,J. Harden makes 2-pt shot at rim
4:09.0,Golden State full timeout,,53-40,,
3:56.0,S. Curry misses 3-pt shot from 25 ft (block by E. Gordon),,53-40,,
3:55.0,Offensive rebound by S. Curry,,53-40,,
3:53.0,S. Curry makes 2-pt shot at rim,2,55-40,,
3:40.0,,,55-42,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
3:21.0,Shooting foul by C. Capela (drawn by S. Curry),,55-42,,
3:21.0,S. Curry misses free throw 1 of 2,,55-42,,
3:21.0,Offensive rebound by Team,,55-42,,
3:21.0,S. Curry makes free throw 2 of 2,1,56-42,,
3:21.0,A. Iguodala enters the game for Z. Pachulia,,55-42,,
3:21.0,,,55-42,,N. Hilario enters the game for C. Capela
3:21.0,K. Thompson enters the game for I. Clark,,55-42,,
3:08.0,,,56-42,,J. Harden misses 2-pt shot at rim
3:08.0,,,56-42,,Offensive rebound by N. Hilario
3:07.0,,,56-44,2,N. Hilario makes 2-pt shot at rim
2:54.0,S. Curry misses 3-pt shot from 25 ft,,56-44,,
2:51.0,,,56-44,,Defensive rebound by T. Ariza
2:42.0,,,56-44,,Turnover by J. Harden (lost ball; steal by K. Thompson)
2:37.0,S. Curry misses 3-pt shot from 24 ft,,56-44,,
2:35.0,Offensive rebound by S. Livingston,,56-44,,
2:31.0,S. Curry misses 3-pt shot from 25 ft,,56-44,,
2:30.0,,,56-44,,Defensive rebound by T. Ariza
2:22.0,,,56-44,,Shooting foul by S. Livingston (drawn by J. Harden)
2:22.0,,,56-44,,Houston full timeout
2:22.0,,,56-45,1,J. Harden makes free throw 1 of 3
2:22.0,,,56-46,1,J. Harden makes free throw 2 of 3
2:22.0,,,56-47,1,J. Harden makes free throw 3 of 3
2:22.0,,,56-44,,P. Beverley enters the game for L. Williams
2:22.0,M. Barnes enters the game for S. Livingston,,56-44,,
2:07.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,58-47,,
1:43.0,,,58-47,,T. Ariza misses 2-pt shot from 22 ft
1:42.0,Defensive rebound by K. Thompson,,58-47,,
1:30.0,K. Thompson misses 3-pt shot from 24 ft,,58-47,,
1:29.0,,,58-47,,Defensive rebound by J. Harden
1:23.0,,,58-47,,Shooting foul by K. Thompson (drawn by N. Hilario)
1:23.0,,,58-47,,N. Hilario misses free throw 1 of 2
1:23.0,,,58-47,,Offensive rebound by Team
1:23.0,,,58-48,1,N. Hilario makes free throw 2 of 2
1:10.0,Turnover by A. Iguodala (bad pass; steal by T. Ariza),,58-48,,
0:52.0,,,58-48,,Shooting foul by S. Curry (drawn by J. Harden)
0:52.0,,,58-49,1,J. Harden makes free throw 1 of 2
0:52.0,,,58-50,1,J. Harden makes free throw 2 of 2
0:35.0,S. Curry misses 3-pt shot from 25 ft,,58-50,,
0:34.0,Offensive rebound by D. Green,,58-50,,
0:33.0,D. Green misses 2-pt shot from 1 ft,,58-50,,
0:33.0,Offensive rebound by D. Green,,58-50,,
0:33.0,D. Green makes 2-pt shot from 1 ft,2,60-50,,
0:28.0,Personal foul by S. Curry (drawn by P. Beverley),,60-50,,
0:28.0,,,60-51,1,P. Beverley makes free throw 1 of 2
0:28.0,,,60-52,1,P. Beverley makes free throw 2 of 2
0:28.0,P. McCaw enters the game for S. Curry,,60-51,,
0:19.0,Golden State full timeout,,60-52,,
0:19.0,D. West enters the game for M. Barnes,,60-52,,
0:03.0,D. Green misses 3-pt shot from 34 ft,,60-52,,
0:01.0,,,60-52,,Defensive rebound by Team
0:01.0,S. Livingston enters the game for K. Thompson,,60-52,,
0:01.0,Violation by Team (jump ball),,60-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,K. Thompson misses 3-pt shot from 24 ft,,60-52,,
11:41.0,,,60-52,,Defensive rebound by C. Capela
11:32.0,,,60-52,,T. Ariza misses 3-pt shot from 24 ft
11:31.0,Defensive rebound by S. Curry,,60-52,,
11:14.0,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green),3,63-52,,
11:03.0,,,63-52,,Turnover by C. Capela (traveling)
10:52.0,D. Green makes 2-pt shot from 2 ft,2,65-52,,
10:37.0,,,65-54,2,T. Ariza makes 2-pt shot at rim (assist by P. Beverley)
10:31.0,K. Thompson misses 3-pt shot from 25 ft,,65-54,,
10:30.0,,,65-54,,Defensive rebound by C. Capela
10:20.0,,,65-57,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
10:19.0,Golden State full timeout,,65-57,,
10:19.0,M. Barnes enters the game for D. Green,,65-57,,
9:55.0,P. McCaw misses 2-pt shot from 4 ft,,65-57,,
9:54.0,,,65-57,,Defensive rebound by E. Gordon
9:49.0,Personal foul by M. Barnes (drawn by J. Harden),,65-57,,
9:41.0,,,65-57,,Shooting foul by Z. Pachulia (drawn by T. Ariza)
9:41.0,,,65-58,1,T. Ariza makes free throw 1 of 2
9:41.0,,,65-59,1,T. Ariza makes free throw 2 of 2
9:34.0,Shooting foul by C. Capela (drawn by S. Curry),,65-59,,
9:34.0,S. Curry makes free throw 1 of 2,1,66-59,,
9:34.0,S. Curry makes free throw 2 of 2,1,67-59,,
9:24.0,,,67-59,,Shooting foul by Z. Pachulia (drawn by C. Capela)
9:24.0,,,67-59,,C. Capela misses free throw 1 of 2
9:24.0,,,67-59,,Offensive rebound by Team
9:24.0,,,67-60,1,C. Capela makes free throw 2 of 2
9:06.0,M. Barnes misses 3-pt shot from 26 ft,,67-60,,
9:04.0,Offensive rebound by Z. Pachulia,,67-60,,
9:00.0,,,67-60,,Violation by C. Capela (kicked ball)
8:49.0,S. Curry misses 2-pt shot at rim (block by C. Capela),,67-60,,
8:49.0,Offensive rebound by Team,,67-60,,
8:46.0,M. Barnes misses 3-pt shot from 25 ft,,67-60,,
8:45.0,,,67-60,,Defensive rebound by E. Gordon
8:26.0,,,67-62,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
8:12.0,S. Curry makes 3-pt shot from 25 ft,3,70-62,,
8:04.0,,,70-64,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
7:55.0,Turnover by S. Curry (lost ball; steal by P. Beverley),,70-64,,
7:51.0,,,70-66,2,P. Beverley makes 2-pt shot from 1 ft
7:51.0,Golden State full timeout,,70-66,,
7:51.0,J. McGee enters the game for P. McCaw,,70-66,,
7:51.0,A. Iguodala enters the game for Z. Pachulia,,70-66,,
7:36.0,J. McGee makes 2-pt shot at rim (assist by A. Iguodala),2,72-66,,
