time,Utah,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Gobert (T. Parker gains possession),,,,Jump ball: P. Gasol vs. R. Gobert (T. Parker gains possession)
11:37.0,,,0-2,2,P. Gasol makes 2-pt shot from 18 ft (assist by T. Parker)
11:19.0,R. Hood misses 3-pt shot from 26 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by K. Leonard
11:17.0,Loose ball foul by D. Favors (drawn by K. Leonard),,0-2,,
10:55.0,,,0-4,2,K. Leonard makes 2-pt shot from 17 ft
10:40.0,R. Gobert makes 2-pt shot from 2 ft (assist by D. Favors),2,2-4,,
10:23.0,,,2-4,,L. Aldridge misses 2-pt shot from 19 ft
10:22.0,Defensive rebound by R. Gobert,,2-4,,
10:08.0,G. Hill makes 3-pt shot from 23 ft (assist by D. Favors),3,5-4,,
9:47.0,,,5-4,,P. Gasol misses 2-pt shot from 20 ft
9:46.0,Defensive rebound by J. Johnson,,5-4,,
9:38.0,J. Johnson misses 2-pt shot from 17 ft,,5-4,,
9:38.0,Jump ball: P. Gasol vs. R. Gobert (J. Johnson gains possession),,,,Jump ball: P. Gasol vs. R. Gobert (J. Johnson gains possession)
9:38.0,Offensive rebound by Team,,5-4,,
9:19.0,J. Johnson makes 3-pt shot from 25 ft (assist by G. Hill),3,8-4,,
8:51.0,,,8-4,,J. Simmons misses 2-pt shot from 2 ft (block by D. Favors)
8:48.0,Defensive rebound by R. Hood,,8-4,,
8:44.0,R. Hood misses 2-pt shot from 1 ft,,8-4,,
8:43.0,,,8-4,,Defensive rebound by K. Leonard
8:37.0,,,8-7,3,K. Leonard makes 3-pt shot from 25 ft
8:13.0,D. Favors makes 2-pt shot from 19 ft (assist by G. Hill),2,10-7,,
7:58.0,,,10-9,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
7:43.0,Shooting foul by P. Gasol (drawn by R. Hood),,10-9,,
7:43.0,R. Hood makes free throw 1 of 2,1,11-9,,
7:43.0,R. Hood makes free throw 2 of 2,1,12-9,,
7:29.0,,,12-9,,T. Parker misses 2-pt shot from 20 ft
7:28.0,Defensive rebound by R. Gobert,,12-9,,
7:18.0,G. Hill makes 3-pt shot from 26 ft (assist by J. Johnson),3,15-9,,
7:00.0,,,15-12,3,K. Leonard makes 3-pt shot from 24 ft (assist by J. Simmons)
6:42.0,R. Hood makes 2-pt shot from 16 ft (assist by D. Favors),2,17-12,,
6:42.0,,,17-12,,San Antonio full timeout
6:20.0,,,17-12,,P. Gasol misses 2-pt shot from 16 ft
6:19.0,Defensive rebound by D. Favors,,17-12,,
6:04.0,D. Favors misses 2-pt shot from 15 ft,,17-12,,
6:02.0,,,17-12,,Defensive rebound by P. Gasol
5:49.0,Personal foul by G. Hill (drawn by T. Parker),,17-12,,
5:49.0,,,17-12,,M. Ginobili enters the game for J. Simmons
5:36.0,,,17-14,2,L. Aldridge makes 2-pt shot from 14 ft
5:11.0,D. Favors makes 2-pt shot from 16 ft (assist by J. Johnson),2,19-14,,
4:53.0,,,19-14,,L. Aldridge misses 2-pt shot from 19 ft
4:52.0,Defensive rebound by R. Hood,,19-14,,
4:37.0,R. Hood makes 3-pt shot from 25 ft (assist by J. Johnson),3,22-14,,
4:26.0,,,22-16,2,P. Gasol makes 2-pt shot from 2 ft (assist by M. Ginobili)
4:09.0,D. Favors makes 2-pt shot from 19 ft (assist by R. Hood),2,24-16,,
3:43.0,,,24-19,3,M. Ginobili makes 3-pt shot from 25 ft (assist by T. Parker)
3:37.0,Utah full timeout,,24-19,,
3:37.0,,,24-19,,P. Mills enters the game for T. Parker
3:37.0,,,24-19,,D. Lee enters the game for P. Gasol
3:37.0,D. Exum enters the game for G. Hill,,24-19,,
3:37.0,S. Mack enters the game for J. Johnson,,24-19,,
3:37.0,T. Lyles enters the game for D. Favors,,24-19,,
3:21.0,R. Hood makes 3-pt shot from 24 ft,3,27-19,,
3:09.0,Personal foul by R. Hood (drawn by K. Leonard),,27-19,,
3:05.0,Violation by T. Lyles (kicked ball),,27-19,,
2:57.0,,,27-19,,K. Leonard misses 3-pt shot from 26 ft
2:56.0,Defensive rebound by R. Gobert,,27-19,,
2:46.0,Offensive foul by D. Exum,,27-19,,
