time,Memphis,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Green vs. Z. Pachulia (M. Conley gains possession),,,,Jump ball: J. Green vs. Z. Pachulia (M. Conley gains possession)
11:44.0,Turnover by J. Green (lost ball),,0-0,,
11:29.0,,,0-0,,K. Thompson misses 3-pt shot from 26 ft
11:29.0,,,0-0,,Offensive rebound by Z. Pachulia
11:24.0,,,0-0,,Turnover by S. Curry (bad pass; steal by T. Allen)
11:22.0,T. Allen makes 2-pt shot from 2 ft,2,2-0,,
11:08.0,,,2-3,3,D. Green makes 3-pt shot from 27 ft (assist by S. Curry)
10:54.0,Turnover by M. Conley (lost ball; steal by P. McCaw),,2-3,,
10:45.0,,,2-3,,P. McCaw misses 2-pt shot from 1 ft
10:44.0,Defensive rebound by J. Green,,2-3,,
10:25.0,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Conley),2,4-3,,
10:16.0,,,4-3,,S. Curry misses 3-pt shot from 29 ft
10:16.0,Defensive rebound by Z. Randolph,,4-3,,
10:07.0,Turnover by T. Allen (bad pass; steal by D. Green),,4-3,,
9:55.0,,,4-6,3,S. Curry makes 3-pt shot from 24 ft (assist by K. Thompson)
9:27.0,Z. Randolph makes 2-pt shot from 7 ft,2,6-6,,
9:11.0,,,6-8,2,Z. Pachulia makes 2-pt shot from 5 ft (assist by D. Green)
8:58.0,M. Conley misses 3-pt shot from 26 ft,,6-8,,
8:57.0,,,6-8,,Defensive rebound by S. Curry
8:48.0,,,6-8,,S. Curry misses 2-pt shot from 2 ft
8:48.0,,,6-8,,Offensive rebound by Z. Pachulia
8:43.0,,,6-8,,K. Thompson misses 3-pt shot from 26 ft
8:43.0,Defensive rebound by V. Carter,,6-8,,
8:27.0,T. Allen misses 2-pt shot from 8 ft,,6-8,,
8:26.0,,,6-8,,Defensive rebound by K. Thompson
8:20.0,,,6-8,,D. Green misses 3-pt shot from 27 ft
8:18.0,Defensive rebound by Team,,6-8,,
7:56.0,Turnover by M. Conley (lost ball; steal by S. Curry),,6-8,,
7:51.0,,,6-10,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
7:27.0,V. Carter misses 2-pt shot from 10 ft,,6-10,,
7:27.0,Offensive rebound by Team,,6-10,,
7:27.0,,,6-10,,Loose ball foul by D. Green (drawn by Z. Randolph)
7:19.0,J. Green makes 2-pt shot at rim (assist by M. Conley),2,8-10,,
7:19.0,Shooting foul by P. McCaw (drawn by J. Green),,8-10,,
7:19.0,J. Green misses free throw 1 of 1,,8-10,,
7:18.0,,,8-10,,Defensive rebound by D. Green
7:11.0,,,8-10,,Offensive charge foul by Z. Pachulia
7:11.0,,,8-10,,Turnover by Z. Pachulia (offensive foul)
6:55.0,J. Green misses 3-pt shot from 24 ft,,8-10,,
6:55.0,,,8-10,,Defensive rebound by Z. Pachulia
6:49.0,,,8-10,,S. Curry misses 3-pt shot from 27 ft
6:48.0,Defensive rebound by T. Allen,,8-10,,
6:38.0,T. Allen misses 2-pt shot from 2 ft,,8-10,,
6:37.0,Offensive rebound by J. Green,,8-10,,
6:37.0,J. Green makes 2-pt shot at rim,2,10-10,,
6:28.0,,,10-10,,Golden State full timeout
