time,Memphis,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gasol (J. Green gains possession),,,,Jump ball: S. Adams vs. M. Gasol (J. Green gains possession)
11:37.0,M. Gasol misses 2-pt shot from 8 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by A. Roberson
11:20.0,,,0-2,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
11:08.0,T. Allen misses 2-pt shot from 5 ft,,0-2,,
11:08.0,Offensive rebound by J. Green,,0-2,,
10:46.0,M. Gasol misses 2-pt shot from 4 ft,,0-2,,
10:45.0,Offensive rebound by T. Allen,,0-2,,
10:45.0,T. Allen makes 2-pt shot from 2 ft,2,2-2,,
10:28.0,,,2-2,,Turnover by S. Adams (lost ball; steal by M. Conley)
10:23.0,M. Conley misses 3-pt shot from 24 ft,,2-2,,
10:22.0,,,2-2,,Defensive rebound by R. Westbrook
10:14.0,,,2-2,,D. Sabonis misses 3-pt shot from 23 ft
10:14.0,Defensive rebound by C. Parsons,,2-2,,
9:54.0,T. Allen makes 2-pt shot at rim (assist by M. Gasol),2,4-2,,
9:45.0,,,4-2,,Shooting foul by J. Green (drawn by S. Adams)
9:45.0,,,4-2,,S. Adams misses free throw 1 of 2
9:45.0,,,4-2,,Offensive rebound by Team
9:45.0,,,4-2,,S. Adams misses free throw 2 of 2
9:44.0,Defensive rebound by J. Green,,4-2,,
9:29.0,Turnover by J. Green (bad pass; steal by V. Oladipo),,4-2,,
9:17.0,,,4-4,2,D. Sabonis makes 2-pt shot from 7 ft
8:55.0,C. Parsons misses 3-pt shot from 25 ft,,4-4,,
8:54.0,,,4-4,,Defensive rebound by V. Oladipo
8:43.0,,,4-4,,Offensive foul by D. Sabonis
8:43.0,,,4-4,,Turnover by D. Sabonis (offensive foul)
8:33.0,Shooting foul by A. Roberson (drawn by C. Parsons),,4-4,,
8:33.0,C. Parsons makes free throw 1 of 2,1,5-4,,
8:33.0,C. Parsons makes free throw 2 of 2,1,6-4,,
8:14.0,,,6-4,,Turnover by D. Sabonis (bad pass; steal by M. Gasol)
8:09.0,T. Allen misses 2-pt shot from 1 ft,,6-4,,
8:08.0,,,6-4,,Defensive rebound by D. Sabonis
7:56.0,,,6-4,,A. Roberson misses 3-pt shot from 25 ft
7:56.0,,,6-4,,Offensive rebound by S. Adams
7:52.0,,,6-6,2,A. Roberson makes 2-pt shot from 1 ft (assist by S. Adams)
7:39.0,M. Gasol misses 3-pt shot from 25 ft,,6-6,,
7:38.0,,,6-6,,Defensive rebound by R. Westbrook
7:36.0,Personal foul by M. Gasol (drawn by S. Adams),,6-6,,
7:24.0,,,6-8,2,S. Adams makes 2-pt shot at rim (assist by V. Oladipo)
7:11.0,Memphis full timeout,,6-8,,
6:54.0,M. Conley makes 2-pt shot from 17 ft,2,8-8,,
6:42.0,,,8-8,,Turnover by R. Westbrook (bad pass)
6:28.0,Turnover by M. Conley (bad pass; steal by S. Adams),,8-8,,
6:24.0,,,8-8,,V. Oladipo misses 2-pt shot from 2 ft (block by T. Allen)
6:23.0,,,8-8,,Offensive rebound by Team
6:15.0,,,8-8,,Turnover by R. Westbrook (bad pass; steal by C. Parsons)
5:56.0,Turnover by T. Allen (lost ball; steal by R. Westbrook),,8-8,,
5:47.0,,,8-10,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
5:18.0,M. Conley makes 2-pt shot from 7 ft,2,10-10,,
5:10.0,,,10-10,,R. Westbrook misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by C. Parsons,,10-10,,
4:58.0,J. Green misses 3-pt shot from 22 ft,,10-10,,
4:57.0,,,10-10,,Defensive rebound by R. Westbrook
4:44.0,,,10-10,,Turnover by D. Sabonis (traveling)
4:44.0,,,10-10,,A. Morrow enters the game for V. Oladipo
4:44.0,J. Ennis enters the game for J. Green,,10-10,,
4:44.0,Z. Randolph enters the game for T. Allen,,10-10,,
