time,Sacramento,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. K. Koufos (D. Cousins gains possession),,,,Jump ball: T. Black vs. K. Koufos (D. Cousins gains possession)
11:43.0,Shooting foul by T. Black (drawn by D. Cousins),,0-0,,
11:43.0,D. Cousins makes free throw 1 of 2,1,1-0,,
11:43.0,D. Cousins misses free throw 2 of 2,,1-0,,
11:40.0,,,1-0,,Defensive rebound by J. Randle
11:34.0,,,1-0,,Turnover by D. Russell (bad pass; steal by D. Cousins)
11:26.0,D. Collison makes 2-pt shot from 9 ft (assist by D. Cousins),2,3-0,,
11:04.0,,,3-3,3,B. Ingram makes 3-pt shot from 26 ft (assist by N. Young)
10:47.0,Offensive foul by D. Cousins,,3-3,,
10:47.0,Turnover by D. Cousins (offensive foul),,3-3,,
10:30.0,,,3-6,3,J. Randle makes 3-pt shot from 25 ft (assist by B. Ingram)
10:09.0,D. Collison misses 2-pt shot from 19 ft,,3-6,,
10:08.0,Offensive rebound by D. Collison,,3-6,,
10:06.0,D. Collison makes 2-pt shot from 2 ft,2,5-6,,
9:46.0,,,5-6,,Turnover by J. Randle (bad pass)
9:35.0,Turnover by D. Cousins (bad pass; steal by D. Russell),,5-6,,
9:30.0,,,5-6,,Turnover by D. Russell (bad pass)
9:17.0,B. McLemore misses 2-pt shot from 4 ft,,5-6,,
9:16.0,,,5-6,,Defensive rebound by B. Ingram
9:08.0,,,5-6,,N. Young misses 3-pt shot from 27 ft
9:05.0,,,5-6,,Offensive rebound by B. Ingram
9:05.0,,,5-8,2,B. Ingram makes 2-pt shot at rim
8:42.0,D. Cousins makes 2-pt shot from 3 ft (assist by D. Collison),2,7-8,,
8:30.0,,,7-8,,D. Russell misses 2-pt shot from 20 ft
8:30.0,Defensive rebound by Team,,7-8,,
8:30.0,,,7-8,,Loose ball foul by T. Black (drawn by B. McLemore)
8:30.0,,,7-8,,T. Mozgov enters the game for T. Black
8:15.0,A. Afflalo makes 2-pt shot from 17 ft (assist by D. Cousins),2,9-8,,
8:04.0,,,9-8,,B. Ingram misses 3-pt shot from 25 ft
8:02.0,,,9-8,,Offensive rebound by J. Randle
7:49.0,,,9-10,2,J. Randle makes 2-pt shot from 7 ft
7:23.0,D. Cousins misses 2-pt shot from 20 ft,,9-10,,
7:19.0,,,9-10,,Defensive rebound by D. Russell
7:12.0,,,9-10,,N. Young misses 3-pt shot from 28 ft
7:11.0,Defensive rebound by K. Koufos,,9-10,,
6:52.0,Shooting foul by D. Russell (drawn by D. Cousins),,9-10,,
6:52.0,D. Cousins makes free throw 1 of 2,1,10-10,,
6:52.0,,,10-10,,LA Lakers full timeout
6:52.0,D. Cousins makes free throw 2 of 2,1,11-10,,
6:39.0,,,11-10,,T. Mozgov misses 2-pt shot from 4 ft
6:37.0,Defensive rebound by D. Cousins,,11-10,,
6:36.0,,,11-10,,Personal foul by T. Mozgov (drawn by D. Cousins)
6:21.0,K. Koufos misses 2-pt shot from 6 ft,,11-10,,
6:19.0,,,11-10,,Defensive rebound by N. Young
6:12.0,,,11-10,,J. Randle misses 2-pt shot from 16 ft
6:10.0,Defensive rebound by D. Collison,,11-10,,
6:02.0,B. McLemore makes 3-pt shot from 24 ft (assist by K. Koufos),3,14-10,,
5:48.0,,,14-13,3,D. Russell makes 3-pt shot from 22 ft (assist by N. Young)
5:35.0,Shooting foul by T. Mozgov (drawn by D. Cousins),,14-13,,
5:35.0,D. Cousins misses free throw 1 of 2,,14-13,,
5:35.0,Offensive rebound by Team,,14-13,,
5:35.0,D. Cousins makes free throw 2 of 2,1,15-13,,
5:25.0,,,15-13,,D. Russell misses 2-pt shot from 18 ft
5:22.0,Defensive rebound by B. McLemore,,15-13,,
5:17.0,Turnover by D. Cousins (traveling),,15-13,,
5:03.0,,,15-15,2,T. Mozgov makes 2-pt shot from 4 ft (assist by B. Ingram)
4:48.0,D. Cousins misses 2-pt shot from 20 ft,,15-15,,
4:47.0,,,15-15,,Defensive rebound by J. Randle
4:39.0,,,15-15,,J. Randle misses 2-pt shot from 3 ft
4:37.0,Defensive rebound by D. Collison,,15-15,,
4:31.0,D. Collison makes 2-pt shot from 8 ft,2,17-15,,
4:19.0,,,17-18,3,N. Young makes 3-pt shot from 26 ft
4:03.0,A. Afflalo makes 2-pt shot from 1 ft,2,19-18,,
4:03.0,,,19-18,,LA Lakers full timeout
4:03.0,,,19-18,,J. Clarkson enters the game for J. Randle
4:03.0,,,19-18,,L. Nance enters the game for N. Young
3:46.0,,,19-18,,B. Ingram misses 2-pt shot from 2 ft
3:45.0,,,19-18,,Offensive rebound by T. Mozgov
3:37.0,,,19-18,,Turnover by D. Russell (bad pass; steal by D. Cousins)
3:32.0,D. Cousins makes 2-pt shot at rim,2,21-18,,
3:09.0,,,21-18,,B. Ingram misses 2-pt shot from 10 ft
3:06.0,Defensive rebound by D. Cousins,,21-18,,
2:58.0,D. Cousins makes 2-pt shot from 5 ft,2,23-18,,
2:42.0,,,23-20,2,T. Mozgov makes 2-pt shot from 19 ft (assist by J. Clarkson)
2:24.0,D. Cousins misses 3-pt shot from 25 ft,,23-20,,
2:23.0,,,23-20,,Defensive rebound by J. Clarkson
2:09.0,,,23-22,2,L. Nance makes 2-pt shot from 12 ft (assist by J. Clarkson)
2:01.0,Sacramento full timeout,,23-22,,
2:01.0,,,23-22,,L. Williams enters the game for B. Ingram
2:01.0,,,23-22,,I. Zubac enters the game for D. Russell
2:01.0,,,23-22,,L. Deng enters the game for T. Mozgov
2:01.0,M. Barnes enters the game for K. Koufos,,23-22,,
2:01.0,W. Cauley-Stein enters the game for D. Collison,,23-22,,
1:52.0,Turnover by D. Cousins (bad pass; steal by L. Nance),,23-22,,
1:44.0,,,23-22,,L. Williams misses 3-pt shot from 25 ft
1:43.0,Defensive rebound by A. Afflalo,,23-22,,
1:30.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Cousins),2,25-22,,
1:06.0,,,25-22,,Shooting foul by A. Afflalo (drawn by J. Clarkson)
1:06.0,,,25-22,,J. Clarkson misses free throw 1 of 2
1:06.0,,,25-22,,Offensive rebound by Team
1:06.0,,,25-23,1,J. Clarkson makes free throw 2 of 2
0:48.0,B. McLemore makes 2-pt shot from 1 ft (assist by M. Barnes),2,27-23,,
0:39.0,,,27-23,,J. Clarkson misses 2-pt shot from 4 ft (block by D. Cousins)
0:37.0,Defensive rebound by D. Cousins,,27-23,,
0:29.0,D. Cousins makes 2-pt shot from 4 ft,2,29-23,,
0:07.0,,,29-23,,L. Williams misses 3-pt shot from 28 ft
0:06.0,Defensive rebound by A. Afflalo,,29-23,,
0:01.0,A. Afflalo misses 2-pt shot from 21 ft (block by J. Clarkson),,29-23,,
0:00.0,Offensive rebound by Team,,29-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,29-23,,L. Deng misses 2-pt shot from 18 ft
11:34.0,,,29-23,,Offensive rebound by J. Clarkson
11:22.0,,,29-23,,L. Nance misses 2-pt shot from 1 ft (block by M. Barnes)
11:21.0,Defensive rebound by M. Barnes,,29-23,,
11:04.0,M. Barnes makes 2-pt shot at rim (assist by A. Tolliver),2,31-23,,
10:51.0,,,31-25,2,L. Deng makes 2-pt shot from 12 ft
10:37.0,Turnover by A. Tolliver (lost ball; steal by L. Nance),,31-25,,
10:31.0,,,31-27,2,J. Clarkson makes 2-pt shot at rim (assist by L. Nance)
10:09.0,M. Barnes misses 3-pt shot from 24 ft,,31-27,,
10:08.0,,,31-27,,Defensive rebound by I. Zubac
10:03.0,,,31-27,,L. Deng misses 2-pt shot from 1 ft
10:02.0,,,31-27,,Offensive rebound by L. Nance
10:00.0,,,31-27,,Turnover by L. Nance (lost ball; steal by W. Cauley-Stein)
9:52.0,A. Tolliver misses 3-pt shot from 28 ft,,31-27,,
9:51.0,,,31-27,,Defensive rebound by I. Zubac
9:43.0,,,31-27,,L. Williams misses 2-pt shot from 14 ft
9:42.0,Defensive rebound by A. Tolliver,,31-27,,
9:26.0,,,31-27,,Personal foul by J. Clarkson (drawn by A. Afflalo)
9:26.0,D. Collison enters the game for A. Afflalo,,31-27,,
9:18.0,A. Tolliver misses 3-pt shot from 26 ft,,31-27,,
