time,Boston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Johnson (J. Wall gains possession),,,,Jump ball: M. Gortat vs. A. Johnson (J. Wall gains possession)
11:37.0,,,0-2,2,O. Porter makes 2-pt shot from 22 ft (assist by M. Gortat)
11:20.0,A. Johnson misses 2-pt shot from 17 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by O. Porter
11:05.0,,,0-4,2,B. Beal makes 2-pt shot from 10 ft
10:46.0,A. Horford misses 2-pt shot from 19 ft,,0-4,,
10:45.0,,,0-4,,Defensive rebound by M. Morris
10:39.0,,,0-4,,J. Wall misses 2-pt shot at rim
10:37.0,Defensive rebound by J. Crowder,,0-4,,
10:31.0,A. Bradley misses 3-pt shot from 27 ft,,0-4,,
10:30.0,,,0-4,,Defensive rebound by M. Morris
10:09.0,,,0-4,,B. Beal misses 2-pt shot from 11 ft
10:09.0,,,0-4,,Offensive rebound by M. Gortat
10:00.0,,,0-4,,J. Wall misses 2-pt shot from 19 ft
10:00.0,,,0-4,,Offensive rebound by Team
10:00.0,Loose ball foul by A. Bradley (drawn by M. Morris),,0-4,,
9:40.0,,,0-4,,J. Wall misses 2-pt shot from 15 ft
9:39.0,,,0-4,,Offensive rebound by O. Porter
9:35.0,,,0-4,,O. Porter misses 2-pt shot from 12 ft
9:35.0,Defensive rebound by J. Crowder,,0-4,,
9:22.0,I. Thomas misses 2-pt shot from 10 ft,,0-4,,
9:21.0,,,0-4,,Defensive rebound by M. Gortat
9:06.0,Personal foul by A. Johnson (drawn by M. Gortat),,0-4,,
8:58.0,,,0-6,2,M. Morris makes 2-pt shot from 14 ft (assist by M. Gortat)
8:38.0,Turnover by A. Bradley (bad pass; steal by O. Porter),,0-6,,
8:32.0,,,0-8,2,O. Porter makes 2-pt shot from 5 ft
8:19.0,Shooting foul by J. Wall (drawn by J. Crowder),,0-8,,
8:19.0,J. Crowder makes free throw 1 of 2,1,1-8,,
8:19.0,J. Crowder makes free throw 2 of 2,1,2-8,,
8:06.0,,,2-8,,B. Beal misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by A. Bradley,,2-8,,
7:53.0,A. Horford makes 2-pt shot from 22 ft (assist by I. Thomas),2,4-8,,
7:34.0,,,4-8,,Offensive foul by B. Beal
7:34.0,,,4-8,,Turnover by B. Beal (offensive foul)
7:21.0,A. Johnson makes 2-pt shot at rim (assist by A. Horford),2,6-8,,
7:07.0,,,6-10,2,M. Morris makes 2-pt shot from 15 ft (assist by J. Wall)
6:52.0,I. Thomas makes 3-pt shot from 28 ft,3,9-10,,
6:25.0,,,9-10,,M. Morris misses 2-pt shot from 19 ft
6:24.0,Defensive rebound by A. Johnson,,9-10,,
6:13.0,Turnover by A. Bradley (bad pass; steal by M. Morris),,9-10,,
6:12.0,Personal foul by A. Johnson (drawn by M. Morris),,9-10,,
6:00.0,,,9-10,,J. Wall misses 2-pt shot from 1 ft
5:59.0,Defensive rebound by J. Crowder,,9-10,,
5:54.0,A. Bradley misses 2-pt shot from 1 ft,,9-10,,
5:53.0,,,9-10,,Defensive rebound by M. Morris
5:45.0,,,9-10,,M. Morris misses 3-pt shot from 26 ft
5:44.0,Defensive rebound by J. Crowder,,9-10,,
5:30.0,I. Thomas makes 3-pt shot from 25 ft,3,12-10,,
5:20.0,,,12-12,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
5:00.0,J. Crowder misses 2-pt shot from 17 ft,,12-12,,
4:59.0,,,12-12,,Defensive rebound by M. Morris
4:55.0,,,12-14,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
4:55.0,,,12-14,,Shooting foul by J. Crowder (drawn by O. Porter)
4:55.0,,,12-14,,Washington full timeout
4:55.0,,,12-15,1,O. Porter makes free throw 1 of 1
4:55.0,M. Smart enters the game for A. Johnson,,12-14,,
4:44.0,J. Crowder makes 2-pt shot from 1 ft (assist by A. Horford),2,14-15,,
4:21.0,,,14-15,,J. Wall misses 2-pt shot from 5 ft
4:20.0,Defensive rebound by Team,,14-15,,
4:20.0,,,14-15,,Loose ball foul by M. Morris (drawn by J. Crowder)
4:08.0,I. Thomas makes 3-pt shot from 25 ft (assist by A. Horford),3,17-15,,
3:53.0,,,17-15,,Turnover by J. Wall (bad pass; steal by A. Horford)
3:48.0,I. Thomas misses 2-pt shot from 13 ft,,17-15,,
3:47.0,,,17-15,,Defensive rebound by O. Porter
3:43.0,,,17-15,,Turnover by J. Wall (lost ball; steal by M. Smart)
3:26.0,A. Bradley makes 3-pt shot from 24 ft (assist by A. Horford),3,20-15,,
3:09.0,,,20-15,,Turnover by M. Morris (bad pass; steal by A. Horford)
3:00.0,Turnover by I. Thomas (traveling),,20-15,,
3:00.0,,,20-15,,B. Bogdanovic enters the game for M. Morris
3:00.0,,,20-15,,B. Jennings enters the game for J. Wall
2:47.0,,,20-15,,B. Beal misses 2-pt shot from 3 ft (block by A. Horford)
2:46.0,,,20-15,,Offensive rebound by M. Gortat
2:42.0,,,20-18,3,O. Porter makes 3-pt shot from 26 ft (assist by M. Gortat)
2:15.0,A. Bradley misses 3-pt shot from 26 ft,,20-18,,
2:14.0,,,20-18,,Defensive rebound by B. Bogdanovic
2:07.0,,,20-20,2,B. Beal makes 2-pt shot from 1 ft (assist by B. Jennings)
2:06.0,Boston full timeout,,20-20,,
2:06.0,T. Rozier enters the game for I. Thomas,,20-20,,
2:06.0,,,20-20,,I. Mahinmi enters the game for M. Gortat
2:06.0,K. Olynyk enters the game for A. Horford,,20-20,,
1:48.0,M. Smart misses 2-pt shot from 1 ft,,20-20,,
1:47.0,,,20-20,,Defensive rebound by I. Mahinmi
1:26.0,,,20-20,,B. Bogdanovic misses 2-pt shot from 14 ft
1:26.0,Defensive rebound by J. Crowder,,20-20,,
1:08.0,K. Olynyk misses 3-pt shot from 27 ft,,20-20,,
1:07.0,Offensive rebound by T. Rozier,,20-20,,
1:02.0,M. Smart makes 3-pt shot from 25 ft (assist by J. Crowder),3,23-20,,
0:42.0,,,23-20,,Turnover by O. Porter (bad pass; steal by J. Crowder)
0:40.0,,,23-20,,Personal block foul by B. Bogdanovic (drawn by J. Crowder)
0:27.0,,,23-20,,Personal foul by I. Mahinmi (drawn by K. Olynyk)
0:27.0,K. Olynyk misses free throw 1 of 2,,23-20,,
0:27.0,Offensive rebound by Team,,23-20,,
0:27.0,K. Olynyk makes free throw 2 of 2,1,24-20,,
0:07.0,,,24-20,,B. Jennings misses 2-pt shot from 20 ft
0:06.0,Defensive rebound by A. Bradley,,24-20,,
0:01.0,M. Smart misses 2-pt shot from 2 ft (block by I. Mahinmi),,24-20,,
0:01.0,,,24-20,,Defensive rebound by B. Jennings
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,T. Rozier misses 2-pt shot from 19 ft,,24-20,,
11:43.0,,,24-20,,Defensive rebound by Team
11:43.0,Loose ball foul by J. Jerebko (drawn by B. Bogdanovic),,24-20,,
11:43.0,M. Smart enters the game for A. Bradley,,24-20,,
11:34.0,,,24-20,,Turnover by B. Jennings (bad pass; steal by K. Olynyk)
