time,Atlanta,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. H. Whiteside (P. Millsap gains possession),,,,Jump ball: D. Howard vs. H. Whiteside (P. Millsap gains possession)
11:46.0,Turnover by D. Howard (offensive goaltending),,0-0,,
11:32.0,,,0-0,,D. Waiters misses 3-pt shot from 25 ft
11:31.0,,,0-0,,Offensive rebound by H. Whiteside
11:30.0,,,0-2,2,H. Whiteside makes 2-pt shot from 12 ft
11:18.0,Turnover by K. Korver (bad pass; steal by D. Waiters),,0-2,,
11:14.0,,,0-4,2,D. Waiters makes 2-pt shot from 1 ft
10:57.0,Turnover by D. Schroder (lost ball),,0-4,,
10:39.0,,,0-6,2,D. Williams makes 2-pt shot from 12 ft
10:21.0,D. Schroder makes 2-pt shot from 1 ft,2,2-6,,
10:05.0,,,2-9,3,D. Waiters makes 3-pt shot from 23 ft (assist by D. Williams)
9:55.0,D. Howard makes 2-pt shot from 1 ft (assist by D. Schroder),2,4-9,,
9:31.0,,,4-9,,H. Whiteside misses 2-pt shot from 12 ft
9:30.0,Defensive rebound by D. Howard,,4-9,,
9:18.0,K. Bazemore misses 2-pt shot from 12 ft,,4-9,,
9:17.0,,,4-9,,Defensive rebound by H. Whiteside
9:06.0,,,4-11,2,J. Richardson makes 2-pt shot from 19 ft
8:58.0,Shooting foul by D. Waiters (drawn by K. Bazemore),,4-11,,
8:58.0,K. Bazemore misses free throw 1 of 2,,4-11,,
8:58.0,Offensive rebound by Team,,4-11,,
8:58.0,K. Bazemore makes free throw 2 of 2,1,5-11,,
8:48.0,,,5-11,,Offensive foul by H. Whiteside
8:48.0,,,5-11,,Turnover by H. Whiteside (offensive foul)
8:30.0,,,5-11,,Personal foul by D. Williams (drawn by P. Millsap)
8:24.0,D. Schroder makes 2-pt shot from 17 ft,2,7-11,,
8:10.0,,,7-11,,D. Waiters misses 2-pt shot from 1 ft
8:09.0,,,7-11,,Offensive rebound by H. Whiteside
8:08.0,,,7-11,,H. Whiteside misses 2-pt shot at rim
8:07.0,Defensive rebound by P. Millsap,,7-11,,
7:51.0,P. Millsap makes 2-pt shot from 9 ft,2,9-11,,
7:33.0,,,9-11,,D. Williams misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by K. Bazemore,,9-11,,
7:24.0,P. Millsap makes 2-pt shot from 7 ft,2,11-11,,
7:08.0,,,11-11,,R. McGruder misses 2-pt shot from 7 ft
7:07.0,,,11-11,,Offensive rebound by R. McGruder
7:06.0,Personal foul by K. Bazemore (drawn by R. McGruder),,11-11,,
6:55.0,,,11-11,,R. McGruder misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by D. Howard,,11-11,,
6:45.0,D. Howard misses 2-pt shot from 2 ft,,11-11,,
6:44.0,,,11-11,,Defensive rebound by H. Whiteside
6:29.0,,,11-11,,J. Richardson misses 2-pt shot from 7 ft
6:28.0,,,11-11,,Offensive rebound by J. Richardson
6:20.0,,,11-11,,D. Williams misses 2-pt shot from 17 ft
6:19.0,Defensive rebound by K. Bazemore,,11-11,,
6:06.0,D. Schroder makes 3-pt shot from 25 ft (assist by P. Millsap),3,14-11,,
5:54.0,,,14-13,2,D. Waiters makes 2-pt shot from 2 ft
5:42.0,D. Schroder misses 2-pt shot from 7 ft (block by J. Richardson),,14-13,,
5:41.0,Offensive rebound by D. Schroder,,14-13,,
5:32.0,K. Bazemore misses 2-pt shot from 8 ft,,14-13,,
5:31.0,,,14-13,,Defensive rebound by H. Whiteside
5:29.0,,,14-13,,Turnover by D. Waiters (bad pass)
5:29.0,,,14-13,,Miami full timeout
5:29.0,,,14-13,,T. Johnson enters the game for R. McGruder
5:29.0,T. Hardaway enters the game for P. Millsap,,14-13,,
5:29.0,M. Muscala enters the game for K. Korver,,14-13,,
5:20.0,K. Bazemore makes 2-pt shot from 16 ft,2,16-13,,
5:03.0,,,16-13,,D. Waiters misses 2-pt shot from 2 ft
5:02.0,,,16-13,,Offensive rebound by H. Whiteside
4:59.0,,,16-15,2,H. Whiteside makes 2-pt shot from 3 ft
4:45.0,Turnover by D. Schroder (bad pass; steal by J. Richardson),,16-15,,
4:29.0,,,16-15,,D. Williams misses 2-pt shot from 2 ft
4:28.0,Defensive rebound by D. Howard,,16-15,,
4:26.0,Turnover by D. Howard (bad pass; steal by D. Waiters),,16-15,,
4:23.0,,,16-17,2,D. Williams makes 2-pt shot at rim (assist by D. Waiters)
4:00.0,,,16-17,,Personal foul by J. Richardson (drawn by M. Muscala)
4:00.0,,,16-17,,J. Johnson enters the game for D. Williams
3:53.0,M. Muscala misses 2-pt shot from 2 ft,,16-17,,
3:52.0,,,16-17,,Defensive rebound by H. Whiteside
3:47.0,,,16-17,,Shooting foul by M. Muscala (drawn by J. Richardson)
3:47.0,,,16-19,2,J. Richardson makes 2-pt shot from 2 ft
3:47.0,,,16-20,1,J. Richardson makes free throw 1 of 1
3:47.0,M. Delaney enters the game for K. Bazemore,,16-19,,
3:47.0,T. Sefolosha enters the game for D. Schroder,,16-19,,
3:33.0,M. Muscala makes 2-pt shot at rim (assist by M. Delaney),2,18-20,,
3:19.0,,,18-20,,J. Richardson misses 2-pt shot from 1 ft
3:18.0,Defensive rebound by D. Howard,,18-20,,
3:09.0,T. Hardaway misses 3-pt shot from 24 ft,,18-20,,
3:08.0,,,18-20,,Defensive rebound by H. Whiteside
2:59.0,,,18-23,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Richardson)
2:46.0,T. Hardaway misses 3-pt shot from 25 ft,,18-23,,
2:45.0,,,18-23,,Defensive rebound by H. Whiteside
