time,Orlando,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. N. Vucevic (N. Mirotic gains possession),,,,Jump ball: R. Lopez vs. N. Vucevic (N. Mirotic gains possession)
11:36.0,,,0-0,,J. Grant misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by T. Ross,,0-0,,
11:17.0,A. Gordon makes 2-pt shot from 1 ft (assist by N. Vucevic),2,2-0,,
11:02.0,,,2-2,2,R. Lopez makes 2-pt shot from 8 ft (assist by J. Grant)
10:45.0,Turnover by A. Gordon (lost ball; steal by N. Mirotic),,2-2,,
10:34.0,,,2-2,,N. Mirotic misses 2-pt shot from 4 ft
10:33.0,,,2-2,,Offensive rebound by Team
10:32.0,,,2-4,2,N. Mirotic makes 2-pt shot from 2 ft (assist by J. Grant)
10:32.0,,,2-4,,Shooting foul by E. Fournier (drawn by N. Mirotic)
10:32.0,,,2-5,1,N. Mirotic makes free throw 1 of 1
10:21.0,Turnover by E. Fournier (lost ball; steal by J. Butler),,2-5,,
10:14.0,,,2-5,,N. Mirotic misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by E. Payton,,2-5,,
10:07.0,E. Fournier misses 2-pt shot from 1 ft (block by R. Lopez),,2-5,,
10:06.0,,,2-5,,Defensive rebound by D. Wade
10:00.0,,,2-7,2,N. Mirotic makes 2-pt shot at rim (assist by J. Grant)
9:39.0,E. Payton misses 3-pt shot from 25 ft,,2-7,,
9:39.0,,,2-7,,Defensive rebound by Team
9:22.0,,,2-9,2,D. Wade makes 2-pt shot from 9 ft
9:07.0,T. Ross misses 3-pt shot from 25 ft,,2-9,,
9:05.0,,,2-9,,Defensive rebound by N. Mirotic
8:55.0,,,2-12,3,J. Grant makes 3-pt shot from 25 ft (assist by J. Butler)
8:46.0,Orlando full timeout,,2-12,,
8:34.0,E. Fournier misses 2-pt shot from 1 ft,,2-12,,
8:33.0,,,2-12,,Defensive rebound by R. Lopez
8:24.0,,,2-14,2,R. Lopez makes 2-pt shot from 19 ft (assist by J. Grant)
8:03.0,T. Ross misses 2-pt shot from 22 ft (block by D. Wade),,2-14,,
8:01.0,,,2-14,,Defensive rebound by N. Mirotic
7:55.0,,,2-14,,Turnover by J. Butler (bad pass)
7:36.0,T. Ross misses 3-pt shot from 23 ft,,2-14,,
7:35.0,,,2-14,,Defensive rebound by J. Butler
7:20.0,,,2-14,,R. Lopez misses 2-pt shot from 2 ft (block by T. Ross)
7:19.0,Defensive rebound by A. Gordon,,2-14,,
7:15.0,E. Fournier makes 2-pt shot from 1 ft (assist by A. Gordon),2,4-14,,
6:53.0,,,4-14,,Turnover by R. Lopez (bad pass)
6:36.0,N. Vucevic misses 2-pt shot from 12 ft,,4-14,,
6:35.0,Offensive rebound by A. Gordon,,4-14,,
6:31.0,Turnover by E. Payton (lost ball; steal by J. Butler),,4-14,,
6:22.0,,,4-14,,J. Butler misses 2-pt shot from 10 ft
6:21.0,,,4-14,,Offensive rebound by R. Lopez
6:21.0,,,4-16,2,R. Lopez makes 2-pt shot from 1 ft
6:10.0,A. Gordon misses 2-pt shot from 15 ft (block by D. Wade),,4-16,,
6:08.0,,,4-16,,Defensive rebound by D. Wade
6:06.0,Violation by E. Payton (def goaltending),,4-16,,
6:06.0,,,4-18,2,D. Wade makes 2-pt shot from 2 ft
5:52.0,A. Gordon makes 2-pt shot from 17 ft (assist by E. Payton),2,6-18,,
5:50.0,,,6-18,,Chicago full timeout
5:50.0,,,6-18,,P. Zipser enters the game for D. Wade
5:25.0,,,6-20,2,J. Grant makes 2-pt shot from 12 ft (assist by J. Butler)
5:13.0,Shooting foul by N. Mirotic (drawn by N. Vucevic),,6-20,,
5:13.0,N. Vucevic misses free throw 1 of 2,,6-20,,
5:13.0,Offensive rebound by Team,,6-20,,
5:13.0,N. Vucevic makes free throw 2 of 2,1,7-20,,
5:02.0,,,7-22,2,J. Butler makes 2-pt shot from 2 ft
4:47.0,E. Payton misses 3-pt shot from 26 ft,,7-22,,
4:46.0,,,7-22,,Defensive rebound by J. Butler
4:39.0,,,7-22,,J. Butler misses 2-pt shot from 2 ft
4:38.0,Defensive rebound by E. Payton,,7-22,,
4:34.0,E. Payton makes 2-pt shot from 1 ft,2,9-22,,
4:11.0,,,9-22,,N. Mirotic misses 2-pt shot from 8 ft
4:11.0,Defensive rebound by N. Vucevic,,9-22,,
4:00.0,E. Fournier misses 2-pt shot from 12 ft,,9-22,,
3:59.0,,,9-22,,Defensive rebound by R. Lopez
3:54.0,,,9-24,2,J. Grant makes 2-pt shot from 1 ft
3:41.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,11-24,,
3:24.0,,,11-24,,N. Mirotic misses 3-pt shot from 23 ft
3:23.0,Defensive rebound by N. Vucevic,,11-24,,
3:18.0,Turnover by E. Payton (bad pass; steal by J. Grant),,11-24,,
3:13.0,Personal foul by T. Ross (drawn by N. Mirotic),,11-24,,
3:13.0,M. Hezonja enters the game for E. Fournier,,11-24,,
3:13.0,D. Augustin enters the game for T. Ross,,11-24,,
3:13.0,J. Meeks enters the game for E. Payton,,11-24,,
3:12.0,,,11-24,,B. Portis enters the game for N. Mirotic
3:12.0,,,11-24,,M. Carter-Williams enters the game for J. Grant
3:01.0,,,11-26,2,P. Zipser makes 2-pt shot from 12 ft
2:46.0,N. Vucevic misses 2-pt shot from 20 ft,,11-26,,
2:45.0,,,11-26,,Defensive rebound by B. Portis
2:32.0,Personal foul by D. Augustin (drawn by M. Carter-Williams),,11-26,,
2:32.0,B. Biyombo enters the game for N. Vucevic,,11-26,,
2:23.0,,,11-26,,M. Carter-Williams misses 2-pt shot from 3 ft
2:22.0,,,11-26,,Offensive rebound by J. Butler
2:22.0,,,11-28,2,J. Butler makes 2-pt shot from 1 ft
2:08.0,J. Meeks misses 2-pt shot from 7 ft,,11-28,,
2:07.0,,,11-28,,Defensive rebound by P. Zipser
1:57.0,,,11-31,3,P. Zipser makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
1:56.0,Orlando full timeout,,11-31,,
1:39.0,,,11-31,,Personal foul by J. Butler (drawn by D. Augustin)
1:33.0,D. Augustin misses 3-pt shot from 25 ft,,11-31,,
1:32.0,,,11-31,,Defensive rebound by P. Zipser
1:16.0,,,11-34,3,B. Portis makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
0:56.0,M. Hezonja misses 3-pt shot from 25 ft,,11-34,,
0:55.0,,,11-34,,Defensive rebound by R. Lopez
0:51.0,,,11-34,,Offensive foul by R. Lopez
0:51.0,,,11-34,,Turnover by R. Lopez (offensive foul)
0:36.0,Turnover by J. Meeks (bad pass; steal by M. Carter-Williams),,11-34,,
0:23.0,,,11-34,,R. Lopez misses 2-pt shot from 14 ft
0:21.0,Defensive rebound by B. Biyombo,,11-34,,
0:01.0,D. Augustin makes 2-pt shot from 3 ft,2,13-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by J. Meeks (bad pass; steal by P. Zipser),,13-34,,
11:38.0,,,13-34,,Shooting foul by B. Biyombo (drawn by D. Wade)
