time,New York,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. W. Hernangomez (V. Carter gains possession),,,,Jump ball: M. Gasol vs. W. Hernangomez (V. Carter gains possession)
11:39.0,,,0-0,,M. Gasol misses 2-pt shot from 21 ft
11:39.0,Defensive rebound by C. Lee,,0-0,,
11:18.0,Shooting foul by T. Allen (drawn by M. Ndour),,0-0,,
11:18.0,M. Ndour makes 2-pt shot from 5 ft,2,2-0,,
11:18.0,M. Ndour makes free throw 1 of 1,1,3-0,,
11:06.0,,,3-3,3,M. Conley makes 3-pt shot from 25 ft (assist by V. Carter)
10:52.0,R. Baker misses 2-pt shot from 3 ft (block by J. Green),,3-3,,
10:52.0,Offensive rebound by Team,,3-3,,
10:49.0,M. Ndour makes 2-pt shot from 2 ft (assist by J. Holiday),2,5-3,,
10:25.0,,,5-6,3,M. Conley makes 3-pt shot from 26 ft
10:09.0,C. Lee misses 2-pt shot from 4 ft,,5-6,,
10:07.0,Offensive rebound by M. Ndour,,5-6,,
10:05.0,M. Ndour misses 2-pt shot from 1 ft,,5-6,,
10:04.0,,,5-6,,Defensive rebound by M. Gasol
9:58.0,,,5-8,2,T. Allen makes 2-pt shot at rim (assist by V. Carter)
9:47.0,R. Baker misses 2-pt shot from 17 ft,,5-8,,
9:47.0,Offensive rebound by M. Ndour,,5-8,,
9:36.0,W. Hernangomez misses 2-pt shot from 10 ft,,5-8,,
9:36.0,,,5-8,,Defensive rebound by Team
9:10.0,,,5-10,2,T. Allen makes 2-pt shot from 6 ft
8:47.0,J. Holiday misses 3-pt shot from 25 ft,,5-10,,
8:47.0,Offensive rebound by Team,,5-10,,
8:47.0,Turnover by Team (shot clock),,5-10,,
8:24.0,,,5-10,,T. Allen misses 2-pt shot from 2 ft
8:22.0,Defensive rebound by C. Lee,,5-10,,
8:18.0,M. Ndour makes 2-pt shot from 7 ft (assist by C. Lee),2,7-10,,
8:18.0,Shooting foul by J. Green (drawn by M. Ndour),,7-10,,
8:18.0,M. Ndour misses free throw 1 of 1,,7-10,,
8:17.0,,,7-10,,Defensive rebound by V. Carter
7:59.0,,,7-10,,M. Gasol misses 2-pt shot from 8 ft
7:58.0,Defensive rebound by W. Hernangomez,,7-10,,
7:43.0,C. Lee misses 2-pt shot from 21 ft,,7-10,,
7:43.0,,,7-10,,Defensive rebound by M. Gasol
7:34.0,,,7-13,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley)
7:05.0,Turnover by Team (shot clock),,7-13,,
6:49.0,,,7-16,3,M. Conley makes 3-pt shot from 25 ft
6:33.0,C. Lee makes 2-pt shot from 20 ft,2,9-16,,
6:14.0,,,9-16,,M. Conley misses 2-pt shot from 2 ft
6:12.0,Defensive rebound by W. Hernangomez,,9-16,,
6:04.0,C. Lee makes 3-pt shot from 23 ft (assist by R. Baker),3,12-16,,
5:58.0,,,12-16,,Memphis full timeout
5:58.0,,,12-16,,W. Selden enters the game for T. Allen
5:58.0,,,12-16,,A. Harrison enters the game for M. Conley
5:58.0,M. Kuzminskas enters the game for J. Holiday,,12-16,,
5:38.0,,,12-18,2,J. Green makes 2-pt shot at rim
5:24.0,C. Lee misses 2-pt shot from 17 ft,,12-18,,
5:23.0,,,12-18,,Defensive rebound by A. Harrison
5:15.0,,,12-18,,A. Harrison misses 2-pt shot from 1 ft (block by M. Ndour)
5:13.0,Defensive rebound by W. Hernangomez,,12-18,,
4:53.0,M. Kuzminskas misses 2-pt shot from 1 ft (block by M. Gasol),,12-18,,
4:51.0,,,12-18,,Defensive rebound by W. Selden
4:40.0,,,12-20,2,W. Selden makes 2-pt shot at rim
4:25.0,M. Ndour misses 2-pt shot from 17 ft,,12-20,,
4:24.0,,,12-20,,Defensive rebound by M. Gasol
4:11.0,,,12-20,,Turnover by M. Gasol (lost ball; steal by W. Hernangomez)
4:07.0,M. Kuzminskas makes 2-pt shot at rim,2,14-20,,
3:46.0,,,14-20,,M. Gasol misses 2-pt shot from 10 ft
3:46.0,Defensive rebound by W. Hernangomez,,14-20,,
3:39.0,M. Ndour makes 2-pt shot from 2 ft (assist by R. Baker),2,16-20,,
3:29.0,Personal foul by W. Hernangomez (drawn by M. Gasol),,16-20,,
3:29.0,C. Randle enters the game for R. Baker,,16-20,,
3:29.0,K. O'Quinn enters the game for W. Hernangomez,,16-20,,
3:29.0,,,16-20,,M. Conley enters the game for J. Green
3:29.0,,,16-20,,Z. Randolph enters the game for V. Carter
3:20.0,,,16-20,,A. Harrison misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by Team,,16-20,,
3:12.0,Turnover by M. Ndour (bad pass; steal by M. Conley),,16-20,,
2:56.0,,,16-20,,Turnover by W. Selden (bad pass)
2:56.0,New York full timeout,,16-20,,
2:56.0,,,16-20,,B. Wright enters the game for M. Gasol
2:56.0,M. Plumlee enters the game for M. Ndour,,16-20,,
2:35.0,M. Plumlee makes 2-pt shot from 7 ft,2,18-20,,
2:17.0,,,18-22,2,M. Conley makes 2-pt shot from 6 ft
2:04.0,Shooting foul by Z. Randolph (drawn by K. O'Quinn),,18-22,,
2:04.0,K. O'Quinn misses free throw 1 of 2,,18-22,,
2:04.0,Offensive rebound by Team,,18-22,,
2:04.0,K. O'Quinn makes free throw 2 of 2,1,19-22,,
2:04.0,S. Vujacic enters the game for C. Lee,,18-22,,
1:51.0,,,19-25,3,M. Conley makes 3-pt shot from 26 ft
1:32.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by S. Vujacic),2,21-25,,
1:21.0,,,21-25,,Z. Randolph misses 2-pt shot from 22 ft (block by K. O'Quinn)
1:19.0,Defensive rebound by C. Randle,,21-25,,
1:14.0,M. Kuzminskas misses 3-pt shot from 27 ft,,21-25,,
1:13.0,Offensive rebound by M. Plumlee,,21-25,,
1:13.0,M. Plumlee misses 2-pt shot from 1 ft,,21-25,,
1:13.0,,,21-25,,Defensive rebound by Team
1:13.0,Loose ball foul by K. O'Quinn (drawn by M. Conley),,21-25,,
0:56.0,,,21-25,,Z. Randolph misses 2-pt shot from 15 ft
0:56.0,,,21-25,,Offensive rebound by B. Wright
0:44.0,,,21-27,2,W. Selden makes 2-pt shot from 19 ft (assist by B. Wright)
0:30.0,C. Randle misses 3-pt shot from 27 ft,,21-27,,
0:30.0,,,21-27,,Defensive rebound by Z. Randolph
0:10.0,,,21-27,,M. Conley misses 3-pt shot from 26 ft
0:09.0,Defensive rebound by S. Vujacic,,21-27,,
0:01.0,S. Vujacic misses 3-pt shot from 26 ft,,21-27,,
0:00.0,,,21-27,,Defensive rebound by M. Conley
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,S. Vujacic misses 3-pt shot from 24 ft,,21-27,,
11:44.0,,,21-27,,Defensive rebound by B. Wright
11:27.0,,,21-29,2,B. Wright makes 2-pt shot from 1 ft (assist by M. Conley)
11:12.0,M. Kuzminskas misses 3-pt shot from 26 ft,,21-29,,
11:12.0,,,21-29,,Defensive rebound by M. Conley
