time,New Orleans,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gasol (T. Frazier gains possession),,,,Jump ball: A. Davis vs. M. Gasol (T. Frazier gains possession)
11:51.0,,,0-0,,Personal foul by J. Green (drawn by A. Davis)
11:36.0,E. Moore makes 2-pt shot from 10 ft (assist by A. Davis),2,2-0,,
11:16.0,Shooting block foul by S. Hill (drawn by J. Ennis),,2-0,,
11:16.0,,,2-1,1,J. Ennis makes free throw 1 of 2
11:16.0,,,2-2,1,J. Ennis makes free throw 2 of 2
11:03.0,Turnover by A. Davis (lost ball),,2-2,,
10:46.0,,,2-4,2,J. Green makes 2-pt shot from 5 ft (assist by M. Gasol)
10:35.0,,,2-4,,Def 3 sec tech foul by J. Ennis
10:35.0,A. Davis makes technical free throw,1,3-4,,
10:35.0,New Orleans full timeout,,3-4,,
10:29.0,T. Frazier misses 3-pt shot from 27 ft,,3-4,,
10:28.0,,,3-4,,Defensive rebound by J. Green
10:10.0,,,3-4,,M. Gasol misses 2-pt shot from 16 ft
10:10.0,Defensive rebound by E. Moore,,3-4,,
10:00.0,A. Davis misses 2-pt shot from 14 ft,,3-4,,
10:00.0,,,3-4,,Defensive rebound by M. Gasol
9:43.0,,,3-4,,M. Gasol misses 2-pt shot from 5 ft
9:43.0,,,3-4,,Offensive rebound by J. Green
9:43.0,Loose ball foul by S. Hill (drawn by J. Green),,3-4,,
9:43.0,L. Stephenson enters the game for S. Hill,,3-4,,
9:32.0,,,3-6,2,M. Conley makes 2-pt shot from 22 ft (assist by J. Green)
9:13.0,E. Moore makes 2-pt shot from 11 ft,2,5-6,,
9:03.0,,,5-6,,Shooting foul by L. Stephenson (drawn by T. Allen)
9:03.0,,,5-7,1,T. Allen makes free throw 1 of 2
9:03.0,,,5-7,,T. Allen misses free throw 2 of 2
9:02.0,Defensive rebound by A. Davis,,5-7,,
8:41.0,Turnover by A. Davis (bad pass),,5-7,,
8:26.0,,,5-9,2,M. Gasol makes 2-pt shot from 9 ft
8:12.0,T. Frazier misses 2-pt shot from 6 ft (block by M. Gasol),,5-9,,
8:12.0,Offensive rebound by Team,,5-9,,
