time,LA Clippers,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. T. Mozgov (P. Pierce gains possession),,,,Jump ball: D. Jordan vs. T. Mozgov (P. Pierce gains possession)
11:46.0,D. Jordan makes 2-pt shot at rim (assist by R. Felton),2,2-0,,
11:26.0,,,2-2,2,T. Mozgov makes 2-pt shot from 21 ft (assist by J. Randle)
11:02.0,P. Pierce misses 3-pt shot from 25 ft,,2-2,,
11:01.0,,,2-2,,Defensive rebound by L. Deng
10:55.0,,,2-2,,Turnover by N. Young (step out of bounds)
10:42.0,R. Felton misses 3-pt shot from 27 ft,,2-2,,
10:41.0,,,2-2,,Defensive rebound by L. Deng
10:33.0,,,2-2,,J. Randle misses 2-pt shot from 16 ft
10:31.0,Defensive rebound by P. Pierce,,2-2,,
10:18.0,J. Redick misses 2-pt shot from 19 ft,,2-2,,
10:16.0,,,2-2,,Defensive rebound by J. Randle
10:08.0,,,2-2,,T. Mozgov misses 2-pt shot from 7 ft
10:05.0,Defensive rebound by D. Jordan,,2-2,,
9:59.0,R. Felton makes 2-pt shot from 11 ft,2,4-2,,
9:40.0,,,4-2,,Shooting foul by P. Pierce (drawn by L. Deng)
9:40.0,,,4-2,,L. Deng misses free throw 1 of 2
9:40.0,,,4-2,,Offensive rebound by Team
9:40.0,,,4-3,1,L. Deng makes free throw 2 of 2
9:27.0,Turnover by P. Pierce (traveling),,4-3,,
9:15.0,,,4-3,,L. Deng misses 2-pt shot from 5 ft (block by P. Pierce)
9:13.0,Defensive rebound by P. Pierce,,4-3,,
9:03.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by D. Jordan),2,6-3,,
8:57.0,,,6-5,2,J. Randle makes 2-pt shot at rim (assist by L. Deng)
8:41.0,,,6-5,,Personal foul by J. Randle (drawn by R. Felton)
8:35.0,J. Redick makes 2-pt shot from 21 ft (assist by D. Jordan),2,8-5,,
8:12.0,,,8-5,,T. Mozgov misses 2-pt shot from 11 ft
8:11.0,,,8-5,,Offensive rebound by L. Deng
8:06.0,,,8-8,3,N. Young makes 3-pt shot from 26 ft (assist by L. Deng)
7:48.0,L. Mbah a Moute makes 2-pt shot from 19 ft (assist by D. Jordan),2,10-8,,
7:30.0,,,10-8,,D. Russell misses 3-pt shot from 23 ft
7:29.0,Defensive rebound by J. Redick,,10-8,,
7:23.0,,,10-8,,Personal foul by N. Young (drawn by J. Redick)
7:14.0,P. Pierce makes 2-pt shot from 2 ft,2,12-8,,
7:03.0,,,12-8,,D. Russell misses 2-pt shot from 18 ft
7:03.0,Defensive rebound by D. Jordan,,12-8,,
6:54.0,Turnover by D. Jordan (bad pass; steal by L. Deng),,12-8,,
6:48.0,,,12-10,2,L. Deng makes 2-pt shot from 7 ft (assist by N. Young)
6:31.0,J. Redick makes 3-pt shot from 27 ft (assist by R. Felton),3,15-10,,
6:14.0,,,15-12,2,J. Randle makes 2-pt shot from 5 ft
6:03.0,R. Felton misses 2-pt shot from 2 ft,,15-12,,
6:01.0,Offensive rebound by R. Felton,,15-12,,
5:55.0,P. Pierce makes 3-pt shot from 24 ft (assist by J. Redick),3,18-12,,
5:42.0,,,18-12,,J. Randle misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by D. Jordan,,18-12,,
5:32.0,R. Felton misses 2-pt shot from 9 ft,,18-12,,
5:29.0,Offensive rebound by R. Felton,,18-12,,
5:27.0,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by R. Felton),2,20-12,,
5:27.0,,,20-12,,LA Lakers full timeout
5:27.0,,,20-12,,J. Clarkson enters the game for N. Young
5:04.0,,,20-12,,J. Randle misses 2-pt shot from 7 ft
5:01.0,Defensive rebound by L. Mbah a Moute,,20-12,,
4:57.0,J. Redick misses 2-pt shot from 1 ft,,20-12,,
4:55.0,,,20-12,,Defensive rebound by L. Deng
4:49.0,,,20-12,,J. Clarkson misses 3-pt shot from 24 ft
4:46.0,Defensive rebound by P. Pierce,,20-12,,
4:45.0,D. Jordan makes 2-pt shot from 1 ft (assist by J. Redick),2,22-12,,
