time,LA Lakers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Mozgov (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. T. Mozgov (R. Westbrook gains possession)
11:43.0,,,0-0,,Shooting foul by N. Young (drawn by S. Adams)
11:43.0,,,0-1,1,S. Adams makes free throw 1 of 2
11:43.0,,,0-2,1,S. Adams makes free throw 2 of 2
11:23.0,J. Randle makes 2-pt shot from 4 ft,2,2-2,,
11:23.0,Shooting foul by D. Sabonis (drawn by J. Randle),,2-2,,
11:23.0,J. Randle makes free throw 1 of 1,1,3-2,,
11:11.0,,,3-4,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
10:55.0,J. Randle makes 2-pt shot from 2 ft (assist by D. Russell),2,5-4,,
10:43.0,,,5-4,,V. Oladipo misses 2-pt shot from 12 ft
10:43.0,,,5-4,,Offensive rebound by Team
10:43.0,Loose ball foul by T. Mozgov (drawn by S. Adams),,5-4,,
10:33.0,,,5-6,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
10:09.0,N. Young misses 3-pt shot from 26 ft,,5-6,,
10:09.0,Offensive rebound by D. Russell,,5-6,,
9:56.0,D. Russell misses 2-pt shot from 6 ft,,5-6,,
9:55.0,Offensive rebound by T. Mozgov,,5-6,,
9:47.0,D. Russell makes 3-pt shot from 24 ft (assist by J. Randle),3,8-6,,
9:22.0,,,8-8,2,R. Westbrook makes 2-pt shot from 16 ft
9:12.0,J. Randle makes 2-pt shot from 4 ft,2,10-8,,
9:12.0,Shooting foul by D. Sabonis (drawn by J. Randle),,10-8,,
9:12.0,J. Randle makes free throw 1 of 1,1,11-8,,
9:12.0,,,10-8,,E. Ilyasova enters the game for D. Sabonis
9:01.0,,,11-8,,V. Oladipo misses 2-pt shot from 2 ft
9:01.0,Defensive rebound by Team,,11-8,,
8:49.0,L. Deng misses 3-pt shot from 24 ft,,11-8,,
8:47.0,,,11-8,,Defensive rebound by R. Westbrook
8:35.0,,,11-8,,R. Westbrook misses 2-pt shot from 12 ft
8:35.0,Defensive rebound by D. Russell,,11-8,,
8:26.0,D. Russell makes 3-pt shot from 24 ft (assist by J. Randle),3,14-8,,
8:15.0,,,14-8,,R. Westbrook misses 2-pt shot from 12 ft
8:14.0,,,14-8,,Offensive rebound by S. Adams
8:11.0,,,14-8,,Turnover by S. Adams (lost ball; steal by D. Russell)
8:03.0,T. Mozgov makes 2-pt shot at rim (assist by L. Deng),2,16-8,,
8:02.0,,,16-8,,Oklahoma City full timeout
7:47.0,,,16-8,,A. Roberson misses 3-pt shot from 22 ft
7:47.0,Defensive rebound by Team,,16-8,,
7:32.0,Turnover by L. Deng (bad pass; steal by A. Roberson),,16-8,,
7:24.0,,,16-11,3,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook)
7:13.0,Turnover by T. Mozgov (lost ball),,16-11,,
6:58.0,,,16-13,2,A. Roberson makes 2-pt shot from 1 ft (assist by S. Adams)
6:38.0,N. Young misses 3-pt shot from 23 ft,,16-13,,
6:38.0,,,16-13,,Defensive rebound by S. Adams
6:32.0,,,16-16,3,R. Westbrook makes 3-pt shot from 25 ft
6:09.0,N. Young misses 3-pt shot from 23 ft,,16-16,,
6:08.0,,,16-16,,Defensive rebound by Team
5:53.0,,,16-16,,V. Oladipo misses 3-pt shot from 23 ft
5:52.0,Defensive rebound by Team,,16-16,,
5:52.0,,,16-16,,Loose ball foul by S. Adams (drawn by T. Mozgov)
5:52.0,J. Clarkson enters the game for N. Young,,16-16,,
5:33.0,J. Randle misses 2-pt shot from 8 ft,,16-16,,
5:32.0,,,16-16,,Defensive rebound by Team
5:17.0,,,16-16,,S. Adams misses 2-pt shot from 8 ft
5:17.0,,,16-16,,Offensive rebound by R. Westbrook
5:15.0,,,16-16,,R. Westbrook misses 2-pt shot from 2 ft (block by L. Deng)
5:14.0,Defensive rebound by J. Clarkson,,16-16,,
5:04.0,J. Randle makes 2-pt shot from 2 ft (assist by J. Clarkson),2,18-16,,
4:58.0,,,18-16,,S. Adams misses 2-pt shot from 3 ft (block by T. Mozgov)
4:58.0,,,18-16,,Offensive rebound by Team
4:58.0,,,18-16,,E. Kanter enters the game for S. Adams
4:58.0,B. Ingram enters the game for J. Randle,,18-16,,
4:58.0,L. Nance enters the game for T. Mozgov,,18-16,,
4:45.0,,,18-18,2,V. Oladipo makes 2-pt shot from 1 ft
4:35.0,D. Russell misses 2-pt shot from 1 ft (block by R. Westbrook),,18-18,,
4:34.0,,,18-18,,Defensive rebound by E. Ilyasova
4:30.0,,,18-20,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
4:23.0,LA Lakers full timeout,,18-20,,
4:23.0,,,18-20,,K. Singler enters the game for V. Oladipo
4:13.0,L. Nance misses 2-pt shot from 3 ft,,18-20,,
4:13.0,,,18-20,,Defensive rebound by E. Ilyasova
4:08.0,,,18-22,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:54.0,J. Clarkson misses 2-pt shot from 15 ft,,18-22,,
3:52.0,,,18-22,,Defensive rebound by E. Kanter
3:43.0,Personal foul by D. Russell (drawn by R. Westbrook),,18-22,,
3:43.0,L. Williams enters the game for D. Russell,,18-22,,
3:43.0,M. World Peace enters the game for L. Deng,,18-22,,
3:39.0,Def 3 sec tech foul by B. Ingram,,18-22,,
3:39.0,,,18-23,1,R. Westbrook makes technical free throw
3:31.0,,,18-23,,R. Westbrook misses 2-pt shot from 14 ft
3:30.0,Defensive rebound by Team,,18-23,,
3:15.0,J. Clarkson makes 2-pt shot from 2 ft (assist by L. Williams),2,20-23,,
3:07.0,Personal foul by B. Ingram (drawn by E. Kanter),,20-23,,
3:07.0,,,20-23,,S. Christon enters the game for R. Westbrook
2:50.0,,,20-25,2,E. Kanter makes 2-pt shot from 9 ft
2:38.0,M. World Peace misses 3-pt shot from 25 ft,,20-25,,
2:38.0,,,20-25,,Defensive rebound by A. Roberson
2:29.0,,,20-25,,E. Ilyasova misses 3-pt shot from 24 ft
