time,Minnesota,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. K. Towns (L. Aldridge gains possession),,,,Jump ball: D. Dedmon vs. K. Towns (L. Aldridge gains possession)
11:45.0,,,0-0,,K. Leonard misses 2-pt shot from 11 ft
11:44.0,Defensive rebound by K. Towns,,0-0,,
11:39.0,A. Wiggins misses 2-pt shot from 1 ft,,0-0,,
11:36.0,Offensive rebound by G. Dieng,,0-0,,
11:36.0,G. Dieng makes 2-pt shot from 1 ft,2,2-0,,
11:24.0,,,2-0,,L. Aldridge misses 2-pt shot from 20 ft
11:23.0,Defensive rebound by K. Towns,,2-0,,
11:04.0,A. Wiggins misses 2-pt shot from 2 ft (block by D. Dedmon),,2-0,,
11:03.0,,,2-0,,Defensive rebound by L. Aldridge
10:56.0,,,2-0,,Shooting foul by R. Rubio (drawn by T. Parker)
10:56.0,,,2-0,,T. Parker misses free throw 1 of 2
10:56.0,,,2-0,,Offensive rebound by Team
10:56.0,,,2-0,,T. Parker misses free throw 2 of 2
10:55.0,Defensive rebound by G. Dieng,,2-0,,
10:45.0,G. Dieng makes 2-pt shot from 20 ft (assist by R. Rubio),2,4-0,,
10:28.0,,,4-0,,Turnover by D. Dedmon (bad pass)
10:14.0,K. Towns misses 2-pt shot from 8 ft,,4-0,,
10:13.0,,,4-0,,Defensive rebound by D. Dedmon
10:03.0,,,4-0,,Turnover by T. Parker (bad pass; steal by R. Rubio)
9:54.0,G. Dieng misses 2-pt shot from 14 ft,,4-0,,
9:50.0,Offensive rebound by G. Dieng,,4-0,,
9:33.0,B. Rush makes 3-pt shot from 24 ft (assist by R. Rubio),3,7-0,,
9:09.0,,,7-3,3,T. Parker makes 3-pt shot from 23 ft (assist by L. Aldridge)
8:52.0,G. Dieng misses 2-pt shot from 6 ft (block by L. Aldridge),,7-3,,
8:50.0,,,7-3,,Defensive rebound by Team
8:35.0,,,7-5,2,K. Leonard makes 2-pt shot from 19 ft (assist by D. Dedmon)
8:20.0,Turnover by G. Dieng (bad pass; steal by K. Leonard),,7-5,,
8:15.0,,,7-7,2,K. Leonard makes 2-pt shot from 1 ft
8:00.0,R. Rubio makes 2-pt shot from 16 ft,2,9-7,,
7:48.0,,,9-7,,Shooting foul by K. Towns (drawn by T. Parker)
7:48.0,,,9-7,,T. Parker misses free throw 1 of 2
7:48.0,,,9-7,,Offensive rebound by Team
7:48.0,,,9-7,,T. Parker misses free throw 2 of 2
7:47.0,Defensive rebound by G. Dieng,,9-7,,
7:38.0,Turnover by G. Dieng (bad pass; steal by T. Parker),,9-7,,
7:28.0,,,9-7,,K. Leonard misses 2-pt shot from 17 ft
7:27.0,Defensive rebound by B. Rush,,9-7,,
7:14.0,K. Towns misses 3-pt shot from 26 ft,,9-7,,
7:13.0,,,9-7,,Defensive rebound by L. Aldridge
7:00.0,,,9-7,,T. Parker misses 3-pt shot from 23 ft
6:59.0,Defensive rebound by B. Rush,,9-7,,
6:52.0,R. Rubio misses 2-pt shot from 16 ft,,9-7,,
6:50.0,Offensive rebound by R. Rubio,,9-7,,
6:47.0,Shooting foul by D. Dedmon (drawn by K. Towns),,9-7,,
6:47.0,K. Towns makes free throw 1 of 2,1,10-7,,
6:47.0,,,10-7,,San Antonio full timeout
6:47.0,K. Towns makes free throw 2 of 2,1,11-7,,
6:47.0,,,10-7,,P. Mills enters the game for T. Parker
6:47.0,,,10-7,,J. Simmons enters the game for D. Green
6:37.0,,,11-7,,Turnover by L. Aldridge (lost ball)
6:37.0,,,11-7,,D. Lee enters the game for L. Aldridge
6:24.0,G. Dieng misses 2-pt shot from 18 ft,,11-7,,
6:22.0,,,11-7,,Defensive rebound by D. Dedmon
6:14.0,,,11-7,,P. Mills misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by R. Rubio,,11-7,,
6:00.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,13-7,,
5:40.0,,,13-9,2,D. Lee makes 2-pt shot from 5 ft (assist by K. Leonard)
5:20.0,A. Wiggins misses 2-pt shot from 7 ft,,13-9,,
5:19.0,Offensive rebound by K. Towns,,13-9,,
5:16.0,K. Towns misses 2-pt shot from 3 ft (block by D. Lee),,13-9,,
5:15.0,Offensive rebound by K. Towns,,13-9,,
5:15.0,K. Towns makes 2-pt shot from 1 ft,2,15-9,,
5:03.0,,,15-9,,Turnover by P. Mills (lost ball; steal by R. Rubio)
5:00.0,G. Dieng misses 2-pt shot at rim (block by J. Simmons),,15-9,,
5:00.0,Offensive rebound by Team,,15-9,,
5:00.0,,,15-9,,P. Gasol enters the game for D. Dedmon
5:00.0,,,15-9,,K. Anderson enters the game for K. Leonard
5:00.0,N. Bjelica enters the game for K. Towns,,15-9,,
4:48.0,A. Wiggins misses 2-pt shot from 16 ft,,15-9,,
4:47.0,,,15-9,,Defensive rebound by D. Lee
4:39.0,,,15-11,2,K. Anderson makes 2-pt shot at rim (assist by P. Gasol)
4:20.0,,,15-11,,Shooting block foul by P. Mills (drawn by R. Rubio)
4:20.0,R. Rubio misses free throw 1 of 2,,15-11,,
4:20.0,Offensive rebound by Team,,15-11,,
4:20.0,R. Rubio makes free throw 2 of 2,1,16-11,,
4:20.0,S. Muhammad enters the game for B. Rush,,15-11,,
3:58.0,,,16-11,,P. Mills misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by A. Wiggins,,16-11,,
3:45.0,N. Bjelica makes 2-pt shot from 2 ft (assist by R. Rubio),2,18-11,,
3:38.0,Personal foul by G. Dieng (drawn by P. Gasol),,18-11,,
3:26.0,,,18-11,,P. Gasol misses 2-pt shot from 13 ft
3:25.0,Defensive rebound by R. Rubio,,18-11,,
3:17.0,R. Rubio misses 2-pt shot from 1 ft,,18-11,,
3:16.0,Offensive rebound by Team,,18-11,,
3:16.0,,,18-11,,Loose ball foul by P. Mills
3:05.0,A. Wiggins makes 2-pt shot from 3 ft (assist by G. Dieng),2,20-11,,
2:51.0,,,20-11,,D. Lee misses 2-pt shot from 4 ft (block by G. Dieng)
