time,Golden State,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,K. Durant misses 2-pt shot from 18 ft,,0-0,,
12:00.0,Jump ball: Z. Pachulia vs. M. Plumlee (D. Green gains possession),,,,Jump ball: Z. Pachulia vs. M. Plumlee (D. Green gains possession)
11:39.0,Offensive rebound by Z. Pachulia,,0-0,,
11:34.0,K. Durant misses 3-pt shot from 25 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by M. Plumlee
11:22.0,,,0-0,,M. Plumlee misses 2-pt shot from 18 ft
11:22.0,Defensive rebound by D. Green,,0-0,,
11:15.0,,,0-0,,Shooting block foul by D. Lillard (drawn by D. Green)
11:15.0,D. Green misses free throw 1 of 2,,0-0,,
11:15.0,Offensive rebound by Team,,0-0,,
11:15.0,D. Green makes free throw 2 of 2,1,1-0,,
11:02.0,,,1-2,2,M. Plumlee makes 2-pt shot from 2 ft (assist by C. McCollum)
10:48.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Green),2,3-2,,
10:28.0,,,3-2,,D. Lillard misses 3-pt shot from 27 ft
10:28.0,Defensive rebound by D. Green,,3-2,,
10:22.0,Turnover by S. Curry (bad pass),,3-2,,
10:07.0,,,3-5,3,D. Lillard makes 3-pt shot from 24 ft (assist by M. Plumlee)
9:51.0,S. Curry misses 3-pt shot from 23 ft,,3-5,,
9:51.0,,,3-5,,Defensive rebound by A. Aminu
9:39.0,,,3-7,2,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee)
9:28.0,K. Thompson makes 2-pt shot from 3 ft (assist by S. Curry),2,5-7,,
9:15.0,,,5-9,2,C. McCollum makes 2-pt shot from 15 ft
9:03.0,K. Durant makes 2-pt shot from 2 ft (assist by D. Green),2,7-9,,
8:45.0,,,7-9,,C. McCollum misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by Z. Pachulia,,7-9,,
8:37.0,S. Curry misses 3-pt shot from 27 ft,,7-9,,
8:36.0,,,7-9,,Defensive rebound by C. McCollum
8:31.0,,,7-9,,D. Lillard misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by D. Green,,7-9,,
8:18.0,K. Durant misses 2-pt shot from 16 ft,,7-9,,
8:17.0,,,7-9,,Defensive rebound by A. Aminu
8:07.0,,,7-11,2,C. McCollum makes 2-pt shot from 19 ft
7:46.0,K. Thompson misses 2-pt shot from 12 ft,,7-11,,
7:45.0,,,7-11,,Defensive rebound by A. Aminu
7:37.0,,,7-11,,M. Harkless misses 3-pt shot from 22 ft
7:36.0,,,7-11,,Offensive rebound by M. Plumlee
7:32.0,,,7-14,3,D. Lillard makes 3-pt shot from 29 ft (assist by M. Plumlee)
7:31.0,Golden State full timeout,,7-14,,
7:19.0,D. Green makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,9-14,,
7:02.0,,,9-16,2,D. Lillard makes 2-pt shot from 19 ft (assist by M. Plumlee)
6:45.0,S. Curry misses 2-pt shot from 14 ft,,9-16,,
6:44.0,,,9-16,,Defensive rebound by A. Aminu
6:37.0,,,9-16,,Turnover by C. McCollum (bad pass; steal by D. Green)
6:24.0,K. Durant makes 2-pt shot at rim,2,11-16,,
6:05.0,,,11-18,2,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard)
5:45.0,K. Thompson makes 2-pt shot from 21 ft (assist by K. Durant),2,13-18,,
5:44.0,,,13-18,,Turnover by D. Lillard (lost ball)
5:44.0,A. Iguodala enters the game for Z. Pachulia,,13-18,,
5:43.0,,,13-18,,Personal foul by M. Harkless (drawn by K. Durant)
5:43.0,K. Durant misses free throw 1 of 2,,13-18,,
5:43.0,Offensive rebound by Team,,13-18,,
5:43.0,K. Durant makes free throw 2 of 2,1,14-18,,
5:43.0,,,13-18,,A. Crabbe enters the game for A. Aminu
5:43.0,,,13-18,,E. Turner enters the game for C. McCollum
5:28.0,,,14-18,,Turnover by M. Plumlee (lost ball; steal by K. Durant)
5:25.0,Turnover by S. Curry (lost ball; steal by M. Plumlee),,14-18,,
5:23.0,,,14-20,2,D. Lillard makes 2-pt shot from 1 ft
5:23.0,,,14-20,,Shooting foul by S. Curry (drawn by D. Lillard)
5:23.0,,,14-21,1,D. Lillard makes free throw 1 of 1
5:23.0,I. Clark enters the game for K. Thompson,,14-20,,
5:07.0,D. Green makes 3-pt shot from 25 ft (assist by K. Durant),3,17-21,,
4:52.0,,,17-21,,Turnover by M. Plumlee (bad pass; steal by K. Durant)
4:41.0,K. Durant misses 3-pt shot from 25 ft,,17-21,,
4:38.0,Offensive rebound by S. Curry,,17-21,,
4:35.0,Turnover by S. Curry (bad pass; steal by E. Turner),,17-21,,
4:26.0,,,17-21,,E. Turner misses 2-pt shot from 8 ft
4:25.0,,,17-21,,Offensive rebound by M. Harkless
4:24.0,,,17-23,2,M. Harkless makes 2-pt shot from 3 ft
4:12.0,I. Clark makes 2-pt shot from 3 ft (assist by D. Green),2,19-23,,
4:12.0,Shooting foul by A. Crabbe (drawn by I. Clark),,19-23,,
4:12.0,I. Clark makes free throw 1 of 1,1,20-23,,
4:12.0,D. West enters the game for K. Durant,,19-23,,
4:12.0,,,19-23,,N. Vonleh enters the game for M. Harkless
3:53.0,,,20-23,,D. Lillard misses 2-pt shot from 6 ft
3:53.0,Defensive rebound by D. West,,20-23,,
3:44.0,D. West makes 2-pt shot from 1 ft,2,22-23,,
3:18.0,,,22-23,,Turnover by E. Turner (lost ball; steal by I. Clark)
3:11.0,A. Iguodala misses 2-pt shot from 1 ft,,22-23,,
3:10.0,,,22-23,,Defensive rebound by D. Lillard
3:03.0,,,22-23,,N. Vonleh misses 3-pt shot from 27 ft
