time,Phoenix,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Len (M. Morris gains possession),,,,Jump ball: M. Gortat vs. A. Len (M. Morris gains possession)
11:37.0,,,0-0,,Turnover by J. Wall (bad pass; steal by E. Bledsoe)
11:30.0,D. Booker misses 2-pt shot from 22 ft,,0-0,,
11:29.0,Offensive rebound by M. Chriss,,0-0,,
11:26.0,M. Chriss misses 2-pt shot from 1 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by J. Wall
11:19.0,,,0-0,,M. Morris misses 3-pt shot from 26 ft
11:18.0,Defensive rebound by E. Bledsoe,,0-0,,
11:10.0,B. Knight misses 2-pt shot from 18 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by J. Wall
10:58.0,,,0-0,,J. Wall misses 2-pt shot from 21 ft
10:56.0,,,0-0,,Offensive rebound by M. Morris
10:53.0,,,0-2,2,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall)
10:35.0,Turnover by A. Len (traveling),,0-2,,
10:24.0,,,0-2,,Turnover by M. Morris (discontinued dribble)
10:03.0,Turnover by M. Chriss (lost ball; steal by J. Wall),,0-2,,
9:47.0,,,0-4,2,M. Gortat makes 2-pt shot from 14 ft
9:27.0,D. Booker makes 3-pt shot from 28 ft (assist by E. Bledsoe),3,3-4,,
9:14.0,,,3-4,,M. Morris misses 2-pt shot from 6 ft
9:13.0,Defensive rebound by A. Len,,3-4,,
8:54.0,A. Len makes 2-pt shot from 9 ft,2,5-4,,
8:41.0,,,5-6,2,B. Beal makes 2-pt shot from 7 ft (assist by J. Wall)
8:40.0,,,5-6,,Violation by Team (jump ball)
8:29.0,D. Booker makes 2-pt shot from 19 ft,2,7-6,,
8:00.0,,,7-6,,M. Morris misses 2-pt shot from 5 ft (block by A. Len)
8:00.0,,,7-6,,Offensive rebound by Team
7:59.0,,,7-6,,Turnover by Team (shot clock)
7:50.0,Shooting foul by M. Gortat (drawn by A. Len),,7-6,,
7:50.0,A. Len makes free throw 1 of 2,1,8-6,,
7:50.0,A. Len makes free throw 2 of 2,1,9-6,,
7:33.0,,,9-6,,B. Beal misses 2-pt shot from 12 ft
7:32.0,Defensive rebound by B. Knight,,9-6,,
7:32.0,,,9-6,,Personal foul by B. Beal (drawn by B. Knight)
7:16.0,M. Chriss makes 2-pt shot at rim (assist by A. Len),2,11-6,,
7:01.0,,,11-6,,Shooting foul by M. Chriss (drawn by O. Porter)
7:01.0,,,11-7,1,O. Porter makes free throw 1 of 2
7:01.0,,,11-8,1,O. Porter makes free throw 2 of 2
6:40.0,B. Knight misses 3-pt shot from 26 ft,,11-8,,
6:39.0,,,11-8,,Defensive rebound by O. Porter
6:33.0,,,11-8,,J. Wall misses 3-pt shot from 27 ft
6:31.0,Defensive rebound by B. Knight,,11-8,,
6:28.0,D. Booker misses 2-pt shot from 1 ft (block by J. Wall),,11-8,,
6:25.0,,,11-8,,Defensive rebound by M. Gortat
6:20.0,,,11-8,,O. Porter misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by B. Knight,,11-8,,
6:15.0,Turnover by B. Knight (lost ball; steal by O. Porter),,11-8,,
6:10.0,,,11-11,3,B. Beal makes 3-pt shot from 24 ft (assist by O. Porter)
5:56.0,,,11-11,,Washington full timeout
5:51.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by D. Booker),3,14-11,,
5:39.0,,,14-11,,Shooting foul by A. Len (drawn by O. Porter)
5:39.0,,,14-12,1,O. Porter makes free throw 1 of 2
5:39.0,,,14-12,,O. Porter misses free throw 2 of 2
5:38.0,Defensive rebound by A. Len,,14-12,,
5:24.0,Turnover by A. Len (bad pass; steal by M. Morris),,14-12,,
5:19.0,,,14-14,2,J. Wall makes 2-pt shot from 1 ft (assist by M. Morris)
5:09.0,M. Chriss makes 2-pt shot from 7 ft (assist by B. Knight),2,16-14,,
4:56.0,,,16-16,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
4:44.0,M. Chriss misses 2-pt shot from 2 ft,,16-16,,
4:43.0,Offensive rebound by Team,,16-16,,
4:37.0,Turnover by D. Booker (bad pass),,16-16,,
4:24.0,Def 3 sec tech foul by A. Len,,16-16,,
4:24.0,,,16-17,1,B. Beal makes technical free throw
4:24.0,,,16-17,,K. Oubre enters the game for M. Morris
4:24.0,P. Tucker enters the game for M. Chriss,,16-17,,
4:17.0,,,16-17,,J. Wall misses 2-pt shot from 17 ft
4:16.0,,,16-17,,Offensive rebound by M. Gortat
4:15.0,,,16-19,2,M. Gortat makes 2-pt shot from 1 ft
3:55.0,E. Bledsoe misses 2-pt shot from 1 ft (block by J. Wall),,16-19,,
3:55.0,Offensive rebound by Team,,16-19,,
3:55.0,J. Dudley enters the game for E. Bledsoe,,16-19,,
3:49.0,D. Booker makes 2-pt shot from 18 ft (assist by B. Knight),2,18-19,,
3:29.0,,,18-19,,O. Porter misses 3-pt shot from 25 ft
3:28.0,,,18-19,,Offensive rebound by M. Gortat
3:25.0,,,18-19,,M. Gortat misses 2-pt shot from 2 ft
3:24.0,Defensive rebound by B. Knight,,18-19,,
3:13.0,Turnover by B. Knight (bad pass; steal by O. Porter),,18-19,,
3:12.0,Personal take foul by J. Dudley (drawn by J. Wall),,18-19,,
2:58.0,,,18-19,,K. Oubre misses 3-pt shot from 24 ft
2:56.0,,,18-19,,Offensive rebound by J. Wall
2:54.0,,,18-22,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
2:53.0,Phoenix full timeout,,18-22,,
2:53.0,A. Williams enters the game for A. Len,,18-22,,
2:53.0,E. Bledsoe enters the game for B. Knight,,18-22,,
2:53.0,,,18-22,,T. Satoransky enters the game for B. Beal
2:36.0,P. Tucker misses 2-pt shot from 1 ft,,18-22,,
2:35.0,Offensive rebound by A. Williams,,18-22,,
2:34.0,A. Williams misses 2-pt shot from 1 ft,,18-22,,
2:32.0,,,18-22,,Defensive rebound by M. Gortat
2:09.0,,,18-22,,J. Wall misses 2-pt shot from 16 ft
2:08.0,Defensive rebound by A. Williams,,18-22,,
1:57.0,,,18-22,,T. Burke enters the game for J. Wall
1:46.0,D. Booker misses 2-pt shot from 5 ft,,18-22,,
1:45.0,,,18-22,,Defensive rebound by K. Oubre
1:42.0,,,18-24,2,O. Porter makes 2-pt shot from 1 ft (assist by K. Oubre)
1:21.0,D. Booker misses 3-pt shot from 26 ft,,18-24,,
1:20.0,,,18-24,,Defensive rebound by O. Porter
1:08.0,,,18-24,,T. Burke misses 2-pt shot from 17 ft
1:07.0,Defensive rebound by J. Dudley,,18-24,,
0:50.0,Shooting foul by O. Porter (drawn by E. Bledsoe),,18-24,,
0:50.0,E. Bledsoe misses free throw 1 of 3,,18-24,,
0:50.0,Offensive rebound by Team,,18-24,,
0:50.0,E. Bledsoe makes free throw 2 of 3,1,19-24,,
0:50.0,E. Bledsoe makes free throw 3 of 3,1,20-24,,
0:38.0,,,20-24,,Shooting foul by P. Tucker (drawn by T. Satoransky)
0:38.0,,,20-25,1,T. Satoransky makes free throw 1 of 2
0:38.0,,,20-26,1,T. Satoransky makes free throw 2 of 2
