time,Memphis,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Howard (T. Sefolosha gains possession),,,,Jump ball: M. Gasol vs. D. Howard (T. Sefolosha gains possession)
11:45.0,,,0-2,2,K. Bazemore makes 2-pt shot from 3 ft (assist by P. Millsap)
11:31.0,Turnover by J. Green (bad pass; steal by P. Millsap),,0-2,,
11:25.0,,,0-2,,Turnover by P. Millsap (lost ball; steal by V. Carter)
11:18.0,V. Carter misses 3-pt shot from 24 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by D. Howard
11:00.0,,,0-2,,Turnover by T. Sefolosha (lost ball; steal by J. Green)
10:57.0,J. Green misses 2-pt shot from 1 ft (block by P. Millsap),,0-2,,
10:57.0,Offensive rebound by Team,,0-2,,
10:49.0,,,0-2,,Def 3 sec tech foul by K. Bazemore
10:49.0,M. Conley makes technical free throw,1,1-2,,
10:39.0,M. Gasol makes 2-pt shot from 23 ft (assist by M. Conley),2,3-2,,
10:23.0,Personal foul by T. Allen (drawn by K. Bazemore),,3-2,,
10:17.0,,,3-2,,D. Schroder misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by T. Allen,,3-2,,
10:08.0,M. Gasol misses 3-pt shot from 25 ft,,3-2,,
10:06.0,Offensive rebound by T. Allen,,3-2,,
9:53.0,M. Gasol makes 2-pt shot from 21 ft (assist by M. Conley),2,5-2,,
9:35.0,,,5-2,,K. Bazemore misses 2-pt shot from 1 ft
9:33.0,Defensive rebound by M. Gasol,,5-2,,
9:28.0,T. Allen misses 2-pt shot from 2 ft,,5-2,,
9:26.0,,,5-2,,Defensive rebound by P. Millsap
9:15.0,,,5-5,3,D. Schroder makes 3-pt shot from 25 ft
8:50.0,M. Conley makes 2-pt shot from 20 ft (assist by M. Gasol),2,7-5,,
8:27.0,,,7-8,3,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder)
8:08.0,M. Gasol makes 2-pt shot from 21 ft (assist by M. Conley),2,9-8,,
7:47.0,,,9-10,2,K. Bazemore makes 2-pt shot from 21 ft
7:30.0,Turnover by M. Gasol (bad pass; steal by D. Schroder),,9-10,,
