time,Denver,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Nurkic (K. Faried gains possession),,,,Jump ball: R. Gobert vs. J. Nurkic (K. Faried gains possession)
11:39.0,D. Gallinari misses 2-pt shot from 17 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by R. Hood
11:17.0,,,0-0,,Turnover by G. Hayward (bad pass; steal by D. Gallinari)
11:07.0,J. Nurkic makes 2-pt shot at rim (assist by W. Barton),2,2-0,,
10:46.0,,,2-2,2,D. Exum makes 2-pt shot from 12 ft
10:34.0,W. Barton misses 2-pt shot from 9 ft,,2-2,,
10:32.0,Offensive rebound by Team,,2-2,,
10:04.0,J. Nurkic misses 2-pt shot from 1 ft,,2-2,,
10:04.0,Offensive rebound by Team,,2-2,,
9:55.0,D. Gallinari misses 2-pt shot from 18 ft,,2-2,,
9:54.0,,,2-2,,Defensive rebound by R. Hood
9:45.0,,,2-2,,R. Hood misses 2-pt shot from 16 ft
9:44.0,,,2-2,,Offensive rebound by R. Gobert
9:31.0,,,2-2,,Turnover by R. Hood (bad pass; steal by D. Gallinari)
9:23.0,D. Gallinari misses 2-pt shot from 7 ft,,2-2,,
9:23.0,,,2-2,,Defensive rebound by D. Exum
9:17.0,,,2-2,,Shooting foul by J. Nurkic (drawn by D. Exum)
9:17.0,,,2-3,1,D. Exum makes free throw 1 of 2
9:17.0,,,2-4,1,D. Exum makes free throw 2 of 2
8:58.0,K. Faried misses 2-pt shot from 4 ft,,2-4,,
8:57.0,Offensive rebound by J. Nurkic,,2-4,,
8:57.0,J. Nurkic makes 2-pt shot from 2 ft,2,4-4,,
8:45.0,,,4-4,,Shooting foul by J. Nurkic (drawn by D. Exum)
8:45.0,,,4-5,1,D. Exum makes free throw 1 of 2
8:45.0,,,4-6,1,D. Exum makes free throw 2 of 2
8:45.0,W. Chandler enters the game for J. Nurkic,,4-5,,
8:30.0,E. Mudiay misses 2-pt shot from 18 ft,,4-6,,
8:29.0,,,4-6,,Defensive rebound by R. Gobert
8:19.0,,,4-6,,G. Hayward misses 2-pt shot from 17 ft
8:19.0,Defensive rebound by K. Faried,,4-6,,
8:06.0,E. Mudiay makes 3-pt shot from 24 ft (assist by W. Barton),3,7-6,,
7:41.0,,,7-6,,D. Exum misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by E. Mudiay,,7-6,,
7:34.0,E. Mudiay makes 2-pt shot from 1 ft,2,9-6,,
7:17.0,,,9-9,3,G. Hayward makes 3-pt shot from 26 ft (assist by B. Diaw)
7:01.0,E. Mudiay misses 3-pt shot from 23 ft,,9-9,,
7:01.0,,,9-9,,Defensive rebound by R. Gobert
6:50.0,,,9-11,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
6:23.0,K. Faried misses 2-pt shot from 3 ft (block by R. Gobert),,9-11,,
6:22.0,,,9-11,,Defensive rebound by B. Diaw
6:04.0,,,9-11,,B. Diaw misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by E. Mudiay,,9-11,,
5:46.0,W. Barton makes 2-pt shot from 4 ft,2,11-11,,
5:40.0,,,11-11,,Utah full timeout
5:40.0,D. Arthur enters the game for K. Faried,,11-11,,
5:40.0,,,11-11,,T. Lyles enters the game for B. Diaw
5:40.0,,,11-11,,J. Ingles enters the game for R. Hood
5:40.0,,,11-11,,S. Mack enters the game for D. Exum
5:30.0,,,11-11,,Turnover by S. Mack (bad pass; steal by W. Chandler)
5:21.0,W. Barton misses 3-pt shot from 25 ft,,11-11,,
5:21.0,,,11-11,,Defensive rebound by T. Lyles
5:09.0,,,11-11,,T. Lyles misses 2-pt shot from 15 ft
5:08.0,,,11-11,,Offensive rebound by R. Gobert
5:08.0,,,11-11,,Shooting foul by D. Arthur (drawn by R. Gobert)
5:08.0,,,11-11,,R. Gobert misses free throw 1 of 2
5:08.0,,,11-11,,Offensive rebound by Team
5:08.0,,,11-12,1,R. Gobert makes free throw 2 of 2
4:53.0,Shooting foul by G. Hayward (drawn by D. Gallinari),,11-12,,
4:53.0,D. Gallinari makes free throw 1 of 2,1,12-12,,
4:53.0,D. Gallinari makes free throw 2 of 2,1,13-12,,
4:46.0,Personal foul by W. Barton (drawn by G. Hayward),,13-12,,
4:39.0,,,13-12,,Turnover by G. Hayward (lost ball; steal by W. Barton)
4:31.0,W. Barton misses 2-pt shot from 5 ft,,13-12,,
4:31.0,,,13-12,,Defensive rebound by J. Ingles
4:19.0,,,13-14,2,S. Mack makes 2-pt shot from 3 ft (assist by J. Ingles)
4:07.0,W. Chandler makes 3-pt shot from 25 ft (assist by D. Arthur),3,16-14,,
3:49.0,,,16-14,,S. Mack misses 2-pt shot from 2 ft (block by E. Mudiay)
3:48.0,,,16-14,,Offensive rebound by Team
3:48.0,J. Nelson enters the game for W. Barton,,16-14,,
3:48.0,J. Murray enters the game for E. Mudiay,,16-14,,
3:44.0,,,16-14,,Shooting foul by D. Gallinari (drawn by G. Hayward)
3:44.0,,,16-15,1,G. Hayward makes free throw 1 of 2
3:44.0,,,16-16,1,G. Hayward makes free throw 2 of 2
3:25.0,J. Nelson misses 3-pt shot from 24 ft,,16-16,,
3:25.0,,,16-16,,Defensive rebound by G. Hayward
3:13.0,,,16-16,,T. Lyles misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by D. Gallinari,,16-16,,
3:06.0,D. Gallinari makes 2-pt shot from 2 ft,2,18-16,,
3:06.0,Shooting foul by R. Gobert (drawn by D. Gallinari),,18-16,,
3:06.0,,,18-16,,Violation by J. Ingles (lane)
3:06.0,D. Gallinari makes free throw 1 of 1,1,19-16,,
2:57.0,,,19-16,,Shooting foul by D. Arthur (drawn by G. Hayward)
2:57.0,Denver full timeout,,19-16,,
2:57.0,,,19-17,1,G. Hayward makes free throw 1 of 2
2:57.0,,,19-18,1,G. Hayward makes free throw 2 of 2
2:57.0,,,19-16,,B. Diaw enters the game for R. Gobert
2:39.0,D. Arthur misses 2-pt shot from 18 ft,,19-18,,
2:39.0,,,19-18,,Defensive rebound by Team
