time,Toronto,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. J. Valanciunas (P. Patterson gains possession),,,,Jump ball: T. Thompson vs. J. Valanciunas (P. Patterson gains possession)
11:36.0,D. Carroll makes 2-pt shot from 1 ft (assist by J. Valanciunas),2,2-0,,
11:21.0,,,2-2,2,T. Thompson makes 2-pt shot from 7 ft (assist by J. Smith)
11:11.0,K. Lowry misses 3-pt shot from 23 ft,,2-2,,
11:11.0,,,2-2,,Defensive rebound by D. Williams
10:47.0,,,2-2,,J. Smith misses 3-pt shot from 26 ft
10:47.0,Defensive rebound by Team,,2-2,,
10:28.0,J. Valanciunas misses 2-pt shot from 11 ft,,2-2,,
10:26.0,,,2-2,,Defensive rebound by T. Thompson
10:14.0,,,2-5,3,C. Frye makes 3-pt shot from 24 ft (assist by D. Williams)
10:03.0,Turnover by K. Lowry (bad pass; steal by T. Thompson),,2-5,,
9:55.0,,,2-5,,I. Shumpert misses 3-pt shot from 26 ft
9:53.0,,,2-5,,Offensive rebound by T. Thompson
9:45.0,,,2-5,,Turnover by I. Shumpert (bad pass; steal by P. Patterson)
9:27.0,J. Valanciunas makes 2-pt shot from 17 ft (assist by N. Powell),2,4-5,,
9:16.0,,,4-5,,C. Frye misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by D. Carroll,,4-5,,
9:08.0,J. Valanciunas misses 2-pt shot from 2 ft,,4-5,,
9:06.0,Offensive rebound by J. Valanciunas,,4-5,,
9:05.0,J. Valanciunas makes 2-pt shot from 1 ft,2,6-5,,
8:38.0,,,6-5,,Turnover by D. Williams (lost ball; steal by K. Lowry)
8:38.0,,,6-5,,Personal foul by D. Williams (drawn by D. Carroll)
8:20.0,J. Valanciunas misses 2-pt shot from 11 ft,,6-5,,
8:19.0,,,6-5,,Defensive rebound by C. Frye
8:04.0,,,6-5,,C. Frye misses 2-pt shot from 21 ft
8:03.0,Defensive rebound by N. Powell,,6-5,,
7:46.0,D. Carroll misses 3-pt shot from 24 ft,,6-5,,
7:46.0,Offensive rebound by J. Valanciunas,,6-5,,
7:46.0,,,6-5,,Personal foul by J. Smith
7:26.0,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry),3,9-5,,
7:06.0,,,9-5,,Turnover by D. Williams (bad pass; steal by P. Patterson)
7:00.0,Shooting foul by I. Shumpert (drawn by K. Lowry),,9-5,,
7:00.0,K. Lowry makes free throw 1 of 2,1,10-5,,
7:00.0,K. Lowry misses free throw 2 of 2,,10-5,,
6:59.0,,,10-5,,Defensive rebound by J. Smith
6:46.0,Personal foul by N. Powell (drawn by D. Williams),,10-5,,
6:43.0,,,10-7,2,C. Frye makes 2-pt shot from 1 ft (assist by D. Williams)
6:34.0,Turnover by K. Lowry (bad pass),,10-7,,
6:23.0,,,10-7,,D. Williams misses 2-pt shot from 6 ft
6:22.0,,,10-7,,Offensive rebound by T. Thompson
6:22.0,,,10-9,2,T. Thompson makes 2-pt shot from 1 ft
6:06.0,D. Carroll misses 3-pt shot from 25 ft,,10-9,,
6:06.0,,,10-9,,Defensive rebound by I. Shumpert
5:56.0,,,10-9,,Turnover by D. Williams (lost ball)
5:56.0,,,10-9,,Cleveland full timeout
5:41.0,J. Valanciunas makes 2-pt shot from 8 ft (assist by K. Lowry),2,12-9,,
5:32.0,,,12-9,,Turnover by T. Thompson (lost ball)
5:23.0,J. Valanciunas makes 2-pt shot from 14 ft (assist by K. Lowry),2,14-9,,
4:59.0,,,14-12,3,D. Williams makes 3-pt shot from 26 ft
4:45.0,Turnover by K. Lowry (bad pass; steal by I. Shumpert),,14-12,,
4:38.0,Personal foul by K. Lowry,,14-12,,
4:38.0,,,14-12,,D. Williams enters the game for C. Frye
4:38.0,,,14-12,,K. Korver enters the game for I. Shumpert
4:26.0,,,14-12,,D. Williams misses 2-pt shot from 10 ft
4:24.0,Defensive rebound by D. Carroll,,14-12,,
4:13.0,K. Lowry misses 3-pt shot from 27 ft,,14-12,,
4:12.0,,,14-12,,Defensive rebound by D. Williams
4:00.0,,,14-15,3,D. Williams makes 3-pt shot from 23 ft (assist by D. Williams)
3:39.0,J. Valanciunas misses 2-pt shot from 13 ft,,14-15,,
3:39.0,,,14-15,,Defensive rebound by D. Williams
3:29.0,,,14-15,,J. Smith misses 3-pt shot from 23 ft
3:29.0,Defensive rebound by J. Valanciunas,,14-15,,
3:19.0,N. Powell makes 2-pt shot at rim,2,16-15,,
2:56.0,,,16-17,2,T. Thompson makes 2-pt shot from 7 ft (assist by J. Smith)
2:36.0,N. Powell makes 2-pt shot from 8 ft,2,18-17,,
2:21.0,,,18-17,,D. Williams misses 3-pt shot from 23 ft
2:20.0,Defensive rebound by P. Patterson,,18-17,,
2:14.0,K. Lowry makes 2-pt shot from 1 ft,2,20-17,,
2:13.0,,,20-17,,Cleveland full timeout
2:13.0,Toronto full timeout,,20-17,,
2:13.0,,,20-17,,I. Shumpert enters the game for J. Smith
2:13.0,,,20-17,,R. Jefferson enters the game for D. Williams
2:13.0,C. Joseph enters the game for D. Carroll,,20-17,,
2:13.0,J. Poeltl enters the game for P. Patterson,,20-17,,
2:13.0,P. Siakam enters the game for J. Valanciunas,,20-17,,
2:13.0,P. Tucker enters the game for K. Lowry,,20-17,,
1:54.0,,,20-17,,D. Williams misses 2-pt shot from 12 ft
1:53.0,Defensive rebound by P. Tucker,,20-17,,
1:34.0,N. Powell makes 2-pt shot from 1 ft,2,22-17,,
1:16.0,,,22-19,2,T. Thompson makes 2-pt shot at rim (assist by I. Shumpert)
0:48.0,P. Siakam makes 2-pt shot from 2 ft (assist by J. Poeltl),2,24-19,,
0:37.0,,,24-19,,R. Jefferson misses 3-pt shot from 23 ft
0:36.0,Defensive rebound by C. Joseph,,24-19,,
0:31.0,C. Joseph makes 2-pt shot from 20 ft,2,26-19,,
0:09.0,,,26-21,2,I. Shumpert makes 2-pt shot from 1 ft
0:00.0,C. Joseph misses 2-pt shot from 1 ft,,26-21,,
0:00.0,Offensive rebound by Team,,26-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,26-21,,K. Korver misses 2-pt shot from 21 ft
11:43.0,Defensive rebound by P. Tucker,,26-21,,
11:36.0,K. Lowry makes 2-pt shot at rim (assist by P. Tucker),2,28-21,,
11:24.0,,,28-21,,I. Shumpert misses 2-pt shot from 18 ft
11:24.0,Defensive rebound by K. Lowry,,28-21,,
11:14.0,Turnover by K. Lowry (bad pass; steal by I. Shumpert),,28-21,,
10:57.0,,,28-24,3,R. Jefferson makes 3-pt shot from 22 ft (assist by I. Shumpert)
10:43.0,C. Joseph misses 2-pt shot from 16 ft,,28-24,,
10:42.0,Offensive rebound by J. Poeltl,,28-24,,
10:39.0,J. Poeltl makes 2-pt shot at rim,2,30-24,,
10:35.0,,,30-24,,Turnover by I. Shumpert (bad pass)
10:26.0,C. Joseph misses 2-pt shot from 7 ft,,30-24,,
10:23.0,Offensive rebound by P. Siakam,,30-24,,
10:21.0,K. Lowry misses 3-pt shot from 25 ft,,30-24,,
10:18.0,,,30-24,,Defensive rebound by J. Jones
10:11.0,Personal foul by P. Tucker,,30-24,,
10:06.0,D. Wright enters the game for P. Siakam,,30-24,,
9:57.0,,,30-24,,I. Shumpert misses 2-pt shot from 17 ft
9:56.0,Defensive rebound by K. Lowry,,30-24,,
9:38.0,P. Tucker misses 3-pt shot from 23 ft,,30-24,,
9:37.0,,,30-24,,Defensive rebound by K. Korver
9:32.0,Personal foul by P. Tucker,,30-24,,
9:23.0,,,30-27,3,K. Korver makes 3-pt shot from 27 ft (assist by D. Williams)
9:04.0,P. Tucker misses 2-pt shot from 16 ft,,30-27,,
