time,Golden State,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. Z. Pachulia (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. Z. Pachulia (V. Oladipo gains possession)
11:35.0,,,0-2,2,S. Adams makes 2-pt shot from 7 ft (assist by R. Westbrook)
11:09.0,D. Green misses 2-pt shot from 16 ft,,0-2,,
11:09.0,,,0-2,,Defensive rebound by R. Westbrook
11:05.0,,,0-4,2,T. Gibson makes 2-pt shot at rim (assist by V. Oladipo)
10:52.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,3-4,,
10:35.0,,,3-6,2,S. Adams makes 2-pt shot from 9 ft (assist by V. Oladipo)
10:26.0,Z. Pachulia misses 2-pt shot from 1 ft,,3-6,,
10:26.0,Offensive rebound by Z. Pachulia,,3-6,,
10:26.0,Z. Pachulia misses 2-pt shot from 1 ft,,3-6,,
10:26.0,,,3-6,,Defensive rebound by Team
10:14.0,,,3-6,,S. Adams misses 2-pt shot from 8 ft
10:14.0,Defensive rebound by D. Green,,3-6,,
10:09.0,S. Curry misses 3-pt shot from 24 ft,,3-6,,
10:08.0,,,3-6,,Defensive rebound by R. Westbrook
10:03.0,,,3-6,,T. Gibson misses 2-pt shot at rim
10:02.0,Defensive rebound by K. Thompson,,3-6,,
9:57.0,K. Thompson misses 2-pt shot from 1 ft,,3-6,,
9:57.0,,,3-6,,Defensive rebound by Team
9:46.0,,,3-8,2,V. Oladipo makes 2-pt shot from 14 ft (assist by R. Westbrook)
9:33.0,K. Thompson misses 3-pt shot from 25 ft,,3-8,,
9:32.0,,,3-8,,Defensive rebound by R. Westbrook
9:26.0,,,3-8,,V. Oladipo misses 3-pt shot from 23 ft
9:25.0,Defensive rebound by Z. Pachulia,,3-8,,
9:13.0,S. Curry misses 2-pt shot from 16 ft,,3-8,,
9:12.0,,,3-8,,Defensive rebound by Team
9:12.0,Loose ball foul by D. Green (drawn by S. Adams),,3-8,,
9:00.0,,,3-8,,T. Gibson misses 2-pt shot from 16 ft
8:59.0,Defensive rebound by K. Thompson,,3-8,,
8:49.0,D. Green misses 3-pt shot from 24 ft,,3-8,,
8:48.0,,,3-8,,Defensive rebound by R. Westbrook
8:39.0,,,3-8,,T. Gibson misses 2-pt shot from 3 ft
8:38.0,Defensive rebound by S. Curry,,3-8,,
8:33.0,S. Curry makes 3-pt shot from 24 ft,3,6-8,,
8:17.0,,,6-8,,Turnover by R. Westbrook (bad pass; steal by K. Thompson)
8:13.0,S. Curry makes 2-pt shot at rim,2,8-8,,
8:13.0,,,8-8,,Oklahoma City full timeout
7:57.0,,,8-8,,Turnover by S. Adams (bad pass; steal by D. Green)
7:45.0,Turnover by Z. Pachulia (bad pass; steal by V. Oladipo),,8-8,,
7:37.0,,,8-8,,R. Westbrook misses 3-pt shot from 24 ft
7:36.0,Defensive rebound by D. Green,,8-8,,
7:24.0,Offensive charge foul by S. Curry,,8-8,,
7:24.0,Turnover by S. Curry (offensive foul),,8-8,,
7:19.0,,,8-8,,Shooting foul by S. Curry (drawn by V. Oladipo)
7:19.0,,,8-9,1,V. Oladipo makes free throw 1 of 2
7:19.0,,,8-10,1,V. Oladipo makes free throw 2 of 2
7:03.0,Turnover by Z. Pachulia (bad pass),,8-10,,
6:53.0,,,8-12,2,R. Westbrook makes 2-pt shot from 2 ft
6:37.0,Z. Pachulia makes 2-pt shot from 6 ft,2,10-12,,
6:25.0,,,10-12,,R. Westbrook misses 2-pt shot from 1 ft
6:24.0,Defensive rebound by K. Thompson,,10-12,,
6:18.0,S. Curry makes 3-pt shot from 23 ft (assist by K. Thompson),3,13-12,,
5:58.0,,,13-12,,R. Westbrook misses 2-pt shot from 23 ft
5:56.0,Defensive rebound by D. Green,,13-12,,
5:50.0,S. Curry misses 3-pt shot from 26 ft,,13-12,,
5:50.0,,,13-12,,Defensive rebound by R. Westbrook
5:36.0,,,13-14,2,T. Gibson makes 2-pt shot from 5 ft (assist by R. Westbrook)
5:26.0,Turnover by D. Green (bad pass),,13-14,,
5:26.0,,,13-14,,E. Kanter enters the game for T. Gibson
5:26.0,J. McGee enters the game for Z. Pachulia,,13-14,,
5:26.0,A. Iguodala enters the game for P. McCaw,,13-14,,
5:14.0,,,13-14,,R. Westbrook misses 2-pt shot from 3 ft (block by J. McGee)
5:13.0,Defensive rebound by K. Thompson,,13-14,,
5:09.0,,,13-14,,Violation by A. Roberson (def goaltending)
5:09.0,K. Thompson makes 2-pt shot from 2 ft,2,15-14,,
4:54.0,,,15-14,,V. Oladipo misses 2-pt shot from 12 ft
4:54.0,Defensive rebound by D. Green,,15-14,,
4:45.0,Shooting foul by R. Westbrook (drawn by K. Thompson),,15-14,,
4:45.0,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry),3,18-14,,
4:45.0,K. Thompson makes free throw 1 of 1,1,19-14,,
4:45.0,,,18-14,,A. Abrines enters the game for V. Oladipo
4:45.0,,,18-14,,D. Sabonis enters the game for S. Adams
4:45.0,S. Livingston enters the game for D. Green,,18-14,,
4:27.0,,,19-14,,A. Abrines misses 3-pt shot from 25 ft
4:26.0,,,19-14,,Offensive rebound by E. Kanter
4:22.0,,,19-16,2,E. Kanter makes 2-pt shot from 1 ft
4:22.0,Golden State full timeout,,19-16,,
4:22.0,M. Barnes enters the game for K. Thompson,,19-16,,
4:09.0,J. McGee makes 2-pt shot at rim (assist by A. Iguodala),2,21-16,,
3:56.0,,,21-18,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:33.0,,,21-18,,Personal take foul by A. Abrines (drawn by A. Iguodala)
3:33.0,A. Iguodala makes free throw 1 of 2,1,22-18,,
3:33.0,A. Iguodala makes free throw 2 of 2,1,23-18,,
3:23.0,,,23-18,,E. Kanter misses 2-pt shot at rim (block by J. McGee)
3:21.0,Defensive rebound by S. Curry,,23-18,,
3:20.0,,,23-18,,Violation by R. Westbrook (kicked ball)
3:06.0,S. Livingston misses 2-pt shot from 13 ft,,23-18,,
