time,Golden State,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. Z. Pachulia (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. Z. Pachulia (G. Antetokounmpo gains possession)
11:42.0,,,0-0,,J. Parker misses 2-pt shot from 4 ft
11:40.0,Defensive rebound by K. Durant,,0-0,,
11:21.0,S. Curry misses 3-pt shot from 26 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:08.0,,,0-2,2,J. Henson makes 2-pt shot from 7 ft (assist by M. Dellavedova)
10:51.0,K. Durant makes 2-pt shot from 1 ft (assist by K. Thompson),2,2-2,,
10:51.0,Shooting foul by J. Henson (drawn by K. Durant),,2-2,,
10:51.0,K. Durant makes free throw 1 of 1,1,3-2,,
10:43.0,Jump ball: G. Antetokounmpo vs. D. Green (T. Snell gains possession),,,,Jump ball: G. Antetokounmpo vs. D. Green (T. Snell gains possession)
10:33.0,,,3-4,2,J. Henson makes 2-pt shot from 12 ft
10:25.0,K. Durant makes 2-pt shot at rim (assist by Z. Pachulia),2,5-4,,
10:12.0,Personal foul by Z. Pachulia (drawn by J. Henson),,5-4,,
10:02.0,,,5-4,,G. Antetokounmpo misses 2-pt shot from 10 ft
10:01.0,Defensive rebound by Z. Pachulia,,5-4,,
9:52.0,K. Thompson misses 2-pt shot from 14 ft,,5-4,,
9:51.0,,,5-4,,Defensive rebound by J. Henson
9:45.0,,,5-4,,Turnover by M. Dellavedova (bad pass; steal by K. Durant)
9:42.0,Shooting foul by T. Snell (drawn by K. Durant),,5-4,,
9:42.0,K. Durant makes free throw 1 of 2,1,6-4,,
9:42.0,K. Durant misses free throw 2 of 2,,6-4,,
9:41.0,,,6-4,,Defensive rebound by J. Henson
9:30.0,,,6-6,2,T. Snell makes 2-pt shot from 21 ft (assist by G. Antetokounmpo)
9:12.0,D. Green misses 2-pt shot from 6 ft,,6-6,,
9:11.0,Offensive rebound by D. Green,,6-6,,
9:07.0,K. Thompson misses 3-pt shot from 24 ft,,6-6,,
9:06.0,,,6-6,,Defensive rebound by J. Henson
9:03.0,,,6-8,2,M. Dellavedova makes 2-pt shot at rim
8:48.0,,,6-8,,Violation by J. Henson (kicked ball)
8:43.0,D. Green makes 2-pt shot at rim (assist by Z. Pachulia),2,8-8,,
8:31.0,,,8-10,2,G. Antetokounmpo makes 2-pt shot from 21 ft
8:19.0,D. Green makes 2-pt shot at rim (assist by Z. Pachulia),2,10-10,,
8:04.0,Def 3 sec tech foul by K. Durant,,10-10,,
8:04.0,,,10-11,1,M. Dellavedova makes technical free throw
7:55.0,,,10-14,3,J. Parker makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
7:43.0,,,10-14,,Personal foul by M. Dellavedova (drawn by Z. Pachulia)
7:41.0,,,10-14,,Personal foul by G. Antetokounmpo (drawn by S. Curry)
7:37.0,Turnover by D. Green (bad pass; steal by J. Henson),,10-14,,
7:19.0,,,10-14,,G. Antetokounmpo misses 2-pt shot from 10 ft
7:17.0,Defensive rebound by K. Durant,,10-14,,
7:06.0,K. Thompson makes 2-pt shot from 15 ft (assist by K. Durant),2,12-14,,
6:49.0,,,12-16,2,J. Parker makes 2-pt shot from 19 ft (assist by G. Antetokounmpo)
6:36.0,,,12-16,,Def 3 sec tech foul by J. Henson
6:36.0,S. Curry makes technical free throw,1,13-16,,
6:36.0,,,13-16,,M. Brogdon enters the game for M. Dellavedova
6:30.0,S. Curry misses 3-pt shot from 27 ft,,13-16,,
6:29.0,Offensive rebound by Team,,13-16,,
6:17.0,K. Durant makes 3-pt shot from 24 ft (assist by S. Curry),3,16-16,,
6:01.0,,,16-16,,J. Parker misses 2-pt shot from 5 ft
6:00.0,Defensive rebound by Z. Pachulia,,16-16,,
5:53.0,Turnover by S. Curry (bad pass; steal by G. Antetokounmpo),,16-16,,
5:51.0,Personal foul by K. Thompson (drawn by G. Antetokounmpo),,16-16,,
5:51.0,,,16-16,,Milwaukee full timeout
5:51.0,,,16-16,,M. Plumlee enters the game for G. Antetokounmpo
5:51.0,,,16-16,,M. Beasley enters the game for J. Henson
5:51.0,A. Iguodala enters the game for K. Durant,,16-16,,
5:51.0,Violation by Team (jump ball),,16-16,,
5:43.0,,,16-16,,Turnover by J. Parker (bad pass; steal by Z. Pachulia)
5:36.0,D. Green misses 3-pt shot from 28 ft,,16-16,,
5:34.0,Offensive rebound by Z. Pachulia,,16-16,,
5:25.0,Shooting foul by J. Parker (drawn by S. Curry),,16-16,,
