time,LA Clippers,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Jordan (D. Schroder gains possession),,,,Jump ball: D. Howard vs. D. Jordan (D. Schroder gains possession)
11:36.0,,,0-0,,T. Sefolosha misses 2-pt shot from 16 ft
11:34.0,Defensive rebound by L. Mbah a Moute,,0-0,,
11:12.0,R. Felton misses 2-pt shot from 13 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by D. Howard
10:59.0,,,0-2,2,D. Schroder makes 2-pt shot from 17 ft
10:47.0,Shooting foul by T. Sefolosha (drawn by J. Redick),,0-2,,
10:47.0,J. Redick makes free throw 1 of 2,1,1-2,,
10:47.0,J. Redick makes free throw 2 of 2,1,2-2,,
10:34.0,,,2-2,,T. Sefolosha misses 2-pt shot from 16 ft
10:33.0,Defensive rebound by D. Jordan,,2-2,,
10:22.0,A. Rivers misses 3-pt shot from 25 ft,,2-2,,
10:21.0,,,2-2,,Defensive rebound by D. Howard
10:09.0,,,2-2,,K. Bazemore misses 2-pt shot from 22 ft
10:08.0,Defensive rebound by Team,,2-2,,
9:50.0,J. Redick misses 3-pt shot from 26 ft,,2-2,,
9:49.0,,,2-2,,Defensive rebound by K. Bazemore
9:30.0,,,2-2,,T. Sefolosha misses 2-pt shot at rim
9:29.0,,,2-2,,Offensive rebound by D. Howard
9:28.0,,,2-4,2,D. Howard makes 2-pt shot from 1 ft
9:08.0,J. Redick makes 2-pt shot from 21 ft (assist by D. Jordan),2,4-4,,
8:47.0,,,4-6,2,D. Schroder makes 2-pt shot from 1 ft
8:47.0,,,4-6,,Shooting foul by L. Mbah a Moute (drawn by D. Schroder)
8:47.0,,,4-7,1,D. Schroder makes free throw 1 of 1
8:35.0,A. Rivers makes 2-pt shot from 13 ft,2,6-7,,
8:19.0,,,6-7,,K. Bazemore misses 2-pt shot from 1 ft
8:17.0,Defensive rebound by R. Felton,,6-7,,
7:55.0,R. Felton misses 2-pt shot from 1 ft,,6-7,,
7:53.0,Offensive rebound by D. Jordan,,6-7,,
7:53.0,D. Jordan makes 2-pt shot at rim,2,8-7,,
7:38.0,,,8-10,3,K. Bazemore makes 3-pt shot from 24 ft (assist by P. Millsap)
7:26.0,Shooting foul by D. Howard (drawn by L. Mbah a Moute),,8-10,,
7:26.0,L. Mbah a Moute makes free throw 1 of 2,1,9-10,,
7:26.0,L. Mbah a Moute makes free throw 2 of 2,1,10-10,,
7:16.0,,,10-10,,D. Schroder misses 2-pt shot from 18 ft
7:15.0,Defensive rebound by L. Mbah a Moute,,10-10,,
7:03.0,A. Rivers makes 3-pt shot from 25 ft (assist by L. Mbah a Moute),3,13-10,,
6:38.0,Violation by D. Jordan (def goaltending),,13-10,,
6:38.0,,,13-12,2,D. Schroder makes 2-pt shot from 2 ft
6:26.0,Turnover by A. Rivers (bad pass; steal by D. Howard),,13-12,,
6:12.0,,,13-12,,D. Schroder misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by L. Mbah a Moute,,13-12,,
6:03.0,R. Felton misses 2-pt shot from 19 ft,,13-12,,
6:01.0,Offensive rebound by R. Felton,,13-12,,
5:58.0,J. Redick misses 2-pt shot from 19 ft,,13-12,,
5:56.0,Offensive rebound by D. Jordan,,13-12,,
5:56.0,Shooting foul by D. Howard (drawn by D. Jordan),,13-12,,
5:56.0,,,13-12,,Atlanta full timeout
5:56.0,D. Jordan makes free throw 1 of 2,1,14-12,,
5:56.0,D. Jordan makes free throw 2 of 2,1,15-12,,
5:56.0,,,13-12,,K. Humphries enters the game for D. Howard
5:56.0,,,13-12,,T. Hardaway enters the game for K. Bazemore
