time,Toronto,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. C. Zeller (K. Lowry gains possession),,,,Jump ball: J. Valanciunas vs. C. Zeller (K. Lowry gains possession)
11:33.0,K. Lowry misses 3-pt shot from 23 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by N. Batum
11:19.0,,,0-0,,M. Williams misses 3-pt shot from 24 ft
11:17.0,,,0-0,,Offensive rebound by N. Batum
11:17.0,,,0-0,,N. Batum misses 2-pt shot from 1 ft
11:15.0,Defensive rebound by J. Valanciunas,,0-0,,
11:05.0,D. DeRozan makes 2-pt shot from 1 ft,2,2-0,,
10:49.0,,,2-0,,M. Williams misses 2-pt shot from 1 ft
10:48.0,Defensive rebound by D. Carroll,,2-0,,
10:35.0,J. Valanciunas makes 2-pt shot from 2 ft,2,4-0,,
10:23.0,,,4-0,,M. Williams misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by D. Carroll,,4-0,,
10:17.0,P. Siakam misses 2-pt shot at rim,,4-0,,
10:16.0,,,4-0,,Defensive rebound by K. Walker
10:08.0,,,4-2,2,K. Walker makes 2-pt shot from 1 ft
9:41.0,D. DeRozan misses 2-pt shot from 14 ft,,4-2,,
9:40.0,,,4-2,,Defensive rebound by C. Zeller
9:30.0,,,4-4,2,K. Walker makes 2-pt shot from 19 ft
9:08.0,J. Valanciunas misses 2-pt shot from 19 ft,,4-4,,
9:07.0,,,4-4,,Defensive rebound by M. Williams
8:51.0,Personal foul by K. Lowry (drawn by C. Zeller),,4-4,,
8:38.0,,,4-6,2,T. Graham makes 2-pt shot from 11 ft
8:17.0,P. Siakam misses 2-pt shot from 8 ft,,4-6,,
8:16.0,,,4-6,,Defensive rebound by C. Zeller
8:04.0,,,4-9,3,K. Walker makes 3-pt shot from 28 ft (assist by N. Batum)
7:43.0,Shooting foul by C. Zeller (drawn by D. DeRozan),,4-9,,
7:43.0,D. DeRozan makes free throw 1 of 2,1,5-9,,
7:43.0,D. DeRozan makes free throw 2 of 2,1,6-9,,
7:29.0,,,6-11,2,C. Zeller makes 2-pt shot from 18 ft (assist by T. Graham)
7:15.0,D. Carroll makes 2-pt shot from 21 ft (assist by K. Lowry),2,8-11,,
6:59.0,,,8-11,,N. Batum misses 2-pt shot from 20 ft
6:58.0,,,8-11,,Offensive rebound by C. Zeller
6:55.0,,,8-11,,Shooting foul by P. Siakam (drawn by C. Zeller)
6:55.0,,,8-12,1,C. Zeller makes free throw 1 of 2
6:55.0,,,8-13,1,C. Zeller makes free throw 2 of 2
6:45.0,D. DeRozan makes 2-pt shot from 18 ft (assist by K. Lowry),2,10-13,,
6:33.0,,,10-13,,Turnover by N. Batum (traveling)
6:19.0,P. Siakam misses 2-pt shot from 17 ft,,10-13,,
6:17.0,,,10-13,,Defensive rebound by M. Williams
5:58.0,,,10-13,,Shooting foul by P. Siakam (drawn by K. Walker)
5:58.0,,,10-13,,Charlotte full timeout
5:58.0,,,10-13,,K. Walker misses free throw 1 of 2
5:58.0,,,10-13,,Offensive rebound by Team
5:58.0,,,10-14,1,K. Walker makes free throw 2 of 2
5:58.0,P. Patterson enters the game for P. Siakam,,10-13,,
5:58.0,,,10-13,,R. Hibbert enters the game for C. Zeller
5:44.0,,,10-14,,Personal foul by N. Batum (drawn by D. Carroll)
5:36.0,D. DeRozan makes 2-pt shot from 15 ft,2,12-14,,
5:36.0,Shooting foul by T. Graham (drawn by D. DeRozan),,12-14,,
5:36.0,D. DeRozan makes free throw 1 of 1,1,13-14,,
5:17.0,,,13-14,,R. Hibbert misses 2-pt shot from 9 ft
5:16.0,Defensive rebound by K. Lowry,,13-14,,
5:08.0,,,13-14,,Def 3 sec tech foul by R. Hibbert
5:08.0,D. DeRozan makes technical free throw,1,14-14,,
5:08.0,,,14-14,,M. Belinelli enters the game for M. Williams
5:08.0,,,14-14,,F. Kaminsky enters the game for T. Graham
5:00.0,Shooting foul by F. Kaminsky (drawn by D. Carroll),,14-14,,
5:00.0,D. Carroll makes free throw 1 of 2,1,15-14,,
5:00.0,D. Carroll makes free throw 2 of 2,1,16-14,,
4:48.0,,,16-16,2,R. Hibbert makes 2-pt shot from 17 ft (assist by N. Batum)
4:31.0,D. Carroll misses 3-pt shot from 26 ft,,16-16,,
4:30.0,,,16-16,,Defensive rebound by M. Belinelli
4:18.0,,,16-16,,N. Batum misses 2-pt shot from 15 ft
4:17.0,Defensive rebound by J. Valanciunas,,16-16,,
4:07.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,18-16,,
3:53.0,,,18-16,,R. Hibbert misses 2-pt shot from 2 ft
3:52.0,,,18-16,,Offensive rebound by R. Hibbert
3:50.0,,,18-16,,Turnover by R. Hibbert (lost ball; steal by K. Lowry)
3:46.0,Shooting foul by K. Walker (drawn by J. Valanciunas),,18-16,,
3:46.0,J. Valanciunas makes free throw 1 of 2,1,19-16,,
3:46.0,J. Valanciunas makes free throw 2 of 2,1,20-16,,
3:36.0,,,20-16,,F. Kaminsky misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by K. Lowry,,20-16,,
3:24.0,J. Valanciunas makes 2-pt shot at rim (assist by D. Carroll),2,22-16,,
3:17.0,,,22-16,,Charlotte full timeout
3:17.0,C. Joseph enters the game for J. Valanciunas,,22-16,,
3:17.0,L. Nogueira enters the game for K. Lowry,,22-16,,
3:02.0,,,22-16,,N. Batum misses 3-pt shot from 29 ft
3:01.0,Defensive rebound by P. Patterson,,22-16,,
2:55.0,D. DeRozan makes 2-pt shot from 16 ft,2,24-16,,
