time,Detroit,pts.away,score,pts.home,Miami
1:03.0,T. Harris makes free throw 2 of 2,1,28-32,,
1:03.0,,,27-32,,J. Richardson enters the game for T. Johnson
0:47.0,,,28-34,2,J. Richardson makes 2-pt shot from 8 ft
0:34.0,T. Harris makes 2-pt shot from 2 ft,2,30-34,,
0:22.0,,,30-34,,J. Johnson misses 2-pt shot from 2 ft (block by T. Harris)
0:21.0,Defensive rebound by I. Smith,,30-34,,
0:13.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by S. Johnson),3,33-34,,
0:02.0,,,33-37,3,J. Johnson makes 3-pt shot from 25 ft (assist by J. Richardson)
0:01.0,T. Harris misses 3-pt shot from 60 ft,,33-37,,
0:00.0,Offensive rebound by Team,,33-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,33-39,2,U. Haslem makes 2-pt shot from 6 ft (assist by T. Johnson)
11:31.0,T. Harris makes 2-pt shot from 16 ft,2,35-39,,
11:17.0,,,35-39,,Shooting foul by I. Smith (drawn by T. Johnson)
11:17.0,,,35-39,,T. Johnson misses free throw 1 of 2
11:17.0,,,35-39,,Offensive rebound by Team
11:17.0,,,35-40,1,T. Johnson makes free throw 2 of 2
11:03.0,M. Morris misses 2-pt shot from 15 ft,,35-40,,
11:02.0,,,35-40,,Defensive rebound by R. McGruder
10:53.0,Personal foul by M. Morris (drawn by L. Babbitt),,35-40,,
10:43.0,,,35-40,,T. Johnson misses 2-pt shot from 19 ft
10:42.0,Defensive rebound by M. Morris,,35-40,,
10:35.0,I. Smith misses 2-pt shot from 3 ft,,35-40,,
10:34.0,,,35-40,,Defensive rebound by U. Haslem
10:34.0,Personal foul by A. Baynes (drawn by U. Haslem),,35-40,,
10:24.0,Personal foul by S. Johnson (drawn by R. McGruder),,35-40,,
10:15.0,,,35-40,,Shooting foul by I. Smith (drawn by T. Johnson)
10:15.0,,,35-41,1,T. Johnson makes free throw 1 of 3
10:15.0,,,35-42,1,T. Johnson makes free throw 2 of 3
10:15.0,,,35-43,1,T. Johnson makes free throw 3 of 3
10:00.0,I. Smith misses 3-pt shot from 24 ft,,35-43,,
9:59.0,,,35-43,,Defensive rebound by U. Haslem
9:42.0,,,35-46,3,L. Babbitt makes 3-pt shot from 24 ft (assist by J. Johnson)
9:36.0,Detroit full timeout,,35-46,,
9:36.0,A. Drummond enters the game for A. Baynes,,35-46,,
9:26.0,,,35-46,,Personal foul by U. Haslem (drawn by A. Drummond)
9:16.0,M. Morris misses 3-pt shot from 25 ft,,35-46,,
9:15.0,,,35-46,,Defensive rebound by U. Haslem
9:00.0,,,35-49,3,R. McGruder makes 3-pt shot from 24 ft (assist by T. Johnson)
8:42.0,I. Smith misses 2-pt shot from 3 ft (block by T. Johnson),,35-49,,
8:41.0,Offensive rebound by Team,,35-49,,
8:41.0,K. Caldwell-Pope enters the game for S. Johnson,,35-49,,
8:41.0,R. Jackson enters the game for I. Smith,,35-49,,
